d,e,f,g,h,i,j,a,c,b
1,0,2,1,1,0,1,5.569479108814537,-1.0105935716431085,0
2,0,1,1,0,0,1,4.99337599491343,1.6520970970684674,0
2,2,2,1,0,0,0,0.8184242906769221,0.8877607443173949,1
1,1,1,0,0,1,2,0.871899111111879,1.404723421909415,0
2,1,1,0,2,0,2,1.1764661284520175,-2.396473410144224,2
0,2,0,0,0,0,2,0.009825496714860604,1.1218484307113126,0
2,1,2,0,2,1,0,7.038693457451193,-1.2598731029119603,0
1,2,2,0,2,1,0,4.218573972524334,2.9895890635165667,0
0,1,0,1,0,0,2,1.33908794590751,2.5699511180320087,2
0,2,1,1,2,1,1,3.7104375853379286,1.828662395178905,0
0,1,0,0,0,0,0,3.5320000762798616,0.7089197037098302,0
0,0,1,2,2,0,2,4.873582158618935,-1.3053385074905042,0
0,0,2,1,2,2,2,5.592032924355139,-1.0644203245115187,0
0,2,1,0,2,1,2,1.255596833417376,0.1660107557528595,0
1,1,0,1,0,0,1,3.383007993298381,-1.0014565418738968,0
2,0,1,2,1,0,2,5.823882413048875,-1.350134554591151,0
1,2,0,0,1,2,0,6.894531344104165,1.1245380181034093,0
2,0,1,2,2,2,2,8.458523087030468,-2.636884032326731,0
1,0,0,0,0,0,0,5.1523552204860925,-0.34169691626311693,0
2,0,0,0,0,2,2,7.9019404901958055,2.099912137042033,0
2,0,0,0,1,1,2,6.24544086354137,-0.3590856042978695,0
2,2,1,1,2,2,2,6.06005736751184,1.0566626587908834,0
2,2,0,1,1,0,2,1.0328774647029237,-0.7967013749884193,2
2,1,2,2,1,0,1,2.61328501603155,0.18408765019514467,0
1,0,2,0,1,1,2,2.0676250524432485,1.22150088573051,0
0,2,0,0,0,0,2,-2.523891978820185,-0.20993989600460328,1
0,0,1,1,1,1,2,3.960352516441328,0.4435826467651999,0
2,2,0,0,2,1,1,6.123140763801016,-1.1113469358324353,0
1,0,2,0,1,1,0,5.687933319108216,2.318545157910951,0
2,0,0,0,0,1,1,8.089311043037027,0.8252681392598328,0
2,2,1,1,0,0,1,1.0871676696079182,1.1936093751854866,0
0,0,1,0,1,1,1,4.980117523354273,0.10897668612543213,0
