d,e,f,g,h,i,j,a,c,b
2,1,1,2,0,1,0,1,-1.1366371399244666,-2.207072180550788
2,0,1,1,2,2,0,0,0.6771532875848411,-3.0486281312562897
2,2,1,1,0,0,0,2,2.8822570770711486,-8.862995415388546
0,2,2,0,2,0,1,2,9.116943814634311,-14.891333955739132
1,0,1,0,0,0,1,1,1.3590233926448594,-5.677863314046685
1,1,2,0,1,1,0,0,3.773883938259682,-6.528639126272481
2,0,2,2,2,2,2,0,3.027678594899968,-3.565882563649567
0,2,1,2,0,1,0,1,1.0899611107988525,-6.256321290400573
0,1,0,1,0,2,1,2,-0.2590047235719317,-3.7863715108081064
2,2,0,1,1,2,2,1,4.189865350022501,-8.656765411671614
2,0,1,2,1,1,1,1,1.3559553149020513,-6.802445728609198
0,1,0,2,1,2,1,2,1.7928083568691517,-8.066068109629652
1,0,1,0,1,0,0,1,2.068317189505028,-5.4655579960274645
1,1,1,0,1,2,2,0,7.5810714046556935,-11.743597325134706
2,0,1,1,1,1,1,0,1.9703398129149123,-3.1239881065218595
1,0,2,1,2,0,2,1,6.919280122191896,-12.966645431004467
0,0,2,1,0,1,2,1,3.063019884224824,-7.544829937293509
1,2,0,0,0,1,0,0,0.9985488522758204,-2.229153637286203
0,0,0,0,0,2,1,1,1.221307490355111,-2.98444128262922
1,1,0,0,0,0,2,2,5.194955885469729,-14.121592732001929
1,2,2,2,1,1,1,1,5.031569675534055,-9.087190210286382
2,1,1,0,2,0,2,0,9.108232526533449,-14.729515799366677
0,0,0,2,0,1,2,1,1.3110287036195452,-5.3256337583740745
1,0,1,0,2,1,1,2,3.749545875491334,-8.075208405212715
0,1,0,0,1,0,0,0,3.4545679743873907,-7.05652532321457
2,0,1,2,0,2,1,0,0.7423554712759948,-2.4555999920571083
1,2,2,0,2,2,0,0,5.668359167318835,-8.814090308071336
2,2,1,1,0,1,1,0,2.3767311072894737,-4.056747954884421
1,0,1,0,2,1,1,2,3.0644943438210976,-7.99104308943035
1,1,1,0,1,1,0,0,3.0252310917029783,-6.60507608494049
1,2,1,2,0,2,0,0,-0.28626128806876827,-1.3568702733509184
2,2,2,2,1,1,2,0,7.012366527987946,-10.602561987171866
1,0,2,1,1,1,2,0,3.8510755231465152,-7.318761316075741
0,2,1,1,1,1,1,2,5.769525417413682,-12.224796202698428
1,0,1,1,2,0,0,1,3.466982730678631,-8.7038108975784
1,2,0,1,2,0,2,0,8.270204150510592,-12.556970680942294
2,1,0,1,1,0,2,2,4.915655891522781,-11.699052449541332
2,1,0,1,2,2,1,0,3.1101829639049265,-6.6033985480566555
2,0,2,2,1,1,1,2,0.6569661941513523,-6.183678386797423
2,0,2,0,0,0,1,0,2.8398648715719936,-7.034146761257947
1,0,1,1,2,1,0,2,2.6852995639695756,-9.59315762294051
1,2,0,1,1,0,0,1,3.373056118778662,-6.594744027484685
1,0,0,1,1,2,1,0,0.8478172755253623,-2.4443231379466455
2,1,0,2,1,0,1,1,2.59485441128884,-7.1525871237603145
0,1,1,0,0,0,0,1,2.1554864969302283,-4.981366482272428
1,1,1,1,0,2,1,0,3.592367006662473,-8.716157875910838
1,2,2,0,0,2,1,1,5.079099820545822,-11.569089723312068
1,0,1,2,2,1,1,2,3.881165170778927,-10.886557984420813
1,1,0,1,2,0,2,0,7.9756286069234195,-14.070629320236458
2,1,1,1,1,2,0,2,-0.5191536553285141,-3.158042547435878
2,0,0,0,0,0,0,2,1.4481924099785126,-6.270187120816881
2,0,2,1,0,1,2,0,2.793809630874276,-4.867870383162817
2,0,0,2,2,0,1,0,1.660856166971528,-2.2917150830598505
2,0,1,2,1,2,0,2,-1.9497230014832398,-1.7304177005011148
2,1,0,1,1,0,1,1,3.634117571138614,-8.74575507109888
1,1,0,0,2,0,2,1,7.280104968619662,-11.636918987660529
2,0,0,0,0,2,1,0,-0.43855073476033335,0.12417750954136175
1,2,2,1,0,0,0,0,4.966973660750163,-10.805183073817282
