d,e,f,g,h,i,j,a,c,b
1,2,2,1,2,1,2,2,-6.184126370483978,0.6547579191799743
0,1,2,2,1,2,0,1,-3.785082925662739,-0.9553465119890052
1,1,1,1,0,1,1,0,-2.750467526944325,-3.8643194470822237
2,1,2,1,2,0,2,2,-2.184432157248427,0.79906645445088
0,2,2,0,2,1,0,1,-3.5188316074327246,-1.1444650780559056
1,1,2,0,2,1,0,2,-2.8357108708727963,1.5228315330355542
0,0,0,2,2,0,0,0,-0.0594510882720312,-2.769182372344912
1,1,2,0,2,0,1,1,-3.3296934027835747,-0.4668135205034325
1,1,1,1,0,1,0,1,-1.5103336951645439,-2.3590597393497466
2,2,2,0,2,1,1,2,-5.33139137425178,-0.14842060619317832
0,2,2,0,1,0,2,1,-4.788508131464695,0.61061074252481
0,2,0,1,1,1,0,2,-0.7958912369299165,-1.9239479027052457
1,1,1,2,1,1,0,1,-2.9256399767594328,-3.282044506899884
2,1,0,0,1,0,1,0,0.41123197891529734,-2.881888181274422
2,1,0,2,1,1,0,0,-1.7445809764825588,-1.2769633524657273
0,0,1,1,2,2,0,0,-1.3940138035153604,-2.8294708840652887
0,2,2,2,0,1,0,2,-3.748575439934243,1.4467901316582
2,2,2,0,0,1,0,0,-1.2421835523295681,-5.070116474586451
0,2,1,2,0,2,2,1,-3.9719401403265477,-2.1397262220556095
2,0,0,0,2,1,0,0,2.8657545182390645,-4.473328147004952
0,0,1,2,1,0,1,2,-1.2573821275684216,0.5716790901081322
2,2,2,1,1,1,2,2,-5.28570503642423,-0.8397629264739628
0,1,2,1,1,1,1,2,-2.8663941423032533,-1.0171429817078337
1,2,0,0,1,1,1,0,0.07604501127091012,-3.1341117305057336
1,1,0,1,1,0,1,1,-2.482484698707294,-0.9010431451182266
0,1,2,0,0,0,2,0,-2.050791785800195,-2.96879375950122
1,1,0,1,0,1,0,0,0.43952053664964835,-2.8615848693183583
1,2,0,2,2,2,0,1,-3.3144088232219118,-1.232221093831965
2,1,0,0,1,2,2,1,-2.027160286200366,-2.302067584280275
2,2,1,0,0,2,0,2,-2.532106603241955,-0.9150579271063688
1,0,1,0,1,0,0,0,1.7182428067350186,-2.345392949850922
1,1,1,0,1,1,0,1,-2.6212618805418106,-1.3149035311358706
1,2,0,0,0,1,0,1,0.01834052383306564,-2.0632189434233084
1,2,2,0,0,1,0,0,-0.3665667178137466,-3.1595265391065275
2,2,2,1,2,1,1,0,-4.568312336549549,-3.433934895590446
0,0,1,0,0,1,1,1,-1.2360645543588804,-1.656267326052241
0,2,0,2,0,0,0,1,-1.6888023636629546,-2.191065110060251
1,2,1,2,1,2,2,1,-5.327247633571193,-1.8990081714776148
0,2,2,2,1,2,0,1,-5.292364999338463,-1.716083286914258
0,0,1,1,2,0,2,2,-2.1285782814065453,-0.6180652724619615
0,2,0,0,2,1,2,1,-4.552809058924198,-0.649179773011921
2,2,1,2,0,1,1,0,-1.8765477623575282,-4.279317141044221
2,2,1,0,1,2,1,2,-3.3930076071541095,-0.6171521346052989
2,0,1,1,0,2,0,1,0.18135076557741925,-3.179261977397447
1,2,1,1,1,1,0,1,-1.5491805361399476,-0.6217554541237889
2,0,0,2,0,2,2,0,-0.9758587497229729,-2.125081451463124
0,1,2,1,0,2,1,1,-3.312732288442556,-3.411203603513589
2,1,1,2,2,2,0,0,-3.3426202570997186,-1.142731752206972
1,1,1,2,0,0,2,0,-1.6007825265866031,-1.5989053462870204
2,2,1,1,1,2,2,0,-4.730228774443672,-3.412801283624331
0,0,1,2,0,1,0,2,-1.1892384481644187,-2.7558879022983844
1,1,0,0,2,0,0,1,-1.6262297585860614,-2.2821820536335937
2,1,2,2,2,2,0,1,-3.833480013194813,-0.5437295759822705
1,1,0,0,1,2,0,2,-0.10972859743153907,0.8251722222985678
1,0,1,2,2,1,1,1,-2.4959010036009897,-2.8302702782851097
0,0,0,1,1,1,0,1,0.9325839927734558,-0.7155447547304075
1,0,0,2,0,1,1,0,2.1744318185799503,-5.002839606754419
0,1,0,0,0,0,0,0,2.537809824892191,-3.046871401815712
0,1,2,1,0,2,2,1,-1.6682320656311782,-2.613515164546959
2,1,1,2,0,0,2,0,-0.5104958353171054,-2.2421308533666693
1,1,1,0,0,1,1,1,1.0079326879218333,-1.137808205188075
1,0,2,0,0,0,1,2,2.184132717972986,1.0419125434445071
1,0,0,0,1,2,0,1,1.2431348536267748,-3.6945076673793693
2,1,1,0,0,2,0,0,0.6032402060869486,-2.4851280861995826
0,2,1,1,1,1,1,1,-4.40371529163928,-1.054223818573917
1,0,1,1,1,1,0,0,-1.1453362514665226,-4.782484087028723
0,2,0,0,2,2,1,0,-3.4495153693405265,-4.538935679355109
1,1,2,0,1,2,1,1,-2.3712513351584925,-0.9537312293970526
2,0,0,0,2,2,0,0,-0.6065560966671925,-3.526215762021924
1,1,2,2,1,0,1,1,-3.001904189440865,-3.123350095117097
2,0,2,2,0,1,1,2,-3.636189424109028,0.2173673172319531
1,0,1,0,1,2,2,0,-0.49403183548190444,-3.0389537284486225
