d,e,a,c,b
1,0,2,3.3173802405295536,-10.029002031990222
1,0,1,3.1372098412753555,-8.784872266173032
2,1,0,2.0905556094197264,-3.754125066018836
2,2,2,1.3892745106742292,-5.380336151285872
2,0,1,4.324370054600359,-9.223012349130096
2,1,1,2.5348078715059046,-5.429350967546432
0,1,0,3.290265818369816,-6.108486912331658
1,1,1,2.662720163026343,-6.22124054140929
1,2,1,1.7668228717842438,-4.777429685113494
1,0,2,3.741177949299462,-10.038954312720287
0,2,1,2.220764187911544,-6.388328589458387
1,1,2,3.1337531318761815,-6.694565239716359
0,2,1,2.0307173539740675,-5.984477655149164
2,1,0,0.49071306362633826,-2.0749970499214747
2,0,0,2.115526934164141,-3.7535412339705747
2,2,0,0.5439103777337416,-1.248232330629693
2,2,2,-0.08700670880004502,-4.80601007556225
1,0,1,3.960209976868338,-7.709280805881119
2,2,1,0.5800792422021891,-3.1461300795165767
1,2,0,0.6251585371023904,-2.7499521936608082
0,1,2,4.156248163629806,-9.468400245453095
2,2,2,0.2888426034583937,-3.4182452803176995
1,1,2,1.075186913088521,-6.653111613329286
0,1,1,4.842304791186244,-8.563158352670753
1,0,1,3.119255256243084,-6.735129119809481
2,2,0,-1.7450953431851846,2.4039169212216196
0,0,0,3.6649562904136976,-5.246856450985644
1,2,1,-0.02104516067832196,-1.8647149914104288
0,1,1,3.4521733186575334,-7.991299450008414
2,1,2,0.9461494944537625,-5.828215751537923
1,0,0,3.2831680323594075,-5.602366896027508
0,2,1,2.7097019654824788,-6.216987393651059
0,0,1,5.049875361192703,-10.680606727749812
1,1,0,2.626047870644286,-5.850528212669332
2,2,0,0.3198284573286919,-0.9869768078659893
2,2,0,0.5261346680022375,-1.5394890680459639
1,2,0,-1.107953341777443,-0.008874104294773755
0,2,1,1.7255617477355387,-6.4825229399519575
2,1,0,-0.9602100644894742,1.6371125890867702
1,0,2,3.6560599267977953,-12.403750789875918
2,2,1,-0.09463297222434607,-1.6927670905351082
0,2,1,3.1355322747896803,-7.899843247644179
0,2,2,3.2776343927211204,-7.846508204673206
2,1,1,1.4227750482523671,-4.986413541665423
2,0,0,2.0296389226031,-3.3811983433994044
1,1,0,2.7951611125457374,-5.746639343691003
2,1,1,0.6920823626756862,-3.1297126866892797
2,2,0,-0.09139265144334964,0.3231179648881791
1,1,0,3.2961363169607676,-6.668948818327493
2,0,0,1.9722286540105762,-2.945956113859681
0,0,2,5.515678639242501,-13.97550835021116
0,2,1,2.767401368692302,-6.4976634979054575
2,2,1,-1.0447918171308221,0.6492337300815587
1,0,2,4.593894128217401,-10.74552146746142
0,1,1,4.098566345371505,-7.152103573849862
2,1,0,1.3219258873726571,-3.593932584717904
0,1,0,2.637676541972348,-6.459576138121303
2,2,0,-0.9492060185755707,0.0588071832691065
0,0,1,4.172337423096978,-8.534254426947395
2,0,0,3.07259446329196,-5.326213597959874
2,0,0,1.5743748325986018,-3.159924304096193
2,0,1,2.9675122486198697,-8.257402994247107
1,2,1,-0.24175552887839258,-0.8797307522888878
1,2,1,0.795931415561151,-4.645747498260109
2,0,0,2.6396477545740082,-3.9248480779446546
0,1,1,5.845130145058917,-9.197734124910884
2,0,0,1.1526843444796324,-2.174639082488621
1,0,1,5.092014566490134,-10.184236773040386
1,0,0,3.76984241398728,-7.509290296813809
1,0,1,4.031171918015963,-10.763517300894113
1,1,2,2.428347913388204,-8.305194294924053
0,2,1,2.534726818195233,-7.487278100212598
0,1,0,3.2463148956379824,-7.568203047955966
0,2,1,3.5440501814574583,-6.3979658682966045
0,1,1,2.9435288557752775,-6.820571825349951
1,0,1,4.752234572179248,-9.80663353781253
2,0,0,1.8856328797869768,-4.10345458963198
1,0,2,3.559748153598713,-9.810040425097236
1,0,1,2.548037447709781,-5.452593353344392
2,2,0,0.3650237203475192,-1.2265276804894731
1,2,2,2.4451259569265336,-7.2004714483196395
0,2,0,2.0126438201791457,-4.207625230351355
2,1,0,1.0231143012960902,-2.6616783459483613
1,1,0,1.1953830369320728,-4.021019158755706
1,1,2,2.0807073464476913,-9.08575862479268
1,1,1,0.717205740278472,-3.5479837169425887
1,2,0,0.08712201328117275,-0.6624819507175727
0,2,1,2.316786046109135,-7.307834175555412
1,2,0,2.319013197741396,-4.56998743317242
2,1,1,4.029210861229503,-8.896198009711949
0,0,1,4.123414914929099,-11.267047510588139
1,2,1,2.43530015664544,-7.139487927343204
0,1,1,3.643752480401648,-7.88355284775135
1,2,1,0.8487523532536241,-3.1243077946679527
1,1,1,2.742594451726152,-7.9035114288514805
2,2,0,-0.028083516320041566,-0.3635291365929939
0,1,0,3.5103957256122182,-5.550369465436422
0,2,2,1.6816668371733305,-5.648577332575497
1,2,2,-0.3981096597988507,-2.9645182687579
2,0,1,0.9863747974779182,-4.214677217011532
2,1,0,1.8732448832812267,-4.402593234745402
0,1,2,3.1232999099142864,-8.423023063043772
0,2,2,1.4939111003438332,-5.909484008445067
2,2,1,-0.08149437327684718,-1.291240615594391
0,2,1,2.884932252915627,-6.861360339364571
2,1,0,1.4003639430263979,-2.1458583922276984
0,1,0,2.7439450633590328,-5.167553525386246
2,1,2,2.4462929556489494,-6.9484722380280175
0,2,1,3.669185502981632,-7.4634844397319515
1,0,0,4.114556655322853,-8.410418510826892
1,1,0,3.2836635113440895,-7.993208651269139
0,0,1,5.951959996813811,-10.694358738537062
1,2,0,2.1300993164045137,-3.955811100339457
1,1,2,2.9240991771126232,-10.264695488358708
2,1,1,1.8183470470748826,-5.883192947716761
2,1,1,1.7396605733465025,-4.262945288052691
1,1,1,1.212662325452956,-4.413329407657448
1,2,1,1.7007231568595857,-5.480298017549019
1,1,1,0.9541860288734456,-2.290776249060625
1,1,1,1.5154005448749448,-5.698622078119967
2,0,0,3.8335650678080873,-7.923549623706664
0,0,1,5.550220162694197,-11.33949000315881
0,1,0,4.887398289685862,-8.536996143308942
1,2,1,0.7283256163127078,-2.8090937695539986
0,2,1,0.9377511587232323,-2.75231643684778
0,1,0,3.159562802929657,-5.774273772328197
0,1,0,3.502031297240574,-6.069089579342973
2,1,0,1.2989887163400093,-3.050479964256499
2,0,0,3.663680478756701,-6.772195315437245
2,0,2,2.1687295749965543,-7.150993393190474
1,1,1,2.662034471802924,-6.3969808109639645
2,0,0,1.5413728505653936,-2.4332077668840624
0,0,1,5.160317278043813,-10.32899686351009
2,0,0,2.5331085501856365,-4.857398617917256
1,0,2,2.8701866617154828,-9.267145176474516
2,1,0,0.9841706378251469,-2.1852605326182912
0,2,2,1.9058242534847782,-6.8369772583547155
1,2,0,0.7298448706629038,-1.624853149020367
2,1,0,2.9913412422676835,-3.4786682171373373
1,1,1,2.21155399769212,-6.36553011459476
1,0,2,3.3761038898226623,-8.900848632471392
0,0,1,2.6125490423898583,-5.45899679524236
1,1,1,1.4157926480205223,-4.38300351401571
0,1,1,3.1369265755436473,-5.086299325007472
0,0,1,4.024147323823357,-9.319331215469417
2,1,0,2.601707593377797,-4.694830762355986
1,0,1,3.4550622246037817,-8.76696214896545
1,0,0,4.9084442493182525,-9.314964401477505
1,2,2,1.061704634050368,-5.116581013829472
2,1,2,1.2572278364215763,-4.853555537973166
0,1,0,3.311203552287499,-5.913063240388049
1,2,1,1.0037962516214591,-2.5173767409379595
0,2,0,3.808795003049859,-7.1780047658079305
1,2,1,-1.3196107267512183,-0.1356341870944221
2,1,0,-0.7815457444386791,3.470428330269528
1,2,1,0.45682916894388614,-2.4469402294520144
2,1,1,1.2345278819375687,-4.8905242240917906
1,2,2,1.6901044247640122,-7.1343423285945295
2,2,0,0.38308719802747443,-2.1677590231583217
1,1,2,1.9257540871194294,-5.906470133117436
0,2,1,3.1090436932417624,-7.7408420083366565
2,1,0,2.2501954031527305,-4.290471663734683
2,2,0,0.09405783127156478,-0.7943475659126444
0,0,1,5.672657572486841,-11.028752041011565
2,2,2,0.18264526343212806,-4.709067493352959
0,1,2,2.838516973217116,-9.479436310344285
2,2,0,0.6078168390000039,-1.3850694875084124
2,1,2,1.3306131225786775,-5.224389154909641
1,2,0,1.001339846754487,-1.9497588248525317
2,0,0,4.002953572189574,-8.224504337541498
0,0,1,2.2591278714599135,-5.2456238181050585
0,1,2,1.9823158298404302,-7.6836209961227695
0,2,0,0.9029295736256298,-2.6355482156862102
1,2,0,0.6367393524311944,-2.6027778173793448
2,1,0,0.9653918302339697,-0.9196616810480571
0,1,2,1.8926743522269525,-6.1530516012807395
1,1,2,1.3248419676891734,-5.210486389069613
2,2,1,-0.9508416785235709,0.8131506914177565
0,1,2,5.857424092075892,-10.753545949211052
2,1,2,3.021741947747146,-10.426404834557776
0,2,1,1.6782505823153506,-5.668185076636358
2,0,0,2.166416709693201,-4.890747657749897
1,2,2,-0.14920399718829414,-4.1456807871907095
1,0,1,1.7118695867747333,-6.064880240988507
0,0,1,4.593119813591476,-10.21388794529679
1,2,0,0.0021480167559743135,-1.790276823942121
2,2,1,-0.17485053166201053,-1.4259632233205488
0,2,1,0.48979415095652246,-2.8458496767070383
2,2,2,-0.8519744583102585,-1.6120950115258028
1,1,0,2.4586270953028304,-4.266523881329588
2,1,0,1.5862095977839372,-2.6794115587838556
1,0,2,4.037471958742015,-10.827485986272727
1,0,0,2.299511015842963,-2.3810204344577994
0,0,1,5.564685730135562,-11.341181482049713
1,0,1,2.8197883033981497,-8.744322751435632
0,1,2,4.032857914607306,-11.44856277974471
1,2,0,0.9893613233818068,-4.002310852010705
0,2,1,0.713612500922052,-3.2629427474254014
1,1,2,1.9938022954188117,-7.081207149219502
1,2,2,1.3653637420637676,-6.353197696828501
0,2,1,2.7029653804745988,-4.67114468821105
2,2,0,-0.23098789744441936,0.37397217870686794
1,1,0,3.841778890601052,-6.413343541481464
2,0,0,3.5375107709865588,-7.550216906329119
0,2,0,1.833345883600247,-4.704166352287435
0,0,1,5.460121812136944,-11.36000279965722
1,1,0,4.243793485188187,-7.653879720019574
0,0,1,6.670484600783027,-15.322840234453434
0,2,1,0.8620001191775024,-3.7143272266430634
1,1,1,1.383466888842849,-4.411656297047767
0,0,1,6.194918786733851,-12.868460291086015
2,0,1,1.4717189491623626,-5.390029815414316
0,1,1,2.077458866708321,-6.15198984399237
0,1,1,2.913805869300953,-7.219467230077426
1,2,0,1.4202267094745857,-2.9077876495914934
2,0,0,2.4276032933889033,-4.116410049144457
0,2,2,1.4394363795944076,-4.930580004155566
0,1,1,2.725787538275491,-7.015444413978339
2,2,0,-0.8023370644127095,0.3458401840303753
2,0,0,1.6504903713410572,-2.9546828614589016
1,0,1,5.901632877276062,-11.540947303731212
1,0,2,3.917511071185555,-10.683144364986184
1,1,0,3.196759054404738,-5.24606450606593
1,2,2,0.5109225318810763,-3.444092188360668
1,0,0,3.434043322813951,-5.150527616353184
0,1,1,2.686446018629645,-4.875501785136871
0,0,1,2.058291665080798,-6.446094885947604
0,2,0,0.7119907231521336,-1.773605927257637
2,2,0,-1.9006186799803955,2.6913356393851364
1,2,1,-1.2497837779516074,-0.020943308235258917
1,2,2,-0.19535897429810278,-3.8651990735603805
1,1,1,3.6349556793816307,-9.76133621497366
2,2,2,-0.13443616770435518,-3.2274347071965486
0,0,2,6.000563762321174,-14.579319693117121
0,2,1,2.500982576900875,-6.250686725752872
0,2,2,2.872558825715159,-9.256119133671776
1,2,0,0.09910300469542488,-1.839124483873518
2,1,0,1.7439509541926705,-3.317857771292569
1,2,2,1.7287142340743458,-6.355179813460635
1,1,2,1.7333527077663067,-5.934751158959452
2,0,0,3.089540370616166,-3.6672502673360188
0,2,1,2.656187758574833,-6.324791535952118
1,0,1,3.0704473788699174,-6.825383250803429
1,0,2,2.4972315677290053,-8.897827309683924
1,1,1,1.1258716681017273,-5.272147992990328
2,0,0,2.6165055419214616,-3.461395029912366
0,2,1,2.4170098687893145,-7.116566655563032
2,1,0,0.4274741695420853,-2.3449249013856077
0,0,1,4.736585341326099,-10.198659854884182
1,2,2,1.5705370361384854,-6.3258107451741985
1,1,1,2.9281907146653006,-7.969712628520956
2,0,0,4.081880120122488,-7.854988224122554
1,2,0,2.2769808321980434,-3.23426150540855
0,1,1,2.398708567243456,-6.9677852588181075
0,0,2,6.3935862095380225,-15.876704902676192
1,2,0,0.46902349544428523,-0.4294365563099354
2,1,0,2.2648728124544273,-3.9506355973590344
0,2,1,2.1579866260510885,-6.370675751196023
2,2,0,-0.5021493784569684,-1.293491578965502
1,1,2,0.5023031402250668,-5.153561726223427
0,2,1,1.9184354897836517,-5.395229124379316
0,0,0,3.150616764694391,-4.791882577743589
1,0,2,4.587299235842773,-12.430863668160798
0,1,0,4.916792657139248,-9.062235325219588
0,2,1,1.2930890107033095,-3.596037548407761
1,1,0,2.611970742519271,-7.4177373098298744
2,1,0,0.49460847799202434,-0.3819943294274619
0,2,0,1.4615152698632103,-4.251641683672527
0,2,0,2.864494703865371,-5.13629045015285
0,2,1,2.051461738156587,-5.32131642263702
1,0,0,5.3596480419310115,-8.650411760238185
2,2,0,-0.5722324787029218,0.9594419194755367
2,1,1,2.219336332474489,-8.232355620261357
2,1,0,1.3174134129577817,-3.6075561833137977
2,1,0,2.015778009744233,-3.878775267309358
0,0,1,4.262842342670053,-9.544440292085579
0,0,2,4.660441162448417,-11.041743658030022
1,1,2,2.194501120701065,-6.513230360729116
2,2,0,-0.9260571148457879,1.6220094028159764
2,2,0,0.5720815345817519,-1.762534366689261
0,0,1,5.360249005578364,-13.072362810659483
0,2,1,2.6835546949055664,-7.104359777143336
0,0,1,6.246965653917645,-12.325943120060217
0,2,1,3.5393448012363034,-9.202726862664557
1,1,0,1.9350553101508643,-3.2476698502364014
1,1,1,2.6830523184341777,-5.73962616725514
1,2,1,0.37639931074178734,-2.5767758450726137
0,1,0,3.4233553161145553,-9.487717456868285
2,2,2,-0.6897494491188655,-3.648616804718543
1,1,0,3.9300703091360507,-5.404231070066565
2,2,2,0.2736981503429621,-4.564561630114843
2,1,0,1.0019708718955775,-4.267513414070433
0,0,2,5.903618571856377,-12.409940369564133
0,2,2,-0.08061540979541171,-3.398792057706173
2,1,2,-0.79410259486529,-1.0871440738226288
1,1,2,3.1058386552197734,-8.584025425206447
0,0,2,4.770468448117368,-11.248941910068531
1,0,1,3.8704463002607605,-8.315453925731383
1,1,2,0.9836038966814509,-4.534474351404281
2,0,0,2.5067662891496334,-2.579139905889775
0,2,1,4.093509410401342,-8.088894755827107
2,2,0,0.7341996197958621,-3.4058206676964593
2,2,2,0.07970654514281136,-3.2396366769153038
0,2,1,1.6509460898950623,-3.741637045617339
0,1,1,3.005427148130606,-5.996579616767191
1,0,1,1.4908021107999825,-5.035876592527069
0,1,1,3.6576404209211604,-7.149620674587056
0,1,0,4.245483108481854,-6.902033715952765
1,2,1,-0.5756193271706151,1.4968264864314822
2,0,0,1.8685831076931838,-4.515278850403855
2,1,0,0.06253536776657764,-1.184336055281273
0,1,1,2.4346488051912365,-6.5293685053369686
2,0,0,2.5834816268219,-5.477975731904225
0,0,1,2.6255978450115256,-7.439793064733312
2,1,0,1.8342704383570636,-6.469277955264322
2,0,1,3.283855069933682,-8.110091643309731
2,0,0,2.2788974119630874,-4.097556514756975
0,1,2,0.9192914900154583,-5.6152102934323445
2,0,2,1.53358137399761,-4.237042966006804
0,1,1,4.632901934102696,-9.968886494599747
1,0,0,0.8420057192714276,-0.7188007247700057
