d,e,a,c,b
1,2,0.46905996494425667,1,0.814284092133865
2,0,-5.765669917050549,2,-2.6539271588949904
1,0,-3.5568861131432508,2,-3.7222174122598903
1,0,-1.4906099735944236,0,1.6349847219771707
0,2,1.0956038661729997,0,3.877789999692646
2,0,-5.276075752307271,0,-1.3750431740463611
0,0,-0.7640409085507441,2,1.3023492538279493
2,2,-1.0971768583759511,2,-1.4120734423590526
1,0,-4.814620583593477,2,-1.1632850762335347
0,0,-2.496753295706238,2,-0.8170667989134643
0,0,-4.364392469618714,0,-2.8894809002995245
2,2,-2.763876615486238,2,-1.0170246369802776
0,1,-0.755678658972305,1,1.1874695113722367
2,0,-3.0374833106554893,1,0.9660647926230805
0,1,1.2049744391335304,2,2.6933648414351263
1,2,0.49812466804403555,2,1.553102481942446
1,2,0.9856361410681753,1,1.1987879519651203
0,2,1.70584873073603,2,2.0686493525832685
2,0,-4.3840034406519,1,-2.378877255848902
2,0,-2.9223923059769144,2,-0.09225944005808173
0,1,0.6338136748150391,0,3.5654698981390416
1,1,-2.2025982026250426,2,-0.6923328783233653
0,0,-0.15501050166774366,1,1.5540748056257492
0,1,-0.22376053244610766,2,2.1358819605529646
2,2,-1.5916266865341155,2,-0.6957452134669209
1,0,-4.27473343713555,0,-0.586298215161024
1,0,-2.799933688822751,2,-0.832051378966254
2,2,-0.5697896005509018,0,1.224106700529218
0,0,-1.3004077839654564,1,0.8350041998889708
2,0,-5.648285901050083,1,-2.6211407868614987
2,1,-3.258907726086611,2,0.307034686232311
2,1,-3.5695841637428805,2,-1.8865775204123372
1,2,0.7037558243542996,0,1.9233448189168323
2,2,-1.7477499460329524,2,1.6167469342634824
2,0,-4.47028603380251,2,-4.09836968921528
0,0,-2.1872693411680415,2,-1.6917387913289712
2,2,0.8090409699711185,2,3.349654563440181
1,0,-3.7383589604727354,2,-1.9677986391283433
2,1,-2.019919645829242,2,0.694281022683751
2,2,-1.5083845029619738,1,2.7213995657353864
1,0,-2.2548350280275447,2,0.12744091777315675
