d,e,a,c,b
0,1,3.2083686651481442,1,2.826802075425337
2,0,-3.1140720670738022,2,0.5119060873446968
2,1,-0.31379007210186116,0,2.4775497083316376
2,0,-2.4288588320542353,2,0.006103278751502295
0,0,2.964611043541602,0,3.602757423201173
2,2,-2.367234810920256,1,2.258273191315979
2,1,-0.5864443053784881,2,2.534375339316772
0,2,3.1662641080732605,2,2.2125103906162105
2,2,-1.7701329296028157,2,2.7393784951604205
1,2,1.114454913310388,1,3.669202849100745
0,0,1.9912323320914278,2,2.87635807260128
1,2,2.6477312171652403,2,3.228508038497505
0,0,1.5087481676127852,2,4.40951330329733
1,0,0.23831156376616694,0,4.73845369884695
2,1,-1.388035013502576,2,2.5303554259323437
1,2,1.5610340276783987,2,5.710071349771447
1,0,2.2714728020691757,2,2.6582671778066547
2,0,-1.3878540151190282,0,3.1400911843196107
0,0,3.4452815661124694,0,5.416651644389445
0,1,2.707148059543989,2,2.01743239025539
0,1,3.4831610647766027,0,4.299191449695359
1,2,1.9431031844279254,2,1.9931150370406077
2,2,0.5747699046829273,0,6.002543051538797
1,0,0.6753355385397593,1,3.602166971941853
1,0,1.983623589051034,2,2.389902856254298
2,2,-0.26095371743254414,0,2.9929472152846173
1,0,0.05135889078692002,2,2.7529251610152667
1,2,1.1086769866809303,2,3.4692426114798507
0,0,1.3486634329173324,1,2.9782496922681116
0,2,4.302811614254838,0,5.799216214667196
2,2,-0.9360140823852228,2,1.002571473070268
2,0,-2.0199587036604,2,2.426303794091928
0,2,4.308440170513277,1,4.198008338062984
1,1,2.778260170490565,0,4.668453448667655
2,0,-3.1566511836946436,2,-0.3172326954033917
0,1,2.794199543647591,2,3.07861537139978
2,1,-2.1651109525515846,2,1.6714701100133527
0,0,2.0389891339737685,0,6.645974428333431
0,1,2.980128608765642,2,2.5662409430120308
2,2,-0.3146931624489382,1,2.4738774263414145
2,2,-1.7277385125982405,2,0.4459929811719311
0,0,1.4292512203129093,2,3.138160354477869
2,1,-2.634935083493753,0,2.773741186312812
1,0,0.9397941782917913,2,1.45859316841771
1,0,-0.15811759709255446,2,1.6243057628910655
1,0,-0.30585679484939976,2,1.5870226741098126
2,2,-0.25602727654284796,2,1.0317211818363736
1,2,2.6200653104808804,0,5.1524734514844885
0,1,2.4727148959285103,2,2.295194777151021
0,2,3.4978570598578194,1,3.2455632855882555
2,1,-0.7587572943599092,1,2.3405991664726136
1,0,0.015467007349189266,2,0.36227957538833433
1,2,1.0387149476354343,1,3.3700664658248964
2,2,-1.2360704567547822,2,1.0643894635606137
0,1,3.68179205230438,2,2.1941142627421075
0,0,1.9902538882593546,1,5.3714057726649145
2,2,-1.673228532589563,0,3.6494443401341354
2,1,-1.5375836756199615,1,1.2800213618958471
1,0,0.9216942925072878,1,1.655502047551449
2,2,-0.5787512502110407,2,0.9815556908548796
2,0,-2.9990329363019734,2,2.319424429385013
0,0,0.6455802901887893,2,0.09714582647117354
2,1,-0.9124956842072116,2,1.9893936662943559
1,0,1.8601296694524871,0,3.569417924346659
0,1,2.763891496078524,2,3.1630261803334316
2,1,-1.9048509832259777,2,3.4517148473585384
0,2,2.5594874072546014,1,4.816739165894981
1,1,2.3580154037496723,2,3.2490842099807575
0,0,-0.14754258222617467,0,3.588261353721177
0,1,2.422203352071722,1,4.4058633583949
1,0,0.14301496887640358,0,3.116657210748412
2,1,-1.721146653167744,2,0.24416385708091703
2,2,1.329819046863051,0,4.570477417528301
1,1,1.5796936128598273,0,6.404582470419371
