d,e,a,c,b
1,2,-0.045615502453460466,-3.731512085467469,2
2,2,1.4124899676223275,-5.883770830735394,1
2,0,-2.3785631644070313,-7.624814037383292,1
0,1,0.2613235068231568,-3.806102679247652,0
0,0,0.2090735874734544,-4.951467270389846,2
2,0,-0.6780602226455011,-6.17419965226515,1
0,2,0.11456447419449232,-3.2856684618859786,0
0,0,-1.7151041268038234,-5.542751636512616,0
0,2,-0.20228256855503063,-1.9394839963273927,2
2,2,1.777013437893749,-5.287228517847121,1
0,2,2.519383424633946,-2.625780672099214,1
2,2,0.4062896754911923,-6.005425120507353,2
0,0,-0.19905846855080356,-3.594964954974521,1
0,2,-1.0519818613429788,-2.980945560996772,0
1,2,0.2817491199017354,-4.488768107342776,0
1,2,0.008644272275056153,-3.0517234393420525,0
2,2,1.475723162986375,-3.9054847641330923,1
0,2,-0.9024933333098362,-3.219763599594212,0
0,2,1.22922819014428,-4.103814639034014,2
2,1,-0.9020536108291037,-5.483305576683707,0
0,0,-0.8653160954919852,-6.749789309526062,1
1,0,-0.8587398775086119,-5.9971718539937795,0
0,2,1.0688360619677366,-3.333952748869093,0
1,2,0.8344933375740294,-3.7429909465726423,0
1,2,-1.3357774550428594,-3.840850229167825,1
2,2,0.871615790558952,-5.59016944592545,0
0,2,-1.9357699658731928,-1.0036179959673799,1
0,2,0.6318533665576515,-1.2947619111279454,1
0,1,2.0658631300265387,-4.245487799713335,1
0,1,-0.7571783812831681,-3.7304705676799035,2
2,0,-0.4659368662069584,-7.434420530342265,2
2,2,0.6123693846503606,-3.8490710407801325,2
2,2,0.1714233249858913,-3.7669281818336566,1
2,0,-1.7903837116874088,-7.22178387388133,1
2,0,-0.46886771932579363,-6.983646978546075,0
1,0,-1.4081800803794096,-5.573509764907333,1
0,2,-0.38189260218672577,-2.148537480202848,0
1,2,1.2635145533047212,-4.878130307093737,1
0,0,-0.018975904122959575,-4.819017964384242,2
0,2,1.3914440434413462,-3.457388217198226,1
2,1,0.32780146318468817,-4.613219445681429,2
0,2,1.1051813614183859,-2.4551720445038043,1
0,1,0.6242711987521072,-2.6695389255478092,2
1,2,2.2014942984265478,-3.756086003684447,1
1,1,1.5791436826522556,-4.46722368803828,1
1,1,1.433601025295044,-5.091303017632139,2
2,0,1.7800522011276372,-6.331284005290594,1
2,1,-0.42699492948482054,-5.948871348733911,2
1,2,1.0914801563119572,-3.892725901438338,2
0,1,2.1019496767285104,-3.7576844688203312,0
2,0,-0.5302106612965491,-7.796191727063147,0
1,0,1.0867130482650091,-7.08033928156278,1
2,0,-0.19712828236507407,-6.627948425411875,0
1,0,-1.576853548352954,-4.515215575774984,0
2,2,1.0549743265424356,-3.7693305561277097,1
1,0,-2.221282481571118,-7.18059566953835,1
2,0,1.2103259964333675,-7.094672783243479,0
2,0,-1.838882794528724,-6.843547753149702,0
0,0,0.7165587416261316,-3.354881514028249,2
2,2,1.6813752625144112,-5.1621136995642525,1
2,1,0.5871452092965461,-5.889123953567873,0
2,2,3.2676859129894273,-5.234489443479473,0
1,2,0.012087375090832575,-4.187732897343042,1
1,2,0.509433047381969,-4.717041637888901,2
2,2,0.6154614510301708,-3.2427829782272557,0
0,0,-2.2565274662652044,-3.660380550917628,0
1,1,-0.7483644691259137,-4.699748347261925,1
0,2,-1.5354781654895966,-0.9844415370551662,1
1,2,1.2340202941401939,-4.198031649744467,1
0,0,-0.38383561579759495,-3.7279029029315325,1
2,2,0.6178725430608313,-5.515263531284013,1
2,1,1.8018217145497988,-5.0661452950866845,0
1,2,0.6571470689471259,-3.301544790750894,1
2,0,0.4888894397262257,-5.925947164994597,2
2,0,1.627769697507432,-6.709680360380023,0
1,0,-0.9791992207913027,-6.308130821917662,1
0,2,-0.015794703294823305,-3.6266102850558743,0
1,2,1.5235676723282126,-1.5337631854823615,1
0,2,-0.49738998681232593,-3.9554504146280767,2
0,0,-0.03175586464037827,-5.291505758331933,0
2,0,1.5298700220059636,-6.2993264937162605,1
2,2,0.835054211279734,-3.74036273327424,1
2,1,0.27311921862072375,-5.5990869227517495,1
0,2,0.8466998068989612,-2.2056644307531927,1
