d,e,f,g,h,a,c,b
1,2,0,1,1,1,-1.7976861087924685,-1.424880392795632
1,0,0,2,1,1,1.166098127155698,-1.7569673134501191
1,1,2,1,0,2,-2.045040246835311,0.09073458100284992
2,1,2,0,2,2,-2.6452259441702046,-1.7545484133097706
0,0,1,1,1,1,-0.4272746614839994,-1.811049625434816
0,1,1,1,1,1,1.0503729907591042,-1.1729304790724102
0,2,0,0,0,1,-2.313574319452781,-3.1015332923677
2,2,0,2,0,0,1.876239095398143,-1.7095170606656445
2,1,1,1,1,2,-3.0021180124725437,-0.5309456364790763
2,2,2,0,1,1,-4.717243805459416,-4.199299389561576
0,1,2,0,0,2,-2.393718246436274,-2.234441704199567
0,0,2,0,1,2,-2.181068126889301,-3.121722958595271
1,0,2,0,1,1,-1.9704420513679393,-3.405222749034699
0,1,1,2,1,1,0.8510534756424749,-2.1418698946060633
1,2,2,0,0,0,-2.335007253900168,-3.6563619784402146
0,2,0,0,1,1,-3.206495813576362,-4.088179227939826
2,1,2,1,2,0,0.3383499206053493,-1.90867619343092
0,2,2,0,2,1,-3.973508598248185,-2.6195556543585017
2,0,1,0,2,0,-0.8949507037745685,-4.384040714855271
1,2,2,0,0,2,-6.339857516107134,-4.612859463919078
1,2,2,0,2,1,-2.684459157208202,-3.090128993904964
1,1,1,1,1,0,-0.2375014978569464,-2.621394489686358
0,0,1,1,0,1,-0.9475010629983862,-1.473321534865108
2,2,1,2,2,1,0.48103793966357467,-2.2811924415760005
0,2,1,2,2,0,0.9271083625824218,-1.9060469438178496
2,1,1,1,2,0,-2.0775211357167467,-3.328292093939773
0,2,0,2,2,0,1.8833988376627473,-1.5543773035567265
2,1,0,0,0,0,-2.916353702580766,-4.685473521122176
0,1,0,0,2,2,-0.2745357556308562,0.687742922484267
2,1,2,1,2,0,-1.0281034668196327,-3.4370975182687458
2,1,2,1,2,0,0.2868686334505639,-3.1176982656788184
0,2,1,0,2,1,-1.140172019068625,-1.2393932080132162
2,0,1,0,0,0,-2.378649888014294,-4.987588943594483
0,2,0,2,0,2,-0.4315170713441661,-0.8881020900999924
1,1,2,1,0,1,-3.1476130331244256,-3.5358908973831444
1,1,1,1,0,0,-1.583492257532197,-4.587562466844283
0,0,0,0,2,2,-0.6470628270939516,-0.9759905859333614
0,0,1,0,2,1,-0.8292913705475382,-3.563742944200082
2,1,1,0,0,2,-2.408133639136452,-2.007167537826308
0,0,0,0,0,0,-2.7760888077757797,-5.447535901809339
2,0,2,1,1,2,-1.6216761123390615,-1.7246409545261134
1,0,2,0,2,1,-2.556348668049344,-2.661043355327584
1,1,2,0,0,0,-3.9769297920672986,-6.483417637158974
1,0,2,0,0,2,-4.216067472951565,-2.4441360082726775
0,2,0,2,2,1,1.4867351696333595,-1.441274838716577
2,1,1,1,2,0,0.9747959651712383,-2.4987535994113097
2,2,2,2,2,0,-1.9252546226077651,-6.057641491015778
1,1,0,1,0,2,-2.1772979420670318,-1.6586226880660797
2,2,2,1,1,0,-1.9655883314439015,-5.043233408514308
1,0,1,2,1,2,1.786560069217059,0.761570586261487
0,1,2,1,1,2,-2.708009297896508,-3.144361170754263
1,1,1,2,0,0,0.07637424255897951,-3.1116847393045783
2,0,2,1,0,0,-2.225833823393978,-4.1104939741386515
1,0,1,2,0,2,-0.4741869191016688,0.4237960498435378
0,0,2,2,0,2,-2.307116785634488,-2.3080669142607424
2,1,0,0,0,1,-2.717699627452681,-4.622928349378807
2,2,0,0,0,0,-2.9777412517297934,-6.00227418333443
1,2,1,1,0,0,-1.1876861538037664,-2.401490326303771
1,0,0,1,2,0,1.9218959120492434,-2.148139181437109
0,1,0,1,1,1,-2.5531776301211253,-4.648676658383568
2,1,2,2,2,0,-0.7046963870308709,-3.000488427192044
1,2,0,2,2,1,0.11530629830823336,-1.1417389385106715
2,0,0,1,0,0,-0.1833689335268447,-4.284789617750291
1,2,0,0,1,2,-2.2445740147544697,-2.2531887607595955
0,0,2,1,2,1,1.6521435581219206,-0.8265143775250813
1,0,1,0,2,2,-1.359818382207529,0.6321589726109011
0,2,2,0,0,0,-5.119735947849633,-6.138938760192782
2,2,2,2,2,0,-0.32765454257386006,-3.980806238457381
0,0,0,2,2,1,2.219648507577799,-0.8923268670881161
2,1,1,0,2,0,-0.7692451793592429,-3.481460378748923
2,0,1,1,0,0,-1.981155307702429,-3.6534063557234298
1,2,2,0,1,1,-3.915527817793648,-2.9794823593266138
0,1,0,0,0,1,-3.9722494798674592,-4.140081196599254
2,1,1,2,2,0,-0.08997168161267521,-3.8379136551804764
0,2,2,1,2,1,-0.17314824484995395,0.24317226208669607
1,0,2,1,1,1,0.683492310559743,-0.9938416432615137
2,2,1,1,0,0,-2.399327086997749,-4.07390648127898
2,2,0,0,1,0,-3.2524695604235783,-4.991047225895737
2,0,0,0,0,0,-2.673634249159349,-5.577516357587394
2,1,0,1,2,0,0.7586658989639832,-3.6149212178011827
1,1,2,2,0,2,-1.8484734103735634,-1.688497003977183
0,0,2,1,1,2,-0.919753435144046,0.5397444216471416
0,1,2,2,2,1,0.272764325903727,-0.7220326261797584
1,1,1,1,2,2,1.4289340247508537,0.6085006486228186
1,2,0,0,1,2,-1.9643340300668826,-2.76244977314905
0,1,1,0,0,1,-2.8203738561275973,-1.7023828552831042
1,0,1,1,0,0,-0.44392802984646695,-4.223713258389676
2,0,0,0,2,0,0.11498121798983663,-2.192179926368336
0,0,1,2,0,1,-0.4799018241085536,-1.6735259800931725
1,2,1,0,2,0,-1.691568763824934,-5.592706928144991
0,2,0,1,2,1,2.39183112564283,-0.3978753276400033
1,2,2,2,2,2,-0.45903470594380236,-2.359637541790649
1,0,0,1,1,2,1.4726828774815706,0.7136433343505635
0,2,2,0,1,0,-3.3599499083362443,-4.801440815889
0,2,2,1,0,2,-2.0139611064848526,-1.066922998077359
1,1,2,0,1,1,-2.036103165897244,-3.3805549222943267
2,1,1,0,1,0,-2.572042538621029,-4.622671126095328
0,1,2,1,0,1,-2.623124826878181,-2.367778854979905
0,1,1,1,2,1,1.8214227989324907,-1.2523874467020133
0,2,2,2,2,1,-0.4161246026263432,-0.4745836774047181
0,2,0,2,0,1,-0.7309576714127647,-1.4205486081411403
2,2,1,0,1,0,-3.6612308889064273,-5.295258372676641
2,1,2,2,0,0,-0.9779037873153998,-3.1827916700581316
2,1,2,2,2,1,0.35254691501670105,0.18321737045879738
1,0,0,0,0,0,-2.2873382087936682,-4.327869056065697
2,2,0,1,0,2,-1.7010894155191276,-0.5986041072773218
2,1,2,0,1,0,-2.5396976323342635,-4.145477773188019
2,2,1,2,2,1,0.013837931365302036,-1.1038821716429643
0,1,0,0,1,1,-1.6561997087839782,-2.1508155701125147
1,0,0,1,0,2,0.9443803203566024,0.7785127922227632
1,0,1,2,2,1,0.48033455792969515,-0.17150042963910628
1,2,2,1,1,0,-2.8722621562870736,-5.128998438307395
2,0,2,1,2,0,0.6381562617745982,-4.12803688947339
0,1,0,0,1,1,-0.33166346164106275,-1.914613835544641
0,2,0,2,2,2,-0.7855392782089838,1.1583441898513986
0,2,0,2,2,2,2.962848168853183,1.617036279458489
1,0,1,2,2,1,0.9358403078597879,-1.5004616508518365
0,1,0,1,1,2,0.49735506273786323,0.8944554097738828
0,0,0,0,1,0,-2.739038568917924,-6.444549939151217
2,1,2,2,2,1,0.2561701422449666,-0.9199364224886352
2,0,1,1,0,1,-1.8647717709047338,-5.4273562146519705
2,2,2,2,0,2,-3.824232265593243,-3.7427601969303295
2,0,0,1,1,0,-0.8036849198426644,-4.262257818407232
1,2,0,0,1,0,-3.7641234270085295,-3.8365211157167556
0,0,0,0,2,2,-0.5530899972351574,-0.5264517429536154
0,1,0,1,1,1,2.1312440396396846,-0.37046537543816005
1,2,0,1,2,2,-0.21135270436911333,-0.6251715158413023
1,2,2,2,2,1,-0.1980704668034328,-1.7069224053211987
2,1,0,1,2,0,0.6082643872514876,-3.3695322555419582
0,2,0,2,1,1,0.6323153913566163,-1.064743708399872
2,1,0,0,2,0,-1.6955519408949207,-3.6134233756490612
2,1,1,2,0,1,-1.2107685766740068,-1.1513543218315156
1,2,0,0,0,0,-2.5866004310675725,-3.835301115918789
0,2,2,0,0,2,-4.603300796672788,-3.0485277916340303
2,2,0,2,0,2,-2.1075177798486946,-3.155301399559483
0,0,2,1,2,2,2.0609008220860217,2.145953577159367
