d,e,f,g,h,a,c,b
2,1,2,1,0,-0.3588866752963837,1,-2.8267890030206066
0,1,2,1,0,2.4478918842806054,2,-5.138285865843129
0,0,1,1,2,0.43343073533740983,0,-2.32981560829514
2,2,0,2,1,0.7408657216260983,2,-5.653108758961643
2,0,1,0,1,-3.0157583181744005,0,-2.5881907497950802
0,1,1,1,0,5.254547899872405,1,-2.235120422646782
2,0,1,1,1,-1.9689028870174692,2,-4.111099735028985
1,1,1,1,0,1.9986434192607259,2,-6.725610920716507
1,0,1,0,0,0.491636155127956,2,-4.214207617088039
1,1,0,2,1,0.8389633563152546,1,-3.9797078261184495
2,2,0,2,2,0.7045397374974488,2,-3.4788523653905434
1,1,2,1,1,-1.3277173323664366,2,-5.787139098377761
0,2,2,0,1,4.857481914942936,2,-4.9408625466567715
0,1,2,0,2,-1.9217257792035933,0,-0.721567317933751
2,0,2,2,2,-4.939189667431213,2,-5.857905525935388
1,0,0,2,0,1.8447374899930362,2,-5.622172376729892
1,2,0,2,2,3.061124613967255,2,-5.60361491193806
2,1,1,1,0,3.0423783767688546,0,-2.1469246707286773
0,1,1,2,2,0.5169786124482875,0,-3.047739672780149
0,2,2,0,1,5.6210049079410505,2,-5.055143826989856
2,0,2,1,1,-4.375535136573776,0,-2.367658795522619
2,0,1,1,2,-2.5166535969531507,2,-4.1766464977942
1,1,2,2,0,1.934234351573406,0,-1.8913495834560963
2,0,1,1,2,-4.489391963881258,1,-5.265579968655678
2,1,2,2,1,-3.6000704244270016,2,-4.157933163196574
0,0,1,0,1,-0.4910961962938296,1,-4.129843795192922
2,2,0,1,1,2.264016015192625,2,-5.351834146945096
1,2,0,1,1,4.678067531234225,2,-4.865444468913966
0,2,1,0,0,4.415229417982679,1,-3.3019496906978536
2,1,2,2,1,-3.8953857855137635,0,-2.504618744837195
0,1,0,1,0,3.7877248238314256,2,-5.757213381232528
1,1,1,0,2,-0.1080518986791637,2,-4.492846870599199
0,1,1,1,1,2.2857697462409745,1,-2.8060251808539083
0,1,1,1,1,4.8604525235775,1,-2.8446490263547783
1,0,1,2,0,0.44729498826875724,2,-4.477465775049871
2,1,1,1,0,2.396997669734241,2,-4.306309963916702
2,0,0,2,2,-3.461305303475015,2,-6.804385261939549
1,2,2,2,1,-0.27176929664591265,0,-1.217669379960809
1,0,2,1,1,-2.369714513677054,2,-7.07302995568755
1,0,0,0,1,2.9661613225716823,1,-1.75615914400056
2,0,0,0,2,-1.6886191075453985,2,-5.704366533906834
0,0,2,2,1,-1.2638564679505222,2,-4.495027493948696
2,1,2,2,1,-2.869759869197075,0,-1.3024910548015103
0,1,2,0,0,3.5416144171709223,2,-2.163396402550359
0,0,0,0,2,0.15825399100241394,2,-5.469651362632576
1,2,0,0,2,3.029330129953218,2,-4.067794497804182
2,1,1,1,2,-2.0438502756284613,2,-3.901206414614661
0,2,2,2,1,2.6064470322771367,1,-4.056769858090517
1,0,2,2,1,-1.9957131092122953,2,-3.717594024056428
2,1,2,2,0,-1.5387418913705244,2,-4.507948441487448
1,1,2,2,0,1.1805123520055396,1,-0.9610485658527934
2,2,2,2,2,-1.9359764723923982,2,-5.234202331245992
1,0,2,2,0,-0.8151214053894054,1,-3.7122196029299013
2,2,1,1,2,-0.38893032999605315,2,-5.468104439119111
0,0,0,2,0,2.707635954672818,2,-6.1893922344178804
1,2,2,2,1,-0.1334095049232411,0,-0.9959828512426263
0,2,0,2,0,7.010944752816907,0,-1.6308789165094508
1,1,1,1,0,2.2459469023645124,1,-2.8976082647731376
0,0,2,1,2,-2.8598915107913507,1,-3.4940671205525837
1,1,2,2,1,-2.2972785377796314,2,-6.693701177599579
1,0,2,2,0,-0.922368349154608,1,-3.5280788234249654
1,2,0,2,2,0.37949814948765925,2,-4.614491832096857
0,1,1,2,1,1.163045577515489,2,-3.747583562520975
0,0,2,1,0,1.3323338034881729,1,-4.575111581603295
0,2,0,1,1,5.462912871104719,2,-4.354620323383891
