d,e,f,g,h,a,c,b
0,0,0,2,0,-1.2617892311840344,-4.555539794395789,0
0,0,2,1,1,-2.407540730117515,-6.85300573418515,1
0,2,0,0,1,-1.1826159410640644,-4.4239628721436635,1
0,0,0,2,0,-0.39173458828516083,-1.9036903057020527,0
1,0,0,0,2,-2.1778552384437235,-4.251347539050333,1
1,2,2,2,2,-1.7538452065804497,-3.6344176614862445,1
1,2,1,0,1,-0.41774174920956636,-4.868008121825131,1
2,0,1,1,0,-0.9361994361722176,-3.047421853736194,1
0,2,0,1,2,-0.8126193639523419,-3.547078754949721,2
1,1,0,2,2,-1.2981671530587748,-2.6533942343935855,2
0,2,1,2,2,-3.130889275700435,-4.286432698698598,1
0,1,2,2,2,-4.324913232358829,-4.3329296923142575,1
2,1,1,0,2,0.6565631746952159,-4.763441523933574,1
1,2,2,1,0,-4.417062935442894,-5.967555776141148,0
1,2,1,1,1,-0.9423292733282871,-4.752765491398241,1
2,0,0,2,0,-0.44135626419301066,-2.8990671416657188,2
1,0,2,1,1,-1.8940393301075202,-6.062089233675638,1
2,0,1,1,0,-1.2778459892365617,-2.2300513008949725,1
2,2,2,1,0,-4.037490674384809,-3.7897113292475213,1
1,1,1,0,0,-0.24606898643538114,-4.183274953514904,2
2,1,1,0,2,-1.0248177822590245,-2.5385951538825315,1
0,2,0,0,0,-0.6095538580464822,-3.520986454067483,2
2,1,2,0,2,-0.8098640356331221,-4.608119287580651,2
1,2,2,0,2,-1.4892816202732866,-4.8512612696159065,0
0,1,0,1,0,-1.5816479481181758,-0.7700205254065815,0
0,2,1,1,2,-2.635866003386018,-2.507572689096844,1
0,1,0,0,0,0.6532054824041664,-4.285388565042284,0
0,0,1,2,2,-2.862462115871653,-3.159714654041175,1
0,0,2,1,2,-4.9063654003107295,-4.289608579399501,1
0,2,1,0,2,-2.1483736618433484,-1.8365782130714075,1
1,1,0,1,0,0.6328065901020358,-3.2001738834424347,0
2,0,1,2,1,0.7046348301351598,-3.951001285479736,1
1,2,0,0,1,0.9167782130802571,-2.3111009663747324,1
2,0,1,2,2,-2.4179230905425477,-4.4299498584750445,0
1,0,0,0,0,1.7665007051921422,-2.3987576963219652,1
2,0,0,0,0,2.1862876882602666,-4.91390335339944,1
2,0,0,0,1,2.181678492981527,-3.2459293156432136,1
2,2,1,1,2,0.30413518212759594,-4.627246912510456,1
2,2,0,1,1,0.720230842662262,-4.20055844634021,1
2,1,2,2,1,-1.9402963119330927,-4.74081337160518,0
1,0,2,0,1,-1.9014311054390727,-5.037864608244458,1
0,2,0,0,0,-0.27514732720622126,-3.6230777509077803,0
0,0,1,1,1,-1.3555728621909628,-5.638720423994717,1
2,2,0,0,2,1.6046986322384038,-4.733961050619432,0
1,0,2,0,1,-1.2256844754158258,-3.852701732756614,1
2,0,0,0,0,2.545805278279262,-3.648763441169323,2
2,2,1,1,0,-0.19131839965827968,-2.9397416275073156,0
0,0,1,0,1,0.27301702705044306,-6.392051844986749,0
2,1,2,1,2,-0.9478341595523994,-2.6719251297012905,1
0,1,1,1,1,-2.18316141153521,-6.3861460175242275,1
2,2,1,2,2,-1.2347911692368827,-2.854030019965646,1
1,1,0,0,1,-0.005562000295896596,-5.459081263719565,0
1,2,0,1,2,-0.8046406270310926,-2.5055930150618173,0
1,0,0,1,2,0.8667579015722217,-3.536964230091019,2
2,2,2,2,0,-1.7602215084900286,-2.8511118006857843,1
2,1,0,1,1,0.18584601149002825,-4.2646665400639705,1
2,0,1,0,2,2.007761829888872,-4.4242257117262085,2
1,0,0,0,0,3.246844999247611,-2.0719791061005064,1
1,0,2,2,0,-2.916142356526,-4.286640927459866,1
0,1,2,2,1,-2.844682732161674,-5.0836812699529865,1
1,2,1,0,1,1.1193012600975196,-4.48620127505933,0
2,1,0,0,2,0.8461309834315914,-3.9392347665388803,0
1,2,0,2,0,-0.3917392991384183,-2.113884321211761,1
2,1,2,1,1,-4.5018179191322005,-5.4383807434063485,1
1,2,0,0,0,-1.343275634440071,-2.579455319782849,1
2,0,1,1,2,-1.788219686027257,-3.088426211835049,1
2,1,0,0,0,1.5229560328222929,-2.8231501905693595,2
0,1,0,2,0,-0.8067196748519777,-4.477782837823237,1
1,0,1,1,0,-2.5657659991100776,-6.007672723978543,0
2,1,1,2,1,-1.7955312184278964,-3.8498025413191126,1
2,1,2,0,1,-1.5956618145289272,-5.093971455033414,2
1,2,0,1,0,-1.9219058592914133,-4.245284483719361,1
1,2,2,2,0,-4.106768488969979,-4.078779782366516,1
2,1,0,2,2,0.25879305411167686,-0.8537206618023183,1
1,2,1,2,0,-2.1284988048843103,-2.6015111364949566,1
1,2,2,2,2,-2.9712577982170334,-2.9844118641240724,1
2,1,1,0,0,1.0780155030767031,-3.0762112586648254,1
2,1,2,1,1,-2.114290482127795,-4.984797924888398,1
2,1,2,1,1,-2.807652321603813,-5.124097104915125,1
1,0,2,0,0,-0.8419709324052425,-4.365279570792085,1
0,1,0,2,1,-2.5899780850703182,-6.0720518125180964,1
0,1,1,2,0,-1.201931663104158,-3.599160088548078,1
2,1,2,2,1,-1.3899137195350673,-4.61955151868347,1
2,0,0,2,0,-1.2119267845624844,-3.2152058687577667,1
0,1,0,2,0,-2.645270059855254,-4.517900832489907,1
1,0,1,1,1,-0.8537476128860941,-3.647018724092498,1
1,1,1,1,2,-2.8539341634947277,-2.3284300049370312,1
1,2,0,1,2,-0.2846690861380795,-1.9925116840421504,0
1,1,2,0,0,-3.0150611275275434,-3.896592425558629,1
2,2,2,0,1,0.6455644505625588,-4.992025344157959,0
0,1,0,1,1,0.914621467091542,-5.4429832494883374,1
2,0,2,2,1,-1.913320786752629,-4.152753715193852,1
2,0,2,0,2,-1.4804007664674907,-2.5665595310259315,1
0,1,2,1,1,-2.4225574025035232,-5.807832968408612,2
2,1,2,1,2,-3.242842993912436,-4.82758672349957,1
1,1,0,1,2,-1.543652553598157,-2.713641007012529,1
0,2,2,2,2,-6.5166034324672815,-3.647695247998013,1
1,0,1,2,0,-2.1771788639332192,-3.5457831799265933,1
2,0,2,2,2,-1.215538273745735,-5.037288927832404,1
1,0,2,2,2,-1.656856779741453,-3.990864453435145,2
2,1,0,0,0,1.8048033003565336,-2.028050358997012,2
2,2,0,2,1,-0.8906411494662443,-4.11772061437741,1
1,1,1,1,0,-2.853527080545471,-3.9342814304400706,1
1,1,0,0,0,0.22309175590716868,-3.749055062594649,0
2,1,0,0,1,0.6417672721742012,-4.0732754209735065,0
2,2,1,2,1,-2.0010922643771263,-4.857118326639837,1
2,1,2,2,2,-4.291729016928828,-4.111069511873899,1
2,2,0,1,1,0.36345794540319176,-3.954455156938785,1
0,0,2,2,0,-4.226422434615801,-3.53049519345572,1
1,2,0,0,0,-0.009183786517687698,-2.0139442581751466,0
2,0,0,0,1,2.338708038928509,-4.594802210378321,1
1,0,0,2,2,-0.08519357432949398,-4.557347652753658,1
0,1,1,2,0,-1.358870923800252,-5.276073903606479,2
2,2,1,2,0,-2.5542150606548715,-3.2084536721073826,1
0,2,2,2,0,-3.4895906596205006,-5.930909907251485,1
2,2,1,2,1,-3.5238252639221077,-3.4226255248974917,1
2,0,1,0,0,0.5682782066484644,-2.805762175853598,1
2,1,0,0,1,0.07049067765482708,-3.65758699146386,2
2,1,0,1,2,-0.41805575648076454,-3.2216332581219804,1
2,2,2,0,2,-0.50932882014269,-3.6932780226760764,1
1,0,0,0,2,-1.057208744060202,-2.07095781915218,1
1,0,2,2,0,-1.630767954235277,-3.1415001770805207,1
0,0,1,0,2,0.9437821757033643,-3.9883861576624886,1
2,2,0,1,2,-0.9488580113185678,-2.399847916766796,1
0,1,1,2,2,-3.5114350720588,-3.9542637251686883,1
2,2,2,0,0,-1.36251117459669,-3.926214879179584,1
1,1,1,2,2,-3.9910384129629355,-4.92901170066418,1
0,1,1,2,2,-1.3113155243515486,-4.824684889904859,2
1,0,2,2,0,-1.0989770350551737,-3.604293909678757,2
0,2,2,1,2,-4.825111182412856,-5.8185697477294545,1
2,1,0,2,1,-1.2122874750126726,-2.8632211496784974,1
0,2,1,2,1,-2.155389439866101,-2.1388626447583325,1
2,2,0,1,0,-1.1273322083119413,-2.2690075679667543,0
1,2,1,1,0,-2.3179318612444244,-3.149687093773992,1
2,0,2,2,2,-2.022965819096512,-2.6095370154529935,0
2,2,0,0,1,0.8613667096777026,-5.176252201524412,2
2,2,2,1,1,-2.2725958383844054,-3.175428858161263,1
1,1,1,1,0,0.10277127077371051,-4.213587253941247,0
1,0,1,2,1,-2.239472029670733,-4.599436997571364,1
0,2,2,0,2,-2.5623244739723856,-4.6564380456403125,1
2,2,2,2,1,-4.651345191266657,-5.1067006546719,0
1,0,1,2,0,-0.300269811272616,-5.266455756531447,0
1,2,0,1,2,-0.9899240318953599,-3.378792173562031,2
2,2,0,1,1,-0.16604387876352103,-3.7601854223379583,1
1,2,2,2,2,-2.5570868907396225,-4.2394312697537995,1
0,2,0,2,0,-3.26400680668882,-4.1645867610112735,1
2,2,2,2,1,-3.112918019422423,-4.096496476794383,1
0,2,1,1,1,-3.364950021242506,-6.248266214891485,1
2,2,0,1,0,0.19137675763950146,-3.177375265823191,1
2,0,2,0,2,-2.885470887423045,-2.484880745789553,1
1,2,2,2,0,-4.262494153940404,-4.535359963382331,1
1,2,0,0,0,0.12761646355147443,-1.4530012517121573,0
1,0,1,2,0,-0.09511292416320205,-5.062904733200224,1
0,2,2,2,1,-4.007935226548121,-7.2660449739702155,1
2,2,1,2,2,-3.1765852020141034,-2.1624479009997004,1
0,2,1,2,2,-3.60626218462178,-3.168859027314192,1
1,2,0,1,0,0.4044376650665388,-1.363212498953861,2
0,2,1,2,1,-3.102168537122048,-6.52685948854603,1
1,0,0,1,2,0.16779800745203646,-3.6254369978616987,2
2,1,2,2,2,-3.8653593582972796,-3.599455131596106,2
2,1,0,2,0,0.2931070780326085,-1.2844341303034341,2
1,0,0,0,0,2.48723909708244,-2.7007534154334776,1
2,1,1,2,1,0.6480039783920704,-4.6817090353799165,0
0,2,2,0,1,-3.305018920940965,-3.6934793724754105,1
1,2,2,0,1,-2.726245501996849,-5.622129378848735,1
2,2,0,2,0,-0.6766317238378966,-2.208103273950456,1
1,0,2,1,1,-2.8755577523730382,-5.379755143464156,1
1,0,0,0,2,-0.36170372758226965,-3.9561945839915955,0
0,1,1,0,1,0.16540385333289953,-5.435233070679449,1
1,1,0,2,0,0.15465652114390227,-3.4563453950644543,1
0,1,2,1,2,-5.247805530635922,-5.289643660999098,1
2,1,2,2,0,-3.662544887526685,-4.091769078448387,1
0,0,1,2,1,-0.7690851818304174,-3.698063576752803,1
0,2,2,0,0,-4.77836809327127,-5.094054255503619,1
0,1,0,1,1,-0.9122955607034744,-4.761941349830445,1
0,2,0,2,0,-1.5800127958116263,-2.5209022849910445,0
2,2,1,0,1,-0.6683181613588892,-4.43879462976654,1
1,2,0,2,1,-0.9103008523235363,-3.1754569003993467,1
0,2,2,0,2,-2.322709160883585,-3.2633782106540514,1
2,1,0,0,1,-0.3087676526487084,-4.387790885198435,1
0,2,0,0,1,0.9937784352030506,-3.639072862615296,2
0,0,0,2,1,-1.1948064340196052,-3.913053619880965,1
1,0,0,0,2,2.736776849489538,-2.8029432595478965,0
0,2,0,0,2,-1.591860413996097,-2.5177783749176355,1
1,0,2,1,1,-2.9724223270297303,-5.50123551867019,1
0,2,1,0,0,-1.7310959463004993,-2.877254091663895,0
0,2,2,1,1,-4.491363923644066,-3.4195477620424137,1
2,0,2,1,0,0.12761629345775427,-4.310136439005425,0
0,1,2,2,1,-4.602484846639101,-4.738549436717838,1
1,2,1,1,2,-1.827882676180672,-2.8755696429748103,1
2,0,2,1,0,-2.210127440221854,-5.461363414856918,1
2,0,1,1,1,-0.9899991369022398,-2.9593014373759727,1
1,1,0,0,0,0.16989205885702185,-4.3915778756828905,2
2,0,1,0,0,1.5057097372066783,-1.3088866813691293,2
2,1,0,2,1,-1.393565308405794,-5.700847865769964,1
2,2,2,2,0,-3.0476040010007095,-3.261549985514806,0
0,1,2,1,1,-3.006532989718629,-4.228400109831839,0
0,1,2,2,0,-4.359227231869447,-3.925014565714002,1
2,0,2,2,0,-2.2939917955394193,-3.7787714147758753,1
2,0,2,2,1,-3.4303294661994803,-3.9953626016543566,1
0,1,0,1,2,-1.3442772455793226,-2.980613006670187,1
2,1,0,2,2,-2.435621928835227,-3.9865239216700274,0
1,1,0,0,0,-0.06434604987385895,-6.328172403233025,2
0,2,1,1,1,-1.9988946958207439,-4.44783699095208,1
2,0,1,0,0,2.2298700220059633,-3.70946584106913,1
0,2,0,0,0,0.5217981336939614,-3.8718749295150614,1
0,2,2,1,1,-3.444814461088381,-4.689438926495902,1
2,1,1,0,0,0.9953132300559855,-1.7764191793023323,1
0,0,2,0,0,-2.5718719850534777,-4.0365522659887745,1
2,2,2,1,0,-3.193018307718651,-4.741052440951768,0
1,2,1,2,2,-2.753895533013463,-2.7902798961271387,1
1,1,2,1,0,-4.780538310255775,-3.70565553556411,2
1,0,0,1,0,-1.2227868197108966,-3.648984039841375,1
1,0,2,0,0,-0.8090409255793787,-5.47094977688881,0
1,2,1,0,2,0.6148262125687068,-2.310803949403959,1
2,1,0,0,0,1.5305255417861425,-3.7365157473540576,1
2,1,1,1,2,-2.3204286006659363,-3.4593880205308185,1
2,2,0,2,1,0.1069732442292366,-3.2828253180805134,1
2,0,2,1,1,-2.6325308412959334,-4.121745487446044,1
2,0,2,2,2,-4.124954514317238,-4.015844328176864,1
1,1,1,0,0,0.50710396677221,-3.317651337233518,1
2,2,2,2,2,-2.9118451534506855,-2.99981525353668,1
2,1,2,2,0,-1.3569546944335689,-2.787120433983611,0
1,2,2,2,2,-4.3735929260050925,-4.487899433069658,1
2,2,0,0,0,2.2515052131531657,-4.229584517851706,2
0,2,2,2,2,-4.721992576611423,-4.724260217018098,1
2,0,0,0,1,2.291483319896187,-4.432741127646036,1
0,1,1,2,1,-0.8703260782826139,-5.094321450170946,0
1,2,2,0,2,-1.7732973640855612,-4.928221573551581,1
2,1,0,2,0,0.3189605835470988,-1.9231343179932787,2
0,1,0,2,1,-0.2759172790883526,-6.378667158184745,0
0,0,2,1,2,-1.9609931027766478,-5.970312249277223,1
2,2,0,1,2,-1.0561539837503222,-3.688508035019556,1
2,0,2,2,1,-1.0194365564684396,-4.052138160570587,1
0,0,2,1,0,-3.1253721298042634,-5.86886888923543,0
0,0,1,1,1,-2.042328225617273,-5.477288859746716,1
2,1,2,2,0,-3.111179432357766,-5.295345132525385,0
2,1,2,2,2,-1.4800998267376413,-3.321578405757552,1
0,2,2,2,0,-4.959177251560388,-5.4413490265427935,1
0,0,2,0,1,-0.912318653999488,-4.723509693364283,2
0,1,0,1,1,-1.3159687648901803,-3.886529462518965,1
0,0,0,0,0,3.1419265301362844,-2.384213318105549,0
1,2,1,1,1,-3.077230062795415,-4.595426005040714,1
