d,e,f,g,h,a,c,b
0,2,1,2,0,-1.7893602004985696,-4.578368462488642,1
1,0,1,0,0,1.6531892496189444,-3.902721927803166,1
0,0,0,2,0,-1.4372291684893823,-5.741310183689523,1
1,2,2,0,2,-1.1146256237818744,-2.6769799800839227,1
2,2,0,2,1,-0.4785332821521986,-2.9268656120558854,1
0,2,1,0,2,-0.6157645919560117,-4.772245235581321,1
1,0,0,2,2,1.6620684966829145,-2.1653511361851265,0
1,0,2,1,1,-1.5643768992032143,-5.215325029292599,0
0,0,1,0,2,-1.2320275756567582,-4.433562648094837,2
2,2,2,2,1,-3.6263492222980958,-3.0334776511076074,1
2,2,2,0,1,-0.60967740490698,-5.250018240693082,1
2,2,1,0,2,-0.958783479574877,-4.339130452596779,1
1,1,1,0,2,0.47588422702886657,-4.776470946343037,1
0,1,1,2,1,-1.8492624996863198,-3.2727856597447156,0
0,2,0,2,2,-0.2615620812273689,-3.0884426795251447,0
2,2,1,1,2,-2.057993762377658,-2.9880837516337286,1
1,2,0,2,0,-2.515201501875733,-3.396837154147833,1
1,2,1,0,0,-0.5272155407731176,-4.736926170435929,0
0,2,0,2,1,0.05149243246472679,-5.003837156564122,2
1,2,1,0,1,0.27943875418749375,-5.324685972671795,0
1,1,0,1,0,0.3729349470945318,-2.81543819596041,1
1,2,1,2,2,-2.6420521924977,-1.790011396682904,1
1,1,0,1,1,-0.49396961267833844,-4.37209959094798,0
1,0,0,2,1,0.19478739935015932,-4.480261048745084,0
1,2,2,1,2,-4.336282307314074,-3.8733363080561753,1
1,2,0,1,2,-2.452654422839158,-4.591666999707332,1
2,2,2,2,1,-4.722040383605868,-3.878568654569301,1
2,1,2,2,0,-2.8233612409601303,-3.371258129669398,1
1,0,0,1,1,0.07143520917076658,-4.4931082794711426,2
2,0,0,0,1,2.2406029857616017,-4.788621747050128,2
2,0,2,2,2,-1.8736632633335173,-3.6050402789297014,1
1,2,0,2,2,-1.3378845407372106,0.7906460449606763,1
0,0,1,2,0,-3.954274095483177,-3.894818596640734,1
1,1,2,1,2,-3.573372461554605,-2.7677479222724792,1
0,0,0,0,2,0.45523895263141767,-4.643985031938806,0
1,0,0,2,0,-0.24653348729184585,-5.116852595771239,1
1,1,2,0,0,-2.925756624359608,-3.8212080885960407,1
