a,b,c,d,e,f,g,h,i,j
0,2,-3.0573233626976353,-2.009194983055439,-1.7424273426364658,-2.5862624946710913,-1.4356050016924566,2,-2.4276388680947405,-0.664567367956458
1,1,-3.6605225269842614,-2.2649172836699156,-3.4887126073472277,-3.5643367137486237,-0.9720978519765255,2,-3.9810729965013945,-1.1175997033958898
0,0,-4.8461006518210485,-6.343567344710908,-6.978686778848529,-5.352963811354337,-4.7816526847242935,1,-1.8399536638928509,0.4723348953265821
2,2,-1.9691938783099192,-3.151520360100946,-4.4677803456895555,-3.5610240553811976,-2.149730283205743,2,-2.8473066723184846,-2.3248278080352316
1,2,-2.4153547737639474,-1.7050634826778008,-3.731579133597765,-3.486056941344292,-1.2114291476919856,2,-2.8432953129206253,-1.8488522342327147
0,2,-2.091673981892003,-2.3065505437895126,-3.7355676512071114,-2.7391066299619236,-0.6099891415763232,2,-2.3650187820101634,-1.0622852734716266
1,0,-5.448372282230759,-3.6363470200108443,-3.6403530022431303,-3.150445249998262,-1.9900579175189343,1,0.20554137237101888,1.7725694662570444
2,0,-3.8621845915894517,-3.6773589814746757,-4.562118907195251,-3.999540404843418,-2.968446285696076,1,-0.4079037873154002,2.4565195421632384
0,1,-2.1310630523760086,-3.565593788089126,-6.717066947819585,-5.510248421099448,-5.929063883620379,1,-2.2075177798486947,0.4614210672229414
1,2,-3.7301495196514125,-4.4981634364954095,-6.153407893071565,-6.330775633730697,-6.067020626395893,2,-1.7615971247033664,1.7536822469958329
0,1,-4.64769565571456,-6.897371675345135,-6.555077882640424,-5.964741477085733,-4.326382250510999,2,-1.7996976323342637,1.4031041906075075
2,1,-2.424215663679767,-2.1583412009626795,-3.8121380628126356,-3.5744062574192883,-2.3922884463615244,2,-3.246067472951565,0.27583548323109297
1,1,-3.95134398669506,-3.6397281139594435,-6.880206805693625,-7.915810180293881,-6.520883101727654,1,-0.37113407736456094,2.687262114094562
0,1,-2.356178607933443,-2.280641317715341,-1.8275924322927972,-2.198048188542097,0.16120542109196356,1,-1.3803766359452634,1.2793026731462265
0,1,-4.202535711892184,-2.623656672862445,-3.3812641630496523,-1.2630577159858198,-1.1303808250480942,2,-3.8499534900144448,-0.30060174772678905
1,0,-3.3049544237292885,-1.606434587212595,-3.1164474460253953,-2.1817241314401614,-1.0979044336728112,1,-0.7647972753628581,2.6046155163772418
2,2,-2.6285141831945475,-2.2989026065506586,-4.110320342632727,-4.883908644034117,-3.3751976806228985,2,-2.223038176385476,0.6030571911685155
2,0,-4.5017711766773045,-6.13646484415416,-6.494112914362424,-7.484467290210835,-6.8686272277853515,2,-2.6676776291858277,1.0533942416743147
1,2,-1.1952819783300954,-0.07800039783783697,-2.0599837980640294,-1.6221476981746132,1.1293294157528038,2,-2.4774530849832996,-2.373241327486696
0,1,-4.121770477444171,-3.0664102489355956,-3.358153824419607,-1.2469672912431249,0.9816195103700227,1,-1.939085478888462,0.22045134697108837
2,2,-3.701122095924958,-2.891730525768013,-3.7895352400437563,-3.4262933748481093,-1.8161600477593534,2,-1.8298694962028905,0.31434003814537864
1,2,-3.208564208028354,-1.7270844587202383,-2.9224025332328885,-1.0654029798288722,2.0488287994997143,2,-2.483450634508926,1.1192322429726447
2,1,-3.307666049356861,-3.972494145817901,-5.2669793404823055,-4.3650485696636485,-4.5439438492737905,2,-2.273551156051772,1.7478438408989978
0,1,-5.325759072180514,-2.817003685995375,-4.431971722709553,-3.41072126486366,-2.098447545969342,1,-0.8628580755711275,0.13696255421861014
0,1,-3.1225290973488784,-3.581956850490746,-3.97631673028148,-4.762037239586049,-3.075700270651988,1,-2.3745856144263247,1.4865815597229515
2,0,-5.298771317617743,-4.049548390416889,-6.354891222518724,-4.867368300768966,-4.461923347562887,1,-2.114283021882052,-0.8357282079083208
2,0,-3.6121873392664363,-4.799535033679788,-7.861460160509997,-7.646392197783605,-6.025677655965876,1,-3.429944459616209,-2.1211597051770315
1,1,-6.154260304900472,-6.584524992170523,-7.410084869278048,-5.99699241566714,-5.783574909455018,2,-1.8752577415095928,0.3404565561630427
2,1,-4.546565775104169,-2.5301971283788323,-3.3389588003116843,-3.6031287822977975,-1.5925714640235444,2,-3.6522100237467665,-1.520416495879351
2,2,-4.446468151234102,-4.207367974234952,-5.167126821723185,-4.440077474213273,-2.0622427060843656,2,-2.3074302901043477,-1.415847569821224
1,0,-5.586229466363952,-4.2463068612311545,-5.278578491613115,-4.376575537675484,-2.784242136547155,1,-0.8490117750604471,2.25086619843212
2,0,-4.512334098891056,-3.77537871017181,-5.535919088509359,-5.139952405085226,-5.672750220150172,1,-0.6176471611074797,2.5117552636191225
0,1,-3.9392266254497548,-3.5441847814499274,-4.196702077064403,-3.2421568839782466,-2.888950405144281,1,-2.424016913836059,1.0800246823276116
0,1,-4.013377568948015,-2.1495272440153252,-3.635085370769866,-3.3514824459623744,-1.4667724427492135,1,-1.285161618140691,0.7313830520814439
2,0,-4.919184871380061,-4.655843696031961,-6.5829572568471395,-6.682017009888419,-5.340818366376053,1,0.4502804207877491,2.8606977058153005
1,1,-3.5566117593800564,-4.837349866943526,-6.589241179198925,-4.4337577964049615,-5.80776041409745,2,-0.7256853200156836,1.693887515081674
0,1,-4.768536041943108,-5.071776133894813,-4.491136435118981,-2.892183568757539,-0.32935318488929854,1,-0.23267690597304913,3.9053185354954154
2,1,-3.053150359100949,-2.0019586303992547,-5.176934712444687,-5.387799457492864,-3.9311429512390315,2,-2.1025068611811606,-2.4867516438143786
0,1,-3.0973340296145158,-2.2018249232520075,-3.1420368189562087,-2.0235925133615957,-1.5226671773616407,1,-2.2251063888453775,-0.7320507378344807
2,2,-2.374962062343899,-3.442020312579337,-6.561130740203055,-6.753809594904208,-4.438853997337544,2,-1.721378374608947,0.7341624681828508
0,1,-3.2034665572487366,-3.4278090766569376,-4.976042414979911,-5.610727058642236,-4.968267071549135,2,-2.5980212287468407,-1.2335914636623435
2,0,-4.46358199919134,-4.5453033483935865,-6.4189308335477735,-4.835121392148798,-4.203573509753012,1,-0.6594717247271555,1.5322079180017272
2,2,-0.7249266972689323,-0.5903962913831573,-4.115424588063036,-5.269524213710442,-3.5911715626964056,2,-3.0728434548521166,-0.7489189912220258
2,1,-3.8470941710525097,-4.723007759654061,-5.773970169220298,-4.2971142556437565,-1.1960757964014614,2,-2.612933112839929,-0.8206192216323975
1,1,-4.067083218334576,-4.195454326454055,-6.01549238864625,-5.718214701219309,-2.7746275232464224,1,-1.0558526399235753,1.4586162861790974
1,0,-5.513527580357378,-5.742138065616905,-9.28134440817815,-8.942891011258677,-7.26317951235457,1,-0.9737219085061416,2.1044273692516717
2,1,-4.792262670577837,-3.5207294108159175,-4.121161320041665,-3.1614101004183754,-1.3790244415680557,2,-1.9462772855397519,0.26745626942924633
0,0,-6.004471787601075,-4.695350476610831,-4.700344298621896,-3.569145486627644,-1.4576465545428192,1,-1.7991949845248993,0.19761028150636517
2,0,-5.648797313230919,-5.294607771319734,-5.244483429023162,-5.52082660585207,-5.457810281221419,1,-2.563284452110203,-0.27904936876407493
1,0,-4.830680381652071,-4.7227201775228025,-5.803763736871331,-4.536038128121268,-2.5718897909692853,1,0.40478503989979475,2.847348693254206
1,2,-2.425704871502285,-1.7857805594631717,-3.179722420886056,-2.5163518828608327,-1.9304253510043607,2,0.049254169023357885,0.7589346036889362
