a,b,c,d,e,f,g,h,i,j
1,0.7521919410201754,2,3.7850754742242314,0.14125835950793597,4.924096044876773,2,1.0427022014127978,4.4299105724435694,6.590564859724037
2,2.476197309877053,0,0.3423050233974855,-0.6639163924442214,0.7245583174465617,0,-1.1389600966991913,-4.8131345629234525,-2.9487021671400995
1,1.0585590914976617,2,2.0554217502226386,-0.846289113494768,1.4547894681392386,2,1.0397437458784462,6.6730406377910185,9.30864729495943
0,0.9246287699047305,0,1.7438840265453779,-2.2377842447964023,1.4941976334048044,0,-0.4818822449421223,-3.393759051831526,-0.2988355418376457
0,1.0012958117519424,0,1.0270039288206303,-0.2915524716307116,0.6953749872621209,0,0.5450908113592945,2.589729209967738,4.607305213527787
1,0.9634855817789176,0,0.8484303614074931,1.6446313628871052,4.212076461649246,0,-1.0213565807392737,-4.9005198456323305,-4.9559951082749105
2,3.132235313284278,0,0.16434405126523832,0.015724221754743188,2.6815277083301012,0,0.740089628401241,2.463098560634868,5.417577928688539
1,1.8580837932490721,2,3.8733193436067106,-2.944261732363536,0.4096875120810318,2,2.3863350525358564,10.440017665413835,11.64460539617557
0,0.746602610594121,2,3.6659247211863173,-1.7608644407237783,2.0312246120131148,2,1.074916611587963,4.9796348684838145,6.879410701720839
1,2.8076012620593405,0,1.7686386740925442,0.11256899059432846,3.5733684411876077,0,-0.507365208717617,-2.556761708025085,0.3817709567727968
1,1.1097590022974817,0,1.2360277175451204,-1.2063191531464226,2.8744169462554523,0,-0.41978715337186534,-1.3376275823564647,0.8406818116243486
0,1.0929798821806385,2,2.4260007022130607,-1.387414592811858,2.081277131496211,2,2.8933194270520133,13.205905998211158,12.668134469206091
2,1.8892568725893224,2,2.2336367325578768,-0.8465635956587382,3.1749081555463547,2,1.8825726109063876,7.55867232505207,8.39506527684705
0,2.1616544446119095,0,2.8210266854442363,0.6156206536237115,4.703828899752534,0,1.108287683080871,4.696442626708466,5.315553985831434
2,2.1981812806650143,0,2.798712549322704,-1.8672538894745585,2.638538082535218,0,-0.16805878071346037,-1.7312250536915637,0.12147490627381541
2,4.3755520863218775,2,2.361191861739384,-0.5628319602803822,2.5828657372454287,2,1.865718655553129,8.91336822993561,12.198451040306306
1,1.6359984082735775,0,1.1435147795692109,-0.512101868146703,1.386970859589972,0,-1.5536511170239027,-7.779520233187703,-7.050698625306306
1,1.81455825398997,2,0.40463948711196007,0.9428201136937164,2.030291648527493,2,1.0174606319023003,5.467411737724669,8.825931229888925
0,0.4844348900271234,0,3.6102414039723234,-1.9361161538019211,1.1374008439469252,0,0.6324595112256124,1.7699102188291198,3.1262258196825976
2,2.8609448632137138,2,3.6569553779972255,-1.038632887307123,0.134028141361056,2,1.78938951916834,7.014140800545082,9.323318509233404
0,0.06554727511993563,1,1.9991098875434334,-1.4113436419657313,2.6011943471360595,1,0.2496594847622733,1.0601786708304348,1.4703811742605588
0,2.686880380907821,0,0.37228092648256483,-1.289409694063531,2.2846670615770046,0,-0.4863591572060519,-2.1469132843801253,-0.3271092151847524
1,0.91365348397211,0,0.32206098412931383,-0.915086065391479,2.265416768749428,0,0.1070264456259134,-2.0106578400286006,1.1214529385802736
0,1.0297499527025435,1,2.3357736826344304,-1.1503847648519883,1.1945609125473813,1,-0.01878680848495684,-0.6749169493823257,0.7571801213853565
2,3.7746836351925763,2,2.8760506998020205,-1.3570539766302125,2.8307571714176816,2,2.4582846064459525,11.966502315453202,14.011273815324
1,0.4415889321223425,0,1.4358409765437863,-0.815908560886785,3.1439055531508524,0,-2.0574499811052727,-10.12033378162449,-8.533463847857025
0,1.8661203998874472,2,2.9034115657032205,-1.8716068180899956,1.6830270643510183,2,0.9921248022411189,4.868028696615655,6.189607949238034
0,0.6680915709534652,2,1.1847959456255681,-0.8974881454820125,0.4282067260750071,2,2.0327858188396126,7.189638870688553,9.916945122399316
0,-0.2561976370665051,2,0.3805298272837567,0.25530365874053434,4.709592769755265,2,0.5924682524239837,4.0673786658101285,6.165878782310582
0,-0.1478628674940241,1,1.084919106805443,-1.0419804649363817,0.9654981706548481,1,-0.10221306139533326,-0.9241439266909649,0.4862243326829718
2,1.6330887122482702,2,2.149145332882164,0.5060318942126739,2.591768774813506,2,3.087481914942936,13.757043987810684,11.443389261848937
0,3.7118435799859806,2,1.4017349556432355,-1.6870539548470544,1.916851629158769,1,-0.17666012705963863,-0.7303759665078849,0.5274739098243064
0,0.2933930293011834,1,1.4524646014824047,-2.717008309909851,0.7290141118450911,1,2.23250238654673,11.325939494837835,11.431886470080968
1,2.2727811974362444,2,2.325767673196649,0.14921181140504836,2.249089338727572,2,-0.175466823883073,-0.6174930547269696,1.098706227255871
0,-0.6697748264594778,2,2.497897533229407,0.8297230853300503,4.49767376601833,2,0.2785710998679065,2.703036465372451,6.509377756518159
1,1.800413314813313,2,3.280231649629683,-3.1906631111487593,0.07597988272928907,2,0.027894740665462825,-1.3555375194732484,1.0456011794018618
2,4.448455944949903,1,1.87371320013343,-1.221830800182079,0.7124626065265507,1,1.490545622195679,7.585211832408801,11.601015103922595
0,0.8169614760023923,1,2.3233157546879184,-2.170962524321392,1.9138243208023897,2,3.342429350361283,15.302620796994496,12.016860825902368
0,1.0035665885167946,0,0.5860958797986542,0.08783976496655846,4.363354607687306,0,-0.4503405537350268,-1.9903172621237437,-0.6435478580552637
1,0.9987931603420986,2,1.372907251996709,-0.43670161223140425,1.4833225912595813,2,2.2183261561181653,10.475876518139925,11.63603163490645
2,2.73316000626333,2,2.6295417646314574,-1.3690651442684127,0.017434010053881455,2,0.6181361974020898,2.4369197504153215,5.383057054381485
0,-0.5275967738325866,2,1.4283909615003254,1.2502092610902344,3.439017052340118,2,0.00861424786724041,-0.35699444177218237,2.7055883273176384
2,4.790586260914219,2,4.55255654772835,-0.5551015889286528,2.6588781906386356,2,1.6045421808609834,8.89322410597007,11.948537201147115
1,4.232012224610992,2,3.4003418491239277,-1.3470942816795253,2.580443070258003,2,2.9945730230042127,14.83246688429962,13.492082371526411
2,3.717475821402876,2,3.544801202988239,-0.20889977070504417,2.8648651338696953,2,0.7437416401032709,1.1006650476831412,3.0030072623506587
1,1.5036843728879974,2,2.736482559353204,-1.3671156894597805,0.538200731629622,2,1.848469028972589,8.324354505417137,10.235202514850037
1,2.3631929617827905,2,2.423944110379612,0.777810390116129,4.3716376277845175,2,0.9138443982839443,5.738387079699184,9.031512438519506
0,0.857051241116371,2,1.917008064260589,-1.7536866934225765,-0.34596488649683255,2,2.6521825863171236,13.787241896145773,11.41674089703003
0,0.2678594464019949,2,2.7214991106283533,-0.7118878660818968,3.5180265617784627,2,1.2715178832208736,7.087774108368094,7.19147124702191
0,0.40490654825233563,2,2.7899274148975723,-2.663021057277658,1.1555449183321596,2,1.7764470322771375,6.862572330278999,8.035157768960767
2,2.063480112283475,0,0.7380130727546911,1.3869922443322111,3.760513828932111,1,-1.4723454510186795,-7.652388630388305,-5.742515947259019
0,0.9269003089266363,2,2.699195875216944,-1.2716551480865383,1.4071617805858203,2,2.624533472046611,10.949608275749625,13.48274614223435
1,3.616661195915042,2,2.361780843504475,-1.0786272886730637,1.8586374344027787,2,2.7708103325687867,11.678818544725257,11.506013440807735
0,0.47558646842447405,2,1.0038611988772081,-0.522817397149149,3.3392647692243766,2,2.3263826502318463,11.691208953766976,11.350894951632382
