a,b,c,d,e,f,g,h,i,j
0,2,6.681177949299461,4.986172076110858,5.14067325603677,1.3933526345701885,5.922616684262102,0,2.7060182121711525,3.3334487352368716
1,1,6.16355639404733,3.3499094230840143,3.8831368118177108,2.2810064203427713,22.605543440350477,0,0.4365163221273376,2.5238401593202853
0,0,5.583753131876182,2.0502842601141054,2.419695649130671,2.31193749211754,22.09027988298974,0,1.3431736721563579,3.6796350475562316
2,2,6.500717353974068,3.8612676836027466,3.7516330364949986,0.7164110626755007,3.979414832555987,1,0.04946387265007357,3.2778848129024873
1,2,5.830713063626338,3.1351932393675073,3.455936411795634,1.2211027304353945,5.1531194868130035,0,0.03788470706030411,2.6023365123568287
0,2,6.145526934164141,4.492153765363231,3.5149069618043045,1.405918045202605,7.728365226184225,0,0.9408141568810144,3.8495364615476273
1,0,5.393910377733742,0.7871145147117615,3.028640599042541,1.8010761084941425,10.758763912835581,0,1.3414995285002478,2.569409069816681
2,0,4.7629932911999555,1.8986331356501391,3.476495976661025,1.3553671914100907,8.410285588959333,0,0.8869286854169856,3.834611010592596
0,1,6.3730021830041235,2.1189998722999652,1.7528969341073515,2.3254197801198333,25.085190862290702,0,-0.21118120948611752,3.6091842268361596
1,2,7.23007924220219,0.8085144643617792,0.9642970076223156,-0.3367648951624522,2.4472295309161227,2,-0.7063997883936962,3.5433551489799315
0,1,5.6579507432381755,3.4638331213269433,4.298437652991853,0.7081646787329934,3.2137293200455304,0,0.21409257982534252,2.7293842972493447
2,1,6.789040369765591,2.410117577312659,2.6548123513648565,1.5754827268376825,6.662831661579425,0,-0.1724439549307044,3.28189191463831
1,1,6.4116348095941795,3.330478316426293,4.128485774421913,2.0791042869889664,14.871011278469393,0,0.9835395816056687,2.0971469837581767
0,1,4.797979119224307,4.533531251778401,5.005233724166807,0.960320325859042,6.3933085770005675,0,1.0881120962930775,3.2329894044909127
0,1,7.47509699732203,2.4841047355934522,2.2300709610656773,1.1760380247952988,4.9582438205768415,0,1.6495176008871961,3.5408514478294415
1,0,4.259255256243083,1.5980314750200104,1.681530748345721,1.1902459906673903,5.704286618565046,0,-0.18762234816063128,1.2488461651588945
2,2,4.904904656814816,2.322052402785255,5.107095630170431,2.038718689881829,16.425717129621884,0,0.09252131377120665,2.9899417127674153
2,0,3.7149562904136975,2.839965966144875,3.9952816991462803,2.379885492541285,25.39551282594625,0,2.224569451931238,2.1658566404922404
1,2,5.538954839321677,1.8060979170578473,2.778151569942324,1.2817370703183473,6.481011218711848,0,0.5055041359270798,2.3361754106380657
0,1,6.0849655247933185,1.880117716327089,2.2991020161534363,3.2823181325835185,74.6030965921212,0,0.7001310292516338,2.9025959439079307
2,2,6.286149494453762,3.617640666152777,3.416759492665801,2.590917235658158,31.179500413085396,0,0.4948962786043506,2.02768484950428
1,2,6.223168032359407,2.9237206640021234,2.4853977744748503,1.053671310418308,4.668493901888682,0,1.8030308187216435,3.372487346137134
2,1,6.652494171618264,0.6036389829992435,3.339395766934838,2.17921322718952,18.116610663760586,0,1.8418086807150291,3.3686378242570307
0,1,6.372667567328489,1.3560485577858314,2.186023627447585,1.8927089638897354,13.666563640198236,0,1.7832081005888478,2.463484550593852
0,1,6.348840076780072,4.0769100524242905,5.173897477980766,3.6577654011835756,122.0080537251757,0,0.6965676113575479,3.429086497162193
2,0,5.169828457328692,2.6773641770276804,3.1790656244856246,1.4459274409550549,10.098600803826987,0,-0.20243597748900177,1.8236716257322536
2,0,5.376134668002238,1.5680762564605073,2.0341510831142466,2.485857785190662,27.716689210059283,0,2.5952130777592544,5.8007886755814955
1,1,3.9248388643583425,1.7478562313500445,2.7425229130876194,1.9754827799451176,15.772720447786439,0,1.5263089769555171,3.0892002936277403
2,1,5.668353953871324,2.4194106853598094,0.8498421388913493,2.697182080851198,34.485769441693364,0,0.2133410186076103,1.4234457724074523
2,2,4.379789935510526,2.790314931479385,3.5035936947520834,3.413440693071453,89.34240235740367,0,2.0938188469444112,2.393279633813267
1,0,4.7960599267977955,0.8149611170235767,2.450382189686618,2.0474206866367806,15.213081216129298,0,0.134391084740905,3.6911668795466124
2,0,4.755367027775654,1.3209105254338924,3.7676589113728576,1.9182802231815372,14.056700578140639,0,2.0807034031886564,2.964676001817158
0,1,7.078324480925466,3.0205246111894475,1.8263800667164922,2.152131530392627,18.773496574008476,0,2.1482845893844913,2.0294600492985553
0,1,7.220426598856906,2.6801708512526115,4.742682129593302,2.189171582728169,18.968388241687297,0,-0.2514827716810559,3.4722585383816043
2,0,4.962775048252367,2.791148579132792,4.4452878472441935,3.9959559322416065,152.14048482405138,0,1.251758303020961,2.6835083169385325
1,1,5.532431128738885,1.1416112664752738,4.089239063860583,2.3254188491005596,23.785314263640657,0,1.4521907039613287,3.8261736548444687
0,1,6.517953318681523,2.9734968260308245,3.6422020312345005,1.7477772506632252,12.368117335741347,0,3.2849091995863318,4.608748256574791
2,1,5.504874568811472,3.4555429604871,4.884735879048542,1.9347940909893446,14.69542252082036,0,-0.07230111763385716,2.775897648360255
0,1,6.031399554692436,2.9846152941772957,2.227891231747833,0.5690585156246659,5.190785464517825,0,2.102543276993829,5.776044460006181
2,2,7.546136316960768,2.992280854535188,4.415082105448154,2.8665594894796707,42.625496073564705,0,0.6873460180335541,1.1318969874394773
0,1,5.475020860146362,2.26029935404204,2.634826021034864,1.0837497298753243,6.826212843524339,0,-0.5713641835805694,1.9806595288890314
2,0,5.565678639242501,1.5448816772791139,1.4139435672221006,2.580784067710392,29.72383025869486,0,0.5500128301657128,2.531599769851196
2,2,7.237401368692302,2.711860119403876,2.469294134705475,0.5631061166443425,2.846716486292331,0,0.672464761099707,5.110553007181077
2,1,5.078000389004964,3.5103822387203314,3.895582898942054,2.3347426633520163,23.177256732292353,0,-0.38889019311528905,4.497896878055666
1,1,7.006686334353186,2.612064596079872,2.729141223707692,3.0801891171273694,59.09884002161964,0,0.9821736188515293,4.27926172753315
