a,b,c,d,e,f,g,h,i,j
0,-6.029021626214616,-1.5152960243159435,0.042323938260157457,-1.6951640121043672,1,2,5.701334165772793,-4.93286427311811,-0.8465976107897109
2,-2.815559027498129,-3.8553604375607717,1.2231299586405964,-1.0857373502000476,1,1,5.898123544754631,-3.0095567879852885,1.2195238927126013
2,-1.220692802964543,-1.9781332505837146,0.6940420271164914,-1.0060781874488074,1,1,4.068604463079542,-6.259899426733428,-2.4797437233215183
2,-3.2132807908359164,-1.313229399902862,1.706673919246727,-3.578954291554145,1,1,4.986300908480122,-5.241237712478144,-1.3786344951310658
1,-4.290928098363154,-1.5100035802611669,-0.03568237611760394,-1.977182855002242,1,1,5.44386231696173,-3.53999463428345,-2.986068130207612
1,-4.192364686119196,-0.5588857003675682,0.5468610942102029,-2.606060079742885,1,2,4.568387126491704,-3.2124340477030398,-0.6174301599607516
0,-3.4164392377070425,-2.2133766724838115,1.141896013470562,-2.593494861192738,0,0,3.488963833770274,-5.008888856263573,-2.093749084175384
1,-3.4003162223097925,-1.267700010089776,-1.2390786999493297,-2.5507189590974564,0,0,3.629729536035255,-3.6215439088254517,-2.488957073299284
2,-1.6372088900473531,-1.9648310583551125,2.04057120325421,-2.259885219856173,1,2,4.287228069545778,-3.3134471445093796,-2.257761793372641
0,-6.256527466265204,-0.5904271557757015,1.2900605828680016,-1.8474210852045312,1,1,5.610896586791814,-3.261505196763527,-0.5500574903614383
1,-2.829444084817655,-1.8845097570843423,-0.16045229066576971,-0.23901546288205155,1,1,4.479534172299035,-4.333655514280296,-1.4359037263889738
2,-3.7624293252367154,-0.9807402821524737,1.878093219263756,-3.2092728483617337,1,2,5.073240703902222,-4.20819674603979,-1.7639086524895753
1,-3.609188562302156,-0.13948840233648196,-1.68780195165718,-2.4123440612665012,1,1,5.4773837175269735,-3.83559551094253,-1.1897366685364894
1,-3.156524821407272,-2.2254913426585574,0.05818004111376229,-1.7593646194524233,0,0,3.737934723110708,-4.270047344213013,-1.2098276513629402
2,-3.044170924455829,-1.4721224618077928,1.6102830214748574,-1.7792607061941719,1,1,4.282306165832659,-4.348750262225072,-2.8953504444484537
2,-3.0924412042672658,-2.3602844922486064,1.7366157375228666,-5.042300439338291,1,0,3.6824918477400383,-4.2889658402679345,-1.3133295575318351
0,-3.49691410853918,-2.4143938597250605,1.654875298388466,-3.0002755353539228,1,1,6.651255221019589,-2.920139579074723,-1.790725864762023
1,-2.3442239199596777,-2.8909912917242058,2.163456369319035,-0.8708597214901408,0,0,4.4940591418390206,-4.879747435840773,-1.2569754223015759
1,-4.6917251001493385,-2.7769530737059753,2.044387176282245,-4.865542308562794,2,2,4.215351367961254,-5.443199029923263,-2.1247688091532457
1,-5.083023335039859,-3.8049508979752393,3.066610259262061,-2.831370542022827,0,0,3.688104080837472,-5.089186684793813,-2.3893212879995014
1,-4.152713290485918,-1.1828415390119056,0.7868177324122414,-2.2426879428445186,1,1,4.732246970088321,-4.61445476036941,-2.2320576187111785
0,-3.6737899955249613,-2.1530970017879754,0.626702217800194,-0.8232940943226598,0,0,2.6800187283155674,-3.71889805752729,-2.912822351997101
0,-5.735617849100182,-1.512551126678121,1.0255285629965893,-3.514706102218349,0,0,3.724601495383295,-5.198605083793687,-2.1561673471654244
1,-3.712565033043554,-1.0982506971488146,2.1796193809910505,-4.919549804675595,0,0,6.111210274413492,-3.893156767466425,-1.0505899718965568
2,-4.206784425215426,-0.5344492362227393,1.20956852913769,-1.5032984684427295,1,1,5.684069813489032,-2.006711838123908,-1.079518647544287
0,-4.125908342358008,0.04085447986943658,1.3211476420966204,-2.6633679491408406,1,0,2.6555767760305375,-3.220320890722971,-0.6281232748784158
0,-6.029725691316426,-0.8470032459336242,0.1898231261794826,0.18854533055192113,2,1,5.4268624051937175,-3.0463280366547774,-0.48719088058054116
2,-3.5603561213065764,-0.013503765668902767,-0.06515058687097275,-0.39897914480678487,1,1,4.070708294938373,-5.561877203728046,-3.0059152629067407
2,-3.7650794835314016,-0.4203209658667588,-0.797574674730281,-1.240254717444592,1,1,5.708270687015744,-3.342193673900222,-1.2078095515920575
1,-3.007338797239525,-4.114800004593565,3.7398040224576414,-0.4048961745932844,2,2,6.867003001939806,-4.109935550431205,-0.530259739591742
0,-5.5788418595386595,-3.134254638398066,2.635113996699854,-4.628763435815991,1,2,5.49523239165256,-2.9787056247061345,-0.8908500688232688
0,-3.7259514383020504,-1.5220471863188259,1.4213653793280927,-2.671538532573448,1,2,4.132348100986274,-4.527278702991079,-1.5993887566974834
0,-5.310702649684882,-2.7380315011048513,2.4632102685147004,-2.092081874657453,1,1,4.684810013950272,-4.852027065354187,-2.159190526068107
0,-7.038485401504691,-2.2780571686623063,0.3918399983570424,-1.7558162795733603,1,2,6.269490979681072,-3.436389227504432,-2.5934259965233792
2,-4.3514732506925,-2.6758696030457534,1.5053633774930784,-3.56632706634161,1,1,5.006530565194384,-3.480159798056335,-1.311893937306706
1,-2.960794244361031,-2.920214251002398,1.690366405416485,-2.5101279351363455,1,1,3.7359194289927506,-5.223024085236593,-2.304186338006475
0,-5.522845656945577,-1.5339335596484855,-0.7064013120056305,-1.8707836875469335,1,0,6.3888205930684006,-2.4477641029898765,-0.636865040497453
2,-2.461605611400693,-1.462124649937726,1.0562012000443537,-2.1502526352512668,1,2,6.721794724989566,-3.0347479609957055,-2.284529764679162
2,-4.696247249744778,-1.4822390674829786,1.2189222549111958,-2.0929240476826165,1,1,7.210884888099841,-3.6210812446740333,-1.5195354477458132
2,-3.236552007681341,-1.7221710968604822,3.102812976972115,-3.7356184792448506,1,1,4.740238313268726,-3.282599576285973,-2.2018989041306236
2,-3.913765511552584,-1.5305169867903146,0.9620893870619053,-1.9014512344332388,2,2,4.944510876609717,-4.312848859401028,-1.7095031858525105
1,-2.548594870808165,-1.8903368337761135,1.4590128595795684,-3.5066890420235826,1,1,6.840692054745644,-2.583885469692067,-0.06193193981583045
1,-3.788195272756378,-1.0530030677029603,1.2576506561786065,-3.3063415038022974,1,2,6.524549419877475,-5.502405454514111,-0.7665158265916998
0,-5.641035281487907,-1.1289424273984816,1.3321472243878196,-2.520684242090689,1,2,6.960345337872773,-5.021632674979019,0.08489170492826892
0,-5.204832355802477,-1.9692459281693244,1.4624673403757857,-3.3833490818161045,1,1,5.328313572177732,-2.534676682305827,-1.2540195936592502
