a,b,c,d,e
2,-3.125898468886016,-0.7611044264967443,0,0.06442001058775279
1,-3.2303877074421434,-0.5692716049511447,2,3.776813318087901
1,-3.6561563243543107,-0.5114350553311129,1,0.5218792198894973
0,-4.904949194069976,-1.9138506769606922,1,2.960089486675407
1,-2.960690079042489,-2.0368123458769336,1,3.689530490584959
0,-5.541194197916971,-2.8390085697624765,1,1.3190283457737704
1,-3.195391020720976,-1.8475377997702938,1,1.8603115185238868
2,-1.5765593729920464,1.5829351523342146,1,2.8791225896122876
0,-4.807221451836828,-1.7627200720374945,2,4.162582295042568
2,-2.8901959647500473,1.1628899267107724,2,2.676334763640382
1,-4.857149153860268,-3.4550595087336324,1,2.3091697013362005
1,-4.1668548725949375,0.49076502941646605,1,-0.1556965611372787
1,-4.4615107374909755,-1.1206742718363207,1,2.7779978936692817
1,-2.80016497464244,-1.3656255860343118,0,-0.797416009220576
2,-3.0603878234972726,-0.2913594034933577,1,1.7408103277051463
2,-3.084668973154329,0.3394226844876629,2,5.03719064851035
2,-1.7191445655704995,2.260408471261791,2,3.9007680519814714
1,-3.8770581277856646,-0.4343696054968036,1,3.2309719045500036
2,-2.2482503480389897,0.3894674324363018,1,0.8133916796682167
2,-3.159348632535852,1.6171086724412547,2,2.2360368318097104
2,-2.413246754059666,0.2755058499792062,1,1.2248110060194208
2,-2.975941984557579,-1.93474623757281,2,3.2227829799266883
0,-3.513936220075478,-1.3380686901755592,2,5.493580939615885
0,-4.568146256883796,-0.7627793194591701,0,-0.2688300609435363
1,-5.203739724110971,-2.2249649671811875,0,0.24491246122063637
0,-5.287095720682475,-2.689420105230855,1,2.813043803398706
2,-4.06349888358769,-1.9912647193506492,0,-1.3976838598262642
2,-2.2605934960412695,0.7134569565926367,1,1.0975523417569228
0,-4.013651506524514,-1.499341720836115,1,-0.4483443595988825
0,-4.542809739318821,-2.9932294943914575,1,0.9093304482706165
0,-5.305214256845155,-3.237795990305679,0,-0.27727172261330024
1,-4.938835147550651,-2.1699739209608144,1,3.2910626266748686
2,-2.846245809899875,1.0024508510801347,1,1.3300820810391807
0,-5.466621135455345,-1.792293503740365,0,-0.5152246538224472
2,-1.8700449203372367,1.64929248321993,1,-0.5947437397761959
1,-4.190001096214691,-1.0091949765133488,1,1.392021055259234
1,-3.3430554095857508,-0.8102749510320494,1,2.289173516459202
0,-5.279772957652145,-1.601277213742716,1,2.0980633700830493
2,-1.7061676099739216,0.36529681473728925,1,0.8585746614957642
1,-4.815821976225971,-3.128686449829728,0,2.3403791796067606
0,-5.154873297489335,-2.710031493300386,1,-0.4524535581332658
1,-3.219887200431481,0.6627740399045601,0,0.14539362417610263
1,-2.123822376690235,-0.28657186324031314,1,2.364997083586646
0,-6.231325752363569,-4.09208989424711,0,-0.7421609869401998
1,-5.071382584961192,-0.9950429464252182,1,1.0993310964052998
1,-3.329758134477508,-0.18820583042365413,2,2.4807432439939285
2,-1.2204818651517115,2.21686776529985,1,1.1240986655104195
1,-2.959882687502402,-0.4400801266058043,0,0.4416622559772337
0,-4.0835596743606715,0.5337438726262056,1,2.9782090381405935
0,-5.8669501905496,-2.713310851901547,1,3.132975425904257
1,-3.538051682918727,0.2878344937240387,1,2.4019268161735736
1,-3.2889490120656455,-0.6265400978629143,0,0.00336017770192644
0,-4.587253019898126,-2.612683061963807,0,0.22644871242154566
1,-3.4956446287658745,-1.0199653450744575,1,4.051162452787832
0,-4.046129126184846,-1.4574327005129102,1,1.5017515275682711
0,-7.2350623337606,-4.146048182154985,1,1.351119257449488
2,-4.837213067756645,-3.5704515340178,1,1.555857639202611
1,-4.989646762211137,-3.483378493714043,1,1.9973193529325557
1,-3.7135939535440805,0.3679186492985618,2,3.082030730696657
0,-5.189391810729303,-2.842297682173644,1,2.2968288044885368
2,-4.133541771792361,-2.0552996467800613,1,1.7002968600919592
1,-2.1799985432953206,-1.0807757864642076,0,-0.8736979861082966
2,-3.007653374314353,1.1335913407238511,1,0.2274931710236725
0,-4.603591542164294,-1.3631339525501378,1,1.9270639176502347
0,-3.8659853560852455,-1.2595474814177285,1,1.020924296602093
1,-1.6700332737860197,1.2381112065916888,2,4.782556854156014
0,-4.85937259846886,0.24778257690107308,2,2.9881499536271847
2,-2.614618247645492,0.3967398116865898,1,1.406878091906958
0,-6.045292314811963,-4.7085449839574425,1,2.240892255603729
0,-4.847750164720069,-2.4342436817028883,1,1.992173144671541
1,-5.060654954943417,-1.6438452185042862,2,2.0487211429678958
0,-5.253450698636135,-2.064321424154749,1,0.37242855369185235
0,-4.037964364196718,-3.348738022012401,1,0.8913054396045601
0,-4.442268721688325,-1.3305385041488749,1,1.04598551639483
0,-3.852647211440182,-1.3416418122236389,1,1.1226545022022543
1,-3.54872414892039,-1.3654340033376628,1,1.2058669370273207
1,-2.634465477500752,-0.10101652643417303,1,0.07788468775789181
1,-4.782305338868012,-2.1326350270395493,1,0.4585849724609927
2,-1.5834341925665059,0.37011147100051467,1,1.4144860758704496
0,-5.372001539857956,-3.3685729742871064,1,0.6300743648130067
1,-4.1774841322262715,-0.646460036349231,2,2.980982035615758
0,-5.113027223498108,-2.4797396271862278,1,2.549993331265224
0,-2.968171518494491,0.21222918224518816,2,3.28556028789082
2,-3.5553158997673115,-0.9663377777401909,1,0.6458283232535613
1,-3.318761910261421,-3.0193682244504974,1,4.058837114905349
1,-3.3815637349286605,0.34748093939948266,1,0.9486848597889825
2,-2.702879938009113,-0.22042214946433925,1,1.1373407484261666
1,-4.590588332291804,-2.176815970975946,1,1.4897808263668757
2,-3.946176769201208,-0.7302753008376871,2,2.222042464618232
2,-3.952179744771397,-2.0193393237359656,1,1.9435295995136
1,-2.7128916061386947,-0.053691663005349013,1,2.9832174699325074
2,-3.59122078654877,-1.0874010026886305,1,1.0068484572775336
0,-6.012571837232285,-2.7935731962967485,1,1.3852297710562849
2,-1.8460372047647775,-0.5144616939354163,2,3.220435873444729
1,-3.18695815433814,-1.177824700717997,1,-1.0207066687589188
0,-4.837601684520165,-1.000917633875266,1,0.7948987339775971
0,-5.332763061427788,0.7420593956735027,2,3.4357523083921118
0,-7.541196107775701,-6.386032621957286,1,1.2106615078861198
0,-5.587571596733111,-5.295209119080864,1,0.20723137617714293
0,-4.9810922813868475,-0.23457257336075732,2,2.7656405178871117
0,-5.884431803898465,-3.5309495749759967,2,1.8858110915636823
1,-4.883017358652772,-2.4709500596532514,1,2.7839478323184954
2,-0.7554071692027069,2.4107153325119466,1,0.8707851862678931
1,-5.51795432228594,-1.8461053522937552,1,2.0365923445559484
2,-2.5186934319035665,-0.7078467917474782,0,-0.4735008027357566
1,-4.6170990119409385,-3.3790198049434212,1,1.6451320629006836
2,-2.6270363498744156,-1.3595304388915377,2,3.9540284593502006
2,-4.034825625001347,-2.094128202712461,1,1.276010549728238
2,-1.6241647764851774,0.16590785804917685,0,0.5789493053063929
2,-3.158120686315508,-0.8747538082738309,1,0.7872158992356185
2,-1.1134269673504047,1.3705872186521757,1,1.722498335415187
1,-2.4548690123619488,0.697737405585251,1,2.5787442218184093
0,-5.734094923464816,-2.86457592617058,1,1.8132607419464544
0,-5.8324592853589925,-4.265591008425243,1,1.6593271867732606
2,-4.1350959309054245,-0.9941273622083465,2,1.4379824589382877
1,-4.819914770583303,-3.315674887198954,1,2.2481213523232126
2,-1.5919841039498797,1.979771478462906,1,4.622939121972465
2,-1.1931336196640816,2.908839696690375,2,3.8609813385229215
0,-5.415419338376926,-0.21615934302399298,1,1.868288164830344
2,-1.729355680750768,1.9974367850402994,1,2.6218394879960663
0,-4.871737831633401,-0.6397248077070412,1,2.5459426224476602
2,-3.0932702569523465,0.5345182098766195,2,3.953132180800745
1,-3.9668738502423975,-0.3080831911892755,1,1.8806447526458618
1,-3.025695984522319,0.5141741538658157,1,0.2556901523538122
1,-5.832183845798558,-3.780968847380942,1,2.0106219325917825
2,-3.1864991181785984,-1.0956269059287898,1,1.8291869820644968
2,-3.4338786469579956,-2.16986557263715,1,2.5161684966433926
2,-1.9963130652378407,0.12313660551114092,2,3.261121397487624
1,-3.06598208634998,0.32590852334625775,2,2.348853620050306
1,-2.797812069787882,2.4349113283119883,1,1.6904821247592419
0,-4.167261156024513,-0.6529224292322574,1,0.5314736206303541
1,-3.4499889935770853,-0.16976420999792652,0,-0.6189882568359629
2,-3.628743911307468,-0.6876034105236548,0,0.9750323363460319
1,-3.5433854702595364,0.5079066893873818,1,-1.2116650887995
2,-3.1763549848542745,-0.4253634646849625,0,-0.0462803820893871
1,-4.330590843569802,-1.9533269503800241,1,1.1910930088696767
2,-5.03469421806989,-2.5224389831951437,1,2.0371126715406924
2,-1.7191007618063336,0.07018696057149643,0,2.047421670182365
0,-5.778452280267093,-3.1394326544304536,1,2.1402471922190016
1,-3.836593463941291,-0.5915230076723599,1,2.2449873128776083
