a,b,c,d,e
1,-4.988201090394692,-2.382783755400119,1,1.580808333331269
0,-3.7624692124535075,-0.5929728224769673,1,0.8701149286018056
1,-3.318761910261421,-3.0193682244504974,1,4.058837114905349
2,-2.000618046848968,0.6395459264086629,1,0.7493754650428848
2,-1.5763986629916635,0.5284210097959607,1,3.3056762645758018
1,-3.1646172576687324,0.33948390479156787,2,2.8296793660949944
1,-4.456681952062823,-1.393980603930117,0,-0.19406137035432874
2,-1.9069272659076824,-0.4019698011038848,0,0.12268941680296908
0,-3.939053467161743,-2.474685300664679,1,1.894999789319307
0,-4.371086208089668,-0.3194698208898943,1,3.2637535437821965
2,-2.5441439772557586,0.3062997203428287,1,1.3654490248916966
1,-4.255684981410891,-2.414557084124521,1,1.6510495728556798
0,-4.083669889219562,-1.1019037856064544,1,-0.2844973108841069
0,-4.660193668024047,-2.5036594976340782,0,0.18416775109983682
1,-3.8880076621018818,-2.2592135149283505,1,2.646706638589581
2,-5.03469421806989,-2.5224389831951437,1,2.0371126715406924
1,-3.2073056245369194,0.05772710039012219,2,4.62989576800846
0,-4.691437930765645,1.0680508276871636,0,-1.2310702431154372
1,-5.0568266557221735,-3.3812070648427293,2,2.8624533596043173
2,-2.1807750814013875,0.9563086472837963,0,-0.20273487431962217
0,-4.910102274249702,-1.1587030551146595,1,1.9623675037366595
0,-3.971044477096238,-0.6571294686622648,0,1.277562019455402
1,-5.050844121484712,-2.3222191725070243,0,-1.7305228332148577
0,-2.609961322284875,-2.4820038321597764,0,-1.5772054400622515
1,-4.224505137160983,-3.138929107639637,1,-0.1715760054395563
0,-5.510113827139317,-2.8903504954699737,1,0.47037883090890853
1,-4.359377435203755,-1.627830789242154,1,0.5976169907584783
0,-3.9880630160024904,-1.6177104995611624,1,2.981745359715017
0,-4.201173683800915,-1.8099313373811858,1,3.2105176506924415
2,-3.1586112589879543,-0.8000372864636193,2,2.811372110177973
0,-6.011254219445132,-2.2433642059832826,1,0.316919349265389
1,-3.3483558898231394,-0.32570925612311763,2,4.964399446719274
0,-2.8462276696782913,1.7389315619008947,1,-0.16918944054213148
2,-2.6263780594406487,0.4551069367057973,2,2.7384662517369103
2,-3.948289484415702,-3.419746026289599,1,0.6690782924028144
2,-2.3141902328911437,1.338503837782509,1,1.7746399023549726
1,-3.913404844908376,-2.340433908502116,1,2.135937572321454
2,-3.2660194726125154,1.7943222258060336,1,1.264634529570885
1,-6.317662520726099,-4.6447473063306415,1,2.3877593195548523
2,-2.6025184704903794,0.014016397603722752,0,0.48697132202764765
2,-3.8288972615542605,-0.8143288785919504,2,4.7551783547898925
0,-4.3180473303225995,-1.477581386217807,1,-0.6385425356663468
2,-1.944163099846297,-1.1186995351972475,2,4.0353250630269155
1,-4.831348523727105,-2.6663629525709522,1,1.6007379736472884
2,-2.389427835670325,-0.9166411704897517,1,0.03346313183563843
0,-4.462845233962672,-0.5223789797816951,2,4.57306962122332
2,-1.6510675258100749,2.10800606166338,1,1.2785327296101545
1,-1.6700332737860197,1.2381112065916888,2,4.782556854156014
0,-2.6914939338552815,-1.0672915410194606,2,2.6255761903617265
2,-3.4712584044217256,0.1938338951373616,0,-0.8931154786574463
0,-4.2059680710397584,-1.5257006617200606,1,-0.8932554308532421
1,-3.4345298397294646,-0.4772229512893635,1,1.3731424096345202
2,-1.3074624974787645,0.7794041684327675,0,0.26858454271612003
2,-2.9144168243267887,-0.05363537966585853,0,-2.2320986816289343
0,-4.544963694224841,-2.849366860807465,1,3.4269117516915557
0,-3.9918254621522262,-2.63110549074611,1,2.874830920211009
2,-2.6144170415195345,-0.12122049069838908,0,2.068866264169781
1,-4.266719561664846,-1.586174617238744,0,0.2827091144096883
1,-2.3233538383066037,2.0677598559914956,1,1.8700698816019774
1,-2.384710867616747,1.6431106217316598,1,1.3571285362948278
1,-4.810084100135862,-1.0356844104989875,0,1.7051196259623456
2,-3.351356251808839,-1.5816612038117372,1,1.546549754584108
0,-4.594066416267493,-2.55903720103207,1,1.3627049616780829
1,-4.395391220084093,-0.9973304123320369,1,2.205280669360544
2,-2.792701723783781,1.028096732398105,0,-1.285907164775397
0,-6.094271800158087,-4.112925555693499,0,-1.293056931346746
0,-6.368341988866314,-3.573012187330831,1,0.6531323880207075
2,-4.773584531701326,-1.7496119157016228,1,1.189308748846813
0,-5.376501422721472,-1.6855250885015303,1,0.8129956476117585
2,-4.273563218173591,-3.1516641070617126,1,1.3833860938374558
1,-3.7936113612664677,-1.6542036809486222,1,1.8100569984186163
1,-3.778490028557296,-1.0030076824256589,0,0.32067093713705547
1,-3.963551315317728,-1.5702065287946376,1,1.5164422103646913
0,-4.9264415895731855,-2.491120948162648,1,1.1639327118808487
1,-3.26546647900836,-1.4876563960288287,1,1.8103467803514344
1,-4.941457107722283,-2.9778477325367967,1,2.5126325107617276
0,-4.782713730697461,-0.24060240751550066,0,1.0841742807131725
0,-6.012571837232285,-2.7935731962967485,1,1.3852297710562849
0,-4.097249219733387,-1.040429488120738,1,0.9138813429617992
1,-5.6487809085387255,-4.430168553655577,1,4.080771608221853
1,-5.210705378927749,-1.7862356828315482,1,3.308193305083973
0,-2.7407957681446304,-0.22194862022619194,0,-1.601481739319192
2,-3.286020396681899,-1.819946583114086,1,-0.09135598656994248
0,-3.992482584579468,-0.5765932748578362,1,1.26664170529415
2,-2.284293320474863,0.5140042089256371,2,5.026162699919276
0,-5.271160102400772,-2.8394771137851365,2,2.099522151222472
1,-4.46893045364354,-3.036771343791925,0,0.9922291515082174
1,-3.194902751998482,-0.13776154713800093,0,-0.95645240483179
2,-4.745304941677416,-1.8529633253021107,1,2.139438790110881
1,-4.063516372504545,-0.5307596932108367,1,0.9191086650664713
0,-5.3280165155252766,-2.4300152258867866,1,2.8941542069749957
0,-4.4211894205111255,-1.9898511489954356,2,4.71020754351028
1,-3.1633104495612256,-0.06640882598303804,0,-1.1619852069247345
2,-3.7413419994252872,-2.6003411080040864,1,0.7785607224618211
0,-4.9652388512400485,-2.2124017540698904,2,2.2327832111837846
2,-3.6956055316643783,-2.900962455709544,1,2.471368489194907
1,-4.009276447354302,-1.0920035362356866,1,-0.41920975324067533
2,-2.8046757674746177,-1.1463825628647635,1,1.2330594678652602
0,-4.333476928236105,-0.5718013097626582,1,1.8473906942676295
0,-5.489457522753128,-3.04401966132308,1,0.17733296101065799
0,-4.349934976425574,-2.4772238612710393,1,1.0109231174917326
2,-3.0849604656098073,-0.5323131567420044,2,4.880307804191836
1,-4.183546042991801,-0.79267228378748,1,3.8688021571663844
1,-3.771528814126195,-0.6588813752998774,0,1.5465944072222177
2,-3.378809788880051,-1.7405640045556139,1,0.7967790665550695
0,-4.52579241223915,0.31217913023472477,2,4.2302614480306815
0,-5.526018986235129,-2.689456991548998,1,1.808760039534835
0,-3.532461965036675,-1.0792612877832473,1,1.8014014469352442
1,-4.7805434824818365,-0.8879411342175043,1,1.299017878267601
1,-4.714367136224705,-1.1207561371997266,0,0.15272951982891675
1,-4.245729435714566,-2.315265531055492,1,2.4275704754046137
1,-3.6204692305890576,0.4521751308635611,1,-0.5025126062927823
2,-2.220130473831503,1.9218569016499543,1,3.271740527978623
0,-4.398138941544935,-1.5221494571327407,2,5.4227008050430285
0,-3.895321738242852,-0.3696884043034143,1,0.20028295763176684
1,-3.8062827526616854,-1.9379796689248023,1,1.0874144688180403
0,-5.250021804355997,-4.315014496376236,1,0.8458366354956603
0,-4.837601684520165,-1.000917633875266,1,0.7948987339775971
2,-3.7434313162569985,-1.4075749108385258,1,1.5420357003010816
0,-4.115122101513336,-2.7770616390934544,1,1.6844933391784018
2,-3.9107934381050464,-1.607953830561497,1,0.5936495013586633
0,-4.071328894802598,-1.2603389510151815,1,1.0242702960906689
0,-3.54950993514625,-1.665751176650681,2,2.4901369250196206
2,-0.8932162232861678,1.942773413485075,2,3.1216546192968355
2,-4.020898473794695,-0.5627189336256532,1,-0.5516636232012522
0,-4.557013459715484,-2.598292008762897,1,1.3542699712581547
1,-1.4840567882001823,1.6928480475741425,1,1.645098294184658
2,-2.200335642409273,0.20347199017984402,2,3.1716132603761333
0,-4.196216097633997,-1.0890044104156735,1,1.241921510004469
2,-2.8337780851029635,-0.4578780425092453,0,-0.4844555063675203
2,-4.476284066913282,-2.4332542599110525,1,-0.02949465441712218
1,-4.819914770583303,-3.315674887198954,1,2.2481213523232126
0,-7.429372900334952,-5.080455653707509,1,1.3620198962070784
0,-4.860506605319804,-2.868105630007987,1,1.5865045580438062
1,-2.438172984518946,-0.5164294346920432,2,3.174628386808365
1,-2.326121694004182,-0.5607389562787604,2,3.815728985050064
0,-7.203413155952232,-5.12347296013521,1,0.8879488689929774
2,-3.050138251059199,0.01764748738074917,1,2.9152464430264096
0,-3.1590471551914305,-0.19260190870327415,2,1.95634050550514
0,-4.4061277673994725,-2.610568108380893,1,1.5138244654439152
1,-2.491734075844393,0.8346475004850817,1,4.086839310653966
1,-4.442155479662435,-2.427513153202891,0,0.054372911392533835
1,-4.84281622151391,-1.3685267671431407,2,1.7582363884338912
1,-4.258590970014931,-4.060119648018629,1,0.1854380272524645
1,-5.005706385949958,-0.920508475078301,0,0.9787507243827395
1,-2.2288529685605996,0.2825295738586088,2,3.5040185273050937
0,-4.093455034405256,-2.391601989682984,1,0.8246443602498353
0,-4.775789890938045,-2.4911099310722684,1,1.1221010495944188
2,-4.680709292434546,-1.881437803130485,1,0.7235164753345762
1,-2.6352596776602324,-0.8116247071985534,1,1.9537114295634044
2,-3.800287565281958,-1.7112265658043633,1,1.6888873333716081
