a,b,c,d,e
1,2,5.029284742743293,3.7826824739284546,4.1791207746254475
1,1,6.262273921599392,2.3590115495752118,1.7369201712785944
1,0,5.495583092428373,2.620828975801858,5.457523379745963
0,2,6.9343864517062626,1.3930154661570624,1.5446160892465919
0,1,6.6647736898971806,2.204199024154277,3.8009349693022845
1,2,5.1557309019092505,2.4821838267692717,3.8901867141858126
2,0,5.091040154996195,3.8402096749272943,4.278205521724311
0,1,5.730172446665339,2.643961036584327,3.0717282164917346
2,0,4.277209841275355,3.4082089556414426,4.681385479745189
2,2,7.430555609419726,3.468119658070031,2.3148911602269493
0,1,7.512066716810016,4.472992379631867,4.139820677395574
1,2,8.35437005460036,2.9691317270115416,3.129393006877483
0,1,7.34760007764169,5.198987452316905,3.7443573940611916
2,0,4.6502658183698165,1.6468834306679603,3.546892795026554
2,0,5.112720163026343,1.4936021221100921,4.115621098566393
1,0,5.526822871784243,1.159610210490422,2.504910939920643
0,2,6.681177949299461,4.986172076110858,5.14067325603677
2,0,4.890764187911544,3.0189361612191163,3.761827995563027
1,2,7.3837531318761815,2.4827742252361853,2.6077395632339844
2,0,4.700717353974068,3.3955428380062544,3.591690671359261
2,2,5.830713063626338,3.1351932393675073,3.455936411795634
2,2,6.145526934164141,4.492153765363231,3.5149069618043045
2,1,6.666702583869528,1.1038947649381616,3.242404341271656
0,1,6.035785497335741,2.233526416886433,3.628956852076164
1,1,6.3730021830041235,2.1189998722999652,1.7528969341073515
1,0,5.43007924220219,0.370753659824161,0.5847081149941309
1,0,4.38515853710239,3.116473957273095,4.173184067010572
0,1,6.789040369765591,2.410117577312659,2.6548123513648565
1,2,6.938842603458394,3.455043383720885,4.172704477356763
0,2,5.325186913088521,4.676601446476539,5.048826285037803
2,0,6.202304791186244,2.186729028258463,2.1027758504723373
2,0,4.259255256243083,1.5980314750200104,1.681530748345721
2,0,3.104904656814816,1.7695495545490632,4.8539516559164095
2,0,3.7149562904136975,2.839965966144875,3.9952816991462803
1,0,3.7389548393216776,1.293592613921621,2.5080533189098926
2,0,4.812173318657533,1.546749784775883,2.132387353168653
1,0,4.4861494944537625,3.14260272784077,3.2477158896692377
0,1,5.695960238495193,2.791881633594956,2.434403085589958
2,0,5.379701965482479,0.28648277267741795,3.0233304130859637
1,2,6.899875361192703,1.4809790911449408,2.2546238009087514
0,1,6.348840076780072,4.0769100524242905,5.173897477980766
1,0,5.169828457328692,2.6773641770276804,3.1790656244856246
2,2,7.176134668002238,2.0077338320193423,2.2495461579930502
0,2,4.452046658222557,1.9051581482695843,2.818641744487524
1,1,5.668353953871324,2.4194106853598094,0.8498421388913493
0,1,3.8525821416463115,2.631635568437459,3.4405745879337504
2,1,6.068852132933581,1.148826507034906,2.6714846498426352
1,0,4.755367027775654,1.3209105254338924,3.7676589113728576
0,1,7.078324480925466,3.0205246111894475,1.8263800667164922
0,0,5.94763439272112,2.377072412535146,4.617999745695786
1,2,6.762775048252367,3.2462149947497796,4.616661187440663
2,1,5.532431128738885,1.1416112664752738,4.089239063860583
2,1,6.517953318681523,2.9734968260308245,3.6422020312345005
1,2,6.032082362675686,3.5895500502080067,4.9314219269838935
0,1,6.031399554692436,2.9846152941772957,2.227891231747833
2,0,5.746136316960768,2.565157384017939,4.247425546054856
1,0,4.202228654010576,1.9063795119916807,2.474359036579255
2,0,5.565678639242501,1.5448816772791139,1.4139435672221006
0,1,6.710193574828088,2.589992619833555,2.4203516723451166
