a,b,c,d,e
0,1,5.429813893568782,1.921683851794712,3.1917066547655573
0,1,5.196735091289998,-0.4667864167968192,0.8263062791688343
0,2,7.725672089883819,4.358483684817563,4.411159307504283
2,2,6.633275314585696,2.9259040780081516,4.824182539938744
0,1,6.861913277201838,1.1612659238867327,3.1562800092764336
2,0,4.37575408711943,1.9394879207617004,2.5005197561852293
0,1,7.006611277853095,4.067455254573818,5.2281392174190255
1,0,3.7587085672434557,1.0138393202142675,2.0579238020415263
0,2,5.8954133277414025,2.4205995222920684,3.146766168500533
2,1,6.903614976502425,3.25758477361347,4.791250997803952
1,2,6.515563832295645,4.042781633217658,4.99493285070677
1,2,6.205412452748641,2.7855104968786946,3.3734462102757563
1,1,6.097381863079007,4.667617720394121,2.8227103651664516
2,0,4.971460152363917,3.067793048379346,4.122897616866908
0,1,5.306777108434809,1.6250186176038663,3.3385146822277614
0,1,4.910023773864791,3.7146692750784185,2.3738775516178423
0,1,5.335234999539478,3.866575281327929,2.6297713920435672
0,1,7.078324480925466,3.0205246111894475,1.8263800667164922
1,1,5.585634548805839,3.9968013727563747,4.585879455767374
1,2,9.417438423139865,2.7043285887718715,5.579801812351729
0,1,6.859965005757008,1.5568995474017975,3.695297156925259
0,0,4.63619070567034,1.4544413227770852,3.5436097740161157
1,0,4.538403830001897,2.20132875133729,1.8618080830728747
1,2,7.125153378809769,2.1144697932871432,3.430523059990944
2,0,5.505498906524982,3.1566291567669427,6.050774312511367
2,0,6.233413081441756,2.8589599599352176,5.138558539675191
0,0,5.809498605863318,2.47117364777312,4.751229801933807
2,0,4.296199558648565,0.724104057037738,2.457943855810505
1,2,7.11514568194483,2.1104081681312468,5.338149524068742
1,0,4.755367027775654,1.3209105254338924,3.7676589113728576
0,0,4.143950974443874,1.6684860717817394,3.187379890331953
0,1,5.685409372537253,2.9775135582678347,0.9901083894173257
0,0,6.720484600783027,3.722967778684925,4.900114357947168
1,2,8.014050181457458,3.154803808293995,4.564448383298638
1,1,4.410867079305576,2.3643432099686574,2.309512704472797
0,0,5.804872812454427,2.926085069776018,4.731830134382008
2,2,6.561339846754486,5.298486324256914,3.8027738386701486
1,1,8.26206581669176,3.1237604540415687,4.363541661271967
0,2,7.213244883281226,2.9324538079436793,2.243067619943332
1,0,5.073819020107122,3.149543324741315,2.2596557762454026
1,2,4.822285404862868,1.1184770582028742,2.211161410246206
2,0,3.723418025130343,1.587685712273285,2.8200812126783577
0,1,7.360948827031582,3.130247043080563,4.215149051874678
1,2,7.749622005287643,3.5430950856853656,4.288937010329213
0,1,4.816073787749378,3.1034955577772076,3.256571973091929
2,0,4.905938294144774,1.5508767740889573,0.2965403883105986
2,0,5.748553242465315,2.918113542505384,2.698588694304063
1,2,6.355931415561151,1.64315233266625,3.264466064508562
1,0,5.4200374917903344,2.190636655332787,3.3135724426443964
0,2,6.6159393501324,2.8856526509365636,4.211628874472168
0,2,7.555938684822258,2.2335102866649272,3.5233459360640844
1,0,3.413197451220434,0.8487106662732392,2.7614572445585273
2,0,3.943424892544425,0.6679301678714449,2.956139845053818
0,2,5.915791749613551,1.4548581735088852,1.9892692053172372
1,2,6.788770028928938,3.590552303096394,3.939569119736387
0,1,4.91136116011853,2.1339999428863594,4.660701707176905
2,0,4.313930621541166,1.9868181774081002,4.366950540529628
0,0,3.8160464752779975,0.5565819540197467,1.7790100601503482
1,0,3.78838122698704,1.8386944354469146,4.452352110648869
2,0,5.948784114353874,1.639175527749659,2.9257398832219437
2,0,3.0808895723762824,2.637506755145092,3.569249050455484
1,1,5.355280660444019,2.50511288660653,4.668521381887345
0,0,4.998388374837425,1.2342557702482282,2.0946369242136744
2,1,5.392302134280359,3.6747790842237413,2.5440746155636447
0,1,4.299583102926802,2.2465905091176617,5.323645018962109
1,2,6.938842603458394,3.455043383720885,4.172704477356763
2,0,4.371366818933182,0.46463110747001113,3.097053587376785
1,0,5.126332933650043,2.2111237972095554,5.332911497017481
0,1,6.35678246240793,2.2149864678404985,4.12040613691171
0,1,5.637548061132314,3.1194915115605424,2.7200143614022423
0,1,5.226798597303988,1.4421613040386743,2.9772547320087113
0,1,5.66953155856698,2.9531429093897295,2.206979892942696
2,0,3.6001607142330343,2.0663804570676807,3.06653473504851
1,1,6.823185683101958,2.722679976633592,2.9722216421562546
0,1,5.287809267410144,3.5429248815920333,5.261721779186175
2,1,7.324478671794458,3.357430954453018,4.829966182246615
