a,b,c,d,e,f,g,h
0,2,-2.6454155629761216,-1.9279751476728604,-2.3932233325862784,-1.4121688399866272,2,-1.9134948237996903
1,0,-7.71561882434507,-6.939204460091315,-8.279034822097842,-6.910964728823355,1,-3.006198938719804
1,2,-1.8979999495878657,-0.9176656537064861,-3.2859897844955137,-3.3323614521322917,2,-2.2539224739285513
1,0,-4.977226158218676,-6.338419842724233,-7.77042581317542,-6.064084516276397,1,-1.9870442438903368
2,0,-2.210672047392997,-2.5414419289983323,-4.96768203951493,-3.2270813606470115,2,-3.495128394500401
1,1,-4.912248841276767,-3.5010107967078206,-3.3250283725457725,-3.417811942186497,2,-1.919424794470925
2,0,-5.137806532758272,-3.067808047759325,-4.563753479804593,-3.661290982615879,1,-3.431628556371903
0,1,-3.419208591997894,-3.9710958648963075,-5.953099768422278,-5.468145441141087,1,-1.7243268548080446
1,0,-4.9341727338049575,-3.161289965050294,-6.49910446495007,-5.692409965906985,1,-1.938105660299405
2,2,-2.1945395808309067,-1.198418872742121,-1.5509642525936564,-1.0296425402684557,2,-1.9564299547406978
0,1,-3.7562037483785407,-1.9970888990438047,-1.464892947099991,-0.6095646597512991,2,-1.4611303974581153
0,1,-1.6640012497745604,-3.1956208184375874,-6.773121414518175,-5.96542569324162,1,-3.8116276824763013
2,0,-4.265443344677147,-4.56996997490196,-6.666456081720684,-5.298744475457772,1,-0.6181688743571705
1,1,-3.0480229770089484,-3.0960959102537715,-4.767542707942562,-3.977121353814472,2,-1.2067369401762305
1,1,-3.911051877606929,-2.3955366611239994,-4.2850200908937035,-4.227889038718105,1,-2.3507301881011893
0,1,-3.641652086611795,-3.7443714496420175,-5.856219189403223,-4.717483566522077,1,-2.8571317621715093
2,0,-4.866181930622576,-4.6728792184485135,-6.166182087439668,-5.396779417685763,2,-3.343508598248185
0,2,-2.811197111816597,-1.5020023799634241,-1.437495661374197,-0.5123874976200061,2,-2.2783843510623214
2,0,-5.648797313230919,-5.294607771319734,-5.244483429023162,-5.52082660585207,2,-3.1869836753693495
0,1,-3.0205873276990522,-3.155400491670509,-5.53693809390031,-3.3103432956546133,2,-1.81189653499354
0,2,-3.286715391946208,-2.9753015249522177,-3.633173285857478,-3.5679736853597146,2,-3.948244085799669
1,2,-2.684286712043166,-1.4518589022803277,-3.203498336230048,-3.4090390549705765,2,-0.8733901509583935
1,0,-5.9366147194293015,-7.780958027848175,-9.138239825984986,-9.611887587684876,1,-2.424114935464641
0,2,-2.9441757465152216,-2.4721935314109658,-3.669549260087104,-2.3727024494528095,2,-2.4404578670284787
2,0,-5.199053910104937,-3.5575731420017194,-4.720228962281505,-5.74408789281739,2,-2.827420720771433
0,0,-2.3395849877525974,-3.9467773350822855,-3.8650768823453268,-3.496307916892028,1,-2.180449461073854
1,0,-4.7985382618434125,-4.051855112232668,-3.847553401998978,-2.179979205065822,1,-4.171402378052997
1,1,-4.057323362697635,-3.0091949830554388,-2.742427342636465,-3.5862624946710913,1,-3.099342507021366
1,1,-3.10825185859696,-2.962839405848318,-2.7317181772850705,-1.9369418934864133,2,-1.899247451465096
2,0,-5.654207351979477,-5.056205437880094,-5.8277877525940855,-4.26061040497388,2,-2.8665978176102493
2,1,-4.067083218334576,-4.195454326454055,-6.01549238864625,-5.718214701219309,2,-0.30641282202711384
0,1,-2.3059498185425413,-0.0835898765468921,-1.3243518352976529,0.2891570931538736,1,-2.128204090099553
2,0,-5.3880660837253735,-4.717889140533441,-6.150682080157072,-4.451939730334329,1,-2.755180672979193
0,1,-4.396615283102236,-4.208970724758106,-4.470016146166458,-3.8498806278003306,1,-3.0456728424794504
0,1,-5.05188226823169,-4.589131520783817,-5.203460567480158,-4.564525026590872,1,-1.9385639066824871
0,1,-4.67144362313729,-3.0376543505732783,-4.102396872406542,-2.8248631787807432,2,-2.5566315595125326
2,0,-4.097334029614516,-3.201824923252008,-4.142036818956209,-3.0235925133615957,1,-3.7490746640000454
0,1,-3.3100216586534517,-0.9934946625133463,-2.932432212475292,-2.16673349858934,2,-1.2593856894935795
1,2,-4.254405619819306,-5.225520854204197,-6.076880702466793,-7.082720114131728,2,-0.4104753206908158
0,0,-5.165269265449331,-4.519330971304557,-6.0150160239545505,-6.117812317800345,1,-3.8264451561242723
1,0,-3.919779837305802,-3.2083933622575347,-5.461367386897715,-4.8815335997710765,1,-2.3212102284707434
1,2,-3.353220184870359,-2.0341160159582206,-3.511871050406751,-2.955136516305129,2,-1.7690578633839493
0,2,-1.1399296908639487,1.246259467692133,-2.3036911791878385,-1.9931898147745848,2,-2.400873879715761
1,1,-3.4699596035164646,-0.36633330476605463,-2.135253175099432,-2.6629895331466953,1,-3.6377387794799367
0,1,-4.121270425003445,-3.5137362449498104,-5.106967205208025,-3.5823095145078225,2,-2.1298540621011246
0,2,-1.4855527830587607,0.27898702627927574,-1.2488486523244238,-2.0883720045425496,2,-1.9840751760379083
0,1,-2.9642219902557665,-2.3260168609024863,-3.435497332314891,-3.352286520358411,2,-1.4328637596139062
2,0,-3.5180400031861887,-1.4745471471716354,-2.3232264183191513,-1.9928880902577086,2,-2.952087245976697
1,0,-5.759712228669381,-6.600068436690584,-7.9209445073243065,-8.03928287567901,1,-3.3763651550284353
