a,b,c,d,e,f,g,h
1,2,7.430555609419726,3.468119658070031,2.3148911602269493,1.2815694234648736,2,6.605780820746506
2,1,7.512066716810016,4.472992379631867,4.139820677395574,2.593708115075229,0,1.2132634116046823
0,0,6.5543700546003585,2.566019603100188,2.9708552633923837,1.7167929951625585,0,3.481643539927378
1,2,7.8748078715059044,5.315637098509688,3.7776215325543987,2.2168971572487517,2,7.294867416543786
1,2,6.450265818369816,2.114748321034886,3.7703838275436716,2.877351751425791,0,3.937212462833635
1,2,6.912720163026343,1.9428921573260538,4.340208799512375,3.378281403235251,0,4.8263168161764245
0,0,5.526822871784243,1.159610210490422,2.504910939920643,1.5564075384223464,0,2.2882016664489124
1,1,6.153970155435247,4.859128951730488,5.103233866105103,1.3871534087617392,0,2.3280104867936773
0,1,6.16355639404733,3.3499094230840143,3.8831368118177108,2.2810064203427713,0,5.367242457845235
2,2,7.3837531318761815,2.4827742252361853,2.6077395632339844,2.3667561588246304,2,5.970287308723785
2,0,4.700717353974068,3.3955428380062544,3.591690671359261,0.6815548161824427,1,5.404405282289353
2,1,5.303505269762124,2.998781449432518,3.4050044003179774,1.209388437287938,2,4.750919114859535
2,0,4.345526934164141,4.010697205516231,3.3621742215001325,1.370851612668674,0,4.030781728950232
1,0,5.393910377733742,0.7871145147117615,3.028640599042541,1.8010761084941425,0,2.784062431659904
2,0,4.7629932911999555,1.8986331356501391,3.476495976661025,1.3553671914100907,1,6.488001368985859
1,0,5.100209976868338,1.79416373872422,1.6009267326117513,2.266825493511248,0,6.657830709868172
0,2,7.23007924220219,0.8085144643617792,0.9642970076223156,-0.3367648951624522,2,6.353012996631861
2,0,4.38515853710239,3.116473957273095,4.173184067010572,0.6838576984674098,1,4.666184534618665
1,2,7.316248163629806,2.5313014564031504,2.7052244436715016,1.5894962428101398,1,2.7674725895855508
0,1,6.4116348095941795,3.330478316426293,4.128485774421913,2.0791042869889664,0,2.245535885457659
1,2,5.325186913088521,4.676601446476539,5.048826285037803,0.96765366605319,2,7.423933773993667
2,2,8.002304791186244,2.5997889084916395,2.2775155720141083,1.1909992792105126,2,4.839880099695458
0,2,6.059255256243084,2.083558373164265,1.9160232922966545,1.2766305121326278,2,5.498237061280019
1,0,3.104904656814816,1.7695495545490632,4.8539516559164095,1.995791462823047,0,4.585325974579178
0,1,4.987748496549483,3.2133701051460353,4.1356831693039755,2.4080639380725315,0,5.412289799361792
2,0,3.7389548393216776,1.293592613921621,2.5080533189098926,1.2058417367589458,0,3.730413078836162
1,0,4.812173318657533,1.546749784775883,2.132387353168653,3.2290960919281044,0,3.5253331303339657
0,1,5.758941700589548,3.486493476683303,3.371260165780728,2.580363977726584,0,4.001621028510684
0,1,5.695960238495193,2.791881633594956,2.434403085589958,1.0385719173346506,2,5.241434126327314
1,2,7.1797019654824785,0.7260141494405392,3.437631270832035,2.20202814274768,2,5.295252739673576
2,0,5.099875361192703,1.0312028911187425,1.9911633556197246,1.8278630062614223,0,4.341880117533874
2,0,5.076047870644286,3.751383373918258,5.0662930783609985,3.639942332645781,0,4.115291517834486
1,1,6.442620663464478,3.0002350446119688,3.304410136468637,1.4760666341235291,0,6.061605306558584
0,1,6.648926874138024,1.885327070064674,2.1921746114803726,2.5380123610390823,0,4.368848816635429
2,0,2.652046658222557,1.3174408202284535,2.5146393843734063,1.9111959178416351,0,5.081145548093828
1,1,5.668353953871324,2.4194106853598094,0.8498421388913493,2.697182080851198,0,2.858714823276869
