a,b,c,d,e,f,g,h
2,2,2.3163757485842167,1.5696979590935336,5.834887629197557,2,-2.380620064898923,2.796287246557392
2,2,2.9616362097305142,2.6136507143471555,5.014402944448673,2,-2.212433884796466,1.2930605181954966
0,2,1.8369417980772598,3.0367361050703683,5.139563308841756,2,-2.9133118278917287,2.45539909407184
1,0,5.5714728020691755,0.2927902855726154,6.734668759376677,1,-2.760371563319777,2.927900919209048
0,0,2.7183391371547794,2.2933538765399915,4.983078959691014,0,-2.8595565626193267,1.984913900834976
1,0,2.8575012290391295,3.3713756586809285,2.7620021773269485,0,-2.5157994474085394,2.5736624995498687
0,2,4.052009612855011,1.9629466997754643,4.28749911291791,2,-3.762990280385373,2.552189070236125
1,2,2.1380467348265384,1.8709149538175947,5.946773145589493,2,-1.6352578203871753,2.626948467818467
0,2,2.254915622554558,2.4614854221868696,4.555219367703359,2,-2.2534235962736044,3.4403445390632617
1,2,2.8707116907196353,1.5799291699501496,5.468021633685521,2,-1.9754801527892782,3.4518861934704352
0,0,4.507921734048047,0.5541778881258566,6.36210379213247,0,-3.61488156433432,3.156890623047203
2,2,1.2455515314144496,0.5263979876234088,6.115255407261033,2,-4.102941678609726,2.032179499770245
2,0,4.628609761529364,0.9440785337613421,5.00309950777024,1,-1.6320394422465254,1.768468881625317
0,1,2.843588636013647,4.313911753045001,3.9083125472568425,2,-2.4257033338149703,1.1962298563379794
0,2,3.0356446260605163,1.7479978295074567,4.11413838077281,2,-4.150170596767739,3.0726614276608846
2,2,4.738999407205078,-0.9895102304953537,6.0027661939235,2,-1.7366872756837224,2.124699206642032
0,1,3.1449905901382493,3.246957185592484,2.4406876786035463,2,-1.7324999283567182,2.745356434362838
0,2,1.8844649960407165,1.3423676604036205,5.625455937478261,2,-1.6876156192110134,3.8590592414376026
0,1,3.722588761607498,1.8291013620744887,4.585221240848708,1,-3.3772186717364514,3.30657484848912
0,2,3.417390443373198,0.663062199056907,5.655570065131156,2,-4.264088814929033,2.6386786214779234
2,0,4.707651234705273,0.1553645177291767,4.289406455229864,0,-3.470541080119115,3.113015287286097
1,2,0.9017873086542352,2.3004219105534354,3.4193558120857546,2,-2.431856648078317,4.53749517654138
0,1,2.1761261650778305,3.18403149358189,7.839790468410956,1,-3.8209638836536817,1.0811764496331295
0,2,3.314120135188579,1.247818252754636,4.676174269967101,2,-1.4834489775078274,2.1180136047192097
1,2,2.700416646463265,0.7857070481111827,7.369766784712296,2,-2.8778739594340617,2.5262752682774305
2,0,4.06650334665736,3.1005531443554113,5.182153231410434,1,-3.20873388825211,2.9578745437267613
2,2,2.8891355722641383,3.4199553532794877,4.515151756931669,2,-2.4407605717159124,2.849200932005862
0,0,4.6863325717384505,0.01685167688588929,5.059497916800881,0,-3.5444869634408285,2.4653550892131495
0,1,2.1361593749550574,0.26072197280302056,5.157440628888254,1,-2.9556720053569845,2.7474762691050256
1,1,4.251533996520273,-0.2714215573839762,5.965167168900647,1,-3.9434838915343784,3.074288874919572
0,2,3.0811865340325393,0.33431654461448046,4.596106307696388,2,-2.7789572098904154,1.9052281595614193
2,2,1.791135054674708,1.0419885176655252,3.856651694867759,2,-4.720223772969144,3.439366468965648
0,1,2.6762955955830305,0.9169540856618668,7.1396982522177215,1,-4.8905955902602365,3.0564738408017984
1,2,4.300818335032461,1.0696903708254564,3.1833904962770934,2,-1.88591525186864,2.001828462260312
0,2,2.7882184331560915,2.091813432259527,5.132738750747423,2,-1.6142266574632127,1.0418890318118093
0,2,3.3776824811539776,0.9310002984190844,4.396225471512615,2,-2.609967044269502,2.9016924282143712
1,2,2.4055830372307048,1.0822176133653478,5.076420837390314,2,-2.3310237980292747,3.298251552798612
0,2,3.1024056410353578,2.7317498963741347,2.651576753578401,2,-3.499601533805603,3.0918645730807595
2,2,4.418589283547885,0.5087289979215076,4.7151214482772925,2,-3.043972164520308,2.3296961815384876
2,1,2.8255860633103045,2.375271345997382,6.020162029910236,1,-2.6453660665345975,3.1231036799212424
2,2,2.433055007076369,1.6597118225870167,4.517533959528713,2,-2.7188251358844857,1.5938788385760496
0,1,2.956761299150223,-0.2969705512296068,6.511292778684549,2,-3.9149988312448674,2.962091819325027
1,2,2.2607788590403137,2.0724838484759145,5.562515999330374,2,-2.844257698787619,2.033459426514716
2,0,3.7475049269585585,0.16165136223812326,5.057454313691355,0,-2.0054233737711464,0.9815971892187285
2,2,3.2926434350960503,1.6246757978397084,4.670430804761711,2,-2.3741624378408654,2.444674294005647
1,0,2.3193463058089567,2.052947511989436,4.86935296430616,1,-2.5145831130703638,1.7466327897978284
2,1,2.291784416782096,2.8457798181855374,5.9350006674008,2,-3.320035032157673,2.8996333802319008
0,0,3.7219829841925867,1.5937788631942127,4.845629957827509,0,-3.7426197923640587,2.056433291953068
1,2,3.4849216057568513,2.868087748365827,6.09957287662097,2,-1.7625790279022473,4.400994567330426
1,1,2.643626229009746,4.107692745791919,5.756897527823749,2,-4.119923770056739,2.3026703313143777
1,1,2.6448499960308736,4.504233446027836,6.634793069322047,2,-1.9970201702323616,4.790547182654757
1,1,3.502240867435675,0.8266114301379798,5.75446797220773,2,-1.9244074317302187,2.4735757940214294
1,0,1.6264158435855007,3.891151857544323,3.577556276954587,1,-3.5478089967261033,3.105652727311629
2,2,3.5829838049051563,1.0225857696714291,5.064055319700525,2,-3.365544564730801,3.5682047490866187
2,2,3.710434798985946,0.5357308335446946,4.386339369395233,2,-3.213911074913839,-0.3020723508129066
0,2,3.4933819419042322,3.5460747291252024,4.5238873106853505,2,-1.7983420441486966,3.0318287809330506
1,2,0.8511301154569701,2.090856124707031,4.298003788334566,2,-2.303422782063705,2.457995041683903
2,2,3.0395267415313363,3.4829957422264326,4.2916206745295575,2,-3.3315831886138865,2.6336496218090235
1,2,4.223135675626182,2.0525310464579434,4.407363846791905,2,-1.3267833256893644,0.07830892102419273
1,2,1.7186816988842355,2.413109975870997,5.27433692447009,2,-4.616504814780724,2.852764267400014
2,2,3.378964216745263,1.9110199616887695,4.743273948739924,2,-2.0475789556774537,2.24280746868009
0,2,2.335089811780544,2.218020144251029,5.1410866530537565,2,-2.2814362629994327,2.2852746852824195
1,2,4.1533271107199985,2.1932648795428946,4.7783000121454,2,-1.915051454175675,2.2994755441126
1,2,3.181567232443133,-0.015715104528454038,5.449937344101825,2,-3.5580231741257107,2.7773368294696907
1,2,2.222824273269434,2.178667250697387,3.1582283445384256,2,-2.6177147547048536,2.8147809073054284
