a,c,b,d,e,f,g,h,i,j
2,1,1,3.6982030159448183,-3.728425877718617,1.244984347340139,-1.8249831213257466,1.11870452207625,1,-3.3920264931384887
0,1,1,3.981274730121576,-3.365400578629459,2.036817456597867,2.3135772156733374,1.0177285933786222,1,-4.766081535532998
1,0,2,3.452003457421021,-4.015660206295571,2.193989876903191,-0.7007992972206816,2.9461435843407804,2,-2.9803815413987627
2,0,2,3.0843609396523255,-3.148333903132646,3.0957479067117166,0.3090111794116389,4.346779523791426,2,-0.8456629930805555
1,2,1,2.6509781468960734,-3.892345673357486,2.184954556655008,-0.9103630136405947,0.5736266098148004,1,-2.2079288074590018
1,1,0,2.5144277138569846,-5.598856109512518,0.295640563463717,-0.3428139258437659,1.317352554655085,1,-4.415188681167142
0,1,1,2.393163287120353,-3.7789825996808615,0.4560843586775627,-2.2752320764450324,1.7125909809150583,1,-3.148766287789387
2,2,0,2.845376643561437,-4.259186866453889,0.004751379806344269,-2.5768214225134285,0.4705036243051459,1,-2.9804422009551685
0,0,2,3.7011065144305566,-1.7508880937449445,3.129397945523384,0.9087019980186385,3.749356805281715,2,-3.0595230924319607
0,0,2,3.8911812052237416,-1.7176446829703154,3.0697979487057667,-0.200091855816802,1.9269309300431199,1,-2.1495603349239945
2,2,1,3.5009215268064957,-3.362765947021008,1.4699765521915285,0.13619468934349266,1.5768920617251863,2,-3.069402749538865
0,0,2,2.7519373304288255,-1.8327735143112094,3.4236541553689124,-0.9583879698676039,1.6755000474912178,1,-2.6866448990662164
1,0,1,2.071290032223128,-5.039390087921496,1.4929534594645155,0.3855254073790749,2.423938254186005,1,-2.873203367377998
2,0,0,4.22080016414602,-2.841835605371231,0.1969438146343117,0.4300485084562147,-1.316796267762267,1,-3.6439907668472222
1,1,0,2.104460840477726,-5.409123121638258,0.23176680046673342,0.840416311923196,0.010460356623741451,1,-2.6337415870631915
0,0,1,3.2598075866226113,-3.5338919899556287,0.18335857134198985,-0.2080624913714119,2.7570728876004806,1,-2.784493447368383
0,1,1,3.3096576134659874,-3.2545039557917246,1.7409207124561532,-1.969803490494998,1.6338843478445826,1,-2.107325938958015
1,2,0,4.326836530920051,-4.598337613620446,-0.13580255654763085,-3.067207806550428,-1.0694237434347884,1,-2.340701305462166
2,0,0,3.1345187511451824,-4.944112932117164,0.2973510066997917,-0.7733813710371635,1.1828447644242048,1,-3.830990377297657
2,1,2,2.794210513844994,-2.725592504014472,2.5267934431194385,1.1991626658898176,2.979881573161483,2,-1.559315657008844
2,1,0,1.7372721383097218,-3.9890184108068514,-1.0449798588116046,-0.15870964383029396,0.9766378177950659,1,-5.031058931246216
0,0,0,3.098459173842834,-4.18266725821532,-1.11973469381174,-0.16452101422548981,0.6898605807594349,0,-3.166717453524387
1,1,0,4.0174810421208385,-3.388932609231338,1.0033173640541875,-3.4836580861731288,0.8369951930876189,1,-2.731270994723398
0,0,2,1.880492602640402,-1.5079564363013371,2.578470078177012,1.9879797691084526,3.3321907039613285,1,-1.276580488880649
2,2,0,2.6319883992987707,-3.9121267105026574,0.7056589208860058,-0.589386410430872,-0.12113107171050808,0,-4.608014458520481
0,1,1,3.9075758428248157,-4.605772794725894,2.844404972090244,-0.8080871092865662,1.557824794249463,1,-3.4985080445083083
2,2,0,2.1217362401311526,-4.840398393905874,1.05623913497328,-1.9105724860109197,0.9206408972702048,0,-5.188863462634087
2,1,0,4.941681372860107,-5.27780000269797,0.26506813371204463,-2.089507490236329,0.7756469257111892,1,-4.643931458665592
2,0,1,3.307316903772523,-3.2801609630977833,1.1084675662445722,-0.9970225950680406,0.7014710857300723,2,-2.783733080500139
2,2,0,3.7037481534861434,-5.484573828187908,0.19831922386915413,-0.5972161754936361,-0.19785882744690997,0,-6.0135571546060405
1,1,0,2.317047571260267,-4.5728580132297845,0.2997871903775009,-0.5459755969097412,0.22129737486402523,0,-4.941801970411921
