a,c,b,d,e,f,g,h,i,j
1,0,1,2.936218772833864,1.3096331964067374,1.8507998110694925,1,3.1930121767410182,4.741440154538649,0.16815359573770072
2,1,2,3.766327721822374,2.0472789524583854,-0.029949137525439262,2,6.750382102895653,6.279413352965549,2.1899880473337427
1,1,0,1.6735777304781645,2.9130909671958314,-1.4684865998573309,0,1.489652288573375,2.804912019794533,1.2278559089559244
1,1,2,2.456508505940857,1.432043402086127,2.7635727677954587,2,4.630204524146802,5.155853567671936,1.5119375250546871
2,1,0,2.0678022569214596,4.793445972419523,-0.12289833527792604,0,2.7927591812208132,4.938057406355783,0.8814295510522039
0,2,1,2.353064029875825,2.397451915725681,2.1811050206909197,1,4.348289039395168,3.9723439524032664,0.6040986402953754
0,0,2,2.595779800519577,-0.8554012460030436,2.3785304119207598,2,4.307642204611576,5.003045609798026,1.1798959647028344
0,2,2,2.1724939743269447,2.230192750166763,3.4765900984429052,2,5.50408638648024,5.678620607471857,4.111619440839947
1,2,2,4.5793900264055765,1.4033178032292108,2.462536927710371,2,5.360134423891957,5.0158925672267864,0.8488004499996384
2,0,1,2.086780307768732,3.457978812333825,2.2036468589184475,1,3.282744889782423,2.814064411953039,-1.4877210833832941
1,1,2,2.903300314774053,0.28111085403300706,2.3904230130152873,2,6.387410821758588,3.744089784664662,1.273397080012943
1,2,2,1.9687169302197054,1.2649294676639928,2.3396400602358636,2,4.72910594325815,5.573691664419689,3.2378420703360073
2,2,2,3.669590713498431,3.253827055715214,0.958089480722929,2,4.449773790896515,4.793079321173309,0.8442661124154776
1,0,0,0.7087754901781504,1.1054756395596494,2.5667378116719215,0,3.113904691670687,3.2234947965014413,-1.669373765877585
1,1,2,4.662525924457119,1.5716604305913913,2.7174773757729107,2,6.6640041762766495,2.674414926077517,2.3866948331345847
0,1,2,3.0919829841925868,0.8152445505478283,2.4631757895208963,2,4.257380207635942,4.141413642654355,2.012063651005792
0,1,2,3.429133851128772,3.1924685714742314,3.77942090165565,2,6.084878502075949,3.7333005680781834,1.9824820945634758
2,2,0,0.09175302305743427,5.101492862219643,-0.9837560341470994,0,4.527317412683067,2.1590851180944766,-2.7570585575790405
2,1,0,-0.2821783511360054,2.508899595845244,1.1430216942343858,0,1.1153827107757301,2.6503636543370463,-0.2596984961452724
0,2,2,1.9868541455092357,0.7710072358475308,1.9708980295514542,2,5.238035062840627,4.377866151175347,0.7538280709032341
1,0,0,0.4054217502226385,2.901078581634006,2.8834629699508305,0,4.898513937119524,2.288720221732455,0.05553646987960975
2,0,2,1.594496985238102,-0.24922948632554154,2.362232020119426,2,5.679249463026398,4.987078953903957,0.9403384876602757
0,2,0,-0.18535715876985792,2.0177644051789363,2.0607336756881875,0,5.226734379580577,2.136629048792074,0.17284078626524085
2,1,1,0.5884567215708898,1.4889021151600765,0.5562630666672004,1,3.1801624917359597,4.991774531725016,-1.239759810270211
0,1,2,3.313201966810144,1.741478410810009,3.1614622402988206,2,4.732189521423926,3.6085653163384634,-1.267377455316835
0,0,1,2.7057816234978143,0.7329942811145851,2.348643282442071,0,5.083617499284593,2.6372188095617513,0.6472952734526818
2,2,2,2.1151783446620858,2.013865850432956,4.553300043644423,2,6.1675483998771155,4.45152341788169,1.0564187335853363
2,0,2,4.377887077860018,-1.4765351289606894,4.328232298455583,2,4.433071702938317,4.677331540043977,1.6095781374621634
0,1,1,2.3271107934021673,1.0318949607398729,1.267204240735721,1,3.144560365691078,3.0065280801769205,0.8978678432963729
2,0,0,0.970491428038022,4.851880525068699,2.7648162392798934,0,2.5591213143311213,2.7384916525227836,-1.135877778534355
1,1,2,3.180547504730675,1.7540042228331414,2.6074513764541503,2,3.8062854418406507,4.40710790420297,1.580744700197394
1,0,2,4.657607694023086,1.3926390971855267,3.9855822574516155,2,5.501618037528172,5.795343847920578,1.6269481222998208
1,1,1,2.59668131204584,1.8677502870290346,2.0373780035765647,1,3.701250274326112,3.7841890802717866,-0.32408519175526496
2,2,0,2.0366861847191036,3.598583105545052,1.2790298954424242,1,3.13158238755697,3.262980417988675,0.05494792642977847
1,1,2,5.939713748916008,3.646984220190371,2.7983729008088396,2,4.482744656085336,4.2140308191049005,0.7045408460039178
0,2,2,2.6814794554770875,3.292576980392743,2.9932957325476917,2,5.89169469779042,5.4221526728984575,0.9844947960784193
0,1,2,2.7171001358593783,1.8058892621713145,3.068387035074656,2,5.219618197421916,4.623087089319746,0.9847523061995765
2,0,0,1.3878268606762427,4.269087527540943,1.7253709481330577,0,2.688218664330058,5.581020556080913,-0.40310438494133055
1,0,2,1.9608892987104203,0.31688044147331773,4.676281212236569,2,5.126936606459059,6.104095947109842,1.1637986037532004
1,2,1,1.271387785771577,1.338688168250363,2.7754745198229434,1,3.6831566450370063,2.8966731589711117,-0.48137255431312
2,1,2,2.1008698091390245,0.1383383643445396,2.4714167995568475,2,3.065727020232101,3.369816313617238,1.004305672405915
0,1,2,4.705674901619931,-0.8566236163894094,2.687300365996267,2,4.628605839350848,5.099050372554416,2.4531772329636308
0,2,0,1.448139004424851,3.919250106417506,2.4351724801780774,0,2.4583064511409103,3.693185203293225,0.6372138862992598
2,0,2,2.4861623843253025,-1.1795390668124677,3.9596973293990514,2,3.9154164830857083,4.268772737645887,1.0545244613864382
2,0,2,2.0852882024003536,0.146143885486406,0.632393613874267,2,3.7781622481478787,5.090808296223163,4.247379326151399
1,1,2,3.6280430317919263,-0.8397802446187568,3.579567902828037,2,5.298857322416707,3.039205733821613,1.5898919287906665
2,0,2,3.870681299439326,0.9222702385887738,3.4073322621414976,2,3.7179115065414283,5.236505645505017,1.182335364840756
2,1,0,0.5440576651547929,4.023271658976301,1.2677977882497724,1,3.594637330626004,3.1745650796307525,-2.2513703336608564
0,0,2,3.869433539103021,-0.008138526974267535,2.1621361970044006,2,4.866441938409771,5.109705237940093,0.8943622220850974
2,2,2,2.327698750499473,0.16314157323331924,5.327249404804014,2,5.723698711084747,5.135719902110067,1.4684918787404855
1,2,1,3.1386130483043706,2.5396415079460417,2.633239387364431,1,5.403023443640779,6.584074481214646,0.252737131338922
0,2,2,3.457459947267084,-0.1841455040205604,4.656538841314424,2,4.354599335530693,6.230792784210627,1.1580411300842144
2,1,1,1.6733646268331097,1.2114816673581923,0.3167455439423501,1,2.621023859409087,3.6504353258209306,0.6595649128371446
0,1,2,1.5782245871211267,1.066826057603444,1.8204228579077086,2,6.506114908755151,5.825675733240502,3.7733880896964846
