a,c,b,d,e,f,g,h,i,j
2,0,2,0.7773440124035175,2.87643651063574,1.5877001641414021,2,2.389850029823407,-1.7400523885012076,-0.19657017281935873
1,2,0,-0.3764986733224551,5.013800785142028,1.991400383181717,1,1.3393441708766303,-3.274576986863681,0.6891762183148742
2,1,2,0.6196641985579069,2.4160847110693853,-0.8023888278002755,2,3.4886465450242197,-2.4856495928834383,3.095458462274669
1,2,0,-0.6942494600652327,2.583995505190923,1.1574358654966803,1,3.547898961983384,-1.5820262050155882,1.0195559921069457
1,1,0,-1.2335605229664677,2.941638045889536,1.2897619453287008,0,4.325924141418538,-3.006366016137923,-0.9122150788019516
1,1,0,-0.819161795029085,3.1118827327817167,0.745055148594201,0,1.0621862740970083,-2.9672047252186817,0.304653599726802
2,2,0,-2.1947477139888587,3.8796401817784547,0.387649526857352,0,3.1476249371512606,-4.754818059853542,1.0669006925047992
0,2,2,0.49238059234986925,2.6938945931187677,0.5751509171740135,2,3.625050918130631,-3.0943763156926885,3.1027275164246584
2,0,2,2.0967850783159117,4.254080250695426,2.855284932233599,2,5.058177519571283,-3.722989497891918,0.32538627093195904
2,0,0,-1.0669850311235964,2.649490779825534,-0.15382855384853733,1,3.0382344502492904,-5.42804866948875,0.9762221915489901
0,2,1,0.05252180676031913,1.7175233464671031,3.530026395854591,0,3.537211657318155,-1.4667845893410592,1.7906004635756858
2,1,2,-1.6043887339250689,4.24446933221595,3.040853108346157,2,5.194982251962767,-1.1657848569248044,1.6933389904211056
0,0,2,-0.14787670532819863,5.366947919642878,1.932994320567253,2,4.730196216330474,-2.4279719182874193,1.8243497201694012
1,2,0,-0.48422631736556937,3.2371360240700624,0.5449456773993694,0,2.4112131915150434,-3.6153038729090814,-0.22790292923231786
0,0,0,-0.06035605826066026,4.499433539103021,2.5158154437364484,0,2.091861473025733,-2.863613802845727,0.032136197004400624
2,0,2,1.0737328030042528,2.068413023739935,2.3282145410702437,2,4.111379584154766,-3.331562969961676,2.3364849305932536
1,0,0,-0.05288258328594486,4.494115965685244,0.33601009663910253,0,3.453672309489228,-2.934778432484017,1.099320244437417
2,0,2,0.3035418274436403,1.6309090581059584,1.965248424261423,2,5.039248524216714,-1.7614341319732523,0.938245250506383
2,1,0,0.07703489450457734,3.4488861262913986,1.175285627928845,0,2.4048272870862855,-2.7289805792182222,1.1651298292233587
2,0,2,0.2247479213120597,2.5372556861641633,1.638245769575314,2,6.045272967886412,-2.1623381013550684,1.61799634921349
0,2,1,-1.238642673360006,1.9669695712717512,1.8347793483962205,1,5.735083278865013,-3.2119051446572,2.3196471041546203
2,1,0,0.46186597657686357,3.6802668924485635,0.09421499988805171,0,2.971086447727113,-4.07807470575916,1.4680338780398339
2,2,0,-0.5924799936941467,3.205583651626151,1.9607004994248896,0,1.1842900216700865,-2.276659130643103,0.000549063514803938
2,2,1,-0.6737243227502899,3.298936730948842,3.09176279731731,1,3.9306973705257535,-3.1299625068525487,1.7760380359348424
1,0,2,0.6630927159777663,4.927254719572412,1.2933185412327575,2,4.719593598263122,-2.9840740151513776,1.950948724624889
0,1,0,-2.2522809910185675,1.3004463240013542,1.0483148253805523,0,2.100664222907878,-4.147563016843513,0.6691505437312051
1,0,2,0.4524771088613968,4.539026443766202,-0.03967330948296022,2,3.36663209690202,-2.3026186487561993,0.6415684937448705
2,2,2,0.15172281912216512,3.0935706373307768,2.772677079557511,2,4.676406518228681,-3.5709828427144297,3.973074913590972
2,0,2,0.1809303986718771,1.7374160653917385,1.6758421983386558,2,2.9026095922855606,-2.0900005856604293,-0.23015927271790249
2,1,1,-0.20749731784393516,3.7106092139117917,1.4767910440838925,1,3.0730732495907054,-2.6554579749644356,1.4099019020090373
0,0,2,0.7921944517541796,4.307074710901773,2.3508768179333206,2,4.422746260013708,-2.663459167882627,1.4146504737622987
2,1,1,0.1919657151505631,3.70428803274329,2.874688940975717,1,5.111947489799076,-2.5174650699213474,1.3245376105702582
