a,c,b,d,e,f,g,h,i,j
2,2,2,2.321939003773833,7.756627868987009,1.4072276075843386,3.1993139419670737,2.4308845053289354,2,4.76185444247413
1,2,1,1.9920539359806908,5.124729773806635,0.2248303077613425,2.3799700618158743,2.660252198582874,1,4.9998797471589835
0,0,0,3.980725026088896,5.043441435744637,-2.623874919888356,1.5798340950149816,0.9750225939953734,0,3.78462440210584
1,1,2,3.6735440864255775,5.525888860470289,2.148515591335144,2.6454099885269127,-0.130321150022098,2,4.7431168372823596
2,0,1,3.5839578178093827,5.727870035196624,0.9636731229215634,5.404479174532201,0.7586308598266229,2,6.090778594869393
0,1,2,4.093391317187183,5.8696704208222235,0.9123251954153551,1.8799909554253773,2.4032512685141736,1,5.451510969855498
1,1,0,3.6778676370807273,5.361895648606441,-1.4661853720724374,0.855263922765541,-0.07709593370940415,0,3.5081823939331547
0,1,1,3.7443083109386217,5.3540040322936076,-0.7492019545337647,2.2419275784852615,2.9072702054353634,1,5.58378971031011
2,2,0,3.8938374256375625,5.7716604137066465,-0.27610729293194236,3.4804934143245374,0.4868201718335685,1,3.801091723932501
1,1,2,3.0366808050403096,6.314279226337801,2.839708610388566,1.9691895509131938,1.792129968151522,2,6.706548755872345
0,1,1,2.821475545443218,5.383188496540955,0.9238220383144085,3.173591981048312,2.411908264878455,1,4.367708382279543
0,1,2,5.342373440250428,5.306694737654837,-0.15649395592961923,3.537718265937233,1.524031299482793,1,4.471685345903058
1,0,1,2.9003463937193565,6.285996716431136,0.9457722886117729,3.0812719877367503,1.4634411017049056,1,4.991343356281601
2,0,0,2.9241222888795635,5.65521840222618,-0.553342962246728,2.67634316261094,1.4491234839991123,1,3.990236172935013
2,2,0,4.024009823450107,5.033321256536874,0.36404362607423035,2.6558293597470883,-0.9222706158336862,1,2.6892440559024795
1,0,0,3.841854415295005,6.998831666414423,0.1067331774117265,0.9890431734798826,0.2647018376124504,0,2.542246438299741
0,0,2,1.7234292768481898,7.989787452470418,-1.7595548839467168,3.483341650384684,2.536034492171206,2,6.051369725304517
2,2,0,4.7126782545637385,4.452472235282984,0.045242204428456834,-0.42410203215214404,0.6156001483425941,1,3.172219432685038
1,0,2,3.0340262491076837,6.24197256619293,0.22278824065912306,3.3884172094126224,3.1742150088695658,1,4.4165602259596115
2,1,0,2.4790689047842793,5.229696719485353,-1.921728741448699,0.6460105721680809,-1.0259233581869183,1,4.895341292314063
0,2,2,4.317004938812391,5.7219808195743145,1.0377942397896431,3.1029417749301764,0.016879428845952393,2,5.237277270039439
0,1,2,3.753896396054671,7.726288306532487,1.6372387591932185,1.6039523360739982,2.4765677134148034,2,7.018883546831889
2,0,1,2.087755381624951,6.394392727979369,-0.920079048713454,3.1525419697812773,2.1529712809094943,2,5.329601711189636
