a,c,b,d,e
1,0,2,3.2743206593819156,-4.029089614859812
2,0,0,0.5423674346472458,-2.8154022077397713
0,0,1,3.3609855135275253,-2.6639357669428194
0,0,1,2.9000296181353504,-4.62280001957327
0,0,1,4.190220162694197,-3.5486135249517323
0,1,1,1.9635577467298064,-4.593262591537246
2,0,0,5.068278935716059,-3.5636605146297526
1,1,0,5.273586209538022,-6.153672484366171
2,0,0,1.4925490423898582,-3.6915379327557014
2,1,2,3.383842398308456,-3.545796269382773
1,1,2,1.3330133606739247,-1.8296221423771075
2,0,0,3.805302629941512,-6.888169541985812
0,2,1,2.087610701142834,-3.3787286099190244
2,1,0,1.6968288387618948,-5.5442585089151795
0,2,1,4.012081534581752,-3.974274942554465
0,1,1,4.099222927200854,-4.625342832101834
0,1,1,2.7567798151296405,-2.9408958310878615
0,2,2,4.849648041931012,-1.6754136085361548
1,0,1,2.792228654010576,-2.7634451155015958
1,1,2,3.2119258873726575,-3.52343931731066
1,0,2,3.879236208037128,-2.461081847415849
1,1,2,3.76174814140304,-3.114587547251358
2,0,0,2.945632879786977,-5.06902236519625
2,2,2,4.374539809338036,-2.8478356786036993
0,0,1,6.159568970096392,-2.9901040187252352
0,0,0,3.964386451706263,-5.5459766079313555
0,0,1,4.2646240539868465,-4.162782941106239
2,2,0,3.1072098412753553,-6.120243437592174
0,2,1,3.616736167976641,-3.4565330991833303
1,0,1,3.132315306565343,-2.9328272003787776
2,2,1,3.8351611125457374,-4.156913841237792
2,2,0,5.106368646725336,-4.128761671932852
2,1,0,3.195427148130606,-3.557299193463854
1,1,0,4.022594451726152,-5.91367491639976
2,2,0,4.337272051143455,-5.675225721153324
0,2,1,3.21997393850151,-4.297096989566112
2,1,0,3.626059926797795,-7.361888315051688
2,0,0,3.303633864134824,-4.575633292824336
2,0,1,3.702034471802924,-3.5449018641809635
1,2,0,5.0773982896858625,-4.369545067946118
0,1,0,4.532765801225275,-3.349838004698064
0,1,2,2.0927756588983586,-2.483180270669179
1,1,2,3.738796293610303,-3.957588289034157
0,2,1,4.478991100962017,-4.404455764882716
