a,c,b,d,e
2,1,2,2.8741657561858185,-4.323705118543149
1,1,1,3.0433027121740626,-3.540597330246094
0,0,0,3.694690029888126,-4.525404419106563
0,0,2,4.806586682970851,-1.0592072415716831
1,2,2,1.769643791978796,-3.4283383683547024
2,2,1,4.1198568930553545,-3.463899410376729
0,2,0,1.6968288387618948,-4.447287420725198
2,1,0,3.807273158228624,-5.013837561125533
2,0,0,5.165082827608731,-4.015666411250324
0,2,2,3.598668524467307,-1.9847708131492854
1,1,1,3.5206250785397923,-3.4325889048024596
0,0,2,2.549550531196924,-3.0156397050477954
2,2,0,3.621047200488554,-5.117530108554535
2,2,0,3.3379371845966435,-6.127753898797059
1,2,1,2.5640233920686444,-4.565917778617692
0,0,0,3.3001243845251302,-5.382007523901688
2,2,2,3.3083811606264395,-3.883971762429434
1,1,1,2.5827829314693593,-3.3200760333123354
2,1,1,2.5437181793153156,-2.56337213101299
2,2,0,2.2297565624078253,-5.66806243232915
2,1,2,3.500725026088896,-2.4765585642553627
2,0,2,3.65532326196706,-3.79411113952971
0,0,2,3.3416604442365174,-3.064922170939162
1,1,0,4.555170492728665,-5.450329579177776
1,2,1,3.437867637080727,-3.1581043513935585
1,2,0,3.9820109373657564,-5.438788173842178
0,1,0,3.8938374256375625,-3.748339586293353
1,2,1,3.258459980581792,-4.0057207736621985
0,2,1,2.8191781718703526,-4.409603709594831
2,1,2,5.3241526157919115,-4.013305262345163
2,1,0,3.1380490201464912,-4.50679548970465
2,2,0,2.9241222888795635,-3.8647815977738196
2,1,0,4.024009823450107,-4.486678743463125
1,0,0,3.841854415295005,-2.521168333585576
2,2,0,2.1852084523896727,-3.3302125475295816
1,1,1,4.472678254563738,-4.067527764717015
0,1,1,3.255805424649166,-4.078027433807069
2,2,1,2.239068904784279,-3.290303280514647
1,2,1,4.538784114353874,-4.598019180425685
0,0,2,3.735675571596154,-1.593711693467513
1,1,1,2.0854580080520853,-3.398399478156416
2,0,0,5.367182840257724,-4.503541089141467
0,1,2,3.768797368366193,-2.0730463322291834
1,1,2,3.099803884374954,-1.0371701166309408
0,1,1,4.940218805621779,-3.5890446478124947
2,2,0,3.7492977838296406,-4.873040370871384
1,1,1,3.3219169248959677,-2.251280376677421
0,1,0,2.929699883978011,-3.7924495840088643
0,1,1,3.931850439307078,-4.080979840383722
1,0,0,4.06660296732398,-4.7548135513409795
2,0,1,3.364680139889711,-3.564619084061201
2,2,1,2.5600136461323966,-3.398187055395017
1,0,1,3.4799298541660737,-5.116599850939114
0,0,2,3.040201214237862,-4.30248460780156
2,2,0,2.2565256812657988,-5.647390022002454
1,0,1,1.878187648675814,-4.724738443011342
2,1,0,4.15515337880977,-5.4038240139725024
0,2,0,0.9881116849483109,-4.125289357909995
0,1,1,3.5554105269612597,-3.928929156324738
2,0,0,3.111916942246175,-4.563605394989811
2,0,0,4.89824660687991,-5.984303410042261
1,2,2,2.6165317908461243,-3.221642202920945
2,0,0,4.249484214251896,-4.172742338255159
2,2,0,3.1930861587622084,-4.165047541823198
1,0,1,3.463748153486143,-4.484573828187908
2,0,0,4.326836530920051,-4.598337613620446
0,2,0,3.1274442836754197,-2.5611521465176676
0,2,1,4.346554884498404,-3.777597929255638
2,2,0,2.596302122893517,-5.453186946142445
1,2,1,3.644592842558379,-3.93376238936216
0,0,2,4.032639722787852,-2.6678228924731666
2,2,0,4.2500374917903345,-4.911168380690549
0,2,0,5.50644487673541,-4.791354700676502
2,0,0,2.8265606826893395,-6.20344679693684
0,0,1,1.9708507486514117,-4.722630475085951
2,2,1,2.35566489150488,-3.909335237071497
2,0,0,4.250442566548437,-4.925267970022436
2,2,1,3.8479229342693784,-4.326189274860001
1,0,1,3.4522566596474156,-3.9370135860764366
1,0,1,2.2270429508928697,-3.6989851445857944
2,0,1,4.116867293329061,-2.8705865434754747
0,0,0,2.3652952223494594,-4.859211735226051
2,2,0,4.7489495823769,-4.3608967947017465
1,2,0,6.4474384231398645,-5.301600301433921
1,2,2,3.4764511465715504,-2.1879042764015177
1,2,1,3.9331081356577426,-3.384269702387643
1,0,0,3.0971402311044405,-3.8941829968201804
0,2,1,1.5397866789131833,-3.046539537555512
0,1,0,2.9872806369697775,-4.171264377118853
0,1,1,2.2571047589012503,-3.85841740865778
0,2,1,1.902995423584984,-3.5150607729555317
1,2,1,5.072359941995649,-2.6964910715484733
2,2,0,3.8628625180257727,-5.412074569402794
1,1,1,3.7296875806139833,-4.388407778696865
1,1,1,3.0409776348037503,-3.578568602049638
2,2,0,3.4171289175565636,-4.344720309734546
1,0,0,4.554550682239333,-5.584106499264005
0,0,2,3.0776628813047844,-2.834762563413308
2,1,2,3.6406939380247327,-2.8539987742287845
1,0,1,3.1539957021549836,-5.9752801156034705
1,0,0,3.2478471092679526,-4.97959398925876
1,2,2,1.7030858343981379,-2.917317832848466
1,2,2,1.1322509376328718,-2.920292942823019
0,1,1,3.0884380989335978,-2.3440857254227314
1,1,1,3.4064966919932322,-4.975798298508876
2,1,0,2.303869963291209,-5.584622571204612
0,2,0,3.555525134965367,-7.372195798319334
1,1,2,3.163752562990502,-3.2409166661741406
0,0,1,1.1939919939406205,-4.155643554126001
1,1,0,2.6748753405204986,-5.269977176334256
1,1,0,3.9972638937354685,-3.6523226605162398
2,2,0,3.977058729395744,-3.8993824776630364
0,2,1,2.196325083600239,-3.6821432757326957
0,2,2,3.268448050499735,-3.130613053539862
1,1,2,4.132407225360472,-1.733810331893136
2,1,1,4.127072958990897,-3.7797578598358514
2,1,0,3.4947142129860653,-5.578270038918458
0,0,1,2.882023686675707,-5.476248677484551
0,2,1,2.720655515665495,-4.201314493895683
2,2,0,4.057819782909657,-4.005356382827391
0,2,0,3.785103973142888,-2.48346131045691
2,0,0,4.2194040061022005,-4.698389653810524
0,0,0,3.7218738131211517,-5.525355515120304
2,2,0,4.408763950347442,-5.944965208284214
0,1,1,3.4445925329577,-3.208045103694401
1,2,0,4.374688716131686,-6.5246160523842684
1,1,0,4.460822770366638,-4.209654898595112
0,1,1,2.545473369775186,-2.9422883937370874
1,1,0,1.781855953129254,-4.323720546767135
1,2,2,4.653492856014553,-2.9796616719385574
2,1,0,3.8466587307122615,-4.195059346453185
2,2,0,1.8755141045038783,-4.5890616288717
1,0,1,2.6361805027812886,-4.538123841860592
1,1,0,4.361874292369828,-2.909587677624974
1,2,2,2.830323168867107,-3.111679379610516
1,2,1,2.8379385806808726,-2.9842476995500906
2,2,1,4.750881860312966,-6.178614282695714
0,0,0,2.542712853616189,-3.4835291172190708
0,2,1,2.5518466422451658,-2.291236255345418
1,2,1,3.561386475048267,-3.7301662128733617
0,2,2,3.500454932053882,-2.201228965262241
0,0,1,3.846343034340731,-3.201484818392437
0,2,1,4.261238044568946,-4.402783569640724
2,2,0,3.7885786206815166,-4.212877694560659
2,2,0,4.079383938938409,-5.568630469872555
2,0,0,3.3307907406849164,-5.368756923645326
1,2,1,3.4126983032367137,-2.633056856787701
2,0,0,3.6975341800536343,-3.7853423092997973
0,1,2,3.325098135819036,-3.4663755021157923
2,1,2,3.8825398075827606,-3.4935763435010405
1,1,0,4.145145681944831,-5.405596602457672
2,2,0,3.634217002900183,-4.0273604335345095
0,0,0,2.78087401505896,-5.759984780810397
1,1,1,3.4176712580627093,-3.4032873609640473
2,1,0,3.5619822151042557,-4.013153189365705
1,1,1,3.543181579813198,-3.8482454502931
1,0,2,5.316525307140402,-1.749936303135072
0,0,1,2.8262272214587645,-4.064310169489792
1,0,0,4.012289019125359,-4.9738556009939145
0,1,2,4.178462067244298,-3.737246231131856
0,1,1,3.4480019140993825,-2.7428226523797945
2,1,0,5.927845119172165,-5.5265204469788705
1,1,1,2.971960708268523,-3.4102281822849405
1,0,1,3.6740892223200468,-3.8313160671259348
1,0,2,2.3111942551070177,-3.812783063111662
2,1,1,2.9984752648567063,-4.36910314382332
0,2,1,3.5989339103966573,-2.377127760959266
1,0,2,3.9563040623077295,-2.5583424573655194
0,2,1,3.669094834023574,-4.769150341366842
1,1,1,4.609114849334736,-3.454671712651308
2,0,0,3.495034689407328,-4.906114031594545
1,1,2,2.7778314701609945,0.6940464022441817
2,0,0,6.293985107279386,-4.474876158657727
1,0,0,3.9842376494420306,-5.1406248470663645
2,1,0,2.870518454021452,-3.3399720822128955
1,1,2,2.415736237751931,-4.601036167292845
0,2,2,2.1673200854686594,-2.665679843618902
2,0,1,4.286569355856788,-1.7655715053189271
2,2,2,2.745622707106758,-2.8761992843597537
0,0,2,3.2373624756564854,-4.493301044648079
2,0,0,3.526491325561731,-5.155917964410597
0,2,1,4.081492407940934,-2.305481959040963
2,2,1,2.5032559071159795,-3.3839304036792286
2,1,1,2.2744277138569844,-4.598856109512518
1,0,1,3.574297307181594,-4.4452428071790235
2,0,0,4.190959284699897,-5.319700271149813
0,1,1,3.6825323130976404,-3.398802115946004
0,1,1,2.540546270902672,-2.421803867061347
0,2,2,3.7874848420913936,-1.7075769872008288
1,0,0,2.8461390729043656,-4.303987817890872
2,0,0,3.0684613552136164,-6.091644760057483
0,2,2,2.1660464752779975,-4.087932513993441
1,0,0,4.891158348652031,-4.2267479787862365
2,0,0,4.223421541027349,-6.105471097932894
0,1,1,3.954993375678873,-3.9855670210686043
2,1,2,4.35721142114245,-2.455849553813823
