a,c,b,d,e
1,1,2,2.4877307526030914,6.532566645816276
2,2,0,2.9739509744438744,6.335920288545389
0,0,1,4.231251401273758,6.6131881709943885
0,2,1,2.2765614149276328,6.841339955737804
1,1,1,4.839695663258728,6.423247138189668
2,0,0,2.180030296916124,6.918659010704834
0,1,1,2.4516051898601887,6.108191749281848
0,2,1,2.8213208690171503,6.975385827035578
2,0,0,2.6957926480205225,4.858001914099383
1,0,2,2.827456239611782,6.043702403138491
1,2,2,3.4522333486484973,5.788769833765361
2,1,0,2.5654710870869932,3.741882388481314
1,1,0,3.6194235755849724,3.944173352015567
0,1,1,3.569570531801489,5.907747790275901
2,2,0,4.240249005578364,2.913662988879519
2,0,0,1.9026523055866482,3.1380748731697903
2,1,0,3.264454988480468,4.224912846623288
1,0,2,2.645988345755596,7.11092438089354
0,2,1,4.157976012815366,5.039094329029302
2,2,1,2.589973915545213,4.653642954787197
1,0,2,4.34994949067611,7.235978855806923
0,2,2,3.119426134972946,4.187804471936485
1,0,0,3.529748153598713,4.587128917556563
1,0,2,1.7064571751139443,6.76470668602053
1,0,1,2.90091292260847,7.000517592915259
1,0,0,4.221981483761395,4.47012438452513
1,2,0,2.2216657024488824,3.8155771215969083
0,1,1,4.222852982992592,6.423517232224682
1,0,1,2.2887376441381475,6.544305908054977
1,2,1,2.9684964478651197,4.701914953522294
0,2,1,2.8243797362485514,6.146540359621929
2,2,0,3.32910017699915,5.240241152511766
0,0,1,1.2230994843728475,5.606187223076686
1,2,0,3.651916483679959,4.918448050499735
1,0,0,3.6474100714381574,5.740673294327426
1,0,1,3.9714023920377177,5.623893115926996
0,2,1,3.3476644013485197,6.2382027330970455
1,0,1,2.7662457335973065,7.9837356888224775
0,1,2,2.139593675023911,7.33253980758276
2,1,0,3.3183256163127077,5.256343034340731
0,0,0,2.605005072275558,5.0694128397599245
0,2,2,3.9944460253170457,5.209578581944614
2,0,2,4.838164778470588,7.198759381675977
1,2,1,3.297195274530576,5.35654550877217
2,0,1,3.6731470198974723,7.270675894054516
1,1,2,2.9769731777121415,6.947058729395743
0,2,1,4.8296910385475345,6.680366309197471
1,1,1,1.1381100025298623,7.299096763305151
1,0,0,3.194755854996528,3.9324157592653384
1,1,0,4.346248163629806,5.948784114353874
0,1,1,2.202211879420502,3.840248715328377
0,1,2,3.5392034013593925,6.645993480747625
2,1,1,3.11616728179488,5.29651908959745
1,0,1,3.8603764787719306,5.039945398301846
1,2,0,2.7974741695420855,3.7160559285313575
2,1,0,3.6434579126174738,4.6035785208567015
1,2,2,3.826037663458522,6.7842973071815935
1,2,1,4.8296910077429,6.738761952834602
2,0,0,1.6968288387618948,3.97574149108482
1,0,0,2.3276107011428344,5.141271390080975
2,2,2,2.4887174335710416,5.074460840477726
2,0,1,2.9334486296478266,5.131758176880833
2,0,0,2.925373999936869,4.830113158733216
0,2,2,0.1726020001134474,6.836414364253754
1,2,1,3.1873595981766467,5.233986461242804
2,0,0,3.701350429398111,6.152070920974255
1,2,1,3.438802915494327,7.61562165290912
2,0,0,3.7896350179115146,4.901656697391026
2,1,1,4.585199307675562,6.046168018851648
2,2,0,3.9805305963195172,6.309890566129126
0,0,1,3.335259484235402,6.038115066587486
1,0,2,4.418784586779691,5.791644340452087
2,2,1,3.91561044708929,5.151553758699735
0,0,1,4.367812590055795,5.583308776366081
0,1,2,3.085642203414073,5.957021687432996
1,2,1,3.8621956220494007,5.629629529205737
