a,c,b,d,e
2,1,-7.374147751300008,1.8812752729464586,2
1,1,-4.403034763287815,1.0899264832886153,2
2,0,-5.618713090611183,0.42327292609833267,0
0,2,-4.561303705803682,1.893031845222723,2
2,2,-5.6456686022633065,1.1689247469981952,0
1,1,-6.051549608397596,3.2053348562851474,2
1,1,-5.602141371213345,1.5430936915758602,2
2,0,-3.7547962025198194,1.4575762307787903,2
0,1,-4.375830904234094,0.2719850432694958,2
2,2,-5.8293008744796415,0.21572447451630716,2
0,2,-4.380186365248155,0.1681112314377986,2
2,1,-6.015550058187712,0.9410135113532483,2
2,0,-3.7855550887680343,-0.36925970137369646,2
1,2,-5.046803901467791,0.14719787657361527,0
0,2,-3.462048982992473,-0.45900746336226717,2
2,0,-6.320272496239703,1.9092198022371245,2
1,2,-4.366284378654268,1.8837650654367042,2
2,1,-5.391012714127612,0.5219407574858981,0
0,0,-4.9906694435468495,2.698102830971618,0
0,2,-5.445372785739186,1.7453735290716579,2
0,1,-4.190375646218533,1.1065927094303971,0
2,0,-3.8079376267256704,1.222447475573044,2
2,1,-5.4053609820725885,3.0674112123648696,0
2,0,-4.574189607609245,1.8230915093675697,2
0,0,-4.127298858793337,2.157555968845381,2
2,2,-5.731294842746587,4.417542410516377,2
2,1,-3.1326363476161982,0.5446539324551417,2
0,2,-3.8018828830816394,0.7574715573789733,2
2,2,-3.7138796317970186,1.4058424672620022,1
1,2,-5.085323172303255,0.30187184639830267,0
0,0,-3.268733939085622,0.1720258514415921,2
1,2,-4.820640716072592,0.3832808465207742,2
0,0,-2.6457666092611065,2.4276716591020655,0
1,0,-3.6085806629111845,1.4390540861492593,0
2,1,-3.42048556063434,0.42766478449262296,2
1,2,-4.522066459361598,0.2996626831417398,2
1,0,-4.232557310664024,1.7742662651361951,2
2,0,-5.34699185720998,2.2680881804102433,0
0,0,-4.2413365670826675,0.6923812266385586,2
0,1,-3.5219640365706217,1.8377584876641508,2
0,1,-4.748158574639218,0.5937914366153461,2
1,2,-4.637903773073956,2.379642670889057,2
2,2,-4.493888699911709,1.665299030844733,0
1,0,-2.667551034822604,0.40194303765986394,2
1,0,-4.937936226574124,-0.11321466668586422,2
2,2,-5.526856658124122,1.446240000433169,2
1,0,-5.10829099929329,1.7675673580423288,2
1,2,-4.591587094011251,3.0281568753433428,2
0,0,-3.7717663950965825,0.5126835989305496,2
0,2,-4.371889702927048,0.9586253851511248,2
2,2,-6.517436224451762,0.7052789268577616,2
2,0,-4.8932499510625025,1.7136948009042652,2
0,2,-6.210858955318589,1.2635031105724148,2
1,1,-3.935730001469114,0.004250323479116247,2
2,0,-4.970618768467967,0.9135983293776604,2
0,1,-4.977464773159361,0.9468380610597753,2
2,1,-4.800672940172256,0.3289458982447705,0
0,0,-3.103102362034617,1.0344452567064784,2
0,1,-4.870788086243675,0.5704084069469789,2
2,2,-5.3044718105671675,0.7946514657378896,2
2,2,-5.067182337560158,1.1847986470388523,2
0,0,-4.06453299265081,-0.6401382567570435,2
2,1,-6.008561874565438,1.5932981607169399,2
1,0,-4.660523172149761,0.7586601421101404,0
