a,c,b,d,e,f,g,h
0,2,-6.180139676570154,-6.462318027706159,9.940696849964587,-4.278999574519565,2,-2.7184463098613856
0,1,-4.08352633871408,-4.096672193204844,9.752333507542396,-1.8282964646394655,2,-1.0098086667220032
2,0,-3.6514409085023383,-3.2460191582797,8.372553725561312,-2.091444463402654,0,-1.181697162623892
2,1,-3.3930539173926224,-3.7985569321545203,8.941492667779823,-2.358297767674303,2,-1.4516675670905375
2,0,-2.9662276734827713,-3.151584832252629,8.514964808299368,-2.488257242993831,0,0.21291873103900613
0,0,-1.785388956458398,-2.196932234887508,6.803528710900739,-0.8287240439253857,1,1.3819060305183506
2,2,-7.30777132486429,-5.994569358054146,14.291566326182943,-3.1470392298436365,2,-4.096313312051775
2,1,-3.6657081506692495,-1.9599265271714355,9.399650768145873,-2.919658505860582,2,0.3678277398888692
0,2,-5.986903564442239,-5.871725219780153,13.187682454055691,-1.936835680321033,2,-3.252394436822738
2,2,-6.710669443546849,-4.33278236568683,12.241908061602235,-5.941110433878952,2,-3.4716647582028757
1,2,-6.42871275920511,-5.101601965802944,10.446672244515007,-4.582491098295755,2,-3.489067550206907
0,0,-2.758767667908572,-1.7882762398705503,7.284160754344002,0.49315548085361316,2,0.018262675855199667
1,2,-4.895436455350258,-3.7148889506195832,10.28440490861112,-1.4217556604655415,2,-1.7793355082654474
0,0,-3.241251832387215,-0.5836441383641289,8.745690500291351,-0.6086497038093953,0,-0.6923663046075703
1,0,-2.901688436233833,-1.305007124187993,7.803118957969381,-1.2424485026969865,2,-1.2615144525584527
2,1,-4.467298858793337,-2.4306126740742338,9.319225323210278,-1.9731990841982174,2,-1.9459312303454444
1,2,-5.982133644837099,-2.0424198959210913,12.720966128388852,-0.3003306676439692,2,-2.618432086688704
1,0,-0.8685271979308244,-0.1870477424537368,4.592446434511149,2.9759226698618577,0,3.533542291072358
2,0,-1.9252228565475642,-1.2081227206881862,4.830845524234919,0.7389810340225443,0,0.21005025710250447
0,0,-1.304718433887531,0.08310842678871166,3.2655866363772112,0.9427374394807962,2,2.5496842719420973
0,1,-4.584746944318235,-4.623857645607815,9.184758601799226,-2.6382898889926287,0,-1.253014217396354
0,1,-3.808733939085622,-3.537346153314045,10.897466949029887,-2.415512928500428,2,0.22021862410082016
1,2,-5.600064488087573,-5.499194678948548,11.10193257643922,-3.5377074221976366,0,-3.5145225875836887
2,2,-4.365766609261106,-1.6600917076411754,8.95537896366513,-3.6563179089647946,2,-1.4619136500420002
1,0,-2.4646644614602407,-1.0165254570353897,7.009650745992986,-0.23066166121926512,2,-0.4260978680921429
1,0,-1.156376410948966,-0.6702140266236638,3.5045828830398618,-1.7005663185862332,0,1.6427771965341549
2,2,-5.201490231376578,-5.1162020289762244,12.241893947953079,-3.246914178790964,2,-3.2327720136731015
1,0,-3.0886411092130803,-1.460598077421154,6.577554893148214,-2.7327154321600435,2,-0.6566408176692882
1,2,-6.434490685834568,-4.563809386395242,11.229205757554993,-3.346218148353769,2,-3.1720179908681225
0,0,-3.4013365670826676,-2.8572789019278746,7.6876031191135485,-0.7916773036523929,0,1.3176118072229646
0,2,-4.850356058260661,-2.98092251915764,11.463796122388342,-3.151891328339336,2,-1.7139698611063883
2,2,-5.876550596329256,-5.548851845829784,12.591746782111825,-3.709209350160452,2,-3.6786863718058265
2,0,-2.557327545088936,-0.4187144967845653,7.7055970029969885,-0.3260610490671026,0,-1.9939849816047328
0,2,-4.844727502002222,-3.387267554735138,10.660765051610358,-3.3239020304421376,0,-3.273082305577938
1,1,-2.90363483337166,-2.2302702065385502,5.56055231278202,-1.900099064335686,2,-0.2753533705101689
2,0,-3.6940200251231796,-4.115795438002053,10.083033752555558,-1.255928160234013,2,-0.7175385039728852
0,1,-4.497695460214634,-3.48684980165509,10.10390440245289,-1.8337234572123653,2,-0.9915120883531996
2,1,-5.244374797842346,-3.822799863262975,10.150697060477627,-2.684268107612425,0,-3.6426467876242126
0,0,-2.711010866026232,0.08673385023753588,6.220933820528326,-0.26321988188724194,2,-0.40559210603381823
0,1,-4.3117663950965825,-3.8318330159395626,9.929591223676445,-2.3075021075646895,2,-0.21212653767356815
2,2,-5.255229676392972,-4.475908302756232,9.5018195360643,-2.060828874818844,2,-1.822548827129106
2,2,-6.668275026542274,-6.5973375915503665,12.179968239928275,-2.1352123653962964,2,-5.465346984014302
0,0,-3.320748779687091,-1.905689435331403,9.993102158634205,-1.5960758628815506,0,-0.9846635408951734
2,1,-5.714198928784514,-5.025188268120844,10.791682547572892,-1.7582489588426067,2,-2.3527994544328936
1,0,-2.2002058217082086,-2.2698383251726737,6.782642064348536,0.9828945832142824,2,0.5717708985829552
1,0,-3.2981175970925545,-2.700310743564531,7.941472488301321,-2.534038086741811,2,-0.07565381060106496
1,0,-3.4458567948493997,-2.816321814833425,9.583986266172637,-0.31380072730519293,2,-0.3918704949220877
2,2,-5.1965637904868816,-5.145545776108272,10.052038570527586,-3.208382815952159,2,-1.2204407224454994
1,2,-4.9231023620346175,-3.7435949402875304,11.246037506855775,-0.9566150168713321,2,-1.1415270847557775
0,1,-4.819180107933714,-4.542401026252744,11.237517831025782,-1.3471268785590262,2,-2.8362236929099534
0,2,-5.65531061265768,-5.24899282084216,11.861001139488279,-3.3693498422464843,2,-2.992077413253115
2,1,-3.8380211396506705,-2.9902400539841576,8.552470452975728,-2.4917492323114896,2,-0.9128135317179288
1,0,-3.1245329926508107,-3.8702686413459295,8.697316679113213,-1.492471505773731,2,-1.398825586164204
1,2,-6.504452724880064,-5.445342837336631,11.639355997262559,-2.4056234455630547,2,-3.8247932401177906
2,2,-6.176606970698816,-5.664142369216411,9.699773711052392,-2.739368527441217,2,-1.514104584152086
0,1,-3.6101029515578444,-3.504018113523252,9.131897063615005,-0.3936420430905827,0,-1.9059542677394217
0,0,-2.759746111740646,-0.035111511934404316,6.43032402923091,-0.6167408618012771,0,-0.19103372239198135
2,2,-6.613765046533596,-5.286493576223073,12.508791539933096,-4.247991033643547,2,-2.8440615832418468
2,1,-4.6168475209107225,-4.517363934176664,10.118585374091708,-2.2392759953203347,2,-1.9968408225488787
1,0,-2.2183057074927124,-2.8245008321764384,8.029702203447417,-0.07468770900125093,2,0.6058265543171348
2,2,-5.519287764155075,-5.369806817805009,9.767297062459205,-1.5757295710834098,2,-2.7042648009421186
2,0,-3.5364017777305095,-1.3306959145484911,9.602364583095987,-0.30118849794176517,2,-1.3783101827696211
0,0,-4.104419709811211,-5.406808012211291,9.505121964176409,-2.960292554241172,2,-0.5727954536363992
2,1,-3.991759529497973,-2.687265550201649,8.618994930351242,-1.301212432750308,0,-3.389936842911612
1,0,-1.279870330547513,-1.507521966700746,5.04515511587212,-2.131385674241327,2,-0.5805432127308443
0,1,-4.5280035077837,-3.429021112807936,9.782264059500996,-2.221687023952676,2,-2.557313627965349
2,1,-4.984114828516739,-1.852761603650369,11.324780835740672,-2.415366107381709,2,-2.2930863513895154
0,2,-6.593680265260898,-4.551971510430384,12.922857193527985,-4.229220172088121,2,-5.59121707774204
1,1,-3.323879600112553,-2.0704680344093322,7.201824690058077,-0.6053206336388985,0,-0.9017547978714338
0,0,-4.8975425822261744,-4.269991778416021,9.314683275353284,-3.5024465716464475,2,-1.2038037600887992
0,1,-4.869691651790502,-3.2137305438955206,10.155460823133875,-2.7020818849740946,2,-2.689083378875006
1,0,-2.9969850311235966,-2.9774942512980624,6.292101238168318,-0.8896249218484635,2,-2.425033700612347
2,1,-4.800410498458505,-4.933437277433193,12.115925610804627,-1.3269112330439408,0,-2.5729967875444206
2,2,-3.6107174670809825,-2.6553494479690913,10.257407145356279,-1.3538714524516522,0,-0.9862128350654661
1,1,-4.102201391002398,-1.403718474097225,9.000632193419781,0.003822179956540994,0,-1.398250287782264
1,2,-5.543925799071704,-4.35245353695164,11.83101780503244,-4.6853620315995315,2,-2.4415059168106596
1,0,-1.9290556073805512,0.1367325665395811,4.398980629541915,-0.06230110649480586,2,0.16147483211526137
2,0,-2.8664392857056584,-2.5689981392840666,10.252053783895292,0.35714367151347526,2,-0.03133963147489768
0,1,-6.029887813348077,-5.005509094087993,10.614983781886231,-2.00019744543323,2,-2.185491593218433
2,0,-2.588652429768646,-3.132977099969499,5.7626361559963835,-0.504589430914444,0,-0.2923181335984245
0,0,-3.488431582401919,-2.423096694403352,11.2301366059998,-0.9735761950611744,2,-1.0777777987147976
0,0,-3.57372243023035,-3.3144568126909237,8.158403517402384,-1.2911439400232472,2,-0.8911559779628795
1,2,-4.483976773594943,-2.368182385907281,10.576496209361212,-2.0334120444465547,2,-2.075710476155022
2,1,-5.032083135936623,-3.4563599796178663,9.488562021007318,-1.7526870454680208,0,0.4849039999596547
0,0,-2.989284109008176,-1.4706702372998497,7.79625866989011,0.21508128836490248,0,-1.4970579780512603
1,0,-2.9155277757081492,-0.7975737100872211,8.364095823996092,-1.920657580195138,2,-0.3798271849684495
2,2,-5.2886575407319185,-4.7668080178274295,11.35669939619391,-1.5705839310897323,2,-3.5402417494266345
1,1,-2.3125489634160505,-3.714129011107356,6.952672397879252,-1.5633602290852608,2,1.044211964824405
2,0,-3.661541111685498,-4.541438790541534,8.805435356999778,0.7610091201277305,2,1.1358475449235896
1,0,-2.963565377680201,-2.1036689537355446,8.027045616309904,-0.5120289481470659,0,0.8144504604359343
2,0,-1.7592930090461718,-2.1933488721988654,6.7767709848392945,1.3163259483029126,2,1.124901190259059
0,0,-2.9623639734192917,-2.8991172691255294,9.277383988949099,-1.4376503800897327,2,1.2546236712228112
1,0,-3.5975027094392584,-3.391585194171593,8.109740470738801,-1.8696714627973607,2,0.6898428235086005
0,0,-3.459738935592315,-2.3837238246948047,8.158596979318375,-1.3608541336759215,2,0.737518047229941
1,2,-4.568790725477781,-6.52166545893758,9.247842904837963,-1.3376095855206325,2,-1.346024504149411
0,1,-5.600653694191043,-4.140337597299896,11.01671202139252,-2.35546198086006,2,-2.6487682436494637
1,2,-4.02888133827811,-2.645582430212234,8.946308657613535,0.4962629546930515,2,-0.6866822525235721
1,1,-2.5472857795902257,-1.8235327227578115,7.485056450409075,-0.2632405009139416,2,0.04200122176930088
1,0,-2.798682231723713,-2.125754350469494,7.143137631335032,-1.0033573690902267,0,0.8781997888881438
0,2,-5.3846439099382835,-2.7524956671456513,13.06419339450392,-3.7635612444409086,2,-2.8113069736521488
0,1,-3.922795571742661,-3.068696795294212,9.698060956773054,-2.204415497419719,2,-2.575134954132065
0,1,-4.674702090959721,-6.35194224903166,10.44727101706539,-1.9106255521730553,2,-2.8211419673442006
0,1,-4.027043257607051,-1.9236275085551566,10.001095900108474,-1.4875616071080442,0,-0.3849675396801632
0,1,-6.356593731254041,-6.719321502959506,12.134618218454204,-2.8116494011569824,2,-4.149071910181569
0,2,-7.339774826459478,-6.49187729323007,15.182683237680639,-3.3432894460979488,2,-5.631203726591572
2,1,-5.051442694247034,-2.6217286263524135,9.510257701196224,-3.3071510061466753,0,-3.685586513052927
2,0,-3.476704411809682,-3.656164747364681,7.325309012881935,-1.0872022233237917,0,-1.658810401780729
2,2,-5.084183474658577,-4.581901498284747,11.046113428992852,-2.829736820840599,0,-2.386623937682257
0,2,-5.573182651654666,-4.108526977127088,11.410570966639366,-2.2316343695657634,2,-3.243781727181944
2,0,-2.046516236500859,-1.4448176571818985,6.14986619346333,2.0040468851345645,0,2.1202991693898636
0,2,-5.76153494582029,-4.207665411445657,10.71199642455012,-3.528837319174014,2,-2.5805643357284884
2,0,-2.79077099798296,-2.487873606736982,6.8168381066693655,0.9558531686268608,2,1.2505985547543572
0,2,-5.325267828491992,-4.956472405342423,12.962440452866486,-2.787301638977558,2,-2.0572598428720372
0,2,-6.539402289159945,-5.7796920306135915,13.27387204956413,-3.6741658444251515,2,-4.309361081387576
1,0,-3.7516432280829255,-3.069122712405845,6.247031919926037,0.14181513150015168,2,-1.0890856384962893
