a,c,b,d,e,f,g,h
1,1,2,3.9247648549785144,6.527525676082544,0.19154665947846183,3.628916824145877,3.233184396778525
1,2,0,3.5348979009577106,4.083753302636384,-0.48748624057846957,0.024833226517486207,-0.7094712043760587
0,2,1,2.7107546527900186,5.877661916603385,1.311762076003927,2.426327153024956,2.2962759722317747
2,2,0,3.7373223304864704,4.780037290866312,-1.5478402188698202,0.47792286992840016,-0.3153776604065086
1,0,1,3.7043318453757896,6.247890341954822,-0.10347515976610633,2.0412941809464096,0.5793662028080027
0,1,1,2.284703604527979,7.071082135119605,2.116747130818114,4.638128676336654,0.9540393000930789
1,0,1,2.2339915563663215,5.411970820455197,3.460159694681676,3.378282045545535,2.733268175919858
0,2,1,4.869090030712114,5.948272324624312,0.6759226273855024,2.314242698280693,2.7134910428767536
2,1,0,3.5012035522874987,5.079094834023574,0.03743385422733714,0.43084965863315805,-0.031318481965204814
0,2,2,3.5706754294282286,7.529804487391745,0.4775180261822892,3.832000547451022,0.31276535303867115
1,1,2,0.7839229306698399,7.913073577542059,1.272577614957347,2.7495358978777324,2.1091965881487016
2,0,0,3.3538699082220145,4.023726883461665,-0.9551173340386673,0.9518912246613982,0.4826573471908469
0,0,1,3.2329311742959885,6.493010845570849,1.0296579176590712,2.452452975941541,0.7351377978172975
0,1,1,3.0624217580979955,5.585719614267921,0.0986480376716824,3.167166955371917,1.8554753749425987
0,0,1,2.7525479244540003,4.754703843423982,1.6817490476935866,3.513853649912486,1.410473470419178
0,0,1,3.115638548920965,5.545678645320607,0.07159580853209091,2.7688683265745677,2.9574444867644685
1,1,1,5.137615767797593,4.190407744105114,0.4928900159920274,2.1719111586239865,1.9113571801940752
0,2,2,3.79030235904027,6.345725057445534,1.187338449678366,3.6319714000854963,-0.29648793260811
1,2,1,2.814634796669843,6.693234772684223,1.205958844636511,2.5824017130397654,2.190964195378154
1,0,2,3.2378685790325257,7.718949582376899,0.3227332035869346,3.6884274061889464,2.8020352781046824
2,0,1,4.099569424716321,5.117566484982461,-0.24683451580186422,1.4320061277877694,0.17774303553747828
0,1,2,5.357494435014491,5.815017061274358,1.3413990176710164,4.525322683654086,2.319226116890536
2,1,0,1.9972057402784722,4.498438098933598,0.2706987820947633,2.855914274577268,0.2726617912063316
1,0,2,2.875846699474034,7.383720927043792,0.46077234912095766,5.280311080779332,1.0147271250992185
2,1,0,2.4685689539827447,5.225496774166279,-0.5711669888530866,1.3685545969523947,1.8604295008315177
1,0,0,4.904807871505905,5.725170492728665,1.8902227106518041,0.7496704208222241,-0.1272979420670315
2,0,0,4.2612280116136985,5.779510917664629,2.2996972218373095,1.2520008984832005,1.070720898701739
2,0,0,3.720764187911544,4.229178171870353,0.3194475726178976,0.7903962904051691,0.5997406654445985
1,1,1,3.085883839497688,5.370547386811193,1.348149458245215,1.8928347661294187,1.3128385196347188
1,2,1,1.57531073424679,6.963170063758677,0.019311411809528667,1.7449316709136151,1.184450119301821
0,0,1,4.05086371894437,7.949237082871196,-0.1691484277750398,2.7163149823857005,1.6632375976725196
2,0,0,4.141191728701694,3.025023917954567,-1.2608647450481767,1.5766565062538322,0.8874931388188396
0,1,1,1.2678952185843908,5.1427714563721825,2.7824547143049787,3.843812049417542,0.47764660884612
