a,c,b,d,e,f,g,h
1,1,-6.4366704568105675,-2.045209697606631,-0.9796367151106057,0,-4.265936816854731,-0.5247074347973646
0,0,-2.6601649746424405,-4.444430560423595,-3.407392706204646,1,-1.6767499774053873,-3.5574546535931177
2,0,-5.824459965514334,-1.53229789268316,-1.6195875358813516,1,-2.312393150366517,-2.5985103282881212
2,1,-7.182907521584023,-1.6605554983842574,-0.8191483348042099,1,-2.5671994159022518,0.9835811760497161
0,2,-4.46594079198182,-2.244697934422335,-0.5792375848581186,1,-2.7008277188255003,-0.5993564314295171
0,2,-5.623854354196985,-2.0379124170876537,-0.9693055636429664,1,-2.309720747813489,-1.2392918502424382
0,0,-3.10825034803899,-3.453877660380952,-2.126129371923193,1,-2.2672990280267573,-2.7951017025329974
1,1,-6.134508351855445,-1.766021673891942,0.42293168384256385,1,-3.86295244668933,-3.2217638677007874
2,1,-6.511485302489361,-1.9117001579480577,-1.623702842651481,1,-3.2405026118649563,-1.9345819571418077
0,0,-3.8359419845575795,-3.1859018725914496,-3.6075514972916074,1,-2.6438773579736154,-0.8605234651390281
2,2,-6.16480458850386,-2.911604583775489,-2.174294380762893,1,-2.9699072589408897,0.09125286560165913
1,0,-4.2091395697907545,-1.5739623335378308,-0.7891206690896204,1,-0.49778370913757286,-1.2918881166341503
1,2,-7.731529263429251,-2.618870984726399,-1.211262605754088,1,-1.0801055227727971,-1.2760972312628458
0,1,-5.481262127095109,-1.80051440430804,-1.8312745598591338,0,-2.5355968330042042,-1.656795333389448
2,0,-6.827571025604752,-2.8796706520297626,-2.207039206146999,1,-2.857178142738493,-2.4929790145824993
1,0,-3.9015868089482284,-3.3303655027711976,-1.6649367186862223,1,-0.8517441954544829,-1.390736024248398
0,1,-4.2078179129371485,-1.9755753722112017,-2.080364875402579,1,-0.2774682684836248,-3.0401967663706224
1,0,-4.18380305222578,-0.7125752991491203,-3.048499356300918,1,-2.6009695787876765,-1.6616822966629075
1,0,-4.946207569752114,-2.271647069036433,-2.4278506745807604,1,-3.4524924052401973,-2.547686975633812
0,0,-4.798835147550651,-2.524761048143993,-1.7454741167124836,1,-1.7514122462732649,-0.26577718813960316
1,2,-6.374035349218155,-1.5690602908893205,-0.4785387734905173,1,-3.2716217928499143,-2.0957251031165565
1,0,-5.107614448362304,-3.2925696925532124,-0.8004680200045334,1,-3.313833778733737,-3.060448753686122
2,0,-4.634117062354298,-2.3633599048111273,-1.0167477240076737,2,-0.7811571884492404,-3.828089620938388
1,2,-6.717790635532971,-2.7044635266398127,-1.1098674156893884,0,-2.3403176809254247,-1.4174994773549352
0,0,-3.203055409585751,-4.337076519796213,-2.215299149117003,1,-2.439344543793749,-1.1319960682216563
0,1,-5.473939364064778,-0.7154877320484399,-0.7513330143368558,1,-1.5905073740509041,-2.3696101495423227
1,1,-4.681327329293514,-2.878390775336047,-2.458338431398755,1,-2.680117236637094,-2.4663044234550715
1,0,-5.45681528913293,-3.0860186717072935,-2.7447507914107385,1,-4.839451104622761,-0.5514205123745839
0,2,-5.901669523900655,-2.721206576239825,-1.9349199974925093,1,-4.504641161304996,-4.703870538437561
1,2,-5.747676739749761,-3.333800213357401,-0.5148384196355051,1,-3.6910882090954438,-2.691470270465436
0,1,-3.3179887831028685,-3.153222545795564,-2.892041410503529,0,-1.610331730804686,-0.8324710547043227
0,2,-6.978121978774889,-4.937401261024389,-2.1246118870015853,1,-1.7251133294609975,-1.703078378588728
2,0,-6.835454726978254,-1.9239813828022578,-0.2021200274472288,1,-3.13401564628204,-1.557011976002297
1,1,-5.3049178537971,-4.103149357569613,-1.3087731452458011,1,-2.019682529180845,-3.450723616329487
1,0,-2.8614751780586705,-4.9315050157295595,-1.3687453200834272,1,-1.9272105359150613,-2.9348710037464456
0,2,-4.706678913913723,-1.2787279449933606,-2.006642975873457,1,-2.5125032457683716,-1.3629799295983491
2,0,-4.847631816377733,-1.8753086206215013,0.10932164664324806,1,-0.205421920063235,-0.6744543539134809
1,2,-7.394739729867879,-3.444504869646631,-1.0687214301054928,1,-0.06592613629067867,0.5284314614213246
2,0,-5.302123824935789,-1.2957803840157935,-0.624781650310535,1,-2.785163442184021,-1.9569140209890563
0,0,-3.148949012065646,-2.4398159728089115,-2.0946389446132825,0,-1.1523382182839774,-1.9548873473305137
0,2,-5.334049246309447,-2.5471798179132166,-2.4721927233145413,1,-2.99277457596919,-2.5907763491670095
1,2,-6.0234341680841545,-2.4562937872337764,-1.8902763055959544,1,-3.301763268521582,-0.026009696707258723
0,1,-4.24029553259748,-3.6192986257190816,-2.001391770057324,1,-1.7237416300880752,-1.1214684403295139
2,1,-9.333300882190294,-2.352607227880175,-0.960155628148294,1,-2.37020100533782,-2.490142027020703
0,1,-7.031379474169278,0.06623270789721669,-2.9916858666710544,1,-3.503258244467262,-0.9471735586009628
0,0,-4.849646762211138,-2.63233889883193,-3.001452146924356,1,-1.473326139019747,-1.6592723271865113
1,0,-4.354587266451039,-3.3371235753061956,-0.49260063748186433,1,-1.2727568859035632,-1.2487380408492808
0,0,-4.049391810729303,-2.1628742529516196,-2.27025997919705,0,-0.34656595748324204,-0.19655875536160294
0,0,-4.99354177179236,-2.246072180258776,-2.410979257617872,1,-1.0941812733259755,-2.2258315903279344
0,2,-3.926794769706641,-3.731276163841894,-3.536041663375669,1,-0.9523993844553088,-1.7868111832323992
0,0,-3.8676533743143535,-3.0993486646647694,-0.5027757845866911,1,-0.9417163700342819,-2.271658860580171
1,0,-4.244584855071253,-3.791493241866714,-1.3490264406911003,1,-1.8904602967176132,-0.7005665112841362
1,2,-5.393774895403525,-0.6072964097002227,-1.8330598129386904,0,-4.2358466417099505,-3.4095928641103344
1,2,-4.1978228131043,-2.1169580361633447,-1.6879459248454431,1,-0.9470058533990566,0.6296247313033827
2,0,-5.623444740485922,-3.3910796183685297,0.6951127904476802,1,-2.013204884367673,-3.0522263746347607
0,2,-5.361414474056813,-2.4252511829450376,-1.4320693786550147,1,-2.0162552931471547,-3.00179632491564
1,1,-7.020452034131555,-0.6822057966604966,-2.9228057435760193,1,-2.476514849057253,-0.2669840554621764
0,2,-5.59454639113139,-2.092422348890625,-2.001949309053591,1,-3.9709629244173854,-2.4844971749291243
0,1,-6.254821361356051,-2.2644740126780403,-0.9234240887771927,1,-3.226350336801151,-3.182102976162753
2,1,-7.3516892470658295,-1.822366984182891,-1.0374396118262927,1,-1.1687256543195887,-2.1941475410094715
1,2,-5.565753903514997,-3.4331375532159103,-3.729641979893736,1,-3.250435551308957,-3.588391541871678
1,2,-5.9700582610066055,-1.808584231114839,-1.2602539167522953,0,-2.505353846586626,-3.112467820388373
2,0,-4.616719353457244,-3.80552319165216,-2.0274048302196515,1,-1.210267516239839,-2.0774611493821493
1,0,-4.189717461827349,-2.269373773921594,-2.4139498061141538,1,-2.424762813878239,-1.3700892526094899
2,0,-4.398537619517814,-1.172413868547799,-2.034588497330228,1,-2.160840195846891,-2.745989508507502
2,2,-8.433173707296394,-2.1472491345410862,-1.4762063955359959,1,-1.6713429551334764,-3.85728770935835
1,1,-4.558593911886097,-1.9789372273590007,-2.592672128304949,1,0.32964940923237407,-1.6772361394203958
2,1,-7.4702400882876505,-2.7677435294157156,-2.211594652963216,1,-1.1844489723809917,-2.056213241953939
0,2,-5.924280358637592,-1.9450548203768512,-0.8461595366416876,1,-2.1703776127250616,-2.8111833673429647
2,1,-7.211265771927803,-3.1523764248024086,-1.607131864821318,1,-2.550575701685948,0.0600497051811365
1,2,-4.495961057812771,-5.100346781991723,-1.3742988983238673,1,-2.5729951846987413,-1.2651532348303332
0,1,-5.749482306179945,-2.217490360788785,-1.8083117279648497,1,-3.328498088887075,-3.7596875969062777
0,2,-5.065558136672742,-1.848659979272278,-4.180696256427815,1,-1.8883729665436109,0.010052708053543302
0,1,-4.575730141341294,-2.908715029919153,-0.8148649907452641,1,-1.2107505307238589,-2.1745225211375985
0,0,-3.562879938009113,-3.4962727476983417,-2.2079426676116136,1,-1.624871733778694,-1.6455791500408354
0,0,-4.4505883322918045,-2.711456215877516,-2.14711690839849,1,-0.18195881903622957,-1.4152118799958875
0,2,-6.692972995612529,-1.758293945800164,-1.0773673705375257,1,-2.1591563214507854,-2.194730266321896
1,1,-6.9273394640909896,-0.6968224390863624,-2.3361840093562005,1,-2.9924993704695773,-0.623803900409613
2,0,-4.4769637481557565,-1.6724164466127962,-1.8980865760570995,1,0.97407723341209,0.03473383621867643
1,2,-7.11901032586705,-1.5286648294837462,-1.7458047772253333,1,-1.2756180348161243,-1.4740136437566984
2,0,-6.7766439792493465,-3.025452844993098,-1.0655471017788285,1,-2.7359970334746735,-1.3425768208285278
1,0,-3.4870305176717364,-3.4253393143111883,-3.370709800767167,1,-1.323359851825808,-1.2476054926143274
2,0,-4.951030296355201,-5.007043462772041,-2.4855176455922665,1,-2.0040459498549117,-4.870012583813568
2,0,-5.601673826537227,-2.5536695467623294,-0.5779287819240613,1,-4.854153126513086,-3.6805217025267436
2,2,-7.98363142985617,-1.8530558633709369,1.908314754753153,1,-1.771793027976913,-1.7137099281137091
2,2,-10.192064476204083,-0.10954730700309168,-2.8407591174053106,1,-2.635322864782524,-1.4556647546067747
2,1,-7.685810145162806,-5.048858402100521,-3.9020019719770365,1,-0.96727009271264,-2.8020905195526566
1,0,-4.622085594293806,-2.914117417947953,0.20882722199000203,1,-1.0197583616256631,-2.0146912491529694
0,2,-6.631228030309786,-3.660731226583943,-1.9462729639233054,1,-2.4662344798841787,-2.6300736445090207
0,0,-4.743017358652772,-2.6763751403477793,-2.1095854974033323,1,0.3613009294292717,-0.662454900890618
2,2,-5.406275537631089,-3.162830914950363,-1.2718612716168771,1,-3.0640105773577107,-3.5671295771712135
1,0,-6.158947635192899,-0.025116284441674797,-0.678962340958722,1,-3.4429713793152863,-1.8065649379195439
