c,d,e,f,g,h,i,j,a,b
0,0,1,2,0,0,2,2,-1.23287252783101,2
2,1,1,1,0,1,2,0,-2.229712396597812,2
2,0,0,2,2,2,2,1,5.549984650789989,0
1,2,2,2,1,0,0,2,-5.110974799897248,2
1,0,2,1,1,0,0,1,-0.21152008003195855,0
1,0,0,0,1,2,1,2,4.492399204359925,1
2,0,0,0,2,0,0,2,-0.8057074144398302,2
0,0,2,2,1,1,0,1,3.149902046237358,2
2,1,2,2,1,0,0,1,-4.91519866816324,2
0,1,2,0,0,0,2,2,-6.521812575820437,2
0,0,0,0,2,1,2,1,5.031432393791086,2
1,2,0,0,2,1,2,1,0.7301555181439787,2
2,1,1,1,2,1,0,1,-0.2228206593993956,2
0,2,2,2,1,2,0,0,2.9297221704766647,0
1,0,2,2,1,2,0,1,2.090252057280875,2
2,1,2,2,0,0,0,0,-4.7879218012300555,2
1,1,2,2,0,2,2,0,0.14912976894922897,2
2,2,2,2,2,2,2,2,-2.1614155832488544,0
1,0,2,2,0,2,0,2,-1.3389670698318183,0
2,2,1,1,2,1,0,0,0.03300615408795493,2
0,0,0,2,0,0,2,1,0.05688435370493061,0
1,2,2,2,1,1,1,2,-2.734617352909071,2
0,2,0,2,0,2,0,0,4.199778669460092,0
1,1,1,1,0,2,1,0,2.849706982349435,1
0,0,2,1,2,1,0,1,4.619716181746077,2
1,1,2,2,1,2,2,0,0.3898397579310793,1
1,0,2,2,0,2,2,1,-0.005020549266130936,2
1,2,0,2,2,2,0,1,2.7841843821643386,2
0,1,1,2,1,1,0,1,1.2669115180467043,0
0,0,2,1,0,0,1,1,-1.0197135238566766,0
0,2,0,1,1,0,1,0,0.08835957629513098,2
0,0,2,0,2,1,2,2,2.5892578726457582,2
0,0,1,2,1,1,1,2,1.224180389903933,0
0,1,0,1,0,0,1,0,0.5924474176566807,0
2,1,1,1,0,2,0,1,-0.3806625730077857,2
2,0,0,2,2,1,1,1,4.083023872609517,2
2,0,2,1,2,1,1,2,-2.373624200891078,2
0,0,1,1,1,2,2,2,4.36144490243925,0
2,0,2,1,0,0,1,0,-1.8825544370080194,2
0,1,2,0,0,0,0,1,-4.069504217859882,2
2,2,1,1,2,0,0,0,-1.0154768898075888,2
0,0,0,0,1,1,1,0,6.3975222499258875,2
0,0,0,0,2,2,1,2,6.380583564512247,1
1,0,1,0,2,1,1,0,4.782109214531017,2
2,1,1,2,0,0,2,1,-3.998787811350521,2
1,2,1,0,2,1,2,2,-3.837302270927715,2
1,2,1,2,0,1,0,0,-1.9026276344496453,2
0,1,2,1,1,0,2,2,-5.935880993673811,2
2,2,2,1,0,1,2,2,-7.716844464057047,2
2,2,2,1,2,0,1,2,-6.798771230556449,2
0,0,1,2,0,2,1,0,4.750279489562672,1
2,2,1,2,0,1,1,0,-4.740682108390485,2
0,2,2,1,2,1,1,2,-2.409044301067071,2
0,1,2,0,0,2,2,1,0.092386197249682,2
2,2,1,2,1,0,1,2,-5.720669234458409,2
2,2,0,1,0,0,2,0,-3.9831319567121986,0
1,0,0,2,2,1,0,0,6.066062167084518,1
1,1,1,1,2,2,1,0,5.806113202877162,1
1,0,1,0,2,1,2,0,3.2605917917107647,2
2,1,0,2,2,2,0,0,6.107137997948401,2
2,0,0,1,2,2,0,0,7.010052790051382,2
1,1,1,1,1,2,0,1,1.8656270872471716,2
0,0,0,2,1,1,1,0,6.633569276126616,2
0,1,1,0,1,1,1,0,2.040990038477195,0
1,2,2,0,0,1,2,1,-3.8872061845752475,2
1,1,0,0,0,2,1,2,1.4933939177251097,2
2,1,0,2,0,2,1,0,1.8744324168291846,1
1,1,0,0,0,2,2,2,-1.602607227476412,2
1,0,0,1,1,0,0,2,-0.39585740933258146,0
0,1,0,2,1,0,0,1,1.6595692274798504,1
2,0,2,1,0,0,1,2,-5.470403509185445,2
0,2,1,1,0,1,2,2,-3.935686143691485,2
2,2,0,1,1,1,0,0,1.7985879402888887,0
2,1,2,2,1,0,0,0,-3.0967530585365477,0
0,2,1,2,2,0,0,0,-1.5754216941191157,0
1,1,2,1,0,1,1,1,-3.8361064413077255,2
2,2,0,0,1,0,2,2,-7.541872182399671,2
0,2,2,2,2,2,1,2,-0.5122124267448249,2
1,0,1,0,1,2,0,1,4.831264023613156,2
0,0,0,1,2,2,2,0,9.79005408990879,0
0,1,0,2,2,2,2,2,4.270021572951019,2
1,1,2,2,0,0,2,0,-4.62253066406975,2
0,2,0,0,0,2,0,2,-1.6985177565821532,2
0,0,0,1,2,2,2,2,7.791732791736637,1
2,2,2,2,1,1,2,1,-4.572149992779207,0
2,1,1,2,2,2,1,0,4.258123638446722,2
2,2,1,2,1,0,2,0,-3.748425508050001,2
1,0,0,1,1,0,0,1,-0.007006729527868183,2
0,1,2,0,1,0,2,2,-3.0682164249600348,2
2,1,2,2,2,1,1,1,-1.0616450466599359,0
2,0,2,2,1,1,2,0,0.9566852715253376,2
1,2,1,1,2,1,0,2,-2.9341516622499073,2
0,2,1,0,1,2,1,1,0.6678032667936885,2
2,2,1,2,2,1,1,2,-2.456776982002398,2
0,2,1,0,0,1,1,2,-6.062112498790846,2
0,0,0,1,1,2,2,0,7.89928769361427,1
0,1,0,1,0,2,2,2,3.192791182130687,2
2,0,1,2,1,1,2,1,0.47016352765593167,2
0,1,1,1,2,0,2,0,2.8368530412726365,0
0,0,1,2,2,0,2,2,1.1262122985900431,0
1,1,0,0,2,0,2,1,1.0855670109883595,2
2,0,0,1,1,0,1,0,1.4719287203830067,2
0,0,0,2,0,2,1,2,5.1336987181815905,0
1,2,2,2,1,2,1,0,-0.27483500974607955,2
1,2,2,2,0,0,2,2,-8.533050286538963,2
1,2,1,2,1,1,1,2,-3.2386416273065026,0
2,1,1,1,2,1,2,0,1.6722885823140576,0
0,0,0,0,1,0,2,2,1.0248869157817384,0
1,0,0,1,2,1,0,1,4.598594420670274,2
2,1,0,2,1,0,2,1,-1.7656222040327583,0
1,1,1,1,0,0,2,0,-2.4565571111163704,2
2,0,1,2,0,0,0,2,-4.192994399927298,2
2,1,2,0,2,2,1,0,0.9823708865927454,1
2,0,1,2,2,1,0,1,0.6336097421906919,2
2,2,2,1,1,1,2,2,-5.843078920759949,2
1,2,2,0,1,0,0,2,-5.036220775113317,2
0,1,1,2,1,0,0,0,1.8990937887350605,1
1,2,2,0,2,0,1,2,-6.412214163467841,2
1,1,2,1,2,1,2,1,-0.24042451915484858,2
2,1,1,0,0,1,0,1,-3.1301267839160722,0
1,1,1,2,1,2,2,1,0.5228626344433027,0
1,0,1,2,1,2,1,1,3.318114383947282,0
