c,d,e,f,g,h,i,j,a,b
2,0,1,0,2,1,2,0,-2.6311533731447327,1
0,1,0,2,1,0,0,2,-4.079359812698403,1
2,0,2,0,2,2,2,2,-8.92445656816778,1
0,1,1,0,2,0,1,0,-2.5435246932759195,1
1,1,1,2,0,2,0,1,-3.7016169727698975,1
1,2,1,0,1,2,2,2,-3.8475710448680234,1
1,1,2,2,2,1,0,1,-4.278971748527777,0
1,0,1,2,1,2,1,0,-2.7532095180649208,0
0,0,0,1,1,0,2,0,0.04718507702986535,2
0,1,0,0,0,1,2,2,-3.1315382870195525,1
1,1,1,1,2,2,0,0,-4.276789549602778,1
0,1,0,1,1,0,1,1,-2.8323470399347848,1
2,2,1,2,2,0,1,1,-3.0836025478950053,1
0,2,1,2,2,1,1,1,-2.4073229688710405,0
0,1,0,1,2,2,0,2,-4.716809857298825,1
0,0,0,1,2,0,2,1,-1.7116567975042052,1
0,0,1,1,0,2,1,2,-5.663937052092519,1
2,2,1,1,1,0,1,2,-1.962997600796693,0
1,0,0,0,2,0,2,1,-3.8983993929963843,2
0,1,1,1,0,1,1,1,-2.683053275944972,0
0,2,1,2,2,1,2,0,-2.2348192817474204,1
1,1,2,1,1,0,2,0,-0.86741118335211,0
2,1,2,1,0,2,2,2,-3.8796822309301344,0
2,0,0,1,2,2,0,1,-4.416117672763013,0
0,1,2,2,2,2,2,1,-3.917733593451387,1
0,1,2,0,1,0,0,2,-7.989230574453227,1
2,1,1,2,0,2,2,0,-1.3242198805874419,1
1,1,2,2,1,2,2,1,-4.783435830883004,1
1,0,0,0,1,1,0,1,-3.2714202465071476,1
0,2,0,0,0,1,2,1,-2.25898084048687,2
2,1,0,2,1,0,0,2,-1.8620011272031372,1
1,2,2,0,1,2,1,1,-6.503275056660996,1
2,1,2,2,0,2,1,1,-3.3599391845860165,1
2,0,0,2,1,0,0,1,-3.969401518910894,1
0,0,0,1,0,0,2,2,-2.1925238398436195,1
2,2,2,2,2,1,1,2,-4.028952469895168,1
1,0,0,2,0,0,0,2,-2.330541554799345,1
2,0,1,2,2,1,1,0,-2.5498215373690214,1
0,2,1,1,2,0,2,0,1.1659294581508508,1
1,0,1,2,2,2,1,0,-2.489323966160999,1
1,0,1,1,0,2,2,1,-5.669117140439903,2
2,0,1,2,2,0,2,0,-1.0312259030986268,1
1,1,2,2,1,2,1,0,-4.178372501770877,1
2,1,1,1,0,0,2,0,0.8340329972709892,2
0,1,2,2,0,2,0,0,-4.586290133612274,1
2,1,0,2,1,1,1,1,-0.3734390755701664,2
1,2,0,0,1,0,1,2,-2.283849926484277,1
2,0,1,0,0,1,2,2,-5.296382274071128,1
1,1,0,2,1,2,1,1,-3.6551526364650417,1
2,1,1,0,0,2,1,1,-4.728578083396953,1
1,2,2,0,2,2,2,1,-4.83023836548899,1
2,0,2,1,0,2,1,1,-6.857240586504037,1
0,2,1,2,2,0,1,0,-0.8511257799988882,0
1,0,0,1,1,1,2,1,-0.9635205917902618,0
1,2,2,2,0,2,1,1,-4.648959527654389,1
2,1,1,1,1,2,1,2,-3.0051252252859713,1
2,2,0,2,0,0,0,0,0.8511602308080928,0
2,2,0,0,2,2,0,1,-6.0361558043015275,1
2,1,2,0,0,1,1,0,-4.947769057523507,1
0,1,2,1,1,1,0,2,-8.500809327197327,1
2,2,0,1,0,1,2,0,0.866015381487124,0
0,2,0,2,2,2,1,1,-2.2222954592239543,1
0,1,2,1,0,2,1,0,-3.845581694940617,1
0,1,0,2,1,0,2,1,-0.5998672721636659,2
0,2,2,2,1,2,0,2,-6.905288652829277,1
1,2,2,2,2,1,0,1,-6.067423435320028,0
2,0,1,1,1,2,0,0,-3.621446829827883,1
1,0,0,1,1,1,1,1,-1.5603147808575968,1
1,2,0,2,1,1,0,2,-5.132510311838096,1
0,2,2,0,2,1,0,0,-7.478396640453087,1
1,1,1,2,0,2,2,1,-2.414528041465145,1
2,2,1,0,0,0,1,2,-4.822488442527482,1
0,0,2,2,2,0,2,1,-3.6182401164022258,1
0,1,0,2,1,0,1,1,-2.303737149548281,1
0,0,0,1,1,2,1,2,-3.098482406284694,1
0,2,2,1,1,2,2,0,-4.994355529691125,1
1,0,1,2,2,2,0,1,-4.678571717311582,0
0,1,1,1,0,1,0,1,-5.270847564873095,1
0,1,2,0,2,0,1,0,-4.236383965317269,1
0,0,0,0,2,2,1,1,-6.111011054371473,1
0,2,1,0,1,2,1,0,-3.4579989918403,1
0,1,0,2,0,0,2,2,-2.398893203345775,1
1,1,1,0,1,1,1,0,-4.208629450728809,1
1,2,0,1,2,1,0,1,-2.465065376048967,1
2,1,1,1,2,1,1,2,-3.896525861491223,1
2,0,2,0,0,1,1,0,-5.470908604515774,2
1,1,1,0,2,2,1,0,-4.976312908370511,0
2,2,1,0,1,2,1,1,-4.290417559667123,1
2,0,0,1,0,2,1,0,-2.3626718181317656,1
1,0,2,2,2,2,2,1,-5.928784782768057,1
2,0,1,1,1,1,1,1,-3.733139040959641,1
2,1,2,2,2,2,0,2,-6.3470055201748465,1
0,1,1,0,1,0,1,2,-5.081842037878321,0
0,2,0,2,0,2,1,2,-1.5862539543322165,1
0,1,0,2,1,1,1,0,-1.6820935219968929,2
1,2,1,1,2,2,2,2,-2.866691053305062,1
2,2,0,0,2,2,2,1,-2.8998438717167243,1
0,1,1,0,2,2,0,1,-7.57070773049543,1
2,2,1,0,1,0,1,2,-1.7855208373003415,1
1,0,1,1,0,1,2,1,-2.168849115587272,1
