c,d,e,a,b
2,0,1,2,-0.9356332928243358
1,1,2,1,0.06094348268669192
1,2,2,0,-3.1290896148598124
1,2,0,2,3.5925666458162766
0,1,1,1,-0.3255644771861843
1,2,2,2,0.8237268834616641
0,2,1,0,-0.5716732549170587
2,1,0,0,-3.3699493340843447
2,1,1,0,-1.390093782724972
2,2,0,2,2.708385447469566
2,1,0,0,0.26140016477850314
1,0,1,2,-0.9224743239174548
2,2,1,0,-0.0319464346008167
1,1,2,0,-3.653302868991154
0,1,1,1,-0.6607438322605297
2,2,2,0,-2.6740293332220078
1,2,1,2,2.7091239293662777
0,0,2,1,-3.0820013055859525
1,1,0,2,1.09574149108482
2,0,0,0,-3.635044415859884
0,1,2,2,-0.5600988660571135
1,1,2,2,2.1196640696148386
0,1,2,2,-0.039730769911618266
2,2,0,0,1.5152321516965594
1,1,0,1,-0.025622330807688387
0,1,2,0,-3.110712358465092
0,1,1,0,-3.661364071645269
1,0,0,1,-2.0170725918678647
2,0,2,1,-3.649465329210753
2,2,2,2,2.916003830959866
1,0,0,0,-3.0580172223237287
0,0,2,1,-2.016279638807001
2,2,2,0,-1.4492708897970796
1,0,1,0,-2.682598660535314
2,1,1,0,-2.8590422173050554
0,2,0,1,4.530222710651804
0,1,2,1,-2.1453962029141227
2,0,2,1,-4.626461834197669
2,0,2,0,-6.780052849689034
1,2,2,2,3.89102467155807
2,0,0,1,-0.9805524273821022
2,2,1,0,-1.3941207333803083
1,0,1,2,0.3590226968734953
2,0,2,1,-3.1723078148822177
0,2,1,1,3.0761274713755897
0,2,1,1,-0.4378328327399119
2,2,0,1,1.414639891685746
1,2,2,0,-2.322521383942825
0,0,1,1,-4.343682676408601
2,2,0,0,1.0303272047796943
0,2,2,2,1.5196034441966417
2,0,0,1,-1.0603687950134377
0,0,0,1,1.0197719343296119
2,2,0,1,1.3267563081723923
2,0,1,0,-4.961152982657155
2,2,0,0,0.08866416972399621
1,0,2,0,-4.35275264701659
1,0,1,0,-4.876713025310149
2,0,0,1,-2.4309615971321303
0,0,0,1,-0.28281072975863397
2,2,1,0,-0.6813606761619643
1,2,0,2,1.5752717369951794
1,2,2,1,-1.375391799469108
1,2,0,1,3.4112358638272102
1,0,1,1,-2.198071716921187
0,2,0,1,1.3778040689627506
0,1,0,0,-1.4804096572349819
0,1,0,1,0.41323667280167053
0,2,0,1,2.8757333602801634
1,2,2,1,-1.5082633948587894
2,2,2,2,0.4890508613295411
1,1,2,0,-3.327044245136611
1,1,0,0,-1.6398345804954502
2,2,2,0,-1.51814081736329
1,0,1,0,-5.539507397359597
0,0,0,1,-0.9828713237286788
2,1,0,0,-0.6784163806225276
1,0,1,2,-0.40318145285071627
1,0,1,1,-2.460888260238408
1,2,0,1,1.8141163974340293
1,2,2,2,0.7251488472284978
0,1,2,0,-3.4419985924397887
1,1,1,0,-1.310294147119594
2,1,2,0,-3.949028506600125
0,2,2,1,-0.8098039893484105
1,1,2,1,-2.3822470887653866
0,0,0,0,-2.8491497027240698
1,1,2,1,-2.263513997180847
1,1,1,0,-2.0846967169368593
2,2,2,1,0.14284376074903093
0,2,2,1,0.9689831804046478
0,2,0,1,3.5635594722650326
1,1,1,0,-1.574141275627639
2,1,0,0,-2.7042390641479597
2,1,0,0,-2.673534446576272
0,0,1,0,-4.155771476459824
0,2,2,0,-2.0811753572394145
2,2,2,2,0.19167327303905646
0,2,1,2,2.378308205827006
2,0,0,1,-2.2745129336190386
0,0,1,1,-3.041847739761206
2,2,2,2,1.0142105138449935
0,1,2,2,1.2284508503183313
1,2,0,2,3.8192380412492395
1,1,0,1,2.6418090760554693
0,1,2,1,-1.4894918139803504
1,1,0,0,-1.8300657739372514
1,2,0,2,3.624132882654866
2,1,0,0,-1.5135080215564598
2,2,1,0,-0.6247460428289362
1,0,1,0,-2.233288674140976
1,1,1,1,-1.7053204649775688
1,2,0,0,1.059046058177736
1,2,2,2,1.7677505976141235
2,2,2,1,-1.951097742570617
0,0,1,1,-1.5993012179052368
0,2,0,1,3.4076235608039047
1,2,1,1,0.02282359622257013
0,2,2,1,0.07106613210802894
0,0,1,1,-4.095354262007704
0,2,0,0,-0.8288064596843363
2,2,1,0,-0.011970422382747259
2,2,1,0,-1.5264165060074344
2,0,1,0,-5.6488029749380395
1,2,1,0,-0.6005396355415704
2,0,0,0,-4.032412431431023
0,1,2,0,-3.8408216577755363
2,1,1,0,-2.0606739743250966
1,1,1,0,-3.7317333589343464
2,2,1,2,1.454634787318167
0,0,1,1,-2.2159200078511314
1,1,0,0,-0.5705902092517945
2,1,2,0,-2.5918396985101504
1,1,0,0,-2.205061720361623
1,0,1,2,0.04737696691964821
0,0,0,1,-2.124142293470409
1,0,0,2,1.9662093469068
0,1,0,0,-2.4437710254197285
0,1,2,1,-0.3315211892082688
2,1,1,0,-3.4564861068187236
1,1,1,2,2.8632464547946
1,0,2,1,-3.0386792711475157
1,0,0,1,-2.586016529408222
2,1,1,0,-3.3222384795425066
0,2,1,1,1.8911812052237411
1,0,1,1,-1.5473555823844383
0,2,0,1,2.069284408275537
1,1,2,0,-3.5553417190365333
2,0,0,1,-1.0416469673559343
1,1,2,2,-0.04820157298918021
2,0,2,0,-6.863504859338376
1,0,1,1,-3.4129740246401803
2,1,0,0,-1.5348800568483347
1,1,0,1,1.3854824164976935
0,2,2,1,1.6959824241620474
2,0,2,1,-3.0804705792285496
2,2,2,1,-0.0927092389636357
0,0,0,1,-0.5911861140175229
2,0,1,0,-5.206750850206856
0,2,0,2,3.6967690397417865
2,2,2,0,-2.9141307213394763
2,1,1,0,-4.048742610707711
1,0,2,1,-3.296450988363795
2,0,2,0,-5.384486693415257
0,1,2,2,0.7376524845090131
0,1,1,2,1.6261118308924472
0,2,1,1,1.3526442713238613
1,0,1,2,-0.3333833343224454
2,0,0,0,-3.5526830962274762
0,2,0,1,2.5528913952224004
1,0,1,0,-5.036144402686359
2,0,2,2,-1.78029407436087
0,1,1,0,-1.6715823147139903
2,1,2,0,-4.499681428072203
0,1,0,1,0.4518320989928471
2,2,1,2,1.7363974903706398
1,2,1,2,2.063493303483885
1,0,1,2,-2.0149293551021543
0,2,0,2,5.115774925166556
1,1,0,2,2.9456851747200474
2,0,2,0,-5.032566145772663
0,2,1,1,3.082195951943813
2,0,0,1,-1.9892456965683916
1,1,0,1,3.2017624151106343
2,2,0,0,-0.25752941536322016
1,0,2,0,-5.084806648243983
1,0,0,2,-0.25777791394020805
0,1,2,1,-1.2876744399396947
1,2,0,2,4.455614927886245
0,0,1,1,-2.483916393053084
1,1,0,0,0.23671984711762084
0,1,2,2,0.289149284633461
1,0,0,0,-3.0095146138898006
1,2,1,0,-1.7389976945137176
0,2,0,1,2.558499074550384
2,1,0,2,1.5159727791906348
1,0,0,0,-3.8882397293372866
2,0,2,0,-6.346474408148364
0,1,1,1,2.041763379756685
0,1,1,2,0.8165227498209646
1,1,1,1,-2.3169854207812683
0,0,2,0,-5.808221459732572
0,1,1,0,-2.3915678394762137
1,0,1,0,-3.7633329673835147
0,2,0,0,0.9847965217253136
2,2,0,1,2.3566145517765262
0,1,0,0,-1.9548603066373293
0,0,1,1,-2.0295595564984548
1,2,0,1,1.0339405358894216
2,0,0,0,-4.129642983014011
0,2,0,1,1.2222910254997403
0,0,0,2,-0.8183888545982694
2,1,2,1,-1.055790511141991
2,0,1,1,-2.1413882990211124
1,0,2,0,-4.36333463002187
1,2,1,0,-0.7906869339757038
1,2,2,2,2.336807698865146
1,0,0,1,-3.3312894046425447
1,2,1,0,0.033087518045355035
0,0,2,1,-3.2228801699949696
0,0,1,1,-1.7428903998508345
0,0,2,2,-1.3099767009513867
2,1,0,0,-2.7570551545368867
1,0,0,2,-1.3580397753910465
1,1,2,0,-4.312054166182963
1,0,0,1,-1.0050827187270877
2,0,2,0,-4.879908584824605
0,1,2,0,-4.737942277381863
0,2,2,0,-2.6110993674682144
0,2,1,1,0.3867643140591601
1,1,2,2,-0.5373050602668159
2,0,0,0,-4.872050830852652
1,2,1,2,1.1679482338598672
1,2,0,2,2.7981647035924464
2,2,2,0,-2.003746163774994
0,2,2,2,0.6094056602465094
1,2,2,0,-1.975803509971766
1,2,2,0,-0.8014471838581845
1,1,0,2,0.5782202625864898
2,1,0,1,-0.2664457584105391
0,0,2,1,-2.3752432662492273
2,0,1,0,-4.958268390363809
0,2,0,1,1.5663303091415808
1,2,2,2,2.7234958143064736
1,2,2,1,-0.45620207897154774
2,0,1,0,-3.435504974794432
1,1,2,1,-1.4610346088728012
0,0,0,1,-1.6828446529098366
0,2,0,1,2.61969053059753
1,0,0,2,0.46044951384603794
2,0,1,0,-3.5191171789975257
0,1,0,1,-0.14834553786501814
2,2,0,0,0.01120606678161988
1,2,2,2,1.4984843203953622
0,0,2,2,-0.9858518583602152
0,0,2,0,-6.135179194444175
1,0,2,0,-4.323022951762144
0,0,2,1,-2.933671227829583
0,1,1,0,-3.656925073632946
1,0,1,2,0.31826282548050067
2,0,2,0,-3.335906919202269
0,1,1,0,-1.338166030450592
0,0,0,2,1.7969847672264694
0,0,2,0,-5.024628618397411
1,0,0,0,-4.9415049197385095
2,0,2,0,-7.414120451167525
2,1,1,0,-2.5449179561322413
2,2,2,0,-2.6819788077299798
2,2,0,0,-0.9445762783273511
0,0,1,1,-2.4327466839686753
0,0,1,0,-3.464414712138712
1,1,1,1,-2.3127575467621475
2,1,0,1,-0.5088776202803844
2,2,2,0,-0.5801293168796846
0,2,1,1,0.0347116197786248
0,1,2,1,-0.7902388128350434
0,0,1,2,-1.1447307615489941
0,0,0,2,0.9157937598499528
1,0,2,0,-4.242672492797133
1,0,0,0,-2.5387182330149782
1,2,0,0,1.1091596022138765
0,0,2,1,-4.5515935334079565
2,2,2,0,-0.9763402932587011
1,1,2,1,-2.74269311463482
2,1,1,0,-2.5404582344284616
2,1,2,0,-3.5717538130027733
0,2,0,1,2.6251225588695806
0,0,2,0,-4.773043323939809
2,0,1,2,-1.963809978524723
1,1,0,0,-2.889867412295716
0,1,1,2,1.9523486799617686
1,1,1,0,-2.384165422481084
1,2,0,2,4.769376840957818
2,1,1,2,0.5752670658121322
0,0,1,2,-2.0651643606769605
2,0,0,1,-0.8338703189958937
2,2,0,1,1.3096293903388936
0,0,2,1,-3.057996542578979
0,1,1,2,0.43254057152048087
1,1,1,0,-0.9256982897663093
0,2,1,1,0.2334351758168025
0,2,1,1,0.7725702458938248
1,1,1,2,0.957448702697316
2,0,1,0,-5.632182327086959
2,1,2,0,-3.499480471412405
0,1,2,1,-0.04808952253250953
2,0,0,0,-4.0004621606937105
0,1,2,0,-2.9748571809682747
2,0,2,0,-8.319435386038556
2,1,0,0,-1.8089292004848405
2,2,2,0,-2.403042285926205
0,2,1,1,0.2915023975896145
2,0,2,0,-4.488549530371468
0,2,1,1,0.7837563183761713
1,0,2,1,-3.8074774870935872
1,1,0,1,-0.20719287478907122
0,0,0,1,-3.2568158717650766
0,0,2,2,-2.821986440076961
2,0,1,2,-0.1589065138797836
1,0,1,1,-4.709950646879971
1,2,0,0,-0.5663153496157054
1,0,0,1,-1.9697200562897637
1,1,2,2,1.5636218672915652
2,2,0,0,0.7386037654963692
0,2,1,2,2.2628294729469007
2,2,0,0,1.2745136971155513
2,0,0,0,-4.2505158205011195
1,2,0,0,1.2090998037340057
0,1,2,1,-3.018877245923015
0,0,2,1,-2.326742168210843
2,1,0,1,-0.46613364547098524
2,2,1,2,1.3314957590587297
0,1,1,0,-2.557143613076314
0,0,1,1,-2.092655820279785
0,2,2,0,-2.1247484305257123
0,2,0,1,2.6939535059953235
2,2,0,0,-0.6129938836640673
2,2,1,2,2.9803723939313573
0,2,1,0,-0.15777793796340012
2,1,0,2,1.5890769452920652
0,0,2,2,-2.13138231236595
1,1,0,1,0.32154079576526606
1,0,0,2,0.6902537430336994
2,1,1,1,0.9717991527316088
2,1,1,2,1.559420421798181
0,2,0,1,3.115989949815841
0,0,0,1,1.7485121948602838
0,0,0,0,-2.5340415232321556
0,2,1,1,1.5946435113117017
2,0,1,0,-3.835984925678346
2,1,0,0,-2.778965977588253
0,2,1,1,0.6660983635812432
2,1,2,0,-4.336169266692334
1,1,0,1,0.8176139772195616
1,2,2,2,1.3858254377788009
1,1,0,2,2.018223425474303
0,2,0,1,3.227454620148464
2,1,0,0,-0.906849261295861
0,0,0,2,0.20827899695875307
0,1,0,0,-1.9799950968782223
0,0,1,0,-2.9447252683468115
0,2,1,0,0.1738911809098661
0,1,2,1,-3.266256818295382
0,1,1,1,-0.9431539389082807
2,1,1,1,-0.9244845379832373
2,1,1,1,-0.3111702828789683
0,0,0,1,-0.42989850506022864
0,0,2,2,-1.4060939988245265
1,1,0,2,2.4652475313588558
2,0,2,0,-5.505863197621847
2,2,2,0,-2.7638516881805604
2,0,2,0,-5.8312643910412545
1,2,1,0,-0.8110088133598918
1,1,0,0,-1.5746792500185898
0,1,2,2,-1.8355729044434703
2,0,0,0,-3.907483334929431
2,1,1,0,-2.743794346910848
0,2,2,1,-0.20136999190570137
2,0,2,0,-5.816823795511586
0,0,2,2,-1.2020086291954126
2,1,0,1,-1.1389571870486335
2,0,2,0,-7.1980422139512115
0,0,0,1,-1.6881697908366746
1,1,1,2,1.6141144055017893
0,1,2,1,0.027553039486638786
1,1,1,2,1.6321282390947398
2,2,2,0,-3.558263759868847
0,2,1,2,2.587632760623229
1,0,0,1,-1.3133656189184704
2,1,0,0,-1.5924088830764076
0,0,1,1,-1.830695447057126
0,0,2,1,-4.31704894646076
1,0,1,0,-4.245056912449257
1,1,2,1,-1.4696771702238711
1,2,1,2,3.4156709533036596
0,2,0,1,1.3342818333872075
2,1,0,0,-2.1151568672428978
1,2,1,1,-1.8238176800733403
0,0,2,1,-4.021461967577774
2,2,2,2,0.8055851070289561
2,2,0,1,0.6604154918325575
1,0,1,0,-4.144387849767348
0,1,2,2,-0.0059454320452679635
1,2,1,2,0.3307861224223885
1,1,0,0,-1.3244920306982433
0,2,1,2,1.8916758692109727
1,2,0,0,0.6856889591905153
2,1,0,2,0.3681487522713349
0,0,1,1,-2.33999346146906
2,1,0,0,-2.0531633288865057
0,0,1,0,-3.77689811504967
2,1,1,2,0.744697277651347
1,1,1,0,-2.8251641750214542
0,1,1,1,-2.1662723140442446
2,0,0,0,-4.987207963461032
0,0,2,1,-3.983886939092219
1,2,2,0,-1.8682798839295869
0,0,2,2,-2.298247947199117
2,0,2,0,-4.944788069420535
2,2,1,0,-1.3392209192116835
2,0,2,0,-6.53501272477951
1,1,1,0,-2.848096292987909
1,0,0,1,-1.3441401636834476
1,0,2,2,-1.5951152811754155
2,1,0,0,0.10837913199312954
2,1,2,2,-1.078909340003419
0,0,1,0,-4.1534786615904
1,0,2,2,-1.4938760531805735
