c,d,e,a,b
0,0,1,1,-2.8284082745531576
2,1,2,0,-3.5717538130027733
1,0,0,2,0.5372340529789921
0,2,1,2,2.587874309504643
0,0,1,1,-1.830695447057126
0,2,1,1,1.3526442713238613
1,0,1,1,-4.452727861690278
2,0,2,0,-3.335906919202269
0,2,1,2,2.1476841336795855
0,2,2,2,3.2059142745772684
2,1,0,1,-0.2664457584105391
1,1,2,2,0.5422741471780023
2,2,2,0,-1.2218232202733317
1,0,0,0,-2.537395040764708
0,1,2,1,-1.312065522817289
2,0,1,0,-3.5191171789975257
0,2,0,1,4.084762237650489
0,0,1,1,-4.343682676408601
2,2,2,0,-0.9763402932587011
0,1,2,2,-1.1743034100422614
2,1,1,0,-2.3323851734323116
0,0,0,0,-2.5340415232321556
2,2,0,0,-0.6510117548073743
2,0,1,1,-0.5911683335855762
1,2,1,0,-0.12033813436212382
1,2,2,1,-0.9690746640000449
0,1,1,0,-2.392612093055389
1,1,2,1,-0.10505187711986186
1,0,2,2,-1.1022883937370875
1,2,2,0,-2.322521383942825
1,2,2,0,-2.9163464635034577
2,1,2,0,-4.435449487871965
1,0,2,0,-4.36333463002187
1,2,2,2,0.7251488472284978
1,2,1,1,0.9712937721754544
0,0,2,0,-5.024628618397411
2,2,1,2,1.7363974903706398
1,0,1,1,-3.647091720766454
1,2,0,2,3.624132882654866
0,2,0,0,0.3292220840540133
0,1,0,2,4.083521436813671
0,0,0,1,0.6101389841750187
0,0,1,1,-1.6794426817257468
1,2,1,2,2.9997512196232896
2,2,0,0,0.601804699211929
0,0,1,1,-2.4089100347862176
1,2,0,1,1.9565131702147416
2,2,2,2,0.4890508613295411
0,2,2,1,-0.24097984038372267
2,2,1,2,1.91814421770713
0,0,1,2,-0.2820373739659266
0,2,2,0,-0.8722232390638127
1,2,0,1,1.0958300180138871
2,1,1,2,-1.5826926411353641
2,1,1,1,0.9717991527316088
2,0,0,1,-2.296724702793705
2,0,1,0,-4.672345673357486
2,0,1,0,-5.5491503413668415
2,0,2,0,-4.211815852895022
1,0,2,1,-4.252007523901688
0,2,0,1,2.3287109634112175
0,0,1,1,-3.107556864067944
2,2,2,0,-1.3869745409545886
0,0,2,1,-3.331899036562281
2,0,2,0,-7.1980422139512115
2,0,2,1,-3.649465329210753
0,1,0,0,-0.8650579374553782
0,0,2,1,-4.265698180881765
2,2,0,0,0.5473327417846803
2,1,2,0,-5.4350559790039235
1,1,2,0,-1.880890929977071
2,0,2,0,-5.032566145772663
0,2,1,1,-0.02630286289253103
2,0,2,0,-5.937595466160186
0,1,0,1,-0.5231651240281927
1,2,2,1,1.9716749850659405
0,1,0,1,-0.4502073751390573
0,2,0,0,1.2930924536109085
1,1,0,1,0.24785672426730407
0,0,1,1,-2.997320925916879
2,1,1,1,-2.5334467969368393
1,0,1,2,-0.014344468146698985
1,1,2,0,-4.982738170298626
0,2,0,2,2.9354449532060785
1,2,2,2,4.291288709159551
2,2,0,0,-0.5808169173337936
1,1,2,0,-4.352036253652292
2,1,0,0,-2.9546846436623238
2,2,0,0,-0.25752941536322016
0,2,1,0,0.1738911809098661
0,1,0,1,0.4518320989928471
0,0,2,2,-1.727160784933883
1,1,0,2,2.0588917117051806
1,2,1,0,0.6387637446545817
1,2,1,2,2.9716905344796136
1,1,1,1,-1.7053204649775688
0,2,0,1,2.61969053059753
0,1,0,1,0.42577019369499164
1,2,2,1,-0.6155867795886001
0,2,2,1,0.8304235544035764
1,2,1,1,-0.02348253722384075
2,1,1,0,-1.595492448393844
1,1,2,1,-3.594099625647406
1,0,1,2,0.49127901555892617
2,0,2,0,-6.863504859338376
0,0,2,2,-1.4429932925158258
2,0,0,0,-3.7215466030805286
0,1,2,1,-1.7411071565493608
0,2,2,1,-0.43299474919674386
2,1,1,2,-0.5724819267824777
1,1,2,1,-2.74269311463482
1,0,1,0,-6.248752627003525
2,1,1,0,-3.906582493787878
0,2,0,1,0.8607460278247332
2,0,0,2,1.182238861772098
0,2,1,2,2.6003383280614427
1,2,2,1,-0.9186428049614662
0,1,2,2,0.782639566465491
0,1,1,0,-0.6811028323886874
1,0,0,2,0.7237865452929483
0,1,2,1,-0.8671528814823198
1,0,1,2,0.23310211026089522
2,0,1,0,-4.259145651274478
0,0,2,0,-5.468009305891022
2,2,2,2,-1.2092079174956645
0,0,1,1,-2.5412327440923264
0,1,0,2,2.471812944604983
1,2,0,1,1.0339405358894216
2,0,2,0,-3.186138962018127
1,2,0,1,2.3124407533435214
0,0,1,1,-3.8358914950335383
1,2,0,2,3.8192380412492395
1,2,1,0,0.03636623498503966
0,0,0,2,1.5993249313154139
1,2,0,2,4.546855913576541
1,1,2,2,-1.4956635552744328
1,1,1,2,0.957448702697316
1,2,2,0,-2.3151173340386673
0,2,1,2,3.1626471991948035
2,1,1,1,-0.3111702828789683
1,0,0,0,-4.595029105537753
0,2,0,1,2.069284408275537
0,2,1,1,2.0787405319235575
2,0,1,0,-3.5614071363350357
0,1,1,1,0.09570798331872221
2,2,1,2,2.9803723939313573
0,2,1,1,2.7865947982456962
2,2,0,0,-0.71006915402841
1,2,1,2,2.7606519417500515
0,1,1,2,0.04527900931525508
2,1,2,1,-2.5058387746116213
1,2,2,2,1.4088316193094501
2,1,2,2,-1.078909340003419
0,0,0,0,-3.893132658011749
1,1,2,0,-3.7652679700224363
0,1,0,2,2.7046902113701843
1,1,0,1,-1.1207465369156184
1,2,2,0,0.11697536811317999
1,2,2,0,-2.8933374959890292
1,0,2,1,-2.7622244794738187
2,0,0,0,-4.032412431431023
1,1,1,0,-3.206496049848254
0,1,0,1,0.02938694646013812
1,0,1,0,-3.4820617325527925
0,1,1,2,2.7164252123416652
2,2,0,1,0.32820407393669093
2,1,2,0,-4.064676815922261
2,2,2,2,1.8928579201823903
2,2,0,2,3.0035542377735824
1,0,1,2,-0.882010691092057
0,0,0,1,-0.9828713237286788
2,2,0,0,0.01120606678161988
0,2,2,1,-1.4141123357187788
0,0,2,2,-2.13138231236595
1,1,1,2,2.8632464547946
1,0,1,1,-2.02465266819243
1,2,2,0,-1.4122849699049318
2,1,1,1,-0.34315318936570505
2,2,0,2,2.353377100835399
2,1,0,0,-1.5348800568483347
0,0,2,2,-1.6228188903460188
1,0,1,1,-4.255372503987184
0,1,2,0,-4.582368293059726
0,1,1,2,1.2763946050101884
0,2,1,1,0.9410708436752611
0,2,0,2,5.279531974568441
0,0,2,0,-5.891790229733328
1,2,1,1,-0.1909069958445193
0,0,1,2,-0.793076442011267
1,0,0,2,0.697396557193623
2,0,1,1,-2.7896635944453094
0,1,0,0,-2.5765962697308424
0,0,1,0,-3.2874925883273933
0,1,2,0,-2.859292050786486
1,0,0,0,-3.0580172223237287
2,0,0,0,-3.484737168901609
2,2,0,2,3.5714313979503616
1,0,1,2,-1.7385249753526408
0,2,1,1,2.0052184022261796
1,2,1,0,-1.4556241064013962
2,2,1,2,0.10482444152595605
1,0,1,0,-5.637932513993441
2,2,0,0,-0.11824545029309992
0,2,2,0,-0.4182510928038432
0,1,1,1,-0.6928067231439554
1,0,1,0,-3.991708797346885
2,1,0,2,1.1283796626418408
2,1,2,0,-3.234713939661961
2,1,2,0,-3.499480471412405
0,1,1,1,2.041763379756685
0,1,2,0,-4.679095052387986
1,2,0,0,-1.2672419934867665
1,2,1,2,4.101136566359134
0,0,0,1,-1.8820807971945008
2,0,0,0,-2.8741566617340677
2,0,0,2,-0.02203002883637463
1,0,2,0,-7.7586142826957145
2,2,2,0,-3.4360613278449876
1,0,0,1,-1.7080470752815335
1,0,2,2,-1.4938760531805735
0,1,2,1,-1.0807301881011888
2,2,2,0,-2.003746163774994
1,1,1,0,-1.310294147119594
0,0,1,1,-3.9844812540903893
0,0,1,1,-1.6446759368533745
2,0,0,0,-5.512813738525829
0,0,1,1,-3.2248349169327835
2,2,0,0,-0.3625966607715125
2,2,1,0,-2.4505124336305943
2,1,0,2,2.6534762908776646
1,0,1,1,-3.7252235103798346
2,1,2,2,0.06200956837807403
2,2,2,0,-1.5985474100604096
1,2,2,2,2.3181642172281727
1,2,0,0,-0.5269249589301567
1,1,0,1,-0.20719287478907122
0,0,0,1,-3.1020002370036126
0,0,2,1,-3.983886939092219
1,1,0,0,-0.874166902193284
1,0,1,0,-3.7833019578954232
2,1,0,2,2.3677256087500638
2,0,0,0,-1.5945653084271396
0,2,2,2,0.6094056602465094
1,0,0,2,-1.3580397753910465
0,2,0,1,1.334082221382308
0,0,1,0,-3.6051836771369086
2,1,0,0,0.2950242577008557
1,0,2,0,-4.217871980165093
2,0,0,0,-3.9329142558225025
1,1,0,0,-0.5705902092517945
2,0,1,2,-2.22598494933922
1,1,2,0,-6.345613864977378
1,0,1,1,-2.3595786458719092
1,1,1,2,2.6408985712329147
1,2,0,1,3.1913338564645195
2,1,1,0,-2.471726037918969
2,2,2,0,-0.7536205421231756
0,1,1,1,-1.638047870874028
0,2,1,2,4.484233251497638
1,0,0,1,0.7858211815981515
2,0,0,0,-2.6967423212803605
2,2,0,1,2.0693053911044106
0,2,2,0,-2.1247484305257123
0,1,1,2,0.43254057152048087
0,0,2,1,-3.078953990835164
1,0,1,1,-3.491529454672036
2,1,2,2,-1.165540718740528
2,0,0,0,-3.6878257252886892
2,0,2,0,-6.2569376216658465
1,2,2,1,1.4981121618238797
1,1,1,2,1.5513508383448258
0,0,0,1,-2.360263292118421
2,0,0,0,-4.129642983014011
0,0,2,2,-1.2020086291954126
0,0,0,1,-1.3713547006765017
1,1,0,2,2.7332326628690757
0,2,1,1,0.8771492838844146
2,2,1,2,3.6364708827809284
0,0,2,1,-3.9929258703203994
0,1,2,1,-1.0469557902292137
