c,d,e,a,b
0,2,2,4.702419881522928,2
2,2,0,-2.1993829875014614,2
1,2,2,1.466078022812463,0
0,0,2,5.261309195379189,2
1,2,0,0.5073452180283107,0
0,0,2,5.678263153404346,1
1,0,0,2.3704769952146405,2
2,1,1,0.304149811587539,2
1,2,1,2.2097414968730527,2
1,0,1,3.8647917866944352,2
2,0,1,1.9786786171598685,2
0,0,2,5.440112559437563,2
0,1,0,3.3562637354119182,2
0,1,2,2.509552275205697,0
1,2,2,1.55479395541394,2
2,2,0,-1.9930174037951056,2
1,0,1,4.966607746576603,2
1,0,2,2.9157585462818765,0
2,2,2,1.3219634711635138,0
1,0,0,4.4072124782580335,2
1,2,1,1.3707755724355528,0
0,0,1,4.11492507551861,2
0,2,1,4.7934038278089375,0
2,2,2,-4.308147666955499,2
2,0,1,0.6824454566015753,2
0,2,2,5.098605012173529,1
1,1,0,2.6058289086483435,2
2,0,0,2.018529077783215,2
0,1,2,3.4430387513927596,1
2,1,1,0.5318043608587765,0
0,0,1,4.311719734383024,2
0,1,0,4.270885709853105,2
2,2,2,0.21741470576731725,1
2,2,0,-0.308177699951447,0
0,0,1,5.280892299284488,2
2,1,0,1.409794355846865,2
1,0,1,4.704303355541924,2
1,0,0,4.050304251421327,0
1,0,1,2.8344229357038357,2
2,2,2,-2.1246788107519334,1
1,2,1,2.2183234474094755,2
0,1,2,3.4927555921433546,2
0,2,1,5.266149579835426,1
2,1,0,3.3795107376236597,2
1,0,0,5.5187125493227045,2
1,2,2,0.9854642635983841,2
2,2,1,-0.7782311106999008,2
0,1,1,2.386723489137684,1
0,0,2,4.913223276775725,2
2,2,0,-0.01945473410786966,1
2,1,0,1.1433682238791576,1
1,0,1,2.7064336284269968,2
2,2,0,0.017522854532401932,1
2,0,1,1.1455701772062634,2
0,0,0,6.3550867270383575,2
2,1,2,-1.9915341869404941,0
1,0,2,4.43552712296279,0
0,1,2,3.4943868283971664,1
2,1,1,-0.07812642713469517,1
0,2,1,2.269387672493941,2
1,1,1,2.25718557063936,2
0,0,1,5.431146159936864,2
0,1,1,3.7007683416700408,2
1,0,0,4.001889605448381,0
2,1,1,-1.2239927855991333,2
2,2,0,-0.3510532107962953,2
1,1,2,0.9723577046619916,1
1,2,0,0.2791850200326411,2
1,0,0,2.403202139329581,0
2,0,0,1.0137838383041644,1
0,1,0,4.524155695939796,1
2,0,1,1.1857572378648438,2
0,0,1,6.499477598874009,1
0,0,0,5.672522860579646,0
1,2,2,1.5139694372520744,0
2,1,1,-0.5524151843493504,2
0,0,2,5.147051894470774,2
1,0,0,3.753160995740504,2
2,2,1,-2.417199088104038,2
1,1,1,2.404135668288997,0
2,0,2,0.5697299895897545,2
1,0,0,3.704973728054792,2
2,0,2,3.38109229108736,2
0,0,0,5.981753466392519,1
1,0,2,3.967840677748516,0
0,0,2,5.2661375027171315,2
1,2,1,1.5441394996172289,1
0,1,0,4.449571784657464,2
1,2,1,2.2742255471705213,2
1,1,0,2.9839623195942573,0
1,0,2,2.3869892302164164,2
0,2,1,3.8537416884799534,2
0,1,0,3.873873956352601,2
0,1,2,2.252472475634812,2
0,1,0,3.1568126536061833,2
0,1,0,3.7768588339227382,1
0,2,1,3.4246793540553186,2
2,1,1,-1.3520294058270754,2
2,0,0,-0.2552183316620493,0
2,2,0,-1.325314122649716,0
0,2,0,3.14357001862666,2
2,0,0,2.857050458793555,2
0,2,1,3.973124569577564,0
2,0,2,-1.689502868633538,2
0,2,0,3.146262427063478,1
0,2,0,3.822860045029622,0
1,0,0,4.876296601499329,0
2,2,1,-0.6392434970792449,0
1,2,2,3.247618774639234,2
1,2,2,0.7401935683348636,0
0,2,1,5.585666635375603,2
2,1,2,-0.9127497808832317,2
2,2,2,-1.104847191454901,2
0,0,0,5.736718396857517,2
2,0,2,0.08103043861548542,2
0,0,2,3.526739218199445,2
0,1,1,4.432733977517776,1
2,0,2,0.8481887962931476,2
2,0,2,2.21475858189522,2
1,0,0,4.743180759776724,0
1,2,1,1.400236262066373,0
1,0,0,4.433434602356772,0
2,0,1,0.3393071713689618,0
2,0,0,-0.30493235489454107,2
1,2,1,1.741800117437311,2
0,1,0,3.5785063389191416,2
0,1,1,3.2517963319088365,2
1,1,2,2.871124247728003,2
1,1,1,2.374592532855919,0
2,2,1,-1.5019683540679367,2
1,2,1,1.432120894463255,1
1,1,0,2.865706037457973,0
0,1,1,1.8247186219705882,0
2,2,0,0.09172117521889095,2
0,2,2,3.121129963688651,2
2,2,2,-0.6434947508475399,2
2,0,1,2.3883085802598836,2
0,0,2,5.82805029238201,1
1,0,1,3.1016707803926633,2
2,2,2,0.00823229838015882,2
0,1,2,3.5874658141470572,1
1,2,0,0.9416798289962893,2
0,2,0,3.6138362563051323,1
0,0,1,4.922891729314302,2
1,2,1,2.4132112630066525,0
0,2,2,2.1104267984933096,2
0,2,0,2.813273060448852,2
2,1,2,-0.29869087252168314,1
2,0,1,0.3523442009518236,2
2,0,2,0.08745233896034532,2
1,0,0,3.1007750981335356,1
0,0,1,5.443995636261912,0
2,0,1,1.2893069587959591,2
2,2,0,-0.7987708862700772,0
1,1,2,-0.9932901854716674,2
0,0,2,5.235568271142998,2
2,0,2,-0.3955652543852568,0
0,2,2,3.0351709882170788,2
0,1,0,3.617320968304118,2
0,2,1,1.5960544728458155,2
2,2,0,0.14340317138082181,0
0,2,1,2.8979060590363646,0
0,2,0,3.5364322200367533,2
1,1,1,2.507518950544384,2
2,2,0,1.9283058424503952,0
0,0,0,4.767040811538672,2
1,2,2,1.0700121718496385,0
1,0,2,2.3602962415901776,2
1,2,2,1.0811054772861082,0
2,0,1,1.3305325749485444,2
0,1,0,3.8411515888445686,0
1,2,0,2.286810762697888,2
2,0,1,1.0205520691646173,2
1,2,1,1.7971166705581008,2
2,0,0,1.0881347742255911,2
2,2,1,1.8934727469040258,0
2,1,0,-0.6876065610443176,2
2,0,2,0.5709381581391042,2
1,1,2,0.9262052372855027,0
0,1,1,4.591705787554821,0
1,0,2,3.722076157480972,0
1,0,1,3.445653628239101,2
2,0,1,0.10244566439325098,2
1,0,1,4.314939897070986,0
1,2,0,3.4050305427507928,2
0,1,0,2.5282489441570486,2
1,1,2,1.1179032779421898,2
0,1,1,3.8104175854440685,2
1,2,1,1.9065394884860702,2
0,2,0,3.700397098695019,0
1,0,1,4.272380525667727,0
0,2,1,3.155807960926167,2
2,1,2,-0.626761901817555,2
2,1,2,0.09608694625034964,0
0,2,0,3.389471269809167,2
2,1,1,1.4401629465047245,2
0,1,0,4.384235703325408,2
2,2,2,0.03085370819755595,1
2,1,0,0.5622114514438206,2
2,0,2,1.4943936783286862,1
1,1,0,2.8695799037764647,0
2,2,1,-0.1938740559941204,2
0,1,0,4.811989022683153,2
0,0,0,5.097507774608756,2
0,2,2,4.73605041130858,1
1,0,1,3.1607672829117917,1
0,2,2,4.394399060420402,0
1,2,1,1.8768602364131701,2
0,0,1,6.276599354409068,0
0,0,1,5.875751565488015,2
2,0,0,2.830036375684803,2
0,1,0,7.362744156518398,0
1,0,0,6.593817996523471,2
2,1,2,-0.6730872699929185,2
2,0,2,0.974534700170552,0
1,0,0,3.370352696654856,2
2,2,0,0.18032660442752702,0
2,1,1,-0.997624344596179,2
2,2,0,0.3568743621438546,1
2,1,2,-1.739581573918816,0
1,1,2,3.7002576659013107,2
0,2,0,3.5724819570377706,2
2,2,0,-1.3128316531095836,2
2,0,0,1.0303937326171653,2
1,0,2,3.4184161147925813,1
1,0,2,2.1496467939777,2
1,1,0,4.470110433652941,1
1,2,1,2.567764105521241,2
0,2,2,2.5709846375968795,0
2,0,1,0.0307265423193126,1
1,1,1,2.8245281558333097,2
0,2,1,4.04483607173264,1
1,2,0,3.0628804294470826,0
2,1,2,-0.541806631067968,1
0,0,1,4.3835516325271175,2
0,2,2,3.9114485728231445,0
2,1,1,-0.05518169722937449,2
1,0,0,2.9559231486789197,0
1,2,2,1.5612994597147132,2
1,2,1,1.8877100926872306,2
2,0,1,0.7517318636535142,0
0,1,2,4.23995561473075,0
1,2,2,-1.0898417835567802,2
1,2,0,3.0177719517278474,2
1,0,2,2.728589857904875,0
2,0,1,0.6571396668609661,0
0,1,2,3.1056005156508046,2
1,2,2,1.8076327773663092,2
2,1,2,-1.7404542961040248,2
0,1,1,3.9122461715222294,0
2,2,2,-0.01776941382890429,0
1,1,1,3.285403308256911,1
1,1,2,0.9155124181410803,0
0,2,2,2.1966361795065747,0
0,1,2,2.016946720803877,2
1,1,0,1.2836539260248647,0
0,1,2,4.323193147795806,2
2,2,2,-0.07891050937353372,1
1,2,2,0.25958344212023055,2
0,0,0,7.271030204762073,2
2,1,0,1.5600924240399703,2
2,0,1,1.7645548935828899,2
0,2,1,3.120929198788249,1
2,0,2,0.12551413962102975,0
0,1,0,5.044241155238323,2
1,2,0,2.7823935195761624,2
1,0,1,2.209059669165469,0
0,1,2,3.735484147228455,1
1,2,1,2.250695676165161,2
0,2,0,5.143623835464931,0
0,0,0,4.548630122999254,0
1,2,2,1.1791879371316005,2
0,0,2,4.482051912756638,2
2,1,1,-0.16967162938016886,1
2,1,1,-0.5791578969312443,1
0,2,0,5.105480166460641,1
2,0,2,-0.21837801122304346,2
2,0,0,0.8612302372691278,0
2,1,0,-0.7504017465133468,2
0,2,1,3.2705977444494043,2
2,2,0,0.7846547247561324,2
1,0,1,3.8648221587822267,0
2,0,2,1.3961029339821442,2
0,2,0,4.342379587131441,2
2,2,2,-1.1711619952026866,0
2,2,0,-2.064231508347751,2
1,2,1,2.237460977520394,0
0,2,0,3.7155016980006548,2
0,0,0,5.148034498180676,0
2,0,1,0.7225544262317167,0
1,1,2,1.7675129183560103,1
2,2,0,-0.9718214206833246,1
2,2,0,-1.0535179046043974,2
2,2,1,-1.1042929206257661,2
2,0,0,1.6016664051655016,2
1,1,1,4.221434069429945,1
2,1,2,0.11383481509084181,0
0,0,2,2.770919390327138,2
1,2,0,2.393314886837706,1
2,2,2,-0.46169550316644037,2
2,2,1,0.3869179320590618,0
1,2,1,1.4776852682679682,0
2,2,2,-2.5382597353184773,2
0,1,1,4.883082233537137,2
0,1,1,3.599733317882038,0
0,0,0,7.268574050040412,2
2,2,0,-1.3968837274820094,0
0,0,0,7.405745696187023,1
0,0,2,3.4923444640400314,2
2,2,1,1.5028415151904435,2
0,1,2,3.7547978303679033,1
2,0,1,2.200487534482169,2
1,1,1,3.172270965516857,2
0,2,1,4.722021412177124,2
1,2,0,2.6644543546634774,2
1,2,0,3.185064290358326,2
2,2,2,-2.032130012017763,2
1,0,1,3.698577772298914,2
2,1,2,-1.6514027605353891,2
2,1,2,-0.46748556917764467,2
1,2,1,2.3729084103629074,0
2,1,2,-0.5010898532232547,2
2,0,1,2.369569330977856,0
1,1,0,3.6759322547818454,2
1,2,0,2.989037128329608,2
0,0,1,6.272008519735373,0
2,2,1,1.140092015931944,0
0,0,0,4.727008064260589,2
1,0,2,2.900571171318324,0
1,1,0,2.8924308131374756,0
0,0,2,3.8077610147714083,2
1,2,1,1.6441605044194785,2
2,0,0,-0.0642962718312059,0
0,1,2,2.3892909324102938,0
0,2,1,4.991898437035343,2
2,0,1,1.002468729941936,2
2,2,0,-2.0977307396684584,0
1,2,0,2.551837085924144,0
0,2,2,2.690145385716552,2
2,0,2,-1.2422009182985971,2
2,0,0,0.6522309212079909,2
1,0,2,2.893266501821237,2
1,0,1,3.9369211823782653,2
1,1,1,1.9492502548056643,1
0,0,1,6.345644718190653,1
1,2,1,1.8328138386438304,0
0,1,2,5.875506836860627,2
0,0,1,6.200411368881448,0
0,0,0,6.928793566702121,2
2,0,1,2.5250709202373107,0
2,2,0,-1.4360783631024716,2
2,1,1,1.3478718465283994,2
1,0,0,6.590184008461357,2
1,2,0,4.051180679724417,1
1,1,0,3.145137300688717,0
1,2,2,0.5344128627651675,2
0,2,2,4.2201273062222215,2
0,0,1,4.786668978491448,2
2,0,1,1.5079578246626975,2
0,2,2,3.9982476057335212,2
0,2,0,4.978516061986433,2
2,2,1,-1.2190675171797865,0
1,2,1,3.067507531766783,0
0,2,0,4.341783669907284,2
2,0,2,0.43884796818460103,2
1,0,1,3.4319828673411608,2
2,1,0,0.6740476065572933,1
2,0,2,2.4260548924321954,2
1,0,1,3.3651519799093825,0
0,0,2,5.637560409847714,2
0,2,1,2.7851421217691654,2
1,0,1,3.216103415969059,2
