c,d,e,a,b
2,1,1,-2.6807827447471855,1
2,0,1,-1.5944544609842846,1
2,0,2,-1.5092219561443505,1
0,1,2,-4.479130115000658,1
0,2,1,-3.5186293211250526,1
2,2,2,-3.999731625308364,1
0,0,2,-5.491488231872853,0
1,1,1,-2.635118828622829,0
1,1,0,-1.8414611132933185,1
1,2,2,-4.264418313129547,1
1,1,2,-5.169981178222122,1
2,1,1,-2.170618012294656,1
1,0,0,-1.1786068022003835,1
2,2,2,-4.461922640881563,0
1,2,0,-1.8380103906955283,1
1,0,2,-1.7833490323799377,1
1,1,1,-3.0170471653914137,1
0,1,0,-2.2822514583844464,0
1,1,1,-4.985329626577101,2
2,2,1,-3.0175234261991597,1
1,0,0,-2.060457317789315,1
2,0,0,-1.150046551732565,0
2,0,0,-2.122505952012089,0
0,1,1,-3.6656448475376036,0
0,1,2,-5.577981358221366,1
2,1,0,-2.0478385643823094,1
0,0,1,-4.446862337343465,1
0,0,0,-1.99091205409249,1
2,2,1,-1.8631377991592417,1
1,2,0,-2.0503386349280435,2
2,2,0,-1.2682901071101749,1
2,1,1,-0.9552079889230112,1
2,0,1,-2.3676156276493825,1
1,2,2,-4.205162342129205,1
0,1,0,-3.3429618034932336,1
2,1,0,-0.362297851224078,1
0,1,1,-3.908616579085613,1
0,1,2,-6.030701868246074,1
2,0,0,-2.7204056308217615,1
1,0,1,-2.257729260888468,1
1,0,0,-1.112333692638277,2
0,0,0,-1.7287803896549243,1
1,0,2,-2.758894193757155,1
1,0,0,-0.9073940340064276,1
2,1,1,-3.9383062291550726,1
2,0,2,-4.995103192043647,1
2,0,0,-0.8581984369136559,1
0,0,0,-2.440197439103402,1
2,0,1,-2.734752842571774,1
0,0,0,-3.301706795390146,1
2,0,0,-1.5855800022703948,1
2,2,2,-5.679004222091569,1
1,1,2,-4.302709350768349,0
2,1,1,-1.6531771612278996,0
0,2,1,-4.216364069760473,1
1,0,0,0.14608719959160377,0
0,1,0,-3.524946770451372,0
0,1,1,-3.6036066886714715,1
1,2,2,-5.149330075442734,1
2,2,0,-3.922553362235247,1
2,1,1,-1.0487399192713107,0
2,2,1,-3.8303001238977217,1
1,1,2,-6.007627238920936,1
0,0,0,-1.8257274311921285,1
0,2,0,-3.757785446873846,0
0,2,1,-2.804091862923871,0
1,0,2,-5.300621685203751,1
2,0,0,-0.5394985487478829,1
2,2,2,-4.436502312787165,1
1,2,1,-3.1010257334898985,1
1,1,2,-5.052505583620791,1
1,2,1,-4.299652183759097,0
1,1,2,-5.424480472018284,1
2,1,0,-0.8018570557501901,1
2,2,0,-1.0384350833304068,0
0,2,0,-3.601080351045594,1
2,2,2,-3.9921016948711694,0
1,0,1,-2.8261271406829755,1
0,2,2,-4.926402170187477,1
1,1,0,-2.530124590481889,0
0,1,1,-3.0567367942026924,1
2,0,0,-2.0244460490454004,1
0,0,1,-4.057065358063047,1
1,0,0,-1.5761425961121025,1
0,2,2,-5.1174513984071215,1
0,2,1,-3.8810769005263017,2
0,0,0,-1.6679473766355457,0
0,1,0,-2.7960727598548227,0
2,1,0,-2.289662598408304,1
1,2,1,-3.6428465230586395,1
0,0,2,-4.3158705361449075,1
0,0,1,-3.7916073376090935,1
1,2,0,-2.922249413259609,0
2,0,0,-0.2016491760567396,1
1,2,1,-2.705411723637044,2
0,0,0,-1.8164492350916919,1
2,1,1,-2.9234889961542545,1
2,2,0,-1.397566737447018,1
2,0,0,-1.5385357210942519,1
0,2,0,-3.933934748721872,1
2,1,0,-0.6355406421880339,1
1,2,2,-3.275544265808197,2
0,0,2,-3.690493896268788,1
1,2,1,-5.122856241174194,1
2,0,1,-1.8043522005746158,1
2,1,1,-3.620068267645953,1
0,1,0,-4.108887871402689,1
0,0,2,-4.668198848786275,1
1,1,1,-2.3812760684096084,1
1,1,2,-4.526828291306305,0
1,0,1,-2.7031724189713984,1
