c,d,e,f,g,h,a,b
0,1,1,2,1,2,2,0.9571862614741704
0,1,0,0,0,1,1,0.47259390975654547
1,0,2,2,2,0,2,8.60815491686452
1,1,2,0,0,0,0,1.3936535364965423
0,1,2,2,0,0,1,3.279284408275538
1,0,2,0,0,1,1,7.492337024710338
0,0,1,0,1,1,1,1.6952280044216401
1,2,1,2,1,1,0,0.03128176698502194
0,1,0,0,1,1,0,-2.417355728676138
2,0,1,0,2,2,2,6.682622523078706
1,1,1,1,0,1,2,3.6305599144183005
1,1,1,1,2,0,0,0.8599050878955642
1,1,0,0,2,2,0,-0.8642920166812778
2,1,0,2,0,1,0,0.1394026697539059
1,1,2,2,0,1,1,4.650519528587595
1,1,2,1,0,2,0,1.8832418651956477
1,0,1,0,1,1,1,4.796006291502786
2,1,0,0,1,0,2,4.756129681004105
2,2,2,2,2,1,0,1.2504926026404026
1,0,2,0,0,2,2,6.255148847228497
0,2,0,2,2,1,2,-0.002806723143955428
1,1,0,2,2,1,2,1.9469529183086864
1,1,2,1,1,0,0,2.3542105138449947
2,2,1,0,1,1,2,3.458864085640262
0,1,0,2,1,0,1,-0.35504567271880905
0,0,2,2,1,0,0,5.249664069614839
0,1,2,2,2,0,1,2.814248009749681
2,1,2,1,0,1,0,2.2186359283547317
1,1,0,0,2,2,1,-0.1986825689629627
1,1,0,0,0,1,1,1.7981708074791094
2,0,1,2,0,1,1,4.209050861329542
1,0,2,0,1,2,1,5.781250457845894
2,0,1,2,2,1,0,4.4432578317891585
1,2,0,0,0,0,0,-4.395354262007704
1,0,2,0,1,1,0,3.4241768657574174
1,1,1,0,1,1,1,1.673503950151746
1,2,1,1,2,0,0,-0.07807171692118703
0,1,0,0,2,2,1,-1.3377307716044333
0,0,2,2,0,0,2,7.389529420771451
1,1,0,0,1,2,0,-1.6453417190365336
0,1,0,0,0,2,0,-2.9315498692220885
1,2,0,0,2,1,2,-0.06162182957426188
2,0,0,1,1,2,2,4.507970952210054
0,2,0,1,0,0,1,-1.6686247460237713
0,2,2,0,1,1,1,1.5304096921180612
1,0,1,2,1,2,2,4.7028235962225695
2,0,1,0,2,1,1,4.563794735652738
1,2,1,2,0,2,1,1.1832630792475312
0,2,1,2,0,0,0,-0.8014071363350351
0,2,1,0,0,2,0,-0.5538725286244093
1,1,0,2,1,1,0,-2.1553115088198087
0,1,0,0,2,1,2,-0.11692507363294613
1,1,2,2,2,1,2,7.3832399694454045
1,1,1,1,2,0,1,3.748245592371294
0,2,0,2,1,1,1,-3.372757546762147
1,0,2,0,1,1,0,2.333938672155012
2,0,0,1,1,2,2,6.56671984711762
1,0,0,1,1,0,1,2.6161239468194264
2,2,0,0,2,1,0,-3.0637051185431488
2,1,1,0,2,1,0,2.600860903859193
1,1,0,2,1,1,2,1.873062378334154
1,2,1,2,2,1,2,1.6343080784865287
2,0,1,1,0,1,0,1.7707460278247342
1,2,1,2,2,0,2,4.803470384767505
1,2,2,2,1,1,1,2.3138555973136405
1,0,1,0,2,0,0,1.785204925209917
1,1,2,1,0,1,1,4.137253316031325
1,2,1,2,2,2,1,2.426615533650645
0,1,0,2,0,0,2,3.5517991527316086
0,2,2,0,2,1,0,-0.08486863249218993
0,0,2,1,0,1,1,3.433921959649508
1,2,2,2,0,2,2,5.036328772170417
2,1,1,0,0,1,1,4.0407421557961944
1,1,0,2,1,2,1,1.7816813728601069
2,1,0,2,2,2,1,0.10222285889552984
0,0,1,0,1,0,1,2.391080129666623
1,1,1,0,1,1,2,2.5837431817046173
1,1,1,1,0,1,2,5.874776058748271
1,1,0,1,1,0,1,2.177401527738422
1,2,1,2,0,0,2,3.83080016414602
1,2,0,2,0,1,1,-0.021170282878968716
1,2,0,0,2,0,1,-1.6095845081674431
2,2,1,1,0,0,0,-1.0052999455287572
0,1,1,1,1,1,2,3.357774197492511
0,0,1,0,0,1,0,-0.7223682930597255
2,2,0,1,0,2,1,0.2270493475099132
0,2,0,1,0,1,1,-0.7089008344107024
2,1,1,1,0,2,0,1.8170316022939805
1,0,0,2,1,0,1,3.925982424162048
0,0,2,2,1,1,2,5.911654462134981
2,0,1,1,2,1,1,4.089399145158496
1,1,2,2,1,1,0,3.59185486052752
2,1,1,0,2,0,0,3.3363794578768244
1,0,0,2,0,1,0,0.31459558089343714
1,1,0,2,1,1,0,-1.0813358302760037
2,0,0,0,1,0,0,1.0977318053933471
2,2,0,0,1,0,0,-2.1341422934704086
0,0,2,0,0,0,0,0.587552943956521
2,0,0,0,0,2,0,0.5268366711134942
0,2,1,2,2,2,1,0.08208789083488
0,0,0,1,2,2,1,1.6604719911385657
2,2,1,1,0,1,0,0.026522749820965086
0,2,2,2,0,0,0,0.4597059256391306
1,2,2,1,2,1,1,2.4532869746898505
2,1,0,1,0,0,2,4.475833097806715
2,0,0,0,2,2,1,3.317481042120839
1,0,1,1,1,2,1,4.484699196769792
1,0,2,0,2,2,0,2.194279490695431
2,1,2,1,0,2,0,2.0412573892922894
1,2,2,1,0,0,0,1.445193351756017
1,2,0,2,1,2,2,-0.11441648830843221
2,0,0,1,0,0,0,2.6084508503183312
1,0,1,1,2,2,0,0.36648267634734744
2,2,1,1,0,1,2,4.3704495138460375
1,0,0,1,2,0,0,-0.7737590970601951
1,2,1,2,0,0,0,-1.6337024127178006
1,2,0,2,1,0,0,-1.548818794776258
2,0,2,2,2,1,0,4.458808973852994
2,1,1,0,2,1,1,3.926033077042618
1,2,1,2,2,0,2,4.2617584942033675
0,0,1,2,2,0,0,1.9506987820947639
0,1,2,0,1,1,1,2.2023882754577526
2,1,2,1,1,2,0,2.9483082058270065
1,0,2,1,0,2,1,5.118453396919471
2,0,0,0,2,1,0,-0.5982426621125352
0,2,0,1,2,0,2,2.8617633797566855
0,0,1,0,1,1,1,1.8780211922700203
1,0,2,2,0,2,2,7.747370803031829
2,2,0,1,2,2,2,1.403075041069843
2,0,0,0,1,0,0,1.5394095368958691
1,1,1,1,0,1,2,4.071952924718467
2,2,1,1,1,0,2,3.573656823171091
2,1,1,2,1,0,2,5.500279943710236
2,2,1,2,0,2,1,1.8005289348836775
2,1,1,1,2,1,0,0.5764951406616248
2,1,0,0,1,1,2,4.403087518045354
0,0,1,2,1,2,2,6.040792758428316
1,1,1,2,1,1,1,2.951748919319747
0,2,2,1,0,2,2,5.652447901083496
1,1,2,0,1,1,0,2.619554006723362
1,1,0,1,0,2,0,-1.2571086047775992
1,0,0,1,2,1,0,0.49354901163620485
2,2,2,2,1,2,0,1.4967457977264063
0,1,1,0,2,1,1,1.8941903451231674
0,2,1,1,1,0,1,0.6193045529428746
2,0,1,2,0,1,2,5.38964562415159
1,0,0,2,0,1,0,-0.33826839036380923
1,0,0,1,0,0,2,3.4431468040128226
0,0,2,2,1,2,1,5.634513697115551
0,2,1,0,0,0,1,0.4923761925657988
1,2,2,2,2,0,1,3.5051808831527906
0,1,0,1,0,1,2,0.45000490312177766
2,2,0,1,0,1,0,1.2196972218373099
0,1,1,1,2,2,1,1.2190962421890061
2,2,1,1,2,1,0,-0.7219097199812763
0,0,1,2,1,2,2,4.825688959190515
2,1,1,2,0,2,0,1.0477529112346138
2,0,1,0,0,0,0,1.263184128234924
0,1,0,0,2,2,1,-1.3381731759889541
0,0,2,2,2,2,2,7.858725558462862
1,2,1,1,0,0,2,3.642857920182391
0,0,2,2,0,2,1,3.338470545327964
0,0,1,1,1,2,1,1.7219455932147927
0,2,2,0,2,0,1,2.9942094888580093
2,2,0,1,0,1,1,-0.1488776202803841
1,1,0,2,2,1,0,-2.1251791944441756
1,1,2,2,0,0,0,3.005043036116171
1,1,2,2,0,0,2,6.706694499043086
2,1,2,2,2,2,1,6.4012280051906485
2,0,1,1,0,1,1,4.435251569474288
2,2,0,2,2,2,2,3.0083530326440657
1,0,2,1,0,0,2,8.529447572617896
1,1,1,2,1,0,1,4.22953197456844
0,1,0,1,2,0,0,-2.125056912449257
2,2,1,1,0,1,0,-1.6079355185014959
2,0,1,0,1,0,0,2.312509922624766
0,1,1,2,1,2,1,1.2117984270108204
0,1,2,1,1,1,1,3.1203364055546907
1,1,0,1,1,2,1,-0.11115298265715512
0,2,2,2,1,0,1,2.1559990650052163
2,0,0,0,1,0,0,0.4229448454631135
1,0,1,0,1,1,0,1.9805081860196494
1,0,2,0,0,2,1,5.756111830892447
2,0,1,0,0,1,0,0.734816253477792
2,1,1,1,1,0,0,3.1834958143064744
2,1,0,1,2,2,0,0.8085528161418156
2,2,1,2,2,0,0,1.3297273397350489
2,1,0,2,0,1,2,4.263786545292948
0,1,2,0,0,2,1,1.2489830720925308
0,0,0,1,1,0,0,-1.0221639001105838
0,2,0,0,1,2,0,-4.285867117345133
1,1,2,0,2,2,2,8.327805536116447
1,2,1,1,2,2,1,1.9643121862471826
2,0,2,2,2,2,0,5.326956676060191
0,1,0,0,1,0,0,-2.150712358465092
0,2,1,2,0,1,0,-0.5619181773347022
0,2,2,0,2,1,0,-1.1452565518733757
2,0,1,1,0,2,0,3.576807698865147
1,2,1,0,1,2,0,-2.621762069047115
2,0,2,2,0,0,1,7.391982777676272
0,2,2,2,2,1,2,3.537895777255372
0,0,0,1,2,0,1,0.6725166650705691
2,0,2,0,0,0,0,3.768148752271334
2,2,2,2,0,2,0,1.1534351758168033
2,0,2,2,0,1,0,5.129508999763814
1,2,0,2,2,1,0,-3.1364861068187233
0,0,0,1,0,1,1,1.557376966919648
1,0,1,1,2,1,2,3.8163173235913987
2,2,1,1,0,2,2,2.3317362401311525
2,2,0,2,1,2,0,-2.3505158205011196
0,0,2,2,0,2,0,2.9149172812729125
2,2,0,0,0,0,2,2.5205346707892464
0,0,2,0,1,1,1,4.782222062036599
0,0,1,2,2,1,0,1.484796521725314
0,1,2,2,1,0,0,0.35434363152803905
1,1,1,1,0,2,1,4.156711325859024
1,2,1,2,0,0,1,1.0744985102644993
1,0,0,0,2,2,1,1.2952108472817419
0,2,2,2,1,0,1,2.3063242820282013
1,1,0,0,0,2,0,-2.459681428072203
2,1,0,1,0,1,0,0.8526444176155616
1,1,2,0,1,1,2,5.078912841883721
1,1,1,0,1,0,1,2.219103420554983
0,2,2,2,1,0,1,1.721830209163326
0,0,1,2,0,2,1,3.184937889614103
1,1,2,0,0,2,0,2.2920034574210213
0,1,1,1,2,0,1,1.2936029248074918
1,2,1,1,2,1,2,1.804608200530892
2,1,1,1,2,2,2,6.806984767226469
0,1,1,1,1,0,1,1.0186176876340505
0,2,1,1,1,2,1,-1.634668327308561
0,1,0,2,0,1,1,0.1286037654963691
0,0,1,0,0,2,2,5.282792856102714
2,2,2,1,2,2,0,3.1308828210024746
1,1,1,1,0,2,0,-1.123588301401389
