c,d,e,f,g,h,a,b
0,2,1,0,0,0,5.774794042389272,0
0,1,1,2,1,1,3.221116102490999,1
2,1,0,1,0,1,5.244721269023198,0
0,1,1,0,2,1,4.841098517109284,0
0,0,2,1,2,2,-1.776122266834445,1
1,0,0,1,0,0,4.812185628154495,0
0,0,0,2,0,0,2.647853220950682,1
0,0,2,1,1,2,-0.43050547467373884,1
0,2,0,0,1,0,8.354501379799334,0
0,0,0,2,0,1,3.37308589146082,1
1,0,0,0,2,0,5.492089645126636,0
1,2,2,2,2,1,7.067619902011404,0
1,2,1,0,1,2,4.290836465654655,0
2,0,1,1,0,2,-0.8154606113918716,0
0,2,0,1,2,2,4.809028420003915,0
1,1,0,2,2,0,8.474091657641992,0
0,2,1,2,2,1,6.789553036832291,0
0,1,2,2,2,2,1.902688522288861,1
2,1,1,0,2,0,7.6877177804752925,0
1,2,2,1,0,0,7.586457304977108,0
1,2,1,1,1,2,3.4387526040388723,0
2,0,0,2,0,0,3.5611957469847697,1
1,0,2,1,1,0,3.155867529899919,2
2,0,1,1,0,0,5.515366937424625,0
2,2,2,1,0,0,6.398774756929784,0
1,1,1,0,0,1,3.277675615451621,1
2,1,1,0,2,0,7.1222341642370415,0
0,2,0,0,0,0,7.394050452633906,0
2,1,2,0,2,1,4.574309785688399,0
1,2,2,0,2,1,4.359580244927365,0
0,1,0,1,0,0,4.927418266539477,0
0,2,1,1,2,1,5.778861226589837,0
0,1,0,0,0,0,6.90869666098001,0
0,0,1,2,2,0,5.74432763171498,0
0,0,2,1,2,2,0.8193374035571666,1
0,2,1,0,2,1,6.3908061197013435,0
1,1,0,1,0,0,6.002780458553702,0
2,0,1,2,1,0,6.0784957439094285,0
1,2,0,0,1,2,4.031464424711211,0
2,0,1,2,2,2,1.017135526396243,0
1,0,0,0,0,0,4.754841804188949,0
2,0,0,0,0,2,2.8426612403360414,0
2,0,0,0,1,1,3.667250513449922,0
2,2,1,1,2,2,4.38923585811646,0
2,2,0,1,1,0,10.406339638535973,0
2,1,2,2,1,0,5.891552304053854,0
1,0,2,0,1,1,2.6373496304515616,0
0,2,0,0,0,0,6.939802560896598,0
0,0,1,1,1,1,4.017303546986877,0
2,2,0,0,2,1,8.593639338648055,0
1,0,2,0,1,1,3.025886176642766,1
2,0,0,0,0,1,3.6024089142027313,0
2,2,1,1,0,0,6.40456995793432,0
0,0,1,0,1,1,2.075679283691417,2
2,1,2,1,2,2,2.4686964256719364,1
0,1,1,1,1,2,1.8690141516056151,1
2,2,1,2,2,2,3.3167615337388456,1
1,1,0,0,1,1,4.086268268497094,0
1,2,0,1,2,2,6.731512602842643,0
1,0,0,1,2,2,2.2770941285556594,1
2,2,2,2,0,0,5.2982421250123,0
2,1,0,1,1,2,2.1092227568311133,0
2,0,1,0,2,0,7.8312447150382045,0
1,0,0,0,0,1,3.570457589614156,0
1,0,2,2,0,1,0.5164378746675171,1
0,1,2,2,1,0,4.438144480377709,0
1,2,1,0,1,2,6.0571551753699335,0
2,1,0,0,2,0,9.071358059332082,0
1,2,0,2,0,0,5.966747330854521,0
2,1,2,1,1,1,3.383506483017181,0
1,2,0,0,0,1,6.4668097364391315,0
2,0,1,1,2,0,6.679129274481386,0
2,1,0,0,0,1,2.9892263421843177,1
0,1,0,2,0,1,3.7917302175394507,0
1,0,1,1,0,2,-0.34899460078345734,2
