c,d,e,f,g,h,a,b
0,0,2,1,2,1,-0.3092433333036684,1
2,2,0,2,2,2,-6.0747599672034855,2
2,1,0,2,1,2,-11.523239667744939,2
1,0,1,2,2,1,-3.6487439077337758,2
2,2,0,1,1,2,-9.651923169469208,2
2,0,1,1,2,2,-4.995564913614014,2
0,0,0,2,1,0,-3.14383393600403,2
2,1,2,1,0,1,-10.048907983015162,2
1,0,2,0,0,0,-4.587995937805277,2
0,1,2,2,1,2,-3.9471459617651083,2
2,1,1,0,2,2,-7.200799973050779,2
0,2,1,2,0,2,-6.625612604990049,2
1,1,1,0,1,2,-6.299071736096642,2
0,0,1,1,1,1,-3.816809029722226,0
0,1,1,2,1,1,-7.193358308367317,2
1,0,0,1,1,2,-4.989248623531532,2
2,1,1,0,1,1,-8.523729227916428,2
2,2,0,2,0,2,-10.118802573821215,2
1,1,2,1,2,0,-2.56575042396048,0
1,2,0,0,2,2,-3.7524337105948877,2
1,0,0,2,0,1,-5.776812754934763,0
2,0,0,2,0,2,-8.385560015863112,2
0,1,0,2,2,0,-1.4384984505989646,0
2,0,1,2,2,0,-6.008176733101941,2
0,0,1,2,2,0,-3.4101398677563584,2
0,0,0,0,0,2,-4.427389192832528,2
1,2,2,2,0,1,-7.437988599802727,2
2,1,1,1,1,2,-8.319431008224054,2
0,0,2,2,2,2,-1.2108389438662486,0
1,0,0,2,2,1,-3.9198219909729755,0
2,2,1,2,2,2,-6.63597660607262,2
1,1,1,2,2,0,-4.430010173902153,2
2,0,2,0,2,1,-5.909869147578515,2
1,0,0,2,2,2,-5.834962933666322,0
2,0,2,1,1,2,-8.003601334036365,2
0,0,0,2,0,1,-2.937211661286616,2
1,0,2,0,2,2,-2.228172968864882,2
0,0,2,0,0,0,-3.7459047874619533,0
1,2,1,1,1,2,-6.9857193218528115,2
0,1,0,0,2,0,-3.763726337864801,2
1,2,1,0,2,2,-2.721888993231147,2
1,1,0,2,2,1,-5.962199462963916,2
1,0,2,0,0,2,-6.222069092446221,0
0,2,1,2,1,0,-5.860112744046682,2
0,1,0,2,2,1,-1.9442734149380234,2
0,1,2,0,0,2,-3.758203950919441,2
0,1,0,2,2,1,-2.6068840415475476,2
0,1,0,0,1,1,-4.037739845971704,1
0,2,1,1,0,0,-7.930214161644237,2
2,1,1,1,1,2,-7.593324816153401,2
2,0,0,0,0,1,-7.836843393425167,2
2,2,0,1,2,2,-8.169135383767756,2
0,2,0,0,1,1,-6.078326287139424,2
2,0,0,2,2,2,-5.733104252570772,2
0,2,1,0,2,1,-3.8935258264089367,2
2,0,2,0,1,1,-7.098560799116684,2
0,2,0,0,0,0,-3.6730763664588664,0
0,2,0,0,0,2,-6.55286727430166,2
1,0,0,0,1,0,-4.377635794957546,2
2,2,1,0,1,0,-8.642868897409645,2
1,2,2,1,1,1,-5.076422652340938,2
1,2,2,0,1,1,-6.380216813786628,2
0,2,1,2,2,0,-2.2213682417509233,2
2,1,2,2,2,1,-5.408594160555257,0
2,2,2,0,2,0,-5.242271909572473,2
0,0,0,0,1,0,-3.3088580855526772,2
2,0,2,1,1,0,-6.072540826471396,2
0,0,2,0,2,2,-1.4016736677114081,2
