c,d,e,f,g,h,i,j,a,b
2,1,2,2,1,0,1,1,-3.412846729209413,0
1,0,2,0,1,1,2,1,-5.852330073507152,1
0,2,0,0,0,0,2,2,-2.506878331413867,1
0,0,1,1,1,1,2,2,-4.852674448291538,1
2,2,0,0,2,1,1,1,-5.046095106414826,1
1,0,2,0,1,1,0,1,-8.9522298729124,1
2,0,0,0,0,1,1,1,-4.11725063556433,1
2,2,1,1,0,0,1,2,-2.45191704795706,1
0,0,1,0,1,1,1,1,-4.57949559285557,1
2,1,2,1,2,2,2,0,-3.695453778400147,1
0,1,1,1,1,2,2,1,-4.3025293357527525,1
2,2,1,2,2,2,2,2,-1.9604124116419501,1
1,1,0,0,1,1,0,2,-4.70498756629215,1
1,2,0,1,2,2,1,1,-3.9652811018671574,0
1,0,0,1,2,2,1,1,-2.4791862447970576,1
2,2,2,2,0,0,1,2,-2.2737179745944633,2
2,1,0,1,1,2,2,2,-3.0741475786062162,1
2,0,1,0,2,0,1,0,-3.589962722468632,1
1,0,0,0,0,1,1,1,-3.380434676185943,1
1,0,2,2,0,1,0,0,-5.126579575043948,1
0,1,2,2,1,0,1,2,-5.038271617414408,1
1,2,1,0,1,2,2,2,-5.095784977480962,1
2,1,0,0,2,0,0,1,-4.909304984559554,2
1,2,0,2,0,0,0,0,-0.10045146738991217,0
2,1,2,1,1,1,2,2,-3.7886502188584084,1
1,2,0,0,0,1,1,0,-1.6881583920643202,1
2,0,1,1,2,0,2,1,-1.5538360344731736,0
2,1,0,0,0,1,1,1,-3.525231474421946,1
0,1,0,2,0,1,1,2,-2.5121824954134824,1
1,0,1,1,0,2,0,2,-5.2017614776216385,1
2,1,1,2,1,2,1,0,-2.8444786251387217,0
2,1,2,0,1,1,0,0,-7.095143512696625,1
1,2,0,1,0,0,2,2,-0.725208906406775,1
1,2,2,2,0,2,0,0,-4.773620615906584,1
2,1,0,2,2,1,0,2,-4.4036428819249425,1
1,2,1,2,0,1,1,0,-0.20405362336973132,1
1,2,2,2,2,1,0,2,-5.877265648781414,1
2,1,1,0,0,0,1,1,-3.4794438694737497,1
2,1,2,1,1,2,1,1,-3.7284018904829876,1
2,1,2,1,1,0,1,1,-4.332400884280135,1
1,0,2,0,0,2,0,2,-11.05968687699119,1
0,1,0,2,1,1,0,0,-3.6432288340923433,0
0,1,1,2,0,2,0,1,-5.64376135736728,1
2,1,2,2,1,2,1,1,-4.380244011701561,1
2,0,0,2,0,2,1,0,-0.5630985478556211,1
0,1,0,2,0,0,2,1,-1.266567581118411,1
1,0,1,1,1,0,0,0,-2.0143784117361614,1
1,1,1,1,2,1,0,2,-4.798379753927234,1
1,2,0,1,2,0,1,1,-1.7937246823551944,1
1,1,2,0,0,1,1,0,-2.9849609441529177,1
2,2,2,0,1,1,2,2,-3.993416623131537,1
0,1,0,1,1,2,2,2,-3.5001263068923287,1
2,0,2,2,1,1,2,0,-1.8688758184142276,0
2,0,2,0,2,1,0,0,-6.779875366472831,1
0,1,2,1,1,0,2,0,-2.4940179673233653,1
2,1,2,1,2,2,1,2,-6.170212017832587,1
1,1,0,1,2,2,2,0,-0.6817168426346806,1
0,2,2,2,2,1,0,1,-7.525582495424395,1
1,0,1,2,0,0,0,2,-3.5249221219639,1
2,0,2,2,2,0,0,2,-5.402662317697275,1
1,0,2,2,2,2,0,2,-6.6324264197067055,1
2,1,0,0,0,1,2,1,-1.4965114688122672,0
2,2,0,2,1,2,0,2,-3.2972319743459884,1
1,1,1,1,0,2,2,0,-1.4884443203657294,1
1,1,0,0,0,0,2,1,-2.411369603440767,1
2,1,0,0,1,0,0,2,-5.385194234824678,1
2,2,1,2,1,0,1,1,-0.6596847080274988,2
2,1,2,2,2,1,1,0,-1.7722150896875704,1
2,2,0,1,1,1,0,0,-0.9429640979070955,0
0,0,2,2,0,2,2,0,-4.362890560407021,1
1,2,0,0,0,2,1,0,-3.349141983571454,1
2,0,0,0,1,2,2,2,-4.3771346848173875,1
1,0,0,2,2,1,0,1,-3.3354550868563777,1
0,1,1,2,0,0,2,0,-0.4565857652561996,1
2,2,1,2,0,1,2,2,-1.392759499389423,1
0,2,2,2,0,1,2,1,-3.685360610121691,1
2,2,1,2,1,2,0,0,-3.7547307316015397,1
2,0,1,0,0,2,0,1,-7.271139072793216,1
2,1,0,0,1,0,0,0,-2.249813155505647,1
2,1,0,1,2,1,1,0,1.1775910336108013,1
2,2,2,0,2,1,2,2,-5.342997693765035,1
1,0,0,0,2,2,0,0,-3.7144352563109835,1
1,0,2,2,0,1,2,1,-5.0404604607378305,1
0,0,1,0,2,0,0,1,-7.067024498640594,1
2,2,0,1,2,2,0,2,-4.4159588498410525,1
0,1,1,2,2,0,1,1,-1.8717505059419275,1
2,2,2,0,0,1,0,1,-6.457233663489311,1
1,1,1,2,2,0,1,2,-2.470664282306047,1
0,1,1,2,2,2,0,0,-2.63974043180878,1
1,0,2,2,0,1,0,2,-6.311873149201236,1
0,2,2,1,2,0,2,1,-4.322096873398308,1
2,1,0,2,1,1,0,0,1.0525790753802213,1
0,2,1,2,1,2,1,0,-1.4339019925558412,1
2,2,0,1,0,1,2,0,0.08641579660607088,2
1,2,1,1,0,2,1,1,-3.254205201098045,1
2,0,2,2,2,1,2,0,-2.710414856671236,1
2,2,0,0,1,1,0,2,-6.6887462336200825,1
2,2,2,1,1,2,1,1,-5.338485415304731,1
1,1,1,1,0,1,0,2,-4.538507880469392,1
1,0,1,2,1,1,0,1,-4.303528658037298,1
0,2,2,0,2,0,2,1,-4.284136316842502,2
2,2,2,2,1,1,1,1,-3.481339213821127,1
1,0,1,2,0,2,2,2,-1.6051929114447794,1
1,2,0,1,2,1,2,2,-2.479168976680477,1
2,2,0,1,1,0,1,2,-1.3662526344327106,1
1,2,2,2,2,0,2,1,-2.8386040121906415,1
0,2,0,2,0,1,1,1,-2.5196086214906286,1
2,2,2,2,1,0,0,0,0.42410973802524854,1
0,2,1,1,1,1,1,0,-2.428846574579848,1
2,2,0,1,0,0,1,2,-1.0502727358635096,1
2,0,2,0,2,2,0,1,-7.0515058552995695,1
1,2,2,2,0,2,0,1,-6.383948965805731,1
1,2,0,0,0,1,2,0,0.5272341167855916,2
1,0,1,2,0,1,1,1,-2.867415578470551,1
0,2,2,2,1,0,0,2,-5.79897270112451,1
2,2,1,2,2,0,1,0,0.7422660278741641,2
0,2,1,2,2,0,0,0,-1.784321381268933,1
1,2,0,1,0,2,2,2,-1.7890439271559813,2
0,2,1,2,1,0,2,0,-0.5813212274278895,1
1,0,0,1,2,2,0,2,-5.760971917399878,1
2,1,2,2,2,0,1,0,0.4388509514298944,1
2,1,0,2,0,1,1,0,0.4609329762573353,2
1,0,0,0,0,0,1,1,-3.52137148591271,1
2,1,1,2,1,2,1,0,-1.7821027099547686,1
0,2,2,0,1,1,2,1,-5.423415491389985,1
1,2,2,0,1,1,2,0,-4.738804808790541,1
2,2,0,2,0,1,2,0,1.5154670913792663,1
1,0,2,1,1,2,2,2,-5.685239442675278,1
1,0,0,0,2,0,0,0,-4.733712682367836,1
0,1,1,0,1,2,0,0,-6.296825149008006,1
1,1,0,2,0,2,2,2,-2.227732851707202,1
0,1,2,1,2,1,0,1,-7.327223241376222,1
2,1,2,2,0,1,2,2,-3.8861498705882953,1
0,0,1,2,1,0,0,2,-5.773118128175307,1
0,2,2,0,0,1,2,0,-5.23967422864898,0
0,1,0,1,1,1,1,0,-0.5893222344386722,2
0,2,0,2,0,1,1,2,-3.1088058219737427,1
2,2,1,0,1,0,1,2,-4.35552741596818,1
1,2,0,2,1,0,0,0,-1.0247998284376822,1
0,2,2,0,2,1,0,2,-8.54123818270503,1
2,1,0,0,1,2,2,1,-3.019892084372875,0
0,2,0,0,1,2,0,1,-5.814166724513097,1
0,0,0,2,1,0,0,2,-4.131519259313391,1
1,0,0,0,2,1,2,0,-1.8225408581455733,1
0,2,0,0,2,0,1,2,-2.9091429749331783,1
1,0,2,1,1,1,1,2,-7.43517087075132,1
0,2,1,0,0,2,1,1,-2.8954796725998153,1
0,2,2,1,1,2,0,2,-6.564768970255286,1
2,0,2,1,0,2,0,2,-7.462041039267816,1
0,1,2,2,1,0,0,2,-5.403502883341935,1
1,2,1,1,2,0,2,2,-1.8283294401739214,1
2,0,2,1,0,2,0,1,-5.709900310933223,1
2,0,1,1,1,0,0,0,-2.5341881227618437,1
1,1,0,0,0,1,2,0,-2.1658348951400344,1
2,0,1,0,0,2,1,2,-5.734944688677219,1
2,1,0,2,1,1,0,0,-2.8768958941913865,1
2,2,2,2,0,0,0,2,-7.762211936704125,1
0,1,2,1,1,2,2,0,-4.1000326666691125,1
0,1,2,2,0,2,2,2,-4.577665509292562,1
2,0,2,2,0,2,1,2,-7.555962975787759,2
2,0,2,2,1,2,1,0,-4.698916160481504,2
0,1,0,1,2,0,0,0,-2.558954153714776,1
2,1,0,2,2,2,1,1,-1.6193242940686283,1
1,1,0,0,0,1,1,0,-1.138605808977086,1
0,2,1,1,1,0,0,2,-3.92119684491443,1
2,0,1,0,0,2,1,1,-5.335671188083657,1
0,2,0,0,0,2,1,0,-2.710364575983172,1
0,2,2,1,1,0,1,0,-1.8517705171070298,1
2,1,1,0,0,1,2,0,-1.6799480503154136,1
0,0,2,0,0,1,1,0,-6.412156073813478,1
2,2,2,1,0,2,2,2,-6.410325085526832,1
1,2,1,2,2,0,2,2,0.37077716524463744,2
1,1,2,1,0,1,2,0,-5.043068720987182,1
1,0,0,1,0,2,2,2,-1.6401508883468037,0
1,0,2,0,0,0,1,0,-4.173016726353677,1
1,2,1,0,2,0,2,2,-2.632081799793532,0
2,1,0,0,0,2,2,1,-2.5982245488866824,1
2,1,1,1,2,1,1,1,-2.694492991149165,1
2,2,0,2,1,2,1,2,-1.6875586212108509,1
2,0,2,1,1,0,1,0,-3.315927922562805,1
2,0,2,2,2,2,1,1,-4.795605350747716,1
1,1,1,0,0,0,2,1,-4.4891697237788275,1
2,2,2,2,2,1,2,0,-0.9630989956650906,0
2,1,2,2,0,0,0,2,-6.4662023390700165,1
1,2,2,2,2,0,2,1,-3.3024456466970467,1
2,2,0,0,0,2,0,2,-4.6779486023031795,1
