c,d,e,f,g,h,i,j,a,b
2,2,1,2,1,2,0,2,-4.068846874344326,2
2,0,1,0,0,0,1,0,-1.5900897052519833,0
2,1,0,2,0,2,2,0,-1.9621159275246203,2
2,1,0,0,2,0,0,1,-7.501685842990107,2
1,1,0,1,0,2,2,1,1.310943884874493,0
2,2,1,2,2,2,2,2,-5.027569429241141,0
2,1,0,2,1,1,1,2,-0.3615603199054176,0
0,0,1,0,1,2,0,1,-0.23496710192386794,2
0,0,2,2,1,2,2,0,2.4258847035903828,2
0,0,1,0,0,2,2,2,0.4282894874171046,0
1,1,1,2,0,1,0,0,-0.9163690666005168,0
1,0,2,1,0,1,1,2,1.0199745177118515,2
2,2,0,0,0,2,2,0,-2.336869355104329,2
1,0,2,1,2,1,2,2,0.7179009750615926,0
0,2,1,0,2,1,0,2,-2.806684848899276,0
0,2,1,1,0,0,0,0,0.7489671033548791,2
1,2,2,2,0,2,1,2,-1.1381291641721996,0
0,2,1,2,1,0,1,1,3.032794203440038,2
1,1,1,0,2,1,1,2,-3.4433501141304004,0
1,0,0,2,1,2,0,2,-0.1850036387663141,2
0,1,1,1,0,0,2,1,1.4883982013832133,1
2,2,0,0,1,2,0,2,-7.207397315154345,0
2,0,2,1,0,1,1,0,-0.18312640312784484,0
0,0,2,1,2,1,2,0,1.7752354599286446,1
1,1,1,1,0,0,0,2,-0.2723242477669173,2
0,0,0,2,0,0,1,1,1.885176615774371,0
2,2,1,0,2,2,0,0,-7.159214535786129,2
2,1,0,0,0,1,2,1,-2.172434012712608,2
1,0,1,2,1,2,0,2,0.6897901535545652,2
1,2,1,0,1,0,0,1,-4.237561961167681,2
1,1,0,1,2,2,2,1,-3.7592635330030655,2
1,1,0,0,0,0,0,1,-1.1999573512211734,2
0,1,0,1,1,1,0,1,-1.2230399091868627,2
1,1,2,0,1,0,2,1,0.3175859439077836,2
1,0,2,1,2,1,0,0,-2.8967993396051144,2
2,2,2,0,0,1,2,1,-2.1031963577017674,2
0,1,2,0,0,0,2,1,1.8141558953770622,1
2,2,2,2,0,0,0,1,-4.374071378082643,2
0,0,0,1,2,2,2,2,-1.197716593976441,0
0,0,2,1,0,0,2,1,2.603984453557552,2
2,0,2,0,1,2,0,2,-2.916680575567214,2
0,2,2,2,1,2,2,0,0.04194597562789815,2
2,0,2,2,2,0,2,1,-3.0017863507989717,2
0,2,0,2,0,2,1,0,0.9171566564520989,2
2,1,0,2,2,0,1,2,-5.8551110303300105,2
0,2,2,1,0,2,0,1,1.9018252503666135,2
1,2,0,0,0,2,2,2,0.4018205810315034,2
0,1,1,1,2,2,2,0,0.28750233416865145,2
2,1,2,2,2,2,0,0,-6.09601438913335,2
1,0,0,2,2,0,0,1,-1.9780364967143802,2
1,2,1,1,1,0,2,2,-0.16727660433607694,1
0,1,0,1,0,2,2,1,1.0224638127196108,2
1,2,0,2,2,0,2,1,-2.804030777211817,2
0,2,1,2,1,0,0,1,-1.421455083637571,2
2,1,2,2,0,0,1,0,-0.2792729325162974,0
0,2,1,1,2,2,2,0,0.40774679611964726,2
2,1,2,0,2,0,2,0,-3.96457979280517,2
0,1,2,1,1,0,1,0,1.8724871731408261,1
1,0,0,0,2,1,0,0,-3.3694561720523213,0
2,0,2,0,1,1,1,2,-1.4312448146261212,2
0,0,0,0,1,0,2,2,0.44002088320709953,2
2,0,1,1,1,2,1,0,-0.5870485727616526,0
0,2,0,1,1,2,1,0,1.6469836247854834,2
1,1,2,2,0,2,2,0,0.911696840256022,0
2,2,0,2,0,0,2,1,-1.0061212081591753,2
0,2,2,1,0,0,0,1,0.5142267240040241,2
0,1,2,1,1,1,0,1,1.4609845899093388,0
1,2,0,1,2,2,1,0,-2.7666014495540345,2
1,1,1,1,1,2,1,0,-0.051727729582443205,0
0,0,2,0,2,0,1,1,-0.24324348044713476,1
1,2,0,0,2,1,1,2,-4.3588101761817635,2
0,2,0,0,0,0,0,1,-2.3589221909361493,2
0,1,2,0,2,1,1,2,-2.4192402649453526,2
2,1,0,0,2,1,0,2,-8.366934742120572,2
1,0,2,2,1,2,1,2,2.933797381408038,2
1,2,2,1,1,1,2,1,-2.531779238119681,2
2,1,1,2,0,0,2,2,-2.581217020125829,2
0,0,0,1,1,2,2,0,1.9945574366458638,2
1,2,1,0,2,1,2,2,-3.8265358101464093,2
2,1,2,0,1,1,1,2,-4.705648557092211,2
0,1,0,0,1,0,2,2,2.740475365290122,1
0,2,2,1,0,1,1,1,0.2377217149076003,1
1,0,1,0,1,0,2,0,1.3809704281712747,2
0,1,2,1,1,0,1,2,2.0373701210522306,0
0,1,0,1,2,2,1,1,-1.4946035903172343,0
1,0,1,2,0,1,2,0,3.3167615057707005,2
2,2,1,0,1,0,2,1,-2.4029323171361856,2
