c,d,e,a,b
0,0,1,-3.5186112589879546,0
1,1,1,-3.717716026771428,1
2,1,0,-2.0953191962679267,1
0,0,2,-5.783214911987868,1
2,2,0,-1.87394847644812,1
1,0,0,-1.224381395612017,1
1,2,1,-3.168756260658435,1
0,1,1,-3.629765751376586,1
2,0,0,0.026237413576597923,2
1,0,2,-4.509030167670274,1
0,1,2,-5.380154453551164,1
1,0,2,-2.469795940086578,1
1,0,2,-5.653576487534086,1
0,0,0,-4.235644658629581,0
1,2,2,-4.565900679019797,1
1,0,2,-4.4558722936260775,1
2,0,1,-0.31280156077976806,2
1,2,1,-2.461232018712462,1
0,0,1,-2.4040756821895473,1
0,1,1,-2.939670994312452,1
1,1,2,-5.847742305387701,1
1,0,1,-2.4888524483940078,1
0,2,2,-3.591814105762939,2
1,2,0,-3.7258285799492254,0
0,1,0,-2.8437665051412484,1
0,2,2,-6.684866276058353,1
2,0,2,-3.2654458603830867,1
1,1,1,-2.265357062510578,1
1,0,1,-3.5211134612083823,1
0,2,0,-3.0605579610028575,1
2,0,2,-2.517521470451049,0
1,2,2,-4.988062532472875,1
2,0,1,-3.263716865194843,1
0,0,0,-1.7597288226954981,0
0,2,2,-3.688364184045718,1
1,2,1,-4.8060985299402175,1
0,1,1,-4.199478675385822,1
2,1,0,-2.1575791095356345,1
0,1,1,-3.248919830336069,1
0,0,2,-4.5149733949619515,1
1,0,0,-1.0569537072858184,1
0,0,0,-0.3556490017972005,0
0,0,2,-4.856418078195104,1
0,2,0,-3.8889514963462837,0
0,0,0,-2.1253095080116537,1
1,0,0,-0.13510954753502658,2
1,2,2,-5.2479314156347225,1
1,2,1,-2.7527384116826603,0
2,0,1,-2.081306663061783,1
0,2,0,-3.232849996753247,1
1,1,0,-2.6401474738778172,1
0,2,1,-3.092097884847128,1
0,1,2,-5.907787115828195,0
2,1,1,-3.017771628322884,1
1,2,2,-6.762622153155152,1
1,2,1,-3.653373844465456,1
2,0,0,-1.4673020305099387,1
1,0,2,-4.109899254919246,1
2,0,1,-2.7768698311788556,1
2,2,2,-6.020164023033677,1
1,1,1,-2.852820081745736,1
2,1,1,-2.279983067965576,0
0,2,0,-3.766448853036012,1
2,1,2,-4.260503580314625,1
1,2,2,-5.573292801795858,1
0,1,0,-3.02731308579047,1
0,2,1,-3.9073076611664592,1
0,1,0,-3.3986867798595934,1
0,0,1,-4.217323830912448,1
0,0,2,-2.9463813626917155,1
0,2,1,-4.210198764086545,1
1,1,0,-2.055118577650129,1
2,0,1,-0.960539306753595,1
1,2,0,-1.4066213560994287,1
