c,d,e,a,b
2,0,0,2.6169422289865047,2
0,2,1,4.04483607173264,1
0,1,1,3.3445869810258015,2
1,0,2,3.722076157480972,0
1,2,1,1.400236262066373,0
0,2,2,0.5468520459268995,0
1,2,0,1.165766308146128,0
2,1,2,-0.5735611960378333,2
0,1,1,4.883082233537137,2
1,0,0,4.001889605448381,0
0,0,0,5.981753466392519,1
0,1,1,4.671035138156913,2
2,1,1,-0.14188548716235794,2
1,1,2,2.4082035564066064,0
0,2,1,4.7934038278089375,0
2,0,2,0.1862716790656746,2
0,2,0,3.7204102603058136,0
1,0,0,4.091257351621619,2
0,0,2,4.801880910935854,0
0,2,1,3.5456661851042197,2
2,0,1,0.5711513904770649,1
0,0,0,4.548630122999254,0
2,1,2,0.9826867340855179,0
1,0,1,4.092889948898662,1
0,0,2,4.913223276775725,2
0,1,1,4.591705787554821,0
2,0,2,0.34440265006909804,2
2,0,2,1.0981665781189995,2
0,2,1,5.585666635375603,2
2,1,2,-1.314557641794728,2
1,0,1,3.293889303279009,2
2,1,1,-1.0594785554281874,2
0,0,2,5.866111876928959,2
2,1,2,-0.46748556917764467,2
1,0,1,4.861878186236718,2
1,1,1,4.153219376168375,2
1,0,2,5.5977402325969114,1
0,2,2,2.8019467287142703,2
1,1,0,3.145137300688717,0
1,0,1,2.2563047348426464,2
0,0,2,2.770919390327138,2
0,0,1,4.246101021516614,2
0,2,0,3.7155016980006548,2
0,1,1,3.7007683416700408,2
1,2,1,1.2166717548516042,2
2,0,2,-0.21837801122304346,2
0,1,0,2.5282489441570486,2
0,0,0,7.268574050040412,2
2,1,2,-0.5477869326048078,2
2,0,1,0.6130951930999732,2
2,0,1,0.7517318636535142,0
0,2,2,4.451721503234345,2
1,1,1,3.702287776208573,2
0,1,2,3.9068598908174272,2
0,1,2,4.23995561473075,0
1,1,0,2.0704074232888408,2
1,1,2,1.8487938026874158,2
0,0,1,6.6666222127760975,2
2,0,1,2.369569330977856,0
0,2,2,3.9982476057335212,2
1,2,1,2.250695676165161,2
1,1,0,2.9839623195942573,0
2,0,2,0.08103043861548542,2
1,0,0,4.323327524997669,0
1,1,1,1.9492502548056643,1
2,0,1,0.3523442009518236,2
0,0,1,5.053834004312627,0
0,1,1,4.36425510586408,2
2,0,1,2.1385528501585265,0
0,1,2,4.273659514393138,2
1,1,1,2.507518950544384,2
2,0,1,0.6824454566015753,2
2,0,0,2.5064158719704555,1
2,0,2,0.7739775575965571,0
0,2,2,2.1104267984933096,2
2,0,0,0.6522309212079909,2
2,0,2,1.0038489545772271,2
2,1,1,0.6782389481612064,1
2,1,1,-1.2239927855991333,2
1,2,0,1.8570055548106732,2
2,2,0,-1.0131613957395476,1
2,2,2,-0.8220633684852846,1
2,0,0,1.3722760234937859,2
0,0,1,1.7402548720238142,0
0,1,1,4.432733977517776,1
0,0,1,3.2459139297459396,2
2,0,0,2.018529077783215,2
0,2,0,3.750032224228812,2
2,1,2,-1.739581573918816,0
2,1,1,0.04282014486724052,2
0,2,2,2.8489921082075913,1
0,2,2,4.7419388501321755,2
0,1,2,3.3880334908600718,2
1,1,0,2.4156557999479293,2
0,2,2,3.1541703323500974,0
0,1,2,4.885719350914942,2
2,0,0,1.5401364154189527,0
2,1,1,-0.019136170386449068,2
2,2,0,0.18032660442752702,0
2,1,2,-1.4601731882998663,0
0,1,0,4.409605011560183,2
0,1,1,5.683310343358227,0
2,2,2,0.4477429663878947,1
0,2,2,3.4070690581696894,0
1,0,0,2.9727697520435887,0
0,2,2,5.215684380975459,2
0,0,0,6.140626013072247,0
0,1,1,3.0982486513725567,2
0,0,2,3.8077610147714083,2
2,2,2,-0.6258153454854931,0
0,0,1,4.807672486457193,2
1,1,1,1.2185104729979201,1
0,2,1,3.09162411395613,2
0,0,0,6.023224598320037,2
0,2,0,3.3016154907087643,2
1,1,1,3.172270965516857,2
1,0,0,2.8803674965355355,2
1,0,1,3.445653628239101,2
1,0,0,4.503869534374633,1
0,2,0,3.389471269809167,2
1,2,1,1.4345571655608222,0
1,1,2,1.8245224167473297,0
1,2,0,2.6644543546634774,2
2,0,1,2.347907231113194,2
1,1,0,2.5665478248266558,1
1,0,0,2.9750895925447245,0
1,1,2,3.1025157598250823,2
0,2,0,4.920248076536397,2
2,2,2,-1.1711619952026866,0
2,2,0,-2.064231508347751,2
2,2,0,-0.41979812887390133,2
1,2,0,0.2747832186036705,1
0,2,0,3.822860045029622,0
1,2,0,2.989037128329608,2
0,2,2,0.9671035944656086,0
1,0,2,2.9157585462818765,0
2,0,2,2.21475858189522,2
1,0,2,0.9721383157365482,0
2,0,0,2.830036375684803,2
2,0,1,2.604229972502355,0
0,2,2,2.6483242174743586,2
0,0,1,5.991073580728773,1
2,1,1,0.10593635537545087,0
0,2,0,3.5364322200367533,2
1,2,1,1.8877100926872306,2
0,2,0,5.143623835464931,0
2,1,2,0.07158653789922431,2
0,1,0,3.7768588339227382,1
2,0,0,-0.15882628325518966,0
2,2,2,-0.01776941382890429,0
1,2,0,3.0177719517278474,2
0,2,1,4.722021412177124,2
0,2,0,3.5724819570377706,2
2,0,2,0.24566691749301023,0
2,2,0,1.9283058424503952,0
2,2,2,-0.07891050937353372,1
0,2,1,5.266149579835426,1
2,1,2,-0.626761901817555,2
2,0,2,0.27056573080281204,2
0,2,1,3.403619125758786,0
2,1,2,-2.1927629825042207,0
1,1,0,2.2034725044146017,1
0,0,2,4.506820202261328,2
0,1,2,3.277384668266838,2
2,1,0,-0.7504017465133468,2
2,2,0,-0.7987708862700772,0
1,1,0,2.8695799037764647,0
2,1,0,-0.005750672255538936,0
1,1,2,3.7002576659013107,2
1,1,1,2.404135668288997,0
1,0,2,2.1496467939777,2
1,2,0,4.051180679724417,1
1,0,2,2.3602962415901776,2
2,2,0,-0.07099181993841422,1
1,0,1,3.863588725507615,2
1,2,2,3.247618774639234,2
0,1,0,4.449571784657464,2
0,0,0,5.357186263861687,2
0,0,2,4.738344487184132,2
2,1,2,-1.9915341869404941,0
2,0,1,2.200487534482169,2
2,1,1,0.49661698047105435,0
2,2,1,1.8934727469040258,0
2,1,2,-1.7404542961040248,2
2,2,1,-1.5019683540679367,2
0,0,1,5.746797746513964,2
1,0,0,3.704973728054792,2
2,0,2,0.43884796818460103,2
0,1,0,4.384235703325408,2
0,0,1,6.254693560078421,1
1,0,0,3.1453703671940962,0
1,2,2,1.7158600627710134,0
2,2,1,-0.4139264845319153,0
2,0,2,0.44949309593780656,0
1,0,1,2.209059669165469,0
2,0,2,0.6181679848271766,2
0,1,2,3.063400351459457,2
2,1,1,-0.9635125809603879,2
2,2,0,-1.4360783631024716,2
0,2,2,1.8072384081057984,1
2,0,1,2.0259931654605285,2
0,1,0,6.182153345621085,1
1,2,2,0.7401935683348636,0
2,2,2,-0.6733730235672533,2
0,1,2,3.5549534115987678,2
2,2,1,-0.1938740559941204,2
2,1,1,0.1805400310911307,2
0,0,1,5.2141455171279665,2
1,2,1,1.741800117437311,2
1,1,2,1.5368053796965702,0
0,1,2,2.7105229315678057,0
0,2,1,6.552629874949565,2
1,0,0,4.729311598245394,2
1,1,2,2.2916232531192886,2
1,1,1,2.759317401223472,0
0,2,0,4.6875136269238284,2
2,1,0,-0.5650452160836247,2
2,2,0,-0.4161965823327766,1
2,1,2,-0.3439266562639839,1
2,0,2,3.38109229108736,2
2,2,1,0.9307825216502372,0
2,1,1,0.5318043608587765,0
2,2,2,-3.0559920055990366,2
1,0,2,2.318368637763612,0
1,2,2,1.1791879371316005,2
2,0,0,0.7348662853682448,2
2,1,1,0.4254021853751254,1
2,2,2,-2.3623558656150685,2
1,0,0,3.753160995740504,2
1,0,1,3.736407629959918,2
1,1,1,2.25718557063936,2
0,0,2,5.206557081840381,1
0,1,1,3.5933341275689954,2
2,0,1,2.3883085802598836,2
0,1,2,2.3608703876268127,0
2,1,2,0.09608694625034964,0
2,2,2,-1.6994319672070257,0
2,0,2,1.208828223289859,1
2,0,2,0.8481887962931476,2
2,1,2,-0.9127497808832317,2
1,0,1,4.59288156623676,2
0,0,0,6.928793566702121,2
2,2,2,-0.24821964829161658,2
0,2,1,3.019233917849078,2
0,2,0,4.592897507673083,0
2,1,0,0.24084185667820174,0
1,0,1,3.248365774922887,0
0,2,2,3.138680232935061,1
1,2,2,0.25617603238363573,2
0,0,1,4.786668978491448,2
1,0,0,6.593817996523471,2
0,1,1,2.9147284591318323,2
0,2,2,5.098605012173529,1
2,1,0,0.012548403001406833,0
2,0,2,1.1836905827045534,1
2,2,0,-1.661002885461394,0
2,0,1,1.2893069587959591,2
1,0,0,3.631479455477088,2
1,2,0,4.5310817182530645,0
