c,d,e,f,g,h,a,b
2,0,2,2,0,2,2,6.604658774432837
1,2,0,1,2,2,1,6.424917361436011
1,2,0,2,1,0,0,4.86915478821257
2,0,0,0,0,0,2,4.014983645395633
0,1,0,1,0,1,1,6.696813376481074
2,0,2,2,1,2,1,6.41313336776443
1,0,2,0,0,2,0,5.7986314474215845
1,0,2,2,2,0,1,7.218557124836322
1,0,2,1,0,0,1,6.826958253379952
1,1,0,1,1,0,2,6.123607589454014
0,2,2,1,0,0,1,7.791142050814633
0,1,1,1,0,1,2,6.028711175519227
0,2,1,0,0,2,1,5.285757521641034
0,1,2,2,0,0,1,4.193382138804796
1,0,2,1,2,2,1,9.508464405825139
2,0,2,2,2,1,0,6.354105387835207
1,0,1,1,2,1,2,7.354379671192616
1,0,1,1,0,2,1,7.728672650483102
2,2,2,1,2,0,1,7.490210087006955
1,2,0,2,1,2,0,8.231038149506539
0,2,0,2,0,0,2,4.045297661496659
2,1,1,2,0,1,2,6.970217887960999
1,1,0,1,1,2,2,6.668811720866757
1,1,0,2,1,1,0,3.6668091668359226
1,1,2,1,0,0,1,7.096544145229036
1,2,2,1,2,1,0,6.70786012856433
0,2,1,2,2,1,0,7.416515679042567
1,2,1,0,1,0,1,8.748454813142994
2,1,1,2,2,2,1,7.731882898086908
0,0,2,0,2,0,2,4.654470732631177
1,2,1,1,2,1,0,7.4283305957355115
0,1,0,1,0,1,1,6.098056898504617
1,2,1,1,2,0,1,7.176669109170156
1,1,1,1,1,2,0,5.8841055719456605
2,2,2,1,2,1,0,7.425991463661751
0,1,2,1,2,0,1,6.462202256216306
0,2,2,1,0,1,1,4.027011470407945
1,2,1,1,1,1,1,6.46290449661268
2,0,1,2,0,1,0,6.3381038983870575
2,1,1,1,0,2,2,7.566297605737796
0,1,0,1,1,1,1,4.6519069051367925
0,2,2,2,2,2,1,7.557464081696497
2,2,2,2,2,1,2,8.293160379820232
0,2,2,0,1,1,2,6.939487193789901
2,1,0,2,0,0,0,2.6986602735356584
0,1,0,0,1,1,1,3.944360673485115
2,1,2,0,2,0,1,6.100124702648246
0,2,1,2,2,2,0,6.854912798361131
1,0,2,0,0,2,0,4.986770268865295
1,1,1,2,0,2,0,5.331338059482206
0,0,1,2,2,2,2,7.690710033689309
1,2,1,2,0,0,1,8.154837809973337
1,1,2,2,0,0,1,6.872107066015473
2,1,1,2,0,2,1,7.195038807374819
2,1,2,0,1,1,0,4.571663405101644
1,1,0,2,1,0,1,5.239356398941811
1,2,1,0,1,0,0,5.212148184654868
1,1,2,0,0,2,0,6.5112769656430665
1,1,2,0,2,1,1,6.988415325381973
2,0,2,1,2,0,0,3.624961854202115
0,0,0,2,1,2,1,4.712130204092005
0,1,2,0,0,0,1,4.626420683334444
1,2,2,2,1,1,1,7.332444135673961
0,2,2,1,2,0,1,6.915422145527259
0,1,0,1,1,1,1,5.936946596923072
0,1,2,2,0,1,1,6.9632385621484145
2,1,2,1,1,2,0,6.997762408751694
2,0,2,1,1,1,0,5.455538729524368
2,0,0,2,1,0,0,2.5893178683652467
1,1,2,1,1,0,1,5.435975784525904
2,0,0,1,0,0,2,4.3574705221650305
0,0,1,0,2,1,1,5.169164659480076
2,0,1,0,1,0,0,2.3531496025664866
1,0,1,0,1,1,0,4.3300594195516755
2,1,2,0,1,2,0,4.470896978849153
0,2,0,0,1,2,1,4.737880907280792
1,2,1,2,0,1,1,7.418285097690795
2,1,1,0,2,2,1,8.28571283779753
1,1,1,1,0,2,1,7.515548021392922
1,0,0,2,1,1,1,8.380176994484643
0,0,0,2,0,2,2,5.52910602168681
1,1,0,1,0,0,0,4.027240806987653
0,1,1,0,0,2,0,4.605260206688994
0,0,1,2,2,0,0,5.0793401026296845
2,1,1,0,1,2,1,6.816609713001808
1,0,1,2,1,2,1,9.208726148538313
1,0,0,2,2,1,0,4.684417583381333
1,2,0,0,0,0,1,5.998651646888745
2,1,1,2,1,1,0,6.1845719493608815
0,1,2,0,1,1,1,3.828586327390668
1,2,0,0,1,2,1,7.162280959509121
