c,d,e,f,g,h,a,b
0,1,0,1,0,0,2.3350079041611234,1
0,2,2,0,2,2,2.4342506073174635,1
2,2,1,2,0,2,0.6854531671566935,1
2,1,1,1,0,0,3.3842320173278786,0
1,2,1,1,0,1,2.8746131550762217,1
0,2,0,2,2,2,-1.5506130229569064,1
0,1,1,2,1,0,2.119586506642682,0
1,2,0,2,1,0,3.34630261197546,0
0,1,0,1,2,2,1.0420252520541688,2
2,0,2,0,0,1,5.720126327077807,0
0,2,1,1,2,0,3.2232940830201895,0
0,2,1,0,0,2,3.1283948726643787,1
0,0,0,1,2,2,1.829510846818349,1
1,2,0,0,2,0,4.528274495238621,0
0,1,1,2,0,0,2.2847868632411013,0
2,0,1,1,0,1,2.5050491270128914,0
2,2,2,0,0,1,4.660470182416458,0
2,2,1,2,1,0,1.5143637802937493,0
0,1,2,2,2,1,4.740804717785823,0
2,0,0,1,0,1,1.087069097632233,0
1,1,0,2,1,2,-0.5867506175623496,1
2,2,0,1,1,1,2.316548365642041,0
1,1,2,1,2,2,4.941762149863747,0
0,0,0,0,0,0,3.2699351290197325,0
2,2,1,1,0,2,2.524973581499358,1
0,2,0,0,2,2,0.7111377293030213,0
1,2,2,0,0,1,3.6208243451248956,0
1,2,0,1,1,0,3.3717019685230305,0
2,2,0,2,2,1,1.6235358175303458,1
1,2,2,2,2,2,2.3925494469824997,2
0,0,2,2,0,0,5.292446062118376,0
2,2,0,2,0,0,1.4331427363214853,2
0,1,0,2,1,1,0.44224051831187855,1
1,0,1,2,1,1,2.446518801841044,2
2,0,0,2,0,2,1.6942001128671853,1
2,1,1,0,0,2,4.667692650958181,0
1,0,1,2,1,0,1.8063517095561825,0
1,2,1,0,1,1,4.274707115372561,0
2,0,1,2,0,0,4.076568119250788,0
0,2,0,1,2,0,2.9526484008197027,0
0,1,2,2,0,1,2.6703076629725953,2
2,2,1,1,0,1,-0.1416086207983076,1
1,2,2,0,2,1,6.663730007368736,0
2,2,2,0,2,1,7.637922536604933,0
1,1,2,1,1,2,3.2419181153609045,0
2,2,0,0,0,1,4.315696964519514,0
2,2,1,2,0,2,1.5195382872991128,1
1,2,0,0,2,0,2.601589187499104,2
2,0,0,2,0,1,3.6986241699041917,0
2,0,1,1,0,1,2.48852373089451,0
0,1,1,0,2,0,3.630997479058499,0
2,2,1,0,1,1,2.9556193286187447,0
2,2,1,1,1,2,1.3377659275340807,0
1,0,1,2,0,0,5.092026893064304,0
2,1,2,2,1,1,4.043617733893212,0
2,1,2,0,1,0,8.52223801801246,0
0,1,1,2,0,1,-0.7910349662623481,0
0,1,0,0,0,2,3.184177688076804,0
1,1,1,0,1,0,7.081039302434368,0
1,0,0,0,2,0,4.773617390246312,0
1,2,1,2,0,0,3.934365685150498,0
2,1,1,2,2,0,4.379209595823132,0
2,2,0,0,0,1,1.9692026155472213,1
0,0,1,0,1,0,6.258648455418136,0
2,0,1,1,0,2,4.929794574085654,0
2,0,0,1,0,1,2.2813807790274314,0
0,1,0,0,0,1,2.065687626343626,1
1,1,1,2,0,1,3.136815950979651,0
1,2,1,1,1,2,3.1418639895260227,1
1,1,0,1,2,2,0.8670960000053177,1
2,2,2,2,2,2,4.0594069656133875,0
0,2,2,0,1,2,4.535263642176375,0
1,0,0,1,1,2,3.087831929825608,0
1,0,1,1,1,0,3.8779975534917637,0
0,2,0,2,0,0,1.8692663970543497,0
2,1,0,2,0,2,-0.30177792076412824,2
2,1,2,2,1,0,5.7809787349755695,0
1,2,2,0,1,2,5.243376310451898,0
1,1,0,0,0,1,3.0456179939353354,1
0,2,1,1,2,1,1.489648305828727,0
1,1,2,2,1,2,3.725214482323731,0
1,2,1,2,1,2,1.203783175061671,1
0,0,0,1,2,2,0.8487426518668055,1
0,2,2,1,1,1,2.262461937589567,1
1,0,0,2,2,2,1.1739907989793956,2
2,0,2,0,0,0,7.53268743474905,0
2,0,0,1,2,1,4.136444458324964,0
2,1,2,1,2,2,5.6741973243499455,0
1,1,0,0,0,0,4.931393067924209,0
2,0,0,2,1,0,4.147647493481915,0
2,1,2,0,0,0,7.894194506506606,0
0,1,2,0,2,1,6.19876726056072,0
1,1,0,1,2,0,2.0947821161941893,0
1,2,1,1,2,2,0.5046224629485714,1
0,0,0,2,0,0,3.2919688353464993,2
1,2,0,2,0,0,1.0096349608646478,0
0,2,1,2,0,0,2.550946765396259,2
2,0,0,1,2,2,2.697515132394778,0
1,2,2,2,1,0,4.61675521433207,0
2,0,1,0,0,2,3.895048800620791,0
1,2,1,2,1,2,1.6002297970547508,2
2,1,2,1,1,2,4.339481114583221,0
2,1,1,0,2,1,4.408670237906583,0
0,2,1,2,0,0,3.2553658713054827,0
1,2,2,2,0,1,4.685701845679317,0
0,2,1,1,1,1,0.7494456763702787,2
0,1,0,1,0,2,0.034040717901156925,2
1,1,2,2,1,0,4.527989659097088,0
2,0,1,2,0,0,5.166707714271304,0
