a,b,c,d,e,f,g,h,i,j
1,-3.231758567752852,-1.459916517494062,1.6398495106208928,2.428678754282515,1,2,8.996738688390678,-33.77725907799634,-6.985207972627817
2,-3.0768950022186914,-0.22517654064753126,-1.4854768830569443,0.25627423523569437,1,1,3.127238955601255,-11.884343286984214,-11.242609550681513
2,-2.6270363498744156,-1.3595304388915377,1.2490781997954925,0.596608825852085,1,1,4.868848180965647,-17.98268359325721,-9.755704074969687
1,-3.534374645605836,0.5790336542483832,-2.251814096139062,-3.2851210805139317,1,1,4.22666326451254,-16.259724158730535,-5.6610005334062965
0,-3.8226112194640596,-1.1776991600515945,1.7354332660592393,1.282737002373347,1,1,5.361085766396023,-18.94563753172706,-6.169074793200847
1,-2.6744312269904618,-0.27019539916975277,1.3354315105656387,1.4407400733867721,2,2,8.085601687106681,-32.114847058117086,-8.216228780115518
0,-2.8197731362818708,-1.0863349049143203,1.3848937160376587,2.8943802215623786,0,0,2.26310839673068,-7.415538466886615,-5.109616735067518
0,-4.495993718731507,-1.6251396267831395,1.8470722994928015,3.868452130244017,0,0,0.5177035769201646,-1.924471027050709,-3.469598275898905
0,-3.0635750886003983,-0.5755521648650717,0.47663064945447364,0.0816414640682086,2,2,8.640015455567806,-32.85044441969106,-6.035178932601789
1,-4.7284619850993606,-2.976990546894054,1.0552405422807052,-0.0011322404582754242,1,1,3.3551188412569917,-13.416291970552406,-7.151095389291616
1,-4.145034458203831,-1.3913470848986609,-0.6638591095711659,0.43372173977383466,1,1,4.902979208793809,-18.066587921910358,-6.499235807272756
2,-1.8003521631115875,1.813845745132089,-3.1278600137432617,-5.2856620200751925,1,2,9.283444688430194,-35.14009282376078,-7.4538868858562
2,-3.448845571006141,-0.4183944349188116,-0.5350893243073254,-0.06535670976500618,1,1,7.3035787525593925,-28.706217068796327,-7.807398686152385
2,-3.025382397015232,0.3547207737551067,0.4856986725023113,0.5051198180561922,0,0,-0.5202442062691386,2.1885532317056633,-6.613875740595774
1,-4.73391388532692,-2.310233344601065,1.3530082293074268,1.5635231240655485,1,1,4.692296951809906,-17.829762950653226,-6.833986678150857
0,-6.611607036980483,-5.44078884364917,0.7967363499820587,2.0124691516104862,0,0,-0.9311318783478807,3.6129458037501525,-3.6557459467241853
0,-6.115460611391871,-4.1628766206124475,2.2275641244585254,3.621901514842104,0,2,8.743583715644645,-32.31994744320357,-5.594119971772865
1,-3.8605066053198036,-1.8681056300079866,0.6142983596463619,0.19558497228603267,0,0,-0.7423328961993788,4.069693168400201,-5.36124475121596
0,-5.049838430056882,-2.8567556566771097,1.3838519550241977,3.7106997619526005,1,2,9.433494519435033,-35.87709656503464,-6.109147147894511
1,-5.280721377200365,-3.639755477647109,0.7049803017855663,1.3211317064219135,0,0,0.4734251516919856,-1.7494389044900567,-4.531644995758845
0,-5.277741969936966,-4.471515968094066,1.3813223831340529,2.763732487109692,1,1,4.58467716610251,-16.853455077851656,-7.189348949039875
1,-3.6851611713898405,-0.028834779841875102,-0.8547692020253025,-1.4923938168479212,0,0,-1.0986974570040628,5.372830635073088,-4.243601609540296
0,-4.202724887276272,0.31345418414964943,0.35421046439240045,-0.3354152839790244,0,0,-1.9055749146772685,10.381172229510273,-1.0275008965195198
2,-2.940949948012822,-0.1884231411082266,-0.038600549548141384,-0.0666316402004604,0,0,-0.22881449303197055,2.8035347030438245,-5.006241695403714
0,-4.843342573147192,-1.8523325154588393,1.6187627761901617,1.2530822409834328,1,1,4.712408060120985,-17.697719409216635,-7.417588010317659
2,-0.773542695022893,1.0724941367868173,-1.9105673006121477,-2.786700839997268,1,0,0.4975653968257406,-4.168713738560635,-6.823905118642365
2,-2.276085785634031,-0.26679320181085486,-0.17475884516111845,-0.26071532606449144,2,1,3.4499172280528425,-12.926708312978725,-8.57065694791898
0,-2.9456490017972,0.9047216797278606,0.36554075637501,1.8548810128126147,1,1,1.6723440811677506,-6.732865072033511,-5.093386106924453
2,-2.0552886332819025,0.008699622678595809,0.15217822599947992,1.714211582225795,1,1,5.675054594189262,-20.012695169134552,-9.27706846560251
2,-0.7496775913955123,3.259633451641515,-1.118900214807899,-4.200489076828841,2,2,10.657130839961201,-39.552122746263485,-9.365753436525004
0,-5.264655881608305,-2.9631127284343197,0.8523594381069493,-0.6418283192961936,2,2,9.03859118130352,-34.820933928339635,-4.806530390413823
1,-3.350273393736293,-2.3914772339014547,-0.955561535984107,-0.033524245792010854,2,2,9.71984729172481,-37.23186087146334,-5.03805514109191
2,-2.9964013868290063,-1.2323978549147738,-1.5795151902137183,-3.7331231597509014,1,1,4.082072714966835,-14.677244902576616,-7.469355798349017
0,-4.090999575054405,-1.0619889238099947,-0.35562657659605146,0.2874119810935588,2,2,9.07508451604896,-32.640391743923196,-5.7615055337468135
1,-4.387043561194047,-2.693313943683167,0.9684799390178758,0.229473076455595,0,0,-0.16445599272813816,3.038141627222009,-2.677811822831699
1,-5.642655164272728,-3.52231817670466,0.23443585229656383,0.7105017864980945,1,1,4.172085480160933,-16.590274028064822,-7.631504109586513
2,-2.5053251204809643,-0.6542695316165317,0.1525352200070147,-0.6764453037068272,0,0,0.24396836837367605,-0.13564427708289706,-7.508719092669426
