a,b,c,d,e,f,g,h,i,j
0,-3.389260569889716,-1.8866097562669477,1.733714244904607,-3.438615565889149,0,0,4.274151088574341,-4.487725715764384,-2.364908844456031
2,-2.960768372702429,-3.0816970439031297,1.3865384603152475,-2.055351597427395,1,2,6.157296393507811,-4.294381982104824,-0.2298971105762056
1,-4.8695671917140215,-1.3048677833602884,-0.693521970344237,-1.484689071840956,1,1,5.715827917331174,-3.5622370210465,-1.6679623907156176
0,-3.3097426204480422,-0.02685586853772315,-0.5069611806600167,0.3247804779155943,0,0,5.524224502125432,-4.797724524784363,-1.887627329268935
0,-6.481995810342745,-2.9479140597723417,3.1330703019020856,-1.780932984386137,1,2,5.788914655529727,-2.6073825614603066,-0.07640951868611268
1,-3.3653885196442195,-2.419516023854829,3.3641606440462573,-1.3060770801399095,1,1,5.287016264401858,-0.6169103725132179,-1.0349266672675212
1,-4.304395383955406,-2.1261678160030577,1.8628527200254728,-1.2592763988527538,1,1,4.579573109936698,-5.176999585686721,1.1870881699676452
0,-3.2233842573003795,-1.4920425878501509,-0.17693187821403633,-2.6096448202821527,1,1,5.455724637346232,-4.6816074253552,-1.0454473608480657
1,-2.9247435226074803,-1.7545890389092973,1.6068784832993412,-1.7419166320101638,2,2,5.821333923709199,-2.044079378081777,1.626121334861031
0,-5.962423472033082,-1.0426705921027848,1.3032491781124471,-4.226877722694797,1,2,3.283647676815909,-3.8316052220854737,-1.7566257996272021
0,-3.791179955501481,-0.05110651206297101,0.9667341106564582,-1.0566303881557118,1,1,4.68455661179437,-3.8079209029901495,-1.2462233890442047
2,-5.28015223357961,-1.7543058885063845,3.003900191428032,-4.034385304137658,1,1,6.096554521686293,-4.549229424790292,0.10014907778176844
1,-2.9249038722172753,-2.8873558688815013,3.0976858096505993,-2.4057929059722687,1,1,6.025944069428321,-2.018502607881113,1.1222522376723938
1,-3.805422040589038,-1.8186271023180576,2.576903445512183,-2.9511147176199457,0,0,6.317813901579001,-2.038055988731217,-0.779460104359205
0,-5.706940024822566,-0.15022208350339072,-0.12191042849964318,-0.8988577312774312,1,1,3.3392125782892217,-4.901617059242117,-0.4374497145874415
2,-2.280222861007937,-2.341944043971915,1.337289642523992,-2.602224762449392,2,2,5.699726064956401,-2.524021748944445,-1.118938296504725
1,-2.9839619620250515,-1.3638480094357783,1.102266021893447,-2.7114110344778233,1,2,5.307299813310209,-5.0860188586501085,0.8879012182530811
2,-3.0680822449483256,-1.881009465665884,2.1740070047951456,-5.242904247839129,1,1,5.756657095826372,-1.2349521574229638,1.350238862413649
0,-4.509607025434332,-1.9890354786486077,1.3944294398768735,-1.275213228654147,1,1,5.068394120642588,-5.1977004469073815,1.438975570284775
0,-4.392326334790501,-2.230300828886517,2.3082292635148622,-3.390046081981084,1,2,5.755457567251963,-4.235316849448036,-1.5640876425794616
1,-4.113151125698158,-0.9536025806158626,1.9260710253178233,-3.0881591383641287,1,1,4.639566609746766,-4.757814524557275,1.0237041425810007
0,-4.235366368693479,-2.3514855856958965,2.0529303603516627,-4.24509460345077,1,2,5.42195840394797,-2.6453056051386565,-3.090671505725461
2,-5.123133016488115,-1.9281121493360536,3.252620895368729,-0.961799774846838,2,2,6.500677052469602,-4.196078684692497,-0.470809859468033
0,-8.178305819961437,-3.092062525048094,2.0088910251084138,-4.499677588688337,0,0,2.4454311126747728,-1.873087528817365,-0.4272070982241902
0,-4.332360685352501,-2.056781281513191,2.162150480625507,-3.398254625390429,1,0,4.3676834087983165,-3.526550287432594,-3.550505236595038
1,-3.3710636315309315,-2.1671351030125137,0.7215171657798581,-2.771854337660466,1,2,3.5244518636844093,-6.0528252437057,-1.2963239971980216
0,-5.4645877244240975,-1.558242115889294,1.204746271246665,-2.096841956480923,0,0,5.286523369027438,-2.099725905914795,-0.13498968538122913
0,-5.877236848903781,-2.1885243834052814,2.407421322653051,-3.181584189418923,1,1,3.5053637811853164,-4.710963691627806,-0.48830561623171764
0,-3.4772967174690628,-3.27094764456307,4.013065822538831,-0.6695648752360078,1,1,5.9548144852189075,-1.3300417125188848,0.21494111935360305
0,-5.311618288528573,-1.3735844252174445,1.351021498581476,-2.9085611697790856,1,1,6.213620645402009,-1.6535317640576865,-0.035092079346444316
1,-4.365740158112173,-1.290042387679374,2.375847300071066,-4.174940300036994,0,0,3.718874579660229,-5.254011835010518,1.0584203613758358
1,-4.730300739075138,-2.493116228419499,3.554621426311672,0.162715575349218,1,1,3.8505214343469243,-6.044928086181951,0.20147837490395082
1,-2.963808354302498,-1.8408769082076375,1.340801795693718,-2.852671578122337,1,1,5.400923691856139,-2.7412286422190455,0.6528772325671034
2,-5.475586877167917,-2.1836547703335225,2.8333490407559694,-2.1212346066983043,0,0,4.270192528871261,-4.106001306938399,0.7090446174241528
0,-4.98841748994512,-1.965579421055262,2.916466805951352,-2.3989775146863117,1,1,6.003827976281647,-3.6231370155063747,-2.0021491883628615
1,-4.477996159351558,-1.7177933952284028,1.077483675632395,-3.370699754878088,1,1,5.04111335019998,-4.974979262230592,-0.6892741307666531
0,-4.943748095811627,-2.3426629741381575,2.420321531831143,-2.090611516447633,1,1,4.93669900327968,-3.3724345766247352,-3.0823143096452545
0,-4.131373729406337,-2.9128776410649224,0.24672021263476562,-1.9392299558916561,1,1,4.812474986179151,-4.014390524055222,-1.1254329075320886
2,-3.7518541396752854,-0.052295097276736424,-1.40260783195174,-2.1329223359418648,1,1,4.364221630927242,-4.9630768632678555,0.015970410138959723
1,-4.03921416511835,-2.082367557660234,0.2689310999357748,-1.152424255752798,0,0,4.285417334994572,-5.107665060409396,0.3105413796614153
1,-5.632614749479868,-1.4873397344803299,1.4450051234262404,-2.521095770515796,1,1,3.3400133568273613,-4.140832320116989,-1.1333090511136799
2,-3.8134035417239227,-0.6417590121283936,1.4448634129807196,-3.5826203975238204,0,0,4.288388908650817,-5.5273117783800885,-0.058591319621438265
1,-4.81960398851328,-0.6944550445487787,-1.0267839454504666,-4.442768348095601,1,1,7.482325585582838,-5.491058977568667,1.225599835931371
2,-3.03437451729462,-3.0351907961457467,1.9279214985225606,-2.9373800979928903,0,0,3.201698188540438,-3.8786888904899026,-0.9142731773970445
2,-3.5011911618662697,-2.4834305647950483,1.573761576601385,-3.246821086938375,1,1,4.1866709446986645,-3.5836928985601846,-0.9281400674401828
1,-4.204359130711895,1.0544916444970052,-1.03152018714981,-3.3144749085345895,1,2,4.490888592437324,-3.858311150026212,-1.9492793300118774
2,-3.109150409746198,-1.9580186645608204,1.0556789514049214,-2.6568092820989353,1,1,5.92621091914808,-1.4191602292987386,0.8786490160562995
0,-5.70031618127677,-0.8568342214626241,1.844888439879857,-1.357162602746063,0,0,5.879480583382138,-1.7124724651303773,-1.1743498565229928
2,-4.401000416091607,-1.5471735199948942,1.1579532336468175,-1.8399204704858945,1,1,6.109074709211708,-2.789765264890118,-1.79389851763374
1,-6.355138043460107,-1.8294364394843856,2.3018817448356477,-2.6219673433002004,1,1,2.979320513016596,-3.643348198987748,-2.0557174352618737
0,-4.8769681478792215,-1.7254479524757116,2.077496085829181,-2.932403091023313,1,1,5.665022632055227,-1.0556796654524851,-0.6738366646014338
0,-4.808487158296614,-1.5153059077112867,1.7183666399852888,-3.3147051853144682,1,0,5.41284387316348,-1.2897511457557125,0.4984635081631612
0,-4.86346952337698,-1.438254401141778,0.9854520668167536,-2.5272249695551783,0,0,4.359831526072439,-3.523100483939028,-4.1006062303603175
0,-5.390521704623612,-4.310924071513525,3.8135356967513045,-1.2431463967658598,1,2,4.890571128701731,-3.0876222864247045,-3.9956643732239545
0,-3.7644654556366017,-2.4496927240586484,0.6713011180569668,-3.048667131570495,1,1,4.742394288787415,-2.8803413993121807,-2.766061900453013
0,-5.5569939991156545,-2.483719818764504,2.9856576000826918,-1.8945188513720095,1,1,5.849248695394829,-3.804124243179451,-2.4411290309978133
1,-1.9884916700259307,-4.100629374529744,5.052083804484163,-2.2892072192283512,1,2,5.769502935635557,-2.063977804165087,0.3002141495270418
2,-3.5636863035698765,-2.8787310813814067,0.7932665102688028,-1.9733405529736978,1,2,5.390263112151001,-3.3933322923171074,-2.2800796698740458
1,-4.597749912708462,-4.029436961545201,2.009021958002463,-3.9802490894447913,1,2,3.525057493637692,-5.271149106885339,0.4655051603777022
2,-3.6732431513783443,-0.17180577755619253,0.5405649770531137,-0.3882377738499798,1,1,5.590869298443771,-3.022651399387148,-3.0648973268609376
1,-3.852062193061356,-2.429288734682057,0.3896720491327943,-0.3591998876613809,0,0,4.6502625882738275,-5.097612856190359,0.5689011392404003
2,-2.901060706703796,-2.588238199707365,2.3675188367954942,-2.107540295075989,0,0,3.4518420502587897,-5.842047408846236,1.4306512595065286
2,-1.4060918263488333,-1.6407935120322388,-0.05029411459792743,-0.934105209076913,1,1,5.016901202007509,-4.598669273558768,-1.523162527930704
2,-3.143317349096841,-2.2844729862434723,3.9234898964054556,-1.603828778761645,1,1,5.4917720076276595,-0.9511023553357449,-0.6143647537946522
2,-2.5695123961242388,-1.4901935685034282,3.077903299744622,-2.628931785334245,1,1,2.7065802241962995,-3.1714563037466634,-1.6534904892163182
2,-2.363055358771117,-2.527629225197126,2.468032250554564,-2.287722482415732,1,2,5.674505095512133,-1.0194886701368402,1.3939010556983933
1,-3.340863084321662,-2.1040733413350017,0.982801666830087,-0.9554882246457308,1,2,5.620383125607662,-3.219204384072659,-1.3957513059471542
0,-2.897320319415394,-2.4394827469456555,2.908046705440884,-2.56545983579481,1,1,6.265244232832682,-3.4895493278276426,-3.483514092929423
0,-5.150329524351903,-0.8852797971750169,0.4317495288323962,-2.722630024417075,1,0,4.8523834925185705,-5.4486458696790345,-0.4606637650793096
2,-3.9058498689677785,-2.480406543030387,0.7858365657652528,-1.424319059908567,1,1,5.612484986451246,-3.9268290757563995,0.13980793527228552
1,-4.997171847834028,-4.290044577347442,1.4801005529085773,-2.589977179070043,1,2,5.16883429299861,-3.7476215815891494,-1.303623231153457
2,-3.554258610890624,-1.9195107584616633,0.4802159482217432,-1.375819786394342,1,2,5.244820608637524,-3.8579885740325786,-1.9416416010782505
2,-5.384048388937735,-0.7547842158431759,2.332161774339186,-4.544307234332559,1,1,4.114516639447509,-6.038235417651552,0.540365794476325
0,-4.194749171885653,-2.611315820441825,3.2901242325500295,-1.8654694815114528,1,1,4.053658990755244,-3.78228113989805,-1.7796346776737813
2,-3.979818787572994,-2.984730848702621,2.71627843685348,-1.5164273672290565,1,2,5.1466338384303345,-2.415065212690136,-0.011770409668316578
0,-4.170325251718926,-2.5046436005202093,1.7154408996612802,-3.539705221676477,1,1,4.389840863257016,-5.522781632077167,-1.0537269100894269
2,-2.9247648456204867,-4.415663479171697,2.13652215352056,-3.5055888471213934,1,1,4.654870851501322,-4.527291930628666,1.1471785885666466
1,-4.98008603717903,-2.822072020298612,1.3689808140638666,-3.024406677604085,1,1,5.272045324591284,-1.8471618049835756,-0.3971516489386828
1,-1.6802821509867716,-3.09321843840517,1.6927190573561883,-3.022105094835761,1,1,4.607265833125339,-3.7473526142294986,-1.1492872096012177
1,-4.548057836323545,-1.1401745221273618,0.7664457194351009,-2.8267054649050984,1,1,5.841552281542576,-3.6532549537384646,-1.6417676434359372
2,-4.129607287577109,-2.370956915393378,0.7098936861043567,-2.509622935037652,1,2,5.426583454103531,-3.775070909365617,-1.1825499283792196
2,-3.6934844770143807,-1.246427893679873,1.7118018601814313,-3.208766527681228,1,1,6.088536421929547,-3.597517310629468,0.2918289668912357
2,-2.8062840723780673,-3.4687145339766445,1.8353825251953575,-2.065118540089771,1,2,2.9529967670886923,-2.4084924295295256,0.6279953231298054
1,-4.8549538863438055,0.6794421988098911,-0.28080046018031124,-0.07283179868760814,1,1,5.686337060781878,-1.594563639974901,0.9249737995085339
1,-2.974530096211714,-2.954071124924792,2.68086755415721,-2.9409323363428967,1,1,6.804455324455743,-5.324410568356695,0.7681671291951602
0,-4.6775755948007385,-2.8676773650439324,2.4634824195168155,-4.31168233912889,1,1,4.160987368184356,-2.44649223602427,-1.8452537213021671
1,-3.961972412188042,-0.6092987832968475,1.8300229153888876,-4.51071009450599,1,1,3.6106607339285763,-5.368642617578374,0.4029842590327219
2,-4.327736037427982,-2.9919016215672816,1.33028719781571,-3.0238974828813663,1,0,4.7929892190896926,-4.908925141705809,1.8423366798078207
1,-3.6767881906737068,-1.691307148640278,2.0926490954072836,-4.923517104806944,1,2,4.678231701055616,-6.360599273503302,-1.2161621432804501
2,-3.5505772134501146,0.8406013541923589,-1.4324446112447855,-2.3788212480833364,1,0,5.014170034055441,-4.812522896194651,0.3656162948553279
1,-5.807913901406919,-2.214324229934892,1.2702915150164225,-1.8801641887028966,1,1,2.76803650424349,-3.2970022837360458,-2.4252550035111198
2,-2.9720130996753387,-4.016853932136073,2.046755464638488,-2.718709518218516,1,1,5.2594788991358365,-2.7553672648660528,-2.4916679393414887
2,-4.220263039933194,-1.8422350559348069,1.1366849035124047,-2.80195840633529,1,1,4.898179471255293,-5.291576441689447,-0.4767806538475423
0,-5.136683779370706,-2.4433548043908155,3.015393047660159,-2.5229184084009653,2,2,6.192561357578774,-3.295506576810894,-2.787592229311237
1,-4.663317448014997,-2.7642433726567597,-0.36204128423727266,-0.012318220081817932,2,1,4.3930151310989185,-6.399766519826783,-0.31532812685178846
2,-3.639025577367507,-1.4620865212536795,2.4204317274561356,-1.989244481095324,1,1,3.854866020151717,-4.307704340968392,0.6571965218705061
2,-3.747905338579005,-0.942104052055883,2.0917527348101927,-3.0818246143966777,1,1,5.390406568570236,-3.915401509155409,-0.3785465194769605
1,-4.167366850872906,-1.4849465438972118,0.656128931454105,-1.4879792230326907,1,2,5.030392691113847,-4.075052178232653,-1.660186870660364
1,-4.242820718711016,-1.5379004267213567,0.2840926749963181,-1.5780908603444725,1,1,4.502917746512378,-4.750057963986843,-1.8884467948646082
2,-3.9691026706420454,-3.444006756943679,2.8009536850538024,-2.831804039118992,1,2,5.378507589991019,-1.8894484658666364,0.7093696970736667
1,-2.781907770195406,-2.651231696475097,-0.068279108297435,-2.9493278339927276,2,2,6.40099216088899,-4.292503516745551,-1.3212150198514807
1,-3.3479312477768035,-1.2169648229674859,2.324555811693192,-4.224419368243492,1,1,6.5511389049649695,-3.0105793895567943,-2.8316478551482405
2,-2.7626405152960594,-3.243492490033467,4.178968081219123,-0.6994555333523041,1,1,5.974628900936029,-5.265218597321317,0.5639007329933464
2,-1.9862506789771823,-1.8248030808151812,0.4992271825585364,-3.203621681831917,1,0,4.087676931910921,-4.341515537258079,1.1807708227796039
2,-3.8393654061539517,-2.8740976650737045,1.4284580357767327,-1.7718090903630352,1,0,5.532112570531995,-2.3765219349778945,0.2152266291465814
1,-3.364470524507585,-1.1273775572834857,1.5453618642447604,-0.40719421089197017,2,1,6.103311298055301,-3.2618299811371676,-1.777694745191325
0,-5.3776611204923555,-2.6600289201359058,1.025702662113328,-1.655858198201193,2,2,4.33285409649166,-5.457543224897505,0.46441477471205783
0,-5.68629676886445,-0.938328320495027,0.15907376583185406,-1.0092586189487815,1,1,4.021386806401995,-6.595296858341521,-1.8221742724565346
2,-1.9935692062471309,-1.5064392339682042,1.8709452157863327,-2.2279088882026468,1,1,5.549232523908046,-2.3720217683572957,-1.1283590006734319
2,-4.1633283191988975,-1.8726374088292779,1.2873355560369946,-3.909900250992962,1,1,4.203757651090445,-5.614127945672804,-0.492341785481726
0,-2.3632957292991064,-2.378661262811503,2.3218870602077306,-1.712653929321537,1,1,5.780751639023227,-1.420823444453992,0.24936562046848332
1,-1.423843699153315,-3.6583721617019185,4.208689607832172,-1.8596162603963817,1,1,2.621227711995621,-3.0278115150138554,-2.8590321085840467
1,-5.962294390087339,-3.0401995065464575,1.262841398756362,-2.5671257525110085,1,2,3.9573934443317267,-5.495820455237341,0.6598676120294521
1,-2.882526543627557,0.016767258228282067,0.7105824298059932,-2.252864290062545,1,2,4.575261741939685,-4.166839823210121,-1.2273472499497562
1,-4.642716134836719,-2.6826070882381856,0.6808264246595326,-2.452247729903646,1,2,6.122252070186702,-4.532174918715381,-0.37761481596834784
2,-2.7314306410392764,-4.069368992026501,4.186238179853262,-2.8670206929480413,1,2,5.126242426504009,-4.989323653193917,1.7952382048646893
0,-4.644011536996726,-1.5518238813070375,1.0160847456963413,-2.6793068558553457,1,1,5.814921977555976,-4.121980488099381,-2.306737020609889
2,-5.83658958948209,-2.2228218772694146,1.7288229083302686,-3.0258958286760342,1,2,6.0349211538723635,-3.8090340044781765,-0.43432546787295134
2,-3.1870293732977095,-1.9677087789582377,2.797293302561085,-3.3016631001049426,1,1,5.611762095563955,-2.6186340880635592,-1.343305181525119
0,-3.5101241963784613,-2.0345541231826614,-0.07777502686622717,-1.869153763298624,1,1,3.852325965736002,-4.79833464680946,-1.611054405427288
2,-3.0433361173221636,-3.3099290316711896,2.7437874033420364,-2.3168250067277185,1,1,5.6600583398139745,-1.4307656297028326,1.9410984697631852
1,-1.8992571992176945,-4.353276471974402,2.4094807254223958,-4.397891653324157,1,2,5.606722919893882,-2.0653220527867093,-0.3291104068788084
0,-5.545006215187658,-1.797776199000456,1.7795769327289306,-3.4648529464137674,1,1,6.072680827527259,-3.2606162243067924,-0.49663939728942097
1,-1.8808482275081535,-1.1311235145119296,-0.9468314000982547,-0.817432248704882,1,1,4.350228259372567,-3.722529100688356,-2.2328805958113196
2,-3.298629831975154,-2.436939517666793,1.2098604590434985,-3.3496764313815195,1,2,4.741606816036673,-2.0363717551352494,-1.6293284355216595
1,-5.093816258573234,-1.5724550068751544,0.7053908453450348,0.030656698260811188,1,1,2.4867475750261234,-5.0572348873886925,-1.1095894003498306
2,-2.7294908118157024,-1.3945673261546274,2.2764841961339872,-4.529865495627827,1,1,6.755384122828122,-3.694150515338422,-1.7158880913719519
2,-1.5645768025333182,-2.9833108725899424,2.501658064855549,-4.983991953612634,1,2,4.335792185722841,-7.378724605133109,-1.0147556095530514
1,-3.5858793823796207,-2.7964139088592677,0.7360762399541874,-1.3351692907126282,2,2,5.998412066873303,-2.1270115373304765,-2.0222385687847435
1,-3.5435466330859566,-2.592261978093707,1.0907508973998952,-2.0707578999748337,1,1,6.118785679556435,-3.5523150321457537,-1.243119952804228
2,-3.161608748612061,-1.2095097837935507,2.0538466453171647,-1.3802936976162348,1,1,4.491332721565093,-5.172122401609869,0.6919651501532557
2,-5.4555791737012385,-1.262461474408705,0.6619479160547447,-3.5334835876278694,1,0,4.487537727596004,-4.873165116324763,0.025132440258809563
2,-1.2342061161581999,-2.205364428019931,1.7193460268844425,-3.370607558531334,0,0,4.303688424312624,-2.729773100445769,1.4312651298118704
2,-1.3618993464881324,-3.69739430423081,2.2654462675808613,-3.3536578470380185,1,1,4.9057248202989365,-4.735280326473071,0.5486753930887166
0,-3.3014505842514357,-0.16290075009536276,1.4311310508031856,-1.1879658903628527,0,0,4.802061557602558,-5.326439831239792,-0.6457949357662857
1,-3.33214902506173,-1.9855803905074763,2.4621217903824073,-1.9785363107014895,1,2,5.039613778507768,-2.2042432981958764,-2.124131097382276
2,-3.163360774984067,-2.328581236242834,3.8369325337714386,-1.8092688095066327,1,0,3.9377772473527557,-4.792472873480978,2.429353204024663
1,-4.078517113017468,-1.2609634470726976,0.3318516859156073,0.38499289293238337,0,0,5.520345904615637,-2.7482200436367146,-1.360503436331229
0,-3.215263071906608,-1.3938341969440655,0.40278353587228544,-2.0929265588031165,1,1,3.789813777745425,-3.676708043406702,-2.114966122222987
2,-2.4385186004592936,-2.3142639821958273,1.7500524112544875,-2.6439662443449996,1,1,5.1089035723648175,-6.04863433100139,-0.24718729285271746
0,-5.957447240808199,-1.0293818812858309,0.49785097309311527,-1.5699635438355823,0,0,3.704827489112201,-6.84431320932728,-2.775354887053785
2,-3.727926303799406,-0.029365559234515004,-1.079008375160754,-2.8632507445953532,1,0,3.9527086007545145,-3.171100964051436,-0.5538131254863129
2,-2.9095076293719235,-1.5287456436135713,2.0456868772396897,-3.4891372653025887,1,2,6.0658658606437,-4.24226720380372,-1.789603091348328
2,-3.8135002244406846,-2.187066320797971,2.618874817627958,-2.9726185581648332,1,1,5.573096393921773,-1.2614379236338988,1.8990152848245676
2,-2.5598244811497315,-3.2315949612018366,0.8509998832468819,-2.91567000192068,1,2,5.174192647632382,-3.043976666157228,-0.20991650289160135
2,-1.2445715863688775,-3.5233016397385404,2.105237516123748,-3.662020496433552,1,0,2.465116727215998,-3.1874776750310785,-0.8532974742630011
1,-1.756235880668791,-3.126383749696904,3.380071512868324,-0.21690534203704903,2,2,5.236336765230492,-3.5209603652398633,-0.08560653787424055
1,-3.0595574173444926,-2.7023456907751573,-0.31181769561081496,-1.9920223364387257,1,0,3.193285910950575,-4.068068801156499,-2.327726586572375
0,-5.686695628265962,-2.962669924099818,2.2206589870056272,-3.0086507646554757,1,1,5.118252949251716,-3.3485252393229246,-2.6408992503928763
2,-2.2776065258290634,-2.5201119729793415,1.9285620698740809,-2.2115609296560814,1,2,4.716364243038839,-3.85612978409385,0.03427375423925483
