a,b,c,d,e,f,g,h,i,j
2,1,6.038115066587486,1.321675426165421,1.6072894942349487,2.6101592383463394,34.99445964345862,0,2.7884285111939775,-5.038227864888772
0,1,6.009558495285419,3.5656218066383527,3.1436656762304978,3.5774822846485037,108.7582881661289,0,1.2136873910330177,-3.6549684451858164
0,2,6.976368148138954,1.4528458356990852,3.3896276450833334,2.577358830905111,30.085567492281456,0,0.44190104265676067,-3.1945119161306903
0,2,7.452855816322955,4.131726735786012,3.968234138945287,1.0528187752638243,5.736700130828983,0,-0.4440785952000543,-2.885526562148332
1,1,5.49023438602396,1.5644696221640622,1.4567517321571664,0.755700225648803,2.4720951508718008,0,0.06173242528750167,-5.253993433730813
1,0,4.348250582315351,1.1276580653684256,3.844953928032544,0.8297134234616967,5.417903301984386,0,0.7259702535787567,-5.4974444013019665
1,1,6.784588671971242,1.7725342164149969,3.188371335383522,2.0821892070818993,16.27988325691724,0,0.8501294438058115,-5.605258958128133
2,0,5.555778009744233,2.7076898806034273,4.088914504016401,3.3782410955872937,86.29049970134395,0,0.8957573430847523,-5.4107120014019445
1,2,5.302617525018629,2.39736477352595,3.9458947515634644,2.19344843200909,17.907050837869413,0,0.013499750370222774,-4.014163186806142
1,2,6.667534180053634,3.6265818535378678,2.8021253302832534,0.8382664881825135,3.830494918473801,0,0.32548276130016723,-5.254709358575159
0,2,5.558708567243455,1.5252359611404587,2.356214442813691,0.8799009364149805,5.100317249247492,0,-0.7052815465686779,-5.7215100498121965
2,1,6.01595548240236,2.3052119771791895,4.667563631307841,4.079671958926298,150.353956541724,0,1.8671354225271546,-6.108604152312303
2,0,4.42755746566023,3.2478121864326943,4.79071460195941,1.8000121978103254,13.279158920608474,0,2.584367277057088,-5.046276367495056
2,0,6.207058696031102,2.4988328011561936,2.9139680873530773,2.4787273483263794,27.323553953925053,0,0.03420545538557218,-5.245286877896735
1,0,4.963633178709801,0.9927557526110742,0.8959283551461223,1.8848602463858453,14.851446821116276,0,0.4213331078926393,-6.1876559919264675
2,0,3.9630890107033094,0.524856755681482,4.096902048154606,1.2826658366537007,7.3169060869176175,0,1.2016182008033738,-5.670183645005352
1,1,6.13372899787094,1.5192321405948728,3.002809702658344,1.948115342379426,13.039505551371338,0,0.8500504714023739,-6.133907739334999
2,0,3.518244471121607,2.785440402751884,4.041654064542473,2.75646970894051,37.025615754838334,0,-0.7326966286297105,-6.452088754995674
2,0,4.820468448117368,1.439502460722887,3.3073637420006468,0.5155513745708775,4.696957701262713,0,0.4949906356283872,-4.750376711225053
1,2,6.616496691993232,1.424039288225495,3.079979059751649,4.161506154843931,148.61081873182403,0,1.454084546583604,-6.638417743266853
0,1,5.990358396056677,1.4542424627944088,2.3626710217903066,3.224524728291664,70.6888742148295,0,-0.06002688779306142,-5.490119837746764
2,0,4.650854848438665,1.2153973918666914,2.8518101851449194,2.583764290634547,30.218777420715774,0,0.45856240472190146,-6.787170764185227
1,0,5.595376993902231,0.5748173411410187,1.106372489587039,1.3503681406570864,6.166966877884437,0,0.5830780629728564,-4.315026756991483
2,1,6.530715140405164,2.0532282283292878,2.780137420613433,0.967044675263118,3.0309829033501816,0,1.1653100417074325,-5.680222891756176
0,0,4.434454988480468,0.4891634807285452,2.1549172945726283,-0.5781214314101735,2.249213540574984,0,2.748015043633011,-2.9217720406203376
1,1,6.745789631480885,2.377662778206214,4.6709405869765455,2.154037703551656,18.703372043636914,0,-0.4173586437238723,-6.584015741094966
1,0,6.331335816082367,4.526123837443814,3.381402849507973,2.1872477344118404,20.49706397234201,0,0.3260994092207548,-2.979739887496795
2,0,5.333362470172945,1.8715273303064874,1.6634142849416496,2.040974605770424,14.77874703058745,0,-0.8757995959993576,-5.565249667548907
1,2,6.227831470160995,6.000268470731619,4.998571347553122,3.472419724204161,96.67759403086686,0,0.7901838427597603,-5.038257029122534
1,0,5.197512248619869,3.70641650244887,4.977040023081367,3.4075771094455587,87.41253118978959,0,0.9419397533860893,-4.719475257794845
2,0,3.5980655936199124,2.2851361015941007,4.180868890463117,2.609916572851334,32.64517692889553,0,1.543335312712291,-3.7232442515386786
1,0,4.069884458848054,1.3411504996831782,2.5554220162353434,1.8548847730674574,13.397297321204613,0,0.6977286793880915,-4.902073282675338
1,0,2.9493813200196053,0.279399845559976,1.3484778764297605,-0.10964977054423786,0.762939660480946,0,2.4256739302323163,-4.923899354796685
0,2,6.992594451726152,2.9573026364834996,3.788485044534933,2.049885156330207,15.700221804786093,0,0.24627653263507515,-3.8581601971781136
0,1,7.467798384124721,3.627217684070045,3.477295627337603,1.9870344306650316,15.010941923550522,0,1.0964824042302868,-4.8837810453736745
2,0,4.644501120701065,2.5257903951704574,3.4132681458734373,2.5230858189323713,27.037155613764668,0,1.4977869486931465,-6.2418268494628855
2,2,6.70862709530283,2.8387419408843835,5.036755474937491,2.3127721555412877,23.20252766430095,0,1.3001534194283186,-4.665445814373796
0,1,3.0771733817907156,1.7414282255695204,3.089443627318679,2.135574348403543,17.332297391120818,0,0.5424915409518426,-4.1056060584712215
2,2,7.400220162694197,2.0076174953174237,3.901632429984851,2.7700378626713755,38.86811672674867,0,1.9308725050835025,-4.5479760365050765
2,0,3.8422464625824855,2.8202319726279024,3.53105643019264,2.3742654556157357,24.160489754268106,0,-0.11505286380107871,-3.3345016763251056
0,2,5.221617588676155,2.570157166120484,4.008869091473038,0.8346667567948098,4.35646006915936,0,0.9486470684307766,-5.3612503045639865
0,1,4.942344953585308,1.1309795967458085,0.8022049177531683,1.637695954312785,9.432420484878103,0,2.010056614746298,-5.160231732198638
0,1,6.372600780626216,3.869490280450237,4.4279856195042795,1.119281183663334,7.187713177862528,0,2.0503847340611907,-3.894090653252241
1,2,7.692689820519588,5.303379022628619,5.793623499361967,1.0577633181119064,5.97438663329161,0,0.6545960629493155,-4.257975811420654
2,0,3.167986997758544,1.715247807535331,2.240543383540815,2.383039554263978,24.204001175116844,0,2.132642342776399,-5.0241574898525325
2,0,4.374370018476839,2.7720935019305384,4.218322327256114,2.2065062329978073,20.03153505360749,0,0.042882115668288145,-3.3214230900896116
2,0,3.9505136811072337,3.0075374811553344,4.503665870361507,2.66474812518932,34.66290384847104,0,-0.7051874171082699,-3.8305756539934532
1,2,6.330707346447691,1.0001811353900047,4.661574150397046,1.9892839576753667,15.356254569286547,0,0.3592105170278007,-5.78895935390405
2,0,5.032862518025773,1.5863492750483164,3.242478895285346,3.3386448175562684,78.43990248529451,0,1.8586886516093706,-3.916685081515486
0,2,6.068459173842834,3.0843252873400933,2.116827136697414,3.0216237041287477,53.8295015394113,0,1.433282546475613,-6.74830061187888
1,2,6.771713784170597,2.1598282186963416,1.2562583838696084,3.456560656872784,95.56318812388548,0,0.5244634076373287,-5.615696264863087
1,0,4.611927595452245,1.0659727341090321,2.9954717421983217,1.1020167665958904,5.576112367879403,0,0.6426395099555222,-2.672732167803634
1,1,5.329723125237983,2.2563636828806617,2.3494340967689484,0.03338977415795208,0.8599705875436503,1,1.7179386093406284,-5.534749278192732
0,2,4.232900203054689,3.369562514167873,3.745058772731938,2.5990318132231316,33.221320864949966,0,0.8485770944482134,-5.4368990939665665
2,1,8.342636628225863,2.7933282347185933,2.957290841618068,0.13326478966911837,2.3561903853570256,1,0.2858448941090319,-4.51841863395213
1,1,5.5897800528943185,2.336055848918519,3.849032131478566,1.3283738398026865,5.772715246086212,0,1.1049846021317937,-7.31943847798358
0,1,5.752058805285074,3.1928957158197493,4.417526708613224,1.9364474911781446,13.32281406629283,0,1.108125492440947,-3.897694342858157
2,0,2.897515247375205,0.16080188641391335,0.023062867616093108,0.9930091120714939,6.06246089480387,0,1.2634570713186815,-4.742059471601246
2,0,3.5711198464023948,1.189742970046431,3.6221666513317263,1.8968333992777358,13.785005959549936,0,3.3543766067963356,-4.914488170402803
1,1,5.554709148381961,2.5732881781353956,1.335437866713571,1.5803395389888621,9.76283939725346,0,0.14224422209067866,-4.812172857274121
1,1,6.672728371936577,4.295313333413178,5.402268851340365,2.9349092987944414,47.34462678989166,0,1.086901239083839,-5.159538832474996
2,0,4.665984825914844,1.034587717579255,1.3884607770340722,0.2339194612061093,2.8190981170122513,0,0.07015892500670373,-4.753857333318785
