a,b,c,d,e
1,-3.924099584159474,-0.1029852042387045,0,4.604863139656379
2,-1.7900737842920917,1.3969973321134102,1,6.816267944560417
2,-2.087566979679802,1.6978357546475753,2,6.512335016686823
0,-5.478603069721452,-1.9234756235044965,1,2.797225342366632
1,-4.151029401760667,-2.2156966333993346,2,3.70703228030347
0,-3.6829006452729605,-1.4824332567268024,1,2.8472393833195095
1,-5.9991157567824205,-2.3181771441500687,1,5.419845797418579
2,-1.5576397826758839,1.2320132796261383,2,6.514509128946802
2,-3.9074903745751577,-1.4092396242912186,0,8.258826316199086
2,-2.820719369106819,-1.6447884458836175,1,9.086157977534434
2,-2.405042285502213,2.9533316833043672,1,6.883878127369067
1,-5.8175231004583265,-2.6729073009262416,0,5.415592292945052
2,-2.8595158477059934,0.20372679311046432,1,8.649065883368174
2,-1.8733362252596186,2.2030366321245216,1,7.620034133835383
2,-2.6480253617058955,0.6823949712679559,2,8.667927752650307
0,-6.469966352076165,-2.755972382812836,1,3.149911152892924
2,-3.0130896094398634,1.169670281443817,2,6.038012843206378
1,-4.3482145906788485,-1.883175056288656,1,6.875401554020317
0,-4.548571244094722,-2.7324851294216423,1,2.8739841098847436
0,-3.6399805119078747,-1.3936455956314349,1,5.850952844808569
2,-2.5570134597154843,1.1611209778561495,1,6.558721450952587
2,-3.0948756959374504,-2.3705203545670313,1,7.963158614533366
2,-2.329758134477508,-1.2489321113091711,1,7.741552304053854
0,-3.9963199776388567,-1.1759456083121318,1,4.876459449156854
2,-4.133541771792361,-1.140984938269479,1,6.678242125012299
1,-4.590072138221336,-0.7430389547161844,1,5.541057404910894
0,-6.309280162547058,-4.600780212523249,1,5.195544935609838
2,-4.592791194766001,-2.7736967088127322,1,6.933026019070033
0,-5.136553021390286,-2.3699468354868594,1,3.836478455087705
0,-4.273037554024644,-1.3703259413882118,1,4.05613205728591
1,-2.763971750840852,0.788497119848095,1,3.9950774289340822
2,-1.5717391756481685,2.6587110167660084,1,8.06391745989956
2,-2.551835875449224,0.6821100013316952,1,6.780524638416319
