a,b,c,d,e
1,0.8637880807642289,1.6748388433382058,1,4.067567942030615
1,2.025356320730393,0.9952718578332798,2,4.686704480670863
2,2.6734925956461817,0.8369064886333921,0,1.9229209027159413
0,-0.5060254286366905,3.4454639743527897,2,4.631742169591855
2,1.943382808547561,1.0139456965693314,0,1.2319142394987481
0,1.7277049688555928,0.9637189538595463,1,4.749686248053423
2,2.965777074075867,-0.4366885368487915,2,3.5855838497455848
2,2.489860323429846,-1.7638031500354148,2,5.521693366708768
1,2.2064736612859193,1.2608335075423969,2,5.483717671992077
0,0.0585590914976617,3.364053725561312,2,5.229743745878446
2,3.696946082607378,-0.6300073322201784,2,4.001386350302084
1,1.7437723265172287,2.1564648082993685,2,5.589146404521777
2,4.124611043541602,-1.1749712890992619,2,5.227294986976748
0,-0.8377713248642906,5.557066326182943,0,4.251458012812515
0,1.4242918493307508,2.5281507681458724,2,6.793535890558118
0,0.6830964355577619,4.18318245405569,2,5.4945091276195
2,1.75933055645315,0.8074080616022341,2,5.299004685343973
2,2.1412872407948895,-1.1228277554849946,0,3.2796452089982027
2,3.151232332091428,-0.6943392456559987,0,3.1170303437637714
0,1.6745635446497418,1.4149049086111196,2,5.87610094708481
2,2.6687481676127853,0.7671905002913519,0,2.888885527779644
2,2.908311563766167,-0.04038104203062026,2,3.7001739836753798
0,0.622701141206663,2.447725323210276,0,3.5613676284478926
2,2.5878663551629,1.1514661283888505,1,4.563701558148395
1,3.9414728020691756,-1.9010535654888516,2,6.812069489003182
0,1.7847771434524358,-0.1776544757650813,1,4.035273113650069
1,3.605281566112469,-3.362913363622789,2,6.264402705829628
0,0.7052530556817641,2.0432586017992254,2,6.09173272692188
1,2.4812660609143773,2.4059669490298883,1,5.578952563186442
2,2.9699355119124267,-0.4675674235607801,0,2.425541900503883
1,3.104233390738893,-1.129121036334872,2,5.313852959219106
1,2.3453355385397594,0.5161507459929865,2,4.448566593368097
2,4.653623589051034,-4.33891711696014,2,4.85915360748312
0,1.2685097686234217,3.5073939479530787,0,3.0087182177034757
0,0.72135889078692,1.4340548931482144,2,5.192000291543792
0,0.13550931416543188,2.359705757554992,2,6.022472694966445
1,1.5086634329173323,1.0591031191135496,2,7.128948374305632
2,3.8196439417393395,-0.24070387761166012,0,3.476386197154272
1,1.593449403670743,2.5072467821118254,2,4.607864224523429
1,2.152672454911064,1.3470970029969878,1,2.1133425634842027
2,3.825272497997779,-1.0437349483896428,2,3.631645196424283
1,3.2863651666283396,-2.7959476872179803,2,5.038281462861491
1,1.0159799748768203,3.7245337525555575,0,3.6664815211502937
0,0.7923045397853656,2.9624044024528904,2,6.266183371861434
0,-0.15437479784234576,3.2791970604776264,2,4.361728010218132
2,3.198989133973768,-1.7575661794716748,2,4.365418759992413
2,2.978233604903417,0.08809122367644495,2,6.159639857423014
0,1.2147703236070275,0.767319536064301,0,4.472680849263865
1,0.8017249734577252,2.0954682399282767,2,3.6129280425279706
2,2.589251220312909,2.014602158634204,2,4.396085238791917
0,-0.6241989287845138,3.9201825475728906,1,5.26139947435162
2,3.609794178291791,-1.0608579356514638,2,4.831976720291163
0,0.5118824029074455,2.797972488301321,1,5.1224637864914895
0,0.36414320515060017,4.440486266172638,2,5.813986299927311
2,3.2734362095131178,-1.3824614294724138,2,6.036123068041381
2,3.646897637965382,-0.3234624931442269,1,4.981575277278839
0,0.47081989206628555,4.096017831025782,0,3.02295641502376
2,3.0146893873423206,0.15650113948827715,1,3.863233199404565
1,2.25197886034933,0.33097045297572747,1,4.475207607932741
1,1.6854670073491893,2.2038166791132117,2,4.135707406486606
1,1.0655472751199357,1.4198559972625566,2,5.089659484762273
2,2.2933930293011833,-1.734726288947607,2,6.722502386546729
1,2.679897048442155,0.6403970636150049,2,4.1141486838184225
0,1.1502538882593543,1.1518240292309097,0,3.608712389348664
0,-0.14376504653359734,3.774291539933096,2,6.529703463291749
2,2.4731524790892774,0.5470853740917072,2,4.680006698361843
