a,b,c,d,e
0,2,4.569188004876002,2.821208735059806,3.5374567118109965
1,1,4.537731375908581,0.918755488818664,5.968512536096412
0,0,6.123862229813909,1.954392874049482,4.503532125605959
2,2,7.455184981971685,2.2082970738181222,5.727730168935651
2,1,5.313311972850995,3.638833783177073,6.689647803110569
1,2,5.057496543959102,2.575407402210947,5.531040757230037
0,0,1.7954711621583486,0.9238859673336601,4.958695655579781
2,0,4.216504492067365,2.505229304042613,6.444643566082329
1,1,8.453207218383188,0.9417904302265727,6.264064814642721
2,2,6.994884271463647,2.6852371394546273,5.910813977984941
2,0,4.200427713950511,3.999241040151302,6.630474401840114
2,1,6.497872415636092,2.7439104056819046,5.25343026713494
2,0,3.199041647005557,1.7511612205914087,4.799318215754267
0,1,5.73546884343815,2.971456718492084,5.813468943945936
1,1,6.132269679151524,3.41836587259609,5.379846127637832
1,0,4.673899348178951,0.14149333499738304,5.26222728014897
1,2,7.350806121690081,1.1271600526004066,4.909851503503984
0,1,6.3774374323718375,2.7928846431574246,3.4949601552814498
1,2,7.228326018107997,2.0669226042582918,4.977418437414588
0,1,5.344419923905026,3.6339369700198745,5.630218007337322
2,2,7.457815408410548,2.5183140169540312,6.082439704867903
2,2,8.188936947623992,1.0585361190664682,3.5480865474909296
2,1,5.062642686484373,0.9784998011013033,5.02529481187129
2,0,3.87230434428544,-0.8476490687024003,6.989975429952293
1,1,7.368576542456019,2.5793588897605386,4.833380664115549
2,0,4.568656013304939,1.9206956836698008,3.63031129378894
1,0,6.1638213920665565,2.1060642863326673,6.865982280101688
0,1,5.590256494243602,3.4649632679501225,4.8551083389703855
2,1,7.487837782406497,4.038711192679642,5.659923275492012
1,2,6.691485816805452,2.487191958366597,4.66187351325376
0,1,6.291021029458481,0.42694336749204087,4.675715894732137
1,1,7.59751022780569,3.4818454808262196,4.629853194462636
2,0,4.3982295225558286,2.6153137414865326,6.689974717874694
0,1,5.091670110210827,2.5637678088386053,4.5900928023453735
1,0,4.311435791971645,3.016048614033979,5.3545118131562175
0,1,6.485126156778924,1.443682475115096,4.0017499737143325
2,0,3.1942409278194854,3.6903646505702703,5.512466329734028
1,1,6.670263108786907,1.6931413630064982,5.946626024413771
0,1,5.494020888518042,3.1103575140198467,3.2604598802516818
0,2,7.707812660733563,1.2015519595293567,2.183771506877628
1,1,3.638531901235314,0.8981280057352801,5.345887868145276
2,0,3.973434224895831,3.449559349299795,6.288107304207069
2,2,4.873531848765897,1.933828819119018,5.913299605570597
1,2,5.733770533636047,3.2628181036270067,5.5509611171621955
0,1,6.280458107244729,2.7960210270792087,3.761385326592914
2,0,4.580773374550245,2.0075793706355434,6.233139328333573
1,1,5.77941463718777,3.7983567245525265,5.166068017573923
2,0,4.600815128619939,1.8815876384687336,4.93687502130207
0,1,6.2361804467557285,0.7675251464331452,3.3882643537537867
0,0,3.751463958056892,1.061010592198512,5.794636091683369
2,1,6.739641847034836,3.2201136829444783,3.891760004390561
2,1,6.695458176521269,3.0540265881910784,6.104036454012099
1,1,6.417830143791886,1.0252817883518304,3.083445879489945
2,1,6.589325648887049,1.9090414686854547,5.320537128103821
2,0,5.05641800080866,1.6631033849483519,4.950989193965605
1,1,8.067865508866852,2.6016790338236673,2.9654745882675653
2,0,4.67290582894749,0.7627659457738833,5.574028295269909
0,0,4.452916781665423,1.4474483740417772,3.4769481820369093
0,1,5.279264625778407,1.5760471217238683,1.7828657777005148
2,0,3.7277373294221627,2.628295577187888,6.383208901173809
