a,b,c,d,e
0,-4.9500102745903956,-2.596387051213462,1,2.689242993474996
2,-4.8799864528921475,-1.2101697062835193,1,0.9083347203542342
1,-4.9154428598213755,-2.566378812337295,1,3.801195712559721
2,-4.978314126874734,-1.7966501958029752,1,3.091275506435637
0,-4.7411898078665855,-2.96011599707976,1,2.1225028241519928
1,-3.559106086343209,-2.5022673072914823,1,3.1359923493487
1,-3.2813104453725774,-1.8947833750960397,0,1.1714571472654876
2,-2.8346212373446997,-3.727500725622281,0,4.090029234622589
1,-3.8850067483642494,-2.461317118129205,1,2.57115506869451
2,-3.4207418027339624,-0.9835621404352336,1,2.68166747795284
1,-5.442410591996188,-2.732677035373095,1,1.1581487703667581
1,-3.8528962897268153,-1.97031424540596,1,3.142461545278873
0,-6.217335445861995,-1.5511632247712026,1,1.6226541935361172
0,-3.4020941883372435,-2.4415336964022254,0,1.917829002597713
0,-4.0596263013617,-3.1980482551094696,1,1.2713914921096983
1,-2.855482957968844,-1.9135836848111623,1,1.837368061870667
2,-1.6292628779500926,-0.6648836543929686,1,1.3124660722044692
0,-5.539956193623952,0.210869578205916,0,2.0098557799126793
0,-5.341155264962079,-2.9846146504768485,2,1.89601751893224
0,-5.7026524235613065,-2.4945651155732396,0,2.7250837464752773
2,-5.121163508301402,-0.8473010688330092,1,4.502100726712953
1,-4.05368086299325,-0.7172905172228214,0,3.472916986989028
0,-3.584810097631757,-0.7100223967047194,0,1.4864839140309942
2,-2.983202505442438,-1.9424324541635665,0,1.0461750660224447
2,-4.044127493300495,-3.33505558591743,1,2.8280291703772793
1,-3.36854184602678,-3.019259475830088,1,1.8641726713104885
2,-4.391033623341749,-1.4406826322114243,1,2.49096363937574
2,-3.3074441605931226,-2.490883454973695,1,3.339128332554665
2,-3.5466392750263784,-1.4536469499814415,1,1.7817866691701025
2,-2.8525344894743343,-2.6656266847942183,2,2.131796469486628
0,-2.7389871201993485,-0.1961540774266528,2,3.297775677682886
1,-3.2708755540764383,-2.2374448797222906,1,3.038307068706029
2,-2.9747825408904363,-0.7538126328471988,1,3.2092406904802093
1,-0.8636071210872553,-3.541700647502597,1,4.257382461662097
0,-5.322302383877118,-1.0182856580880109,1,3.550849863428523
0,-4.518917364745484,-1.698707646938292,1,1.6857709211979954
1,-4.325296210276431,-0.4475686116870321,0,1.588391267961779
1,-3.585533647204116,-0.09314844658570509,2,4.231259544257639
2,-3.3850240394803914,-0.7025584522562924,1,2.576432688743401
2,-4.322609464674283,-2.4837002266901913,1,2.6809388431064347
