a,b,c,d,e,f,g,h
2,-2.1885335152152567,-0.365557302619023,0.5404322683436381,0,0,0.06339884455518885,-1.8899699580344096
0,-5.227583705862755,-1.596128993868223,2.595858895983964,1,1,3.4059055905943456,-9.97831877709667
0,-6.179486669349002,-4.0018623604173875,2.1192364364055463,2,2,1.4529346419369533,-5.66581747850157
2,-4.736463525637248,-2.410968662798231,1.7488987526313744,1,1,-0.314423970478654,0.34061576066498606
1,-5.384127271112025,-4.693373053064352,1.6184716361907552,2,2,2.8975510416986685,-7.732860218251189
0,-5.614337127538951,-1.254531971075542,-0.13062037062349724,2,1,1.2958695337167139,-6.905671512803272
2,-3.1969428521187946,0.9299872871292467,-0.4399020280849253,0,0,-0.04169478685988215,-0.015430139873517379
1,-6.124675028592108,-2.225742554402183,1.6057113376136263,2,2,3.3590735874734543,-10.541894749028533
0,-5.280229816015836,-1.3314865359168229,-1.0748679895349236,0,0,-0.1626186864343071,-3.8485706628736884
0,-4.0321337501167545,-2.6165213328981274,-0.15732898528669215,0,0,-0.7159645554190553,-2.2676928788026394
2,-0.5054939813931578,2.2011634454596503,-2.5118472449398896,1,1,1.5910100576883526,-3.5142058786327564
1,-4.1258984688860165,-2.1283937379595446,0.29588003853632605,0,0,0.6968623314894953,-3.2823360290763435
0,-5.423962704230639,-2.569994502942167,0.18073285405267403,1,1,1.1691031079219472,-6.884611989546717
1,-5.171514256412458,-2.224250059512781,0.30589470181960693,1,1,1.627380017107857,-4.050436964443175
2,-1.3152637335734882,0.5203691302018072,-1.277454545250092,1,2,3.193610999024978,-7.409203905626622
2,-2.510580234611482,1.2297247038260748,-0.9382590649498954,2,2,2.0909343843180657,-5.654775646865407
0,-4.083146141384039,-2.2524785085739367,1.8419154298671012,2,2,2.536872349260763,-8.859961511697916
1,-3.466301898451095,-0.04264687531915767,1.0417518919535433,1,1,2.437898002826749,-8.73907628499992
1,-3.3665567585616123,-1.4601180852258786,0.30693629561851965,2,2,1.1704910958241053,-5.969527497625064
0,-5.513872663456329,-2.8193321656294374,0.297150070475394,1,1,0.11571283881942152,-4.856959827814164
2,-2.102712589667785,0.8110279699053391,-1.1746330771735318,1,1,2.821567807763974,-6.6776715739629235
0,-4.5938550144988834,-1.8860135413301704,0.4761958649997537,2,2,1.8401175233542726,-7.2328571853495705
