a,b,c,d,e,f,g,h
0,1,2.376942803378101,3.374841868656485,-0.2935731628194681,1,2.3998070757524808,5.069957652268299
0,2,0.7658261966123574,1.0415960459967688,-0.23305950547051565,2,5.270636822638026,9.37197224679961
2,0,4.700648256050185,3.426301538765185,-0.8756431021749023,0,4.20158598240801,9.004666947818246
1,2,0.3060147749499894,2.627758191989872,-0.892476996005239,2,5.33764395748306,10.47296795658823
0,0,3.05803436054196,0.021356731491667613,2.6491763977390996,0,3.021507583425333,4.563655377302421
1,1,1.2412886084217196,1.5503077286034044,-1.7513696906078482,1,5.374596258964816,9.914071770720248
0,2,1.7443983006886188,4.482796649553359,-3.913856240326851,2,5.457660491714003,8.841121618136189
1,2,1.1312464870445158,1.8509089183121747,0.7354420577008849,2,5.611479882852745,9.82442694761489
2,2,1.1464520238965863,2.615141173321255,0.28714055114124126,2,5.495791030426122,12.818220283150144
1,1,2.435268488463262,2.836475553439313,-0.673841746536233,2,2.2856075303812857,5.71723986666402
1,2,-0.2296295773145547,1.5172097248500762,-1.9330388155943363,2,4.259585654555439,9.607144755031948
2,2,1.3682538723664825,1.2570961852141709,0.9128066837271753,2,6.606200988796733,12.475954803756624
0,2,1.1912107710635256,2.048540361170433,0.12575016924831883,2,4.0449730386713005,6.670256244274445
0,0,4.994861814102798,5.922066596242678,-1.3701471243780792,0,3.7461833021829505,6.699870432182525
0,2,1.2954763135078278,2.037409313726073,0.5982856648073929,2,4.37637589518679,7.044229949271078
1,2,0.0997752253212485,1.3256489107135174,-1.0312464599177726,2,5.079346639444696,7.665644941839527
2,2,0.5750988626207052,2.7626407107412554,-2.0502634779450526,2,3.346688788642263,8.742340211028628
1,0,5.356642450823847,5.991435697077799,-1.9565294677193847,0,1.9259965745069,7.314559706404665
1,0,2.3917376080837016,3.028437953160754,-1.191596918178434,0,3.006009621614816,6.195622220288992
2,2,-0.4657092325546981,-0.0123144179590563,-0.6738106157657212,2,5.2171841317895336,10.364065325014808
1,0,3.8152737711329037,2.742465569214803,-0.8756668899019328,0,1.6589211980148162,3.6832288856464563
1,2,2.3077117935565936,2.983882694801099,-2.271898739764384,2,3.242401644423561,6.529242999293627
0,0,3.6515030722267396,3.749718948661977,-1.4709891890435123,0,3.716604629025595,6.31184625735533
0,1,1.0744499708289905,3.646092933090452,-0.3659839967741879,1,4.680013471323922,8.863953783369578
2,2,3.045692811013825,6.486478795877165,-3.7186656323201768,2,5.762955319063609,11.152894403893773
2,0,2.828181280665014,4.806721258594863,-2.5700569377198144,0,4.565791972009776,10.325233665978173
0,2,1.6945447702902317,1.844259894395359,-1.693876969560287,2,6.149565736332643,8.85005179806282
1,2,2.3098910334187432,2.4915065555653135,-2.6326156739468956,2,5.770136638031737,9.314158146771993
2,1,2.3263528708050325,1.1742452327224258,-0.22078093368389673,1,4.832326973098238,10.512922741379953
0,0,4.179831157009335,4.383404569627765,-1.7736521375896852,0,3.046844809915388,6.808533786601906
2,2,2.3440428105083555,3.070614492440025,-2.1608497771153496,2,5.094867314160493,10.716115470788512
0,2,-0.38534893951206595,1.8142966392592799,-0.1932792442324347,2,5.657733283734136,8.31871055213846
0,1,3.010352060182996,2.3276997926078677,-1.4692715511282692,0,3.992910303068235,5.548317289957639
2,0,4.751708656836184,4.8170348319730545,-1.655005637678864,0,4.946731312963152,9.90635212099227
2,2,2.1259941141275682,2.6415733582592447,-1.5243604138463416,2,5.466373881711878,11.258838765254424
0,2,0.4721528103919696,2.460315222416656,-0.6272221620443769,2,5.643006931044599,7.437736745894232
2,2,1.3315668166115722,0.6309055866628241,0.7171047787160583,2,6.28193704430484,11.51868046923419
1,0,3.0163121837278584,4.589609944784981,-2.965938704415219,0,3.3426772029014793,8.221202364139673
1,2,0.2912813337762751,1.3655927506159589,-0.48229151779030854,2,4.382029291032245,10.048929921366517
1,1,1.3108603866246509,2.0010268112534404,-1.1184917335150282,1,3.906401314660443,8.780937727080957
2,2,1.502996493262954,0.9535990566770809,-0.961066740738568,2,5.042945577374684,12.294604899660698
1,2,1.077747325630929,1.6681973771504885,-0.8321123019258911,2,4.546142113627138,8.373156299377008
0,0,4.705018670352617,4.745625617338165,-2.289353469030331,0,2.11417745416885,6.338223733299319
0,2,-1.4683721802936507,-0.20596470102528258,1.1105614939559718,2,6.095677569777833,10.285618023828723
2,2,0.0038524720394267353,1.2846248605963724,-0.737380993274585,2,6.568754437187916,11.627590660495416
1,2,1.2088873509794262,0.7827595974808932,-0.6186320354597264,2,4.140695259799361,7.060390630642501
1,2,2.6000863394549647,2.920806921303692,0.5052688761268913,2,7.119490451747891,10.66747241020681
2,0,2.88079476102056,2.1921181602242266,-0.1994266768587032,1,2.501309694800401,6.456571751277495
0,2,-0.8583171203316482,-1.4070524628873313,-0.1598545885369384,2,5.552965592157709,7.491443318287384
0,1,1.6658705754985759,0.8659702479335694,-0.7228507459078114,2,5.550046101460369,10.124626420283828
2,1,2.1698932421159465,2.33703919877795,-0.7344046966208408,1,3.2389363116948826,5.837381711231078
2,2,1.704683635192576,2.6663760807887495,-1.2836678599755675,2,6.2478111480478935,12.953179872622945
1,1,3.36883167337463,3.564175085983239,-1.9204677031485204,2,5.010146591716325,9.265721138562547
2,2,1.6102220362198514,3.616651446041047,-1.4982506412838001,2,5.109855281523279,12.221844697439222
2,2,0.8135033350551222,2.020110228468782,-1.6009272966890506,2,3.9713757042048288,8.0947038681808
0,1,4.326262199907065,4.241284443077,-0.08804323107691858,1,1.8316749276653197,2.8394105400952094
2,0,2.92709719659087,2.674266189114801,0.2115554410132664,0,1.9107935217309746,7.310411892120521
1,1,2.2602417397859367,3.2543247010942014,-2.0051197165288333,1,5.160602477163572,7.879715737695692
0,1,2.8468660207012846,3.0544358704384154,-0.3009496493924897,2,3.409518390960023,4.797262399455495
2,2,0.40715544872900145,-0.4984036869685402,-0.24547294117011212,2,4.423318116333137,10.749094584435776
0,1,2.038864556117084,2.497540708445296,-2.0607242785780233,2,4.46777828568418,8.17430801962939
1,2,1.550297802381063,2.1855737592271858,-0.9745460542657562,2,3.627287110757616,8.183820077373475
0,2,0.025702632098799527,1.0032225968449389,0.32963015803113954,2,4.825889802548784,7.753857198129479
0,1,2.084471646576914,5.376199490103845,-0.6854071450350474,0,3.1078613579478476,3.455861570312793
1,2,0.7672034091829928,2.296467886912443,-1.0026878025996473,2,5.08189120063878,8.301041075307634
2,2,3.1620122246109914,4.225370528597732,-1.6358543194953568,2,5.987537351937528,13.179742471809872
2,1,3.0876012620593403,3.960835570154676,-0.6546999230274175,2,5.5207994505932785,11.122386137488384
1,2,0.2545476174917475,0.8519521820028118,0.6924469546272374,2,7.102733300094798,11.977380880623652
1,0,4.378444971718437,4.490162718439779,-3.26044407793957,0,4.62563973717811,8.192023195228877
1,1,1.248085142958161,2.2874498726372576,0.2978560749401761,1,4.3285571940562235,8.148421282926154
2,0,4.059164978529751,4.307864458212605,-2.664302930474959,0,3.403813674815039,8.577427632357907
0,2,-0.6753016292737106,-0.07997375519250627,1.0258735055312582,2,4.965100878326596,8.577691730731269
2,0,4.363656647793714,4.569021782379933,-0.14937189487704372,0,3.711657665186187,8.54482264950789
0,0,3.4889050169822426,3.282891522272218,-1.1243854051071398,0,2.6837111603751085,4.725938915238565
0,0,2.3424806128953026,1.5800298860281141,-1.3190715932525352,0,3.2452463670436265,8.111398941097363
1,2,1.3634787552029461,1.0567775736625,-0.7246549719281167,2,6.094872732817488,11.710039378070405
2,2,1.7842980825966333,1.9756054764285729,0.413388851125261,2,6.344066587524527,13.863969649545291
0,2,1.336329292615943,1.9905570257790808,-1.544026823814617,2,6.058381571047754,10.458563703830885
1,2,1.1280422082303643,0.5973229259011168,-1.932558863621354,2,4.770091891915381,8.963171076105857
2,0,2.367119345377108,1.2080675621271613,0.010967080022534936,0,3.2331346600841657,6.340870641145244
1,2,1.7495865986882977,1.3426911935059376,-0.5165036268528552,2,3.796696896565823,6.823187911468001
2,2,-1.1727277484363445,-0.2758990102476463,-0.5755739440197073,2,3.196245206904079,8.862197577445546
1,2,0.39610067151651673,2.9209130941417456,-0.15262666914727585,2,5.192952679061636,7.903688444600583
2,0,5.594067698171767,5.561996509245961,-1.1490122044895634,0,4.660564046533399,9.308102705964778
0,0,2.2948016510758706,0.45493863357720654,-0.12338286246229602,0,0.5879716332808718,3.911024811787417
1,2,-0.7937195451880896,-0.004110777504567453,-0.2244599274312144,2,3.942481233212294,9.082513358181153
0,1,1.3897590022974815,2.222756609176332,-1.5516742652173465,2,6.140736099401874,9.187688804916364
1,2,1.3156995052901217,3.090443250255315,-1.2933145892274744,2,5.6332583037955795,12.040825713375327
0,2,0.8625757699868609,1.602900332149333,-2.8062583965596932,2,5.526211466462601,8.602304648179247
1,0,4.618924066094367,6.1827237054571444,-3.657033347961807,0,3.3187771167251103,6.130813915028742
1,2,0.9882867908688022,1.0975460337426237,-1.1664902342029677,2,6.522512012940539,9.68470882291168
1,2,-0.08839754112267872,3.139988255144943,-0.7788010600843722,2,4.732406904444925,7.68074639369768
0,2,1.84499173268933,2.0742216831352946,-2.8776534557607385,2,4.990353496178319,9.119981045189334
0,2,0.38481474955346084,1.326671283190431,-0.8764124328791563,2,4.487508477150013,7.09063440591973
0,2,1.5905920606406914,2.6360387599124078,-0.18941390660833024,2,3.8398730630436964,5.424802298456069
0,1,3.647258919108633,3.1857166011294913,-1.1926794140576307,0,5.15810546034186,7.480318428120678
0,2,1.4344045440362914,1.047667615840624,-1.2429433038049171,2,4.42325133545386,7.362915305932691
0,2,2.2117021583103327,3.1388537152312805,0.039052434374325484,2,3.468393792679258,5.1522453761683895
2,0,2.456646247852839,3.1075399622155393,-0.17340661129872548,0,3.690691667579901,6.430548053928099
2,0,3.2293426404260974,5.022724186544625,-0.6889276090412795,0,0.7877329587045248,6.5192415945218
2,2,1.1262485951598562,2.822817262340221,-1.1404935992575518,2,5.2109439509834,9.49252144016959
0,2,-0.20237765838449673,0.3836319985798228,-0.7080201307396617,2,3.1886261457476492,6.3157202892316056
2,0,4.948205706516315,5.226660653983354,-3.137717929526124,0,2.9232136625637613,8.038875961101553
0,2,2.1580690368099056,1.858083547526403,-1.1507021163062712,2,5.217812781054413,8.329557466388515
2,1,2.76580561197851,1.441420788181665,-0.8402707517460615,1,2.4364220800545926,7.736464952836726
0,0,4.243142381729859,3.881515082431953,-1.4075797612865768,0,3.6440253167057914,6.3058819243800315
0,0,3.5327997443925776,3.0186891613000966,0.005196425778460467,0,3.830417579854438,6.86048784508544
1,0,2.6208522285367186,2.248412619483075,-0.6369211014891962,0,3.532010652588956,7.157759108793608
2,2,0.3580810697823582,2.2997579825111147,-0.7656467602498462,2,3.5938490305447592,7.040362911414499
1,0,3.412956455728945,3.4436028217366395,-2.260219410249657,0,4.588405324243506,7.5308171967237225
1,2,1.1870583902390228,0.9705581355396762,-1.2896831077213693,2,4.9384042226616325,7.398361759745487
0,2,0.8318931432061437,1.1498489001060592,-0.5715522103791184,2,6.601687481419605,9.394442761690586
2,2,1.2368545926496255,2.1857678021014317,-0.36697059486370126,2,5.345836926810116,10.988004713579773
2,2,-0.3261976370665054,-1.2710704950334621,0.8333637715515609,2,6.51428911101473,11.40447229453151
0,2,0.2292795682968488,1.6803084997966158,-0.9525243233026641,2,5.8207004994248885,6.980923615985704
2,2,1.130744575791321,2.0696274563913994,-1.0912853360087522,2,4.066606723374099,8.995277509570938
0,1,3.255526538399592,3.826229093878545,-3.4948082632302166,2,6.281987613722664,9.874242217172656
0,2,-0.6232949701084745,1.932316511505275,1.33642317524068,2,4.40334671154335,7.506369788622726
2,2,1.2930289945150317,3.248602049863095,-1.2996349321585077,2,4.34166037708158,8.969080221905559
2,0,4.381074390033638,3.69614979876749,-2.539021558176484,0,1.927152464437146,6.437389211108452
1,0,3.605524769222333,4.72645488699039,-2.854201172482568,0,3.543714332267168,8.632073741996475
1,0,3.747766842218579,3.912776447359885,-1.424366774341723,0,3.389635316501871,8.688117253921805
1,0,3.2773241695274278,2.191747661876261,-1.4158176462998062,0,3.3557150792572763,7.150437779646299
2,2,0.9312958117519421,1.688223955164509,-0.522979480851069,2,3.0469274588928315,9.230934487441765
2,2,0.6048766700547932,1.3262703665041493,-1.954840853231963,2,7.061151822747645,14.048111447426832
1,2,-0.49879439583595775,1.1861511159295646,-0.5993831940540255,2,5.663299388790102,9.290495468540577
0,2,2.2903341833352178,1.8822329125522246,0.5386704723799375,2,5.438418381793877,8.867484369550569
0,2,1.2817920507385219,1.1365130889887003,-1.0558985307966293,2,5.043588399619542,8.452118211636119
1,0,3.1607468817118844,3.6224667473028567,-2.304263955737013,0,2.6579337665366416,6.804226970043893
1,2,2.26267427927739,1.9453902992611787,-1.7828929323843772,2,5.52434686656426,11.246262424361513
2,1,2.0536125218675965,2.0606495594332155,-1.5786071622661,2,6.472865130417738,11.768749314547183
1,0,4.296860101543642,3.431545770229521,-1.564124429035754,0,1.724712696502684,6.095926028460221
1,0,2.0466505200589538,2.8710337069547127,0.10825910745482648,0,3.4070161288481704,7.358047267131049
0,2,0.3907099494781185,1.5532583829478315,0.43767851558347537,2,4.823658004955378,8.781602875427417
2,2,2.0254216012713497,2.0650772817195433,-2.326548624130538,2,5.503368236264047,11.989387810434962
0,2,2.406395103509515,-0.11035348674227397,-0.2427109241972834,2,3.7244065022168806,6.725546182379682
2,2,2.8058431063697995,3.730218048040967,-2.5519446795141976,2,4.898124668044035,10.011441032332337
2,0,5.070592485424894,3.719687740213294,-1.5833369230772063,0,3.749341116566847,10.072978206247955
0,2,2.734403929591821,3.1222666221181825,-1.9605432637743159,2,6.545668903878908,11.026995391562778
1,2,0.30872692392049017,0.768412088149891,0.2525238240969168,2,5.392460340005933,9.184769940800315
2,1,0.9577790929628704,-0.10683849718410432,-0.1707835909908926,1,5.839268730968529,11.9725749505063
0,2,-1.3709651862843537,0.5958167202058929,0.9610989527909898,2,4.9777081905954645,7.580754631701264
1,0,3.7825186860653277,3.2005782001091894,-0.9652709896119329,0,3.4896139117573446,7.538370009127955
0,2,0.7445895557983955,1.478258477169112,1.0289395217215085,2,3.896713629459532,8.443165865356356
