a,b,c,d,e,f,g,h
0,2,5.186996983114461,3.127999301592402,4.01829297038291,1.18225715524436,2,-0.1093508124351047
0,1,4.64210677616053,1.1583506367861713,2.911379426908648,1.941571123077781,0,2.5577861503101893
0,1,7.278427166307658,1.9099533379306437,3.5503152668898843,1.9958351281534874,1,1.0378158107429194
0,1,5.121348582998495,3.3961812412512504,4.225126753156489,3.001262000373047,0,1.2033684404874676
0,1,5.842868365113528,0.6853514706429118,2.1933574655341093,1.5074638279699313,1,-2.111173497908932
2,0,4.398729574996555,2.1676332146116466,3.2120359814893233,3.0289837720682034,0,2.400254159594949
1,1,6.409739991831158,4.070489565436594,2.7964317463598327,2.916990786542427,0,4.282171265447989
2,0,6.441816619300823,5.407682390027661,5.250806517108941,3.20601442536043,0,4.2009833453731655
2,0,3.8909527521352176,2.2962780966623013,3.689736787974114,1.9309403274580796,0,1.7325172844327996
0,2,7.750413563293744,2.627854992253699,4.333710049764897,5.318404581353082,0,2.083397917221201
0,1,6.047320088073354,1.7822690984336922,2.7879827106362582,3.366000581326536,0,0.14819424337232046
0,1,6.59610527965221,1.753757065588138,4.061086587123662,2.1993901971518395,0,1.2972643269647253
0,1,6.6311392532106685,1.9294904600212517,4.037614162047731,1.4584601754420707,0,2.8723553170296845
2,0,5.0902899456165915,2.7384563475563852,2.4134849036617183,2.636368756428135,0,1.857638661272495
2,0,2.973292488631922,-0.24735644680363622,3.190739440735878,0.5720125591863532,1,2.9438669953222556
1,0,5.892234572179247,2.8426977919610654,3.8152787464756397,1.5622678818102942,0,2.0691914024917017
2,0,5.86467921540253,0.5629025913854269,1.6368446616377847,1.8866590360244286,0,2.7482870995674884
2,2,6.808787309801082,3.898019966924519,4.116255060999666,1.0366738970850393,2,-0.19207920182531657
1,1,6.932976770155749,1.7738315889498977,4.315192088428404,3.6723694475081223,0,2.78863317415309
1,2,5.111872740584952,2.284963920693508,5.689678018673085,3.2500319021112363,0,2.1848389008302957
0,2,7.475930302279599,4.339563693672398,4.703392274764585,2.7697856770741405,0,2.3342075185344577
1,2,6.869620081909167,1.3492342377533098,2.203724472423017,2.1708678523656912,1,1.104078876543066
0,0,5.0090361223069415,0.8219643777894792,4.784221782564684,3.7242570663080534,0,3.375896479778648
2,2,4.462549042389858,3.147065967257033,4.129508245667612,1.2777134728566226,2,1.4460245867358446
0,1,4.457172878965171,4.649567609096401,4.701931375344417,2.100974724477673,0,1.089670634161288
2,0,4.462676637302365,2.6267691436069103,5.266148501795195,1.0642398865671823,0,2.430765714674708
2,0,5.555778009744233,2.5153754813691123,3.844475187019371,1.730036596194927,0,3.0972444620821675
2,0,5.428326018107997,1.6291005419099238,3.1200430852255456,2.478258035212516,0,3.4092257100816736
2,0,3.192069583569501,-0.021910968151820143,1.7629754314631,2.3685644243069133,0,2.065078767387699
2,0,6.048444249318252,2.150504900200801,2.232715914321617,1.1745237047940924,1,1.4793184272955235
0,1,5.962111824483714,2.088488113490416,3.688748671048403,2.881302155498862,0,2.4741483371519823
0,1,4.9608296538455665,3.1833070494465705,4.029613290024581,1.4108615210328361,1,-1.0866111361015207
2,0,3.620570998908425,1.5618102970573058,3.917400612579323,1.9117157793845194,0,1.2220068801620494
2,0,5.298034439928251,1.925838075212674,1.9238357022677137,1.6415177039229645,0,2.167996461243061
0,1,5.525686925707544,2.6933583956547924,3.061661260516921,1.654620512258578,0,1.772430237594596
1,1,5.761864075977978,0.9078480748026272,1.0809055805606131,1.275336429359576,1,-0.017563548624086822
2,0,4.67290582894749,0.7627659457738833,2.971110165742942,2.9210677249955412,0,4.381146680938368
2,0,3.9505136811072337,1.8118405192134401,4.281558672926777,1.6436261303527884,0,3.3959802097182665
0,2,6.417996785592479,2.645838097933114,3.4106382631924976,0.6239915313643285,2,-0.24085176023334387
1,0,3.6466119580781515,2.8047956519378068,3.4160698160219494,3.4389329164740445,0,1.24351307244941
1,0,4.862031297240574,2.6809311952369974,3.8684101747672432,1.39320907017954,0,3.933917922522709
0,2,8.027181250709042,2.547861602942803,4.989104449731057,3.002087416379772,0,1.1046057423717601
1,2,4.54589740513471,3.2075136644228683,3.224804785831967,2.855272629983979,0,1.292617609894124
2,0,4.434454988480468,1.535387108862826,1.4790323784879724,0.7415290299255702,1,1.6029312266390292
1,2,5.810186661715482,1.6331823139895922,3.7988023152908617,1.187203410864611,2,0.7238837522279706
1,2,7.0080993639362035,2.9266819229676813,3.480603742730509,3.5854173544796435,0,3.5844820435300346
0,1,6.694873740717538,2.4441046853036443,3.445433539311899,2.451953785652395,0,-0.17336912940019555
1,1,4.935454531588742,1.9321172709455126,3.186953391703715,1.6965541297489461,1,1.526477315555562
2,0,5.203812709383104,2.773211743198312,5.9173215451763905,3.333427176729914,0,1.8877033483439134
1,0,3.1942409278194854,3.6903646505702703,3.777107510015092,2.653828009028804,0,2.279698565933194
0,1,6.648926874138024,2.577724215339785,2.777306011860407,0.4006025183945301,1,-0.010857379501502562
0,2,6.1882833034143045,2.0447871382960563,3.143140308628339,1.3105764648824918,2,-0.4561353706184559
2,1,6.211533169422113,2.5399832150513295,3.286815926779631,1.7520321872058426,1,1.0804787555832953
2,0,4.074147323823357,1.5857950193569945,3.1385589989676,2.3861443620044347,0,2.6131621473715136
2,0,5.395371142861277,1.5577252703418791,1.4551282850666452,2.259532225902157,0,5.45758129716078
2,0,2.851869586774733,0.48379631091877173,3.0381674670928187,2.618363088602657,0,2.5080656830750443
1,2,7.376775867200791,1.3146580383812778,4.172218686486903,1.6301325361419112,2,2.6660672986780565
1,1,6.562205613261508,3.652277256955264,5.770032940858876,1.8851163188766025,1,1.4385747928097181
1,1,7.357938935010624,3.8197601718315646,4.631580001897766,1.0421305465988724,1,0.3992576767854028
1,0,5.374099177112623,0.6152504480344572,1.9434701857903551,1.8582528098368623,0,3.893624007055366
0,2,7.446759054404739,3.6214099871418663,3.9697018128122594,2.2569612460635264,2,0.97428071711339
1,2,5.409135490814433,2.305650818487566,1.658652087420445,2.7821776135287406,0,2.5442086285527323
2,0,4.504167928659176,2.3289887326120806,4.845544143544886,1.3928584699780002,1,1.3931354732995183
2,2,6.450272548305709,2.3640160494507643,2.7143157137700413,1.470774136160554,2,0.8765279749721651
0,1,4.340829556966022,4.430145862141577,3.1840627136849613,2.062414846194573,0,0.2072326697334752
2,0,4.644501120701065,2.920014131808437,4.069695160193692,1.7654352655965033,0,2.495131537011407
0,1,6.475337830339838,2.6765828975117203,4.451357829912711,0.5300534775854897,1,0.4861684456031453
0,1,7.29372952969877,1.3552621589329428,2.604270504137962,1.1430932831621645,1,1.9597192898046025
0,2,6.180193488210104,2.949165394438685,2.689988473348884,1.1443984434761787,2,-0.21707152257741413
2,0,5.1428857363850495,1.3969782396535022,3.711613967556649,2.113074939368404,0,2.574813956131121
1,1,4.615108035976216,1.3784493088613097,2.2770792659081205,2.2536237333348588,0,0.17018153491834864
1,2,7.076297572101451,3.060922865448561,3.257967371388202,2.9653871788599795,0,1.0571646994402988
2,1,5.6579507432381755,1.2925748213315287,3.987035967273853,2.696020870821318,0,3.024792674901828
2,0,6.596225839730019,3.0013570964273786,4.568613304029555,2.2857731066215363,0,3.672641586406268
1,2,6.471203552287498,2.9242668571019044,4.213612810761061,1.2623365027905629,2,0.47063489368836375
0,1,5.620455333931055,2.6111422719857185,3.4280228535604667,1.8514703869281757,0,2.3916618078027354
0,2,7.46860135989211,2.536560176159002,4.891140251397678,1.0417048385052798,2,2.631656425574506
0,2,5.562148016755974,1.162215581743044,2.889060789831859,1.226690968178323,2,-0.3619672849616692
2,1,4.712303221978749,4.2709229785132035,3.155402669973531,3.2450242857562097,0,1.9310630975222511
1,2,6.1967393524311944,1.594654978379784,3.6379877201358504,0.8245626764138385,2,-0.4282592854712408
1,1,6.046777428001078,1.809682263224861,4.774511854618619,0.5030738682366402,1,2.701666558350844
2,0,3.9269632772039884,2.9434329475799377,2.86593671875001,0.7512894321927774,1,2.361971093119244
2,0,4.345526934164141,2.4785795575907477,5.4648579159652115,2.7630257802387352,0,1.903448309190627
1,2,4.310216222048393,1.9361367958319238,4.467821541453302,2.797252512167248,2,2.248451853839859
