a,b,c,d,e,f,g,h
2,1,2.4901028387856985,1.4784830227610137,5.127526261401219,2,-2.342149581862015,4.630046212851839
1,2,4.273268375816356,0.19620603733364916,5.6571951922703265,2,-1.4112004220920322,2.3516696239361465
0,0,3.0060147749499895,3.2558922757437263,4.747197409550069,0,-2.7223560425169393,2.7346349925067917
1,2,2.630654480308131,-1.1936196543398996,8.575217877155655,2,-2.5912788210747086,2.084104327461094
0,0,2.5912886084217197,1.6330250229915726,3.7558826224537754,0,-1.685403741035183,1.996804581852724
1,1,3.46867494286196,3.8721593704436086,2.3130039122357533,1,-2.2861117422691586,3.3787793381082323
2,2,3.4038666068106864,1.7107450985592068,6.332752332659353,2,-2.0013065216472965,3.25814304520621
1,2,3.419072143662757,2.456061100607074,6.025762289877107,2,-2.11699537407392,4.528122856221768
1,2,3.3578886082294326,1.7945361306161305,5.2525359768784305,2,-5.327178874118756,4.497798519063512
2,1,1.4946470648587866,2.553187940484333,3.4071581815340872,2,-3.353200749944602,5.176675904655558
0,2,3.6408739921326534,0.8139147290808679,6.5049022543679165,2,-1.006585415703309,1.9705702442448545
0,2,3.4638308908296964,1.8333393181982864,5.769152528257785,2,-3.567813365828741,2.3693064258265206
0,2,4.567481933868969,2.274568451519352,5.553661422993776,2,-1.8666031023170913,2.076534022411909
1,0,3.9954763135078277,1.4177277958641048,6.320215906610221,0,-3.6836241048132092,3.61161005957086
2,2,2.372395345087419,2.248362461661856,4.287972327283606,2,-2.533439765055345,1.823840552394798
1,2,2.847718982386876,3.2542955233524817,3.63679867252453,2,-4.266097615857778,4.231152559058097
1,2,4.9292625705900175,1.837645706261086,5.066093427618237,2,-3.686789829993142,5.420326113002495
2,0,2.3917376080837016,2.322207796971715,4.71198266927706,0,-3.0539903783851834,3.0637159775630693
1,0,2.234290767445302,1.318218236504693,4.352294693205632,0,-2.8428158682104656,2.6196608975960176
1,2,3.387893890899074,0.7050891622303865,5.2655076798398905,2,-3.9538652064852258,2.3158085103280683
0,0,5.007711793556593,0.9432400837447572,3.891287586452547,0,-4.817598355576439,2.7373010929816726
0,2,3.22412319199291,1.9100568701061573,4.753878959091168,2,-1.8961817754744468,1.7217364242579194
2,0,2.4244499708289906,3.8719202184956174,5.568051441417258,1,-2.0637587626592397,4.787836477211105
2,1,4.769969453187166,4.081397475967828,3.1912727096424414,1,-1.9808169149195516,3.0263200537257533
0,2,2.4008014004311846,3.789778321227593,3.777720649210884,2,-1.0469944324902658,2.225952755718417
1,0,4.394544770290232,0.6625973256917146,4.144632227418382,1,-1.5942064976505181,2.5848888167283266
2,2,4.582511153184914,0.7397276035274748,3.4113082317066263,2,-1.842649766468305,2.5656373612580348
0,2,3.248972990571203,0.2637116108760198,5.502037310460888,2,-1.7804594314018036,1.8459096581431083
2,1,3.204107799182676,2.1779058383628165,4.627146869565421,1,-2.6969274240677734,4.8267393395143205
0,0,5.044042810508356,0.9806962176030902,4.023330605950481,0,-2.9651326858395057,2.006468220967013
