dataset_dir,algorithm,use_prior,pattern,num_nodes,num_edges,num_samples,seed,equation_type,var_type_tag,shd,normalized_shd,f1_score,precision,recall,pred_edge_count,execution_time,preprocessing_time,postprocessing_time
csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0042,TetradRFCI,False,chain,2,1,1000,42,linear,continuous,0.0,1.0,0.6666666666666666,0.5,1.0,2,2.194746732711792,0.0001373291015625,0.0001556873321533203
csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0042,TetradFGES,False,chain,2,1,1000,42,linear,continuous,0.0,1.0,1.0,1.0,1.0,1,0.06570601463317871,0.0001304149627685547,7.581710815429688e-05
csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0042,TetradGFCI,False,chain,2,1,1000,42,linear,continuous,0.0,1.0,0.6666666666666666,0.5,1.0,2,0.03794717788696289,0.00012946128845214844,0.00011301040649414062
csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0042,TetradCPC,False,chain,2,1,1000,42,linear,continuous,0.0,1.0,0.6666666666666666,0.5,1.0,2,0.02758002281188965,0.00012373924255371094,0.00011730194091796875
csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0042,TetradCFCI,False,chain,2,1,1000,42,linear,continuous,0.0,1.0,0.6666666666666666,0.5,1.0,2,0.021405458450317383,0.000152587890625,8.916854858398438e-05
csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0042,TetradFCI,False,chain,2,1,1000,42,linear,continuous,0.0,1.0,0.6666666666666666,0.5,1.0,2,0.01874375343322754,0.00012683868408203125,9.131431579589844e-05
csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0042,TetradFCIMax,False,chain,2,1,1000,42,linear,continuous,0.0,1.0,0.6666666666666666,0.5,1.0,2,0.02310800552368164,0.00022363662719726562,9.179115295410156e-05
csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0042,TetradPC,False,chain,2,1,1000,42,linear,continuous,0.0,1.0,0.6666666666666666,0.5,1.0,2,0.019379615783691406,0.00023889541625976562,9.1552734375e-05
csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0042,TetradBossFCI,False,chain,2,1,1000,42,linear,continuous,1.0,0.75,0.0,0.0,0.0,0,0.03140616416931152,0.0001266002655029297,0.00011563301086425781
csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0042,TetradGraspFCI,False,chain,2,1,1000,42,linear,continuous,1.0,0.75,0.0,0.0,0.0,0,0.023227691650390625,0.0001277923583984375,8.440017700195312e-05
csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0042,TetradSpFCI,False,chain,2,1,1000,42,linear,continuous,1.0,0.75,0.0,0.0,0.0,0,0.01996898651123047,0.00014162063598632812,0.00010132789611816406
csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0042,TetradRFCI,True,chain,2,1,1000,42,linear,continuous,0.0,1.0,0.6666666666666666,0.5,1.0,2,0.022063016891479492,0.00013637542724609375,0.00010061264038085938
csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0042,TetradFGES,True,chain,2,1,1000,42,linear,continuous,0.0,1.0,1.0,1.0,1.0,1,0.01782512664794922,0.0001437664031982422,6.461143493652344e-05
