dataset_dir,algorithm,use_prior,pattern,num_nodes,num_edges,num_samples,seed,equation_type,var_type_tag,shd,normalized_shd,f1_score,precision,recall,pred_edge_count,execution_time,preprocessing_time,postprocessing_time
csuite_grid_datasets_phase3/csuite_chain_5n_p3_linear_mixed_normal_normal_500_0042,TetradRFCI,False,chain,5,4,500,42,linear,mixed,0,1.0,0.6666666666666666,0.5,1.0,8,1.967642068862915,0.0,0.0
csuite_grid_datasets_phase3/csuite_chain_5n_p3_linear_mixed_normal_normal_500_0042,TetradFGES,False,chain,5,4,500,42,linear,mixed,0,1.0,1.0,1.0,1.0,4,0.24032878875732422,0.0,0.0
csuite_grid_datasets_phase3/csuite_chain_5n_p3_linear_mixed_normal_normal_500_0042,TetradGFCI,False,chain,5,4,500,42,linear,mixed,0,1.0,0.6666666666666666,0.5,1.0,8,0.07105422019958496,0.0,0.0
csuite_grid_datasets_phase3/csuite_chain_5n_p3_linear_mixed_normal_normal_500_0042,TetradCPC,False,chain,5,4,500,42,linear,mixed,0,1.0,0.6666666666666666,0.5,1.0,8,0.06010317802429199,0.0,0.0
csuite_grid_datasets_phase3/csuite_chain_5n_p3_linear_mixed_normal_normal_500_0042,TetradCFCI,False,chain,5,4,500,42,linear,mixed,0,1.0,0.6666666666666666,0.5,1.0,8,0.021026611328125,0.0,0.0
csuite_grid_datasets_phase3/csuite_chain_5n_p3_linear_mixed_normal_normal_500_0042,TetradFCI,False,chain,5,4,500,42,linear,mixed,0,1.0,0.6666666666666666,0.5,1.0,8,0.03915739059448242,0.0,0.0
csuite_grid_datasets_phase3/csuite_chain_5n_p3_linear_mixed_normal_normal_500_0042,TetradFCIMax,False,chain,5,4,500,42,linear,mixed,0,1.0,0.6666666666666666,0.5,1.0,8,0.03384995460510254,0.0,0.0
csuite_grid_datasets_phase3/csuite_chain_5n_p3_linear_mixed_normal_normal_500_0042,TetradPC,False,chain,5,4,500,42,linear,mixed,0,1.0,0.6666666666666666,0.5,1.0,8,0.025603294372558594,0.0008838176727294922,0.0
csuite_grid_datasets_phase3/csuite_chain_5n_p3_linear_mixed_normal_normal_500_0042,TetradBossFCI,False,chain,5,4,500,42,linear,mixed,4,0.84,0.0,0.0,0.0,0,0.04085111618041992,0.0,0.0
csuite_grid_datasets_phase3/csuite_chain_5n_p3_linear_mixed_normal_normal_500_0042,TetradGraspFCI,False,chain,5,4,500,42,linear,mixed,4,0.84,0.0,0.0,0.0,0,0.03888297080993652,0.0,0.0
csuite_grid_datasets_phase3/csuite_chain_5n_p3_linear_mixed_normal_normal_500_0042,TetradSpFCI,False,chain,5,4,500,42,linear,mixed,4,0.84,0.0,0.0,0.0,0,0.04898500442504883,0.0009887218475341797,0.0
csuite_grid_datasets_phase3/csuite_chain_5n_p3_linear_mixed_normal_normal_500_0042,TetradRFCI,True,chain,5,4,500,42,linear,mixed,0,1.0,0.6666666666666666,0.5,1.0,8,0.04934978485107422,0.0,0.0
csuite_grid_datasets_phase3/csuite_chain_5n_p3_linear_mixed_normal_normal_500_0042,TetradFGES,True,chain,5,4,500,42,linear,mixed,0,1.0,1.0,1.0,1.0,4,0.07587218284606934,0.0,0.0
csuite_grid_datasets_phase3/csuite_chain_5n_p3_linear_mixed_normal_normal_500_0042,TetradGFCI,True,chain,5,4,500,42,linear,mixed,0,1.0,0.6666666666666666,0.5,1.0,8,0.04806923866271973,0.0,0.0
csuite_grid_datasets_phase3/csuite_chain_5n_p3_linear_mixed_normal_normal_500_0042,TetradCPC,True,chain,5,4,500,42,linear,mixed,0,1.0,1.0,1.0,1.0,4,0.02174091339111328,0.0,0.0
csuite_grid_datasets_phase3/csuite_chain_5n_p3_linear_mixed_normal_normal_500_0042,TetradCFCI,True,chain,5,4,500,42,linear,mixed,0,1.0,0.6666666666666666,0.5,1.0,8,0.027302980422973633,0.0,0.0
