,a,b,d,e,q,c,h,f,g,m,j,i,n,l,k,r,o,p,t,s
a,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
d,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
e,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1
q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
c,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0
h,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
f,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0
g,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
