a,b,d,e,q,c,h,f,g,m,j,i,n,l,k,r,o,p,t,s
7.479525966888896,0,-13.825121907372164,11.046409682995966,17.532461499108052,5.595866161447969,6.355334703961321,-26.307373900169864,-8.39528104004385,-27.611004130055314,10.421161801708958,9.393315043499813,-20.262692094455776,-11.545523417733268,21.538138383413305,10.93411785907872,1.9911566018976083,23.967040952907123,-17.002188059857225,-6.421839871745833
6.974359773752842,2,-17.03606407340015,8.910558971873435,12.74551738328635,10.256218897392582,4.8059404676857165,-22.205003504965433,-10.033964138617078,-16.854486061913825,6.665086269306556,11.88150159973321,-24.644692282414056,-14.498677138094234,18.79219275770825,12.773245527061961,3.2572378153808184,23.648075039711376,-20.074784562094546,-11.3542154421802
6.5567752029268025,2,-16.2646832584897,7.6855439162838595,8.921238192073071,8.38544464064039,4.812305575675926,-19.726229018650738,-7.6084656974802005,-17.827342222763903,3.5491591527285387,13.0233347755584,-18.07151130810782,-13.43103269012906,17.62306962158517,14.066135138860455,2.5255546725253333,22.612448040194927,-20.220209098121888,-10.967906678785768
7.201153661266734,4,-20.185474065275656,9.921893325017034,10.134737652713039,12.571286923884717,5.024114006967793,-24.626723569610174,-11.360811643927505,-13.258244690344194,3.4997725614524464,15.16438712831086,-25.101978933045245,-10.938809875168438,15.689248272849653,12.045223804118539,6.177306001480286,22.594247721489406,-21.68687965789497,-18.41310072288783
7.6852981883992255,0,-15.386622029166727,10.33156613904251,15.71577771031185,3.649075082946739,7.950475660837374,-28.09575948943746,-8.666344758873274,-32.730852860388765,13.3775218904224,9.295273230875225,-23.836386718039208,-9.636761454679217,18.78847222782645,10.810745033291978,1.9565562243932866,26.24474944544222,-18.632730418732283,-4.793301544461809
7.349662355288461,2,-18.468712391761567,11.030298929652837,12.240871158345463,9.335017116798873,5.332637554591169,-23.533955540476615,-8.59228991857186,-17.7803211929664,7.821512630625728,13.558593945998577,-19.800543491901514,-14.92387676757033,17.761167952845916,10.830584777070772,1.9619958312747179,23.18841604386804,-18.941225555704744,-8.43757453185891
7.322349533319758,2,-17.29782726213932,8.726052930774921,11.561699543766567,7.566617830685307,6.366893536000355,-22.843613452825764,-9.015568275212472,-21.581940436035435,6.923822013066285,11.427844238812828,-24.273556428486796,-12.547836934506023,19.53538427485303,9.681367709090443,5.66522514548951,24.9523268078358,-21.79470954061087,-17.25205873853012
7.434287150730778,1,-16.05782738355585,10.989867375443174,14.347019109178515,5.586701297292006,6.351448768685108,-25.2181331351919,-7.0771167754815965,-24.479716915844605,8.131253061019695,13.444337299335087,-18.650149504468065,-12.8036355245533,21.718362898766635,11.992820336079879,1.4751646963384057,21.16818909138727,-21.262755432508236,-5.951262752137337
7.406163896247245,4,-20.765830958593465,9.294258152461381,7.9998316031593895,13.570415159046423,6.136199960158587,-23.386479174125398,-9.789623572526585,-14.147918802211946,2.8790967470521336,14.966956849072803,-24.602591835717092,-12.641865136016168,16.671367537918385,12.98947840278101,4.362169841467787,22.506744656492383,-22.931417941080884,-14.858375858703356
8.006571034877584,0,-15.207196035436896,11.038915458129303,16.67367451392178,5.258232814486988,9.684609854465183,-27.577785132663035,-8.151958254149779,-32.292159642380035,10.434857113731884,7.5981190351285655,-24.599570830801852,-14.555002504393471,20.16384898370338,10.754861479847202,2.2601877354806534,26.10803720903721,-16.00508153280451,-5.895044936182709
6.229988165603207,0,-13.492190894839709,7.182996686539591,15.31320432840196,4.975952384865618,5.765489923946066,-21.529076809949352,-7.642190967680144,-26.271269684976357,5.072212772974651,7.894852453113324,-19.06846659750956,-13.588969307880403,19.98866685778425,11.86671184160464,4.559909104740392,23.59163413820213,-17.154689125658738,-12.396052173031661
6.504023229872039,2,-16.375782382366204,8.682441607704085,11.333546681800547,6.975447996318998,4.571454053573036,-20.441937601943863,-9.499269393832057,-21.657962328134058,5.9607553743561565,13.02107206439206,-22.431267008576494,-9.886047245330458,17.737354996609664,13.829202780804827,2.0422239779570193,23.2841431557036,-21.228236319597396,-11.51475910821724
6.726085830208459,1,-15.03219945440209,9.062481417855773,13.84886443006159,6.281253532358856,6.264727429423496,-24.61066051813919,-11.10189474531328,-22.85408651932695,7.800341499197002,12.209384743495765,-25.566881439456484,-9.947723045162046,19.955144069018772,13.324365924277753,1.3829422473437367,23.049069374681455,-21.433893418425352,-6.306195806744409
5.94317558490297,3,-15.830811329979449,8.64618953526746,8.745777097491807,10.354700519261415,3.694159426380529,-18.4556483008406,-9.502264815037726,-12.834457578544006,1.915256892541723,15.216174193882575,-20.07949935255934,-11.5965651080677,15.804347258590077,14.664770075024299,5.751672553518646,22.97971668011528,-22.55811998940842,-19.475357965722786
7.167354112293834,2,-18.780791143110495,10.100191178633333,11.735063091704129,11.843192635549237,5.719819074513594,-26.04027800749242,-9.289023146782862,-19.23091590732544,7.466089213458721,14.643851623694285,-22.686652108557254,-15.923829492196946,18.86767361610718,10.535200390344322,2.194620271498961,23.4263860115318,-21.247609734781363,-11.187932939068691
7.88221590454972,2,-19.226105435699676,10.094118639358156,14.449703727750801,9.966719998995453,5.778148846789152,-25.178300211585572,-9.507782961785027,-18.670654079793625,9.430171560614436,11.927140511357731,-22.54736211416485,-16.37643096379895,18.08576347898728,10.968755799511586,3.485803648073846,23.173967878067128,-21.341991437555972,-12.28300083646219
7.843226194547893,2,-17.92208988011069,12.569604221222075,13.519559156429711,8.533624177002164,9.188998521378227,-25.893173509071666,-9.414999722386515,-22.737753861872285,7.312748887509271,12.444652106471999,-27.97905880495027,-13.919213762888134,18.309311843212154,9.569554062245558,1.0904379244729308,22.728688973575498,-20.733451883044925,-8.108867970276165
6.692095171353844,1,-15.160672810917607,8.761909438370553,15.86057634319996,7.6096203196476075,6.015378410962525,-22.20525740268843,-8.625608167079537,-22.05563403463528,7.922136565209219,9.264448342267041,-19.78681136275003,-15.472422298235145,17.733226461517805,10.788592863056538,4.357158345941,24.608009619752792,-20.64981762960622,-14.673468313220571
7.303481074451913,0,-15.265040189833861,10.03517585247432,15.711462951801114,6.201707902514743,4.525586227580767,-24.50588838601927,-9.869222142768523,-26.41255630517629,11.225622015299427,12.827031943785936,-22.125534878669416,-14.666652077707717,20.155946732628358,12.170873844319456,0.5068270160850026,23.122523586520657,-19.298538167948138,-3.2969645066384725
6.5547527507393655,3,-16.912672262344245,6.918897177698435,9.095839934482894,11.578398809149048,4.137159498918061,-17.579339157393196,-9.214593913559355,-15.155124696593365,1.5853889105356902,12.71113304044819,-21.667434350619526,-12.107311808841963,14.464880819639813,12.785811391538076,4.207950734729675,23.79519993355182,-22.448072890161807,-18.41247757626918
6.558531238504212,0,-14.199058247442082,8.603920537121816,14.424874686116077,5.318578072635628,5.676536905211536,-24.007181603046647,-7.109492154613444,-26.324400064721733,9.649249609209495,9.20950768972724,-18.425263344091153,-12.330674451168193,22.865827639380466,12.629803583243344,0.9370584203235919,24.104770090628932,-16.684902630716927,-5.514461044000387
7.173344760430915,3,-19.197950207901943,10.595644445152331,9.976212679089134,8.76609311436754,6.623207284775163,-23.121205790806293,-9.7970860254726,-17.782458025439755,5.988001281455022,15.514359149913314,-25.914181065600072,-12.05892719866694,17.896375462396243,11.448706300443014,3.326801068106935,22.58346681695492,-19.64383234112841,-10.65468545944139
7.232047375966583,3,-18.865653637908853,8.571536830589354,10.2742895369078,10.835810333279456,5.253779717626458,-21.7279765731188,-9.821901373122593,-15.78841413615266,4.530970550313831,13.679650714230974,-23.19141645990285,-13.917564011481444,16.263378669360122,12.359956084306916,3.880179874325963,22.509138847210643,-22.0688763085077,-15.292908059850541
7.123074293467577,0,-14.925201134534804,7.97429120855761,14.805276114182698,3.7894986538138937,6.110888420578112,-22.674459197515393,-6.899576465104579,-29.857599138449043,7.185039167589952,8.467276537010376,-17.730675441895876,-14.458307514472473,18.644864092975766,11.5173542664468,2.7396639428104628,26.113833580946313,-18.243116228209754,-9.960945159823495
6.672572527498309,3,-18.6291285806434,8.21305413361788,9.117804903752434,11.661794312171038,6.617126203800988,-19.533868388581855,-9.041625681838028,-13.648522198223004,3.26698681237197,13.430662799006157,-23.497033005629234,-13.751517630697016,17.641872134830802,13.080323351848296,4.21081933574557,22.55022753575278,-22.32473359951496,-15.828807289692127
7.2370726083382495,2,-17.49861251383657,11.025257391404452,11.54106368239695,9.318503178147916,6.846115892012716,-26.724776057687365,-9.518113908538238,-21.283462414574135,7.76003248727795,13.8413571543616,-25.956033684193915,-14.592004782116325,18.325970435259798,11.013325534339632,3.3144331802817684,23.69925444736913,-20.874672621101706,-10.728981027865576
6.922528607113648,2,-16.558981343671807,9.454880768917269,11.094156479838874,9.026244204072121,3.9410319565110123,-24.90727387261555,-8.458753848872737,-15.020089908225948,6.570087713475516,13.948819573400346,-18.350866609039407,-12.038559814786288,17.543555494106723,12.168393654550318,1.477158956562005,23.698404244115082,-20.80199904292123,-7.994047549460822
7.312649135488318,4,-20.266886740103992,11.662634090137493,8.77335381234051,12.040419954515357,4.031264388050557,-23.622519803967954,-12.36243234809749,-12.607507915722504,8.128424573784796,14.14487159524597,-23.411202287311422,-11.342229824288864,16.752324037119227,12.106794767450886,7.060133404276346,21.24545651588751,-22.599384287663433,-19.95340332344309
7.370541342586291,1,-14.072111957468625,9.292788744767842,13.328927707924247,6.415934850342225,6.678398343972551,-24.59195531670261,-11.582825566486683,-25.370480480342856,7.837957404557276,11.195735729269488,-25.823905167439552,-11.281089430539295,19.93169504278487,12.74698257715117,3.310170811983017,25.182228519771375,-18.990604519644965,-10.57930701314924
5.985841801212338,2,-15.288583077908108,9.685435514873964,11.075281887215986,8.68979819873854,6.156514741369351,-23.985387537884016,-8.228134048379708,-17.508022684195126,7.552317711643935,13.952626240240944,-22.599102165104416,-11.796038208119365,18.0594036684424,14.427651838440463,3.3999822301426637,22.37355898775701,-21.414421310379986,-12.087599935142075
7.158354131017035,2,-17.128110418072737,10.598065983449219,11.618566916833787,8.43903792416631,6.662246742026156,-25.581754049072362,-7.599542599280904,-20.576895280999686,9.435105725689313,13.36772469318704,-21.88070138277164,-14.900927495396452,17.676092113445687,12.711194246321634,1.6750074659493557,21.755965950300777,-21.068754434533183,-8.566061032533959
7.2743855707287155,4,-19.84046858258521,9.842733027670118,10.019117511341081,11.37729847098664,7.08359366837626,-24.31253448830064,-13.035122249253048,-18.00603871903778,4.249908351718647,17.94652119715683,-27.670137223758978,-13.240758767687371,16.141742399751777,11.577485891710733,8.553485752971612,22.7814663989152,-23.554447788538102,-23.952200489968682
7.534099192998743,3,-18.991169968043152,9.336615701238035,11.851681875654847,11.219717003896413,5.120054544562258,-24.554217137458494,-9.416420656505283,-15.469618379460043,5.709833596509918,12.551307974182228,-23.702597210970406,-14.562301715043724,18.09744012297169,12.153254919380826,3.1414507380633996,22.408927729119466,-22.91090825842065,-12.06398940601157
7.2889116981588735,4,-22.065512870857184,10.598461308854224,10.165238824481829,13.074364292058265,3.7783324761104176,-24.776091471949876,-12.418576594057821,-11.025301865574338,6.289351320192333,17.567075687882326,-23.350361200465528,-12.781744618128062,15.847227660087603,11.212744289670084,5.1187084694688005,21.085525679713182,-23.110784077736685,-16.954006037575148
7.165291376825674,0,-15.070719361851044,7.987142134325193,16.9587149052926,4.171174832859441,5.476153418402368,-24.57767865215526,-7.3282657435555025,-29.34210029656573,10.948419334704338,8.415234185647833,-17.62055535661917,-13.90434633758947,20.000429027058335,11.084870773429888,2.05467324255434,25.97786828356058,-18.8831711488784,-9.407620478346765
7.627709951922513,0,-13.498228962951483,10.224928614495138,16.262297702570795,3.0014842356948295,8.459023189029368,-26.089855543797213,-7.904516781109801,-33.32603170493881,12.454416414320093,8.898235574422264,-24.002343392145686,-9.19277101907057,21.50634901522152,11.38237429493897,1.6989024392332979,21.962390327271923,-16.31562311839127,-4.629988307901485
6.880977999517609,4,-20.434546819347023,9.985942407251123,7.857945473219859,13.011476416616283,7.136021205920922,-24.78024509995965,-10.752688610677776,-14.887850164519698,6.083816673086721,18.88828006325875,-26.500269184268358,-10.392384941215584,15.50003477566093,12.263539414076535,6.076700578086255,23.407680704024372,-21.530127302211326,-18.809673820304397
6.470371089688431,4,-19.899630905867085,7.82410426502992,8.626951986702501,13.418051433918784,5.064455190721183,-18.582719483076918,-9.817823334917199,-13.340686766164845,0.9432787039055018,15.083328719312409,-24.73889708154957,-12.170353953377186,14.892369171850374,13.206804446592347,4.713228082399152,22.3236295018939,-21.224459139637567,-18.025292323047996
7.207530017936417,1,-16.675790436564313,11.106760981906481,15.014100731379061,9.066123716242775,5.338582797077213,-26.087471139585453,-9.071170600725905,-20.32691113983837,9.825662737737206,12.66579253180506,-22.489205958108258,-15.347005414473914,20.78601297630025,11.739404787922375,0.5389254239563988,23.365879665750715,-20.103662569813764,-4.240355003027445
