,b,a,e,f,u,c,d,g,i,m,j,q,h,k,t,n,l,p,o,r,s
b,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
a,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
e,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1
f,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
d,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
j,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
